a hair's breadth	yes	hair/NOUN s/PART breadth/NOUN	hair breadth	
a little bird told me	yes	little/ADJ bird/NOUN told/VERB me/PRON tells/VERB	bird	
a penny for your thoughts	yes	penny/NOUN for/ADP your/DET thoughts/NOUN	penny thoughts	
a pretty penny	yes	pretty/ADJ penny/NOUN	penny	
above board	yes	above/ADP board/NOUN	board	
above par	yes	above/ADP par/NOUN	par	
across the board	yes	across/ADP board/NOUN	board	
act of god	yes	of/ADP god/PROPN act/NOUN	act	
add fuel to the fire	yes	fuel/NOUN to/ADP fire/NOUN	fuel fire	x
add insult to injury	yes	insult/NOUN to/ADP injury/NOUN add/VERB	insult injury	
against the grain	yes	against/ADP grain/NOUN	grain	
ahead of the curve	yes	ahead/ADV of/ADP curve/NOUN	curve	
ahead of the game	yes	ahead/ADV of/ADP game/NOUN	game	
alive and kicking	no	alive/ADJ and/CCONJ kicking/VERB		
all along	no	all/ADV along/ADV		
all and sundry	no	all/DET and/CCONJ sundry/ADJ		
all bets are off	yes	all/DET bets/NOUN were/AUX off/ADV are/AUX	bets	
all dressed up and nowhere to go	no	all/DET dressed/VERB up/ADP and/CCONJ nowhere/ADV to/PART go/VERB		
all hell broke loose	yes	all/DET hell/NOUN broke/VERB loose/ADV	hell	
all in a day's work	yes	all/DET in/ADP day/NOUN s/PART work/NOUN	day work	
all over bar the shouting	yes	all/ADV over/ADP bar/NOUN shouting/NOUN	bar shouting	
all over the map	yes	all/ADV over/ADP map/NOUN	map	
all over the place	yes	all/ADV over/ADP place/NOUN	place	
all over the shop	yes	all/ADV over/ADP shop/NOUN	shop	
all over the show	yes	all/ADV over/ADP show/NOUN /PUNCT	show	
all the rage	yes	all/DET rage/NOUN	rage	
all things being equal	yes	all/DET things/NOUN being/AUX equal/ADJ	things	
all wet	no	all/ADV wet/ADJ		
along about	no	along/ADP about/ADP		
an englishman's home is his castle	yes	englishman/PROPN s/PART home/NOUN is/AUX his/DET castle/NOUN /PUNCT	home castle	
an old flame	yes	old/ADJ flame/NOUN	flame	
and all that jazz	yes	and/CCONJ all/DET that/DET jazz/NOUN	jazz	
and then some	no	and/CCONJ then/ADV some/DET		
any port in a storm	yes	any/DET port/NOUN in/ADP storm/NOUN /PUNCT	port storm	
anyone's guess	yes	anyone/PRON s/PART guess/NOUN	guess	
anything goes	no	anything/PRON goes/VERB		
apples and oranges	yes	apples/NOUN and/CCONJ oranges/NOUN	apples oranges	
argue the toss	yes	argue/VERB toss/NOUN	toss	
armed to the teeth	yes	armed/VERB to/ADP teeth/NOUN	teeth	
around the clock	yes	around/ADP clock/NOUN	clock	
arse about face	yes	arse/ADJ about/ADP face/NOUN	face	
as a rule	yes	as/SCONJ rule/NOUN	rule	
as good as new	no	as/ADV good/ADJ new/ADJ		
as luck would have it	yes	as/SCONJ luck/NOUN would/VERB have/AUX it/PRON	luck	
as the actress said to the bishop	yes	as/SCONJ actress/NOUN said/VERB to/ADP bishop/NOUN	actress bishop	
as the crow flies	yes	as/SCONJ crow/NOUN flies/VERB	crow	
ask for the moon	yes	asked/VERB for/ADP moon/NOUN	moon	
asleep at the wheel	yes	asleep/ADJ at/ADP wheel/NOUN	wheel	
at a canter	yes	at/ADP canter/NOUN	canter	
