a hair's breadth	yes	hair/NOUN s/PART breadth/NOUN	hair breadth	Cheveu largeur	cheveux;poils;poil;cheveu large;porter;largeurs;largeur;portée;largesse
a little bird told me	yes	little/ADJ bird/NOUN told/VERB me/PRON tells/VERB	bird	oiseau	oiseau;oiseaux
a penny for your thoughts	yes	penny/NOUN for/ADP your/DET thoughts/NOUN	penny thoughts	penny penser;pensées	penchant;pence;penny;centime;sou;pencher pensées;penser;réflexion;pensée;idée
a pretty penny	yes	pretty/ADJ penny/NOUN	penny	penny	penchant;pence;penny;centime;sou;pencher
above board	yes	above/ADP board/NOUN	board	planche	plateau;planche;administration;tableau;conseil;planches
above par	yes	above/ADP par/NOUN	par	par	pari;pars;paragraphe;modèle;pair;par
across the board	yes	across/ADP board/NOUN	board	planche	plateau;planche;administration;tableau;conseil;planches
act of god	yes	of/ADP god/PROPN act/NOUN	act	acte	comédie;fait;actes;agir;numéro;faire;acte
add fuel to the fire	yes	fuel/NOUN to/ADP fire/NOUN	fuel fire	carburer;carburant Feu;feu	combustible;carburer;carburant;carburants incendie;feu;feux
add insult to injury	yes	insult/NOUN to/ADP injury/NOUN add/VERB	insult injury	insulter blessur;blessure	insultant;insultes;insulte;insulter blessur;mal;blessé;blessures;blesser;blessure
against the grain	yes	against/ADP grain/NOUN	grain	grain	céréale;graine;céréales;grain;grains
ahead of the curve	yes	ahead/ADV of/ADP curve/NOUN	curve	courbe	courbe;courbes;virage
ahead of the game	yes	ahead/ADV of/ADP game/NOUN	game	jeu;Jeu	partie;jeu;jeux;match
all bets are off	yes	all/DET bets/NOUN were/AUX off/ADV are/AUX	bets	pari;paris	parier;mise;pari;paris
all hell broke loose	yes	all/DET hell/NOUN broke/VERB loose/ADV	hell	l&#39;enfer	enfers;Enfers;enfer;Enfer
all in a day's work	yes	all/DET in/ADP day/NOUN s/PART work/NOUN	day work	journée travail	jour;temps;journée;jours travail;ouvrage;boulot;œuvres;œuvre;oeuvres;oeuvre
all over bar the shouting	yes	all/ADV over/ADP bar/NOUN shouting/NOUN	bar shouting	bar criant;crier	bars;barr;bar;barre;barres cris;clam;cri;clameur;crie;crier
all over the map	yes	all/ADV over/ADP map/NOUN	map	carte	plan;map;carte;cartes
all over the place	yes	all/ADV over/ADP place/NOUN	place	endroit	lieu;lieux;places;endroits;endroit;ici;place
all over the shop	yes	all/ADV over/ADP shop/NOUN	shop	magasin	magasins;commerce;magasin;boutiques;boutique
all over the show	yes	all/ADV over/ADP show/NOUN /PUNCT	show	spectacle	show;spectacle;Spectacles;concert;spectacles;émission;série
all the rage	yes	all/DET rage/NOUN	rage	rage	rages;colère;fureurs;fureur;colèr;rage
all things being equal	yes	all/DET things/NOUN being/AUX equal/ADJ	things	choses;chose	choses;chose;truc;problème
an englishman's home is his castle	yes	englishman/PROPN s/PART home/NOUN is/AUX his/DET castle/NOUN /PUNCT	home castle	domicile château	maison;demeure;maisons;foyer;soi châteaux;château;Château;chateau
an old flame	yes	old/ADJ flame/NOUN	flame	flamme	flammes;flamme;feu
and all that jazz	yes	and/CCONJ all/DET that/DET jazz/NOUN	jazz	jazz	jazze;jazzer;jazz;jazzs;jazzes
any port in a storm	yes	any/DET port/NOUN in/ADP storm/NOUN /PUNCT	port storm	Port tempêt;tempête	ports;port tempêt;tempêtes;orage;tempête
anyone's guess	yes	anyone/PRON s/PART guess/NOUN	guess	deviner	devinez;conjecture;hypothèse;devine;supposition;idée
apples and oranges	yes	apples/NOUN and/CCONJ oranges/NOUN	apples oranges	pommes;pomme oranges;orange	pommes;pomme oranger;oranges;orange;orangée
argue the toss	yes	argue/VERB toss/NOUN	toss	lancer	pied;toss;lancer;tos;pouce;fouet
armed to the teeth	yes	armed/VERB to/ADP teeth/NOUN	teeth	dent;dents	Dent;dent;dents
around the clock	yes	around/ADP clock/NOUN	clock	l&#39;horloge	horloge;montre;montr;horloges
arse about face	yes	arse/ADJ about/ADP face/NOUN	face	visage	face;visage;figure;tête;visages
as a rule	yes	as/SCONJ rule/NOUN	rule	régner	règle;régler;règlement;règles
as luck would have it	yes	as/SCONJ luck/NOUN would/VERB have/AUX it/PRON	luck	chance	chance;succès;chances
as the actress said to the bishop	yes	as/SCONJ actress/NOUN said/VERB to/ADP bishop/NOUN	actress bishop	acteur;actrice évêque;évêqu	comédien;acteur;actrice;comédienne évêque;Evêque;évêché;évêqu;evêque;évêques
as the crow flies	yes	as/SCONJ crow/NOUN flies/VERB	crow	corbeau	corbeil;corbeau;corbeille;corbeaux
ask for the moon	yes	asked/VERB for/ADP moon/NOUN	moon	lun;lune	lun;Lune;lune;lunes
asleep at the wheel	yes	asleep/ADJ at/ADP wheel/NOUN	wheel	roue	volant;roues;roue
at a canter	yes	at/ADP canter/NOUN	canter	galop	canters;canette;cantère;boîte;cantr;cantre;cantèr;canter;canettes
at a loose end	yes	at/ADP loose/ADJ end/NOUN	end	finir	but;fin;finit;fini;finir
at a loss for words	yes	at/ADP loss/NOUN for/ADP words/NOUN	loss words	perte mot;mots	perte parole;mot;mots
at a pinch	yes	at/ADP pinch/NOUN	pinch	pincer	pincée;pincer;pincez;pince;pinces;pinceau;pincées
at a snail's pace	yes	at/ADP snail/NOUN s/PART pace/NOUN	snail pace	escargot rythme	escargots;escargote;escargot rythmes;pace;cadence;pas;rythme
at a stretch	yes	at/ADP stretch/NOUN	stretch	s&#39;étirer	coup;tronçon;étirure;étire;étirement;stretch;étir;étirer;effort;tendu;étirements;tendre
at cross purposes	yes	at/ADP cross/NOUN purposes/NOUN	cross purposes	traverser fin;fins	Croix;croix but;fin;fins;être;buts;objectif;raison
at daggers drawn	yes	at/ADP daggers/NOUN drawn/VERB	daggers	poignard;poignards	poignarde;poignard;dague;poignards
at death's door	yes	at/ADP death/NOUN s/PART door/NOUN	death door	décès porte	meurtre;morts;décès;mort porte;portes;portail
at full tilt	yes	at/ADP full/ADJ tilt/NOUN	tilt	inclinaison	pente;inclinaison;pent;inclinaisons;incline;inclination;bascule
at loggerheads	yes	at/ADP loggerheads/NOUN	loggerheads	caouanner;caouannes	bûcherons;loggerhead;boggerheads;bûcheron;boggerhead;bûche
at sea	yes	at/ADP sea/NOUN	sea	mer	océan;mer;mers
at sixes and sevens	yes	at/ADP sixes/NOUN and/CCONJ sevens/NOUN	sixes sevens	six sept	sixe;6e;6;sixes;ici;six 7s;ici;sept;7;septs
at the coalface	yes	at/ADP coalface/NOUN /PUNCT	coalface	taille	houill;charbon;houille
at the crossroads	yes	at/ADP crossroads/NOUN	crossroads	carrefour	intersection;croisée;chemins;chemin;carrefour;croisement;croiser;traversée;traverser
at the drop of a hat	yes	at/ADP drop/NOUN of/ADP hat/NOUN	drop hat	tomber chapeau	goutte;Drop;eau;goutteau;chute;gouttes;Déposer;drop;déposer;air chapeau;casquette;chapeaux;chapeal;bonnet
at the end of the day	yes	at/ADP end/NOUN of/ADP day/NOUN	end day	finir journée	but;fin;finit;fini;finir jour;temps;journée;jours
at your fingertips	yes	at/ADP your/DET fingertips/NOUN	fingertips	doigt;doigts	doigt;doigts
away with the fairies	yes	away/ADV with/ADP fairies/NOUN /PUNCT	fairies	fée;fées	fée;fer;fées
babe in arms	yes	babe/NOUN in/ADP arms/NOUN	babe arms	bébé bras	bimbo;nana;bébés;enfer;fille;enfant;bébé armoirie;armoiries;bras;arme;armes;arms
back to square one	yes	back/ADV to/ADP square/NOUN one/NUM	square one	carré un;une	cas;case;carré;carrés;place uns;truc;seul;cela;un;une;seule;ceux;celui;-là;idée;ça
back to the drawing board	yes	back/ADV to/ADP drawing/NOUN board/NOUN	drawing board	dessin planche	tirage;eau;sort;dessine;dessiner;dessin plateau;planche;administration;tableau;conseil;planches
bag and baggage	yes	bag/NOUN and/CCONJ baggage/NOUN	bag baggage	sac bagages;bagage	valis;valise;sac;sacs do;valis;valise;dos;bagages;bagage
banana republic	yes	banana/PROPN republic/NOUN	republic	république	république;Républiques;République;républiques
bang for the buck	yes	bang/NOUN for/ADP buck/NOUN	bang buck	claquer mâle	coup;poing;franger;blague;bangs;bang;Bang;frange;franges argent;fric;k;dollar;dollars
bang to rights	yes	bang/NOUN to/ADP rights/NOUN	bang rights	claquer droit;droits	coup;poing;franger;blague;bangs;bang;Bang;frange;franges droit;droits;droite;bien
bar none	yes	bar/NOUN none/NOUN	bar none	bar rien	bars;barr;bar;barre;barres aucune;cas;aucun;rien;aucuns;nul
bark up the wrong tree	yes	barking/VERB up/ADP wrong/ADJ tree/NOUN	tree	arbre	arbres;arbre;sapin
basket case	yes	basket/NOUN case/NOUN	basket case	corbeille cas;Cas	corbeilles;corbeille;panier;paniers cas;case;affaire;cases;dossier
batten down the hatches	yes	batten/VERB down/ADP hatches/NOUN	hatches	trappe;trappes	hache;trappes;trapp;hach;éclose;éclosions;trappe;éclosion;écoutille;haches;écoutilles
be all ears	yes	were/AUX all/DET ears/NOUN	ears	oreille;oreilles	ouïe;écoute;oreilles;oreille;ouïr
be left holding the baby	yes	been/AUX left/VERB holding/VERB baby/NOUN was/AUX	baby	bébé	baby;bébés;enfer;enfant;bébé
be my guest	yes	be/AUX my/DET guest/NOUN	guest	invité	inviter;hôte;hôt;invité;invités;invitation;invitée
bear fruit	yes	fruit/NOUN bear/VERB	fruit	fruit	fruits;fruit
bear in mind	yes	in/ADP mind/NOUN	mind	déranger;dérange	esprits;mental;cerveau;esprit
beard the lion in his den	yes	bearding/VERB lion/NOUN in/ADP his/DET den/NOUN	lion den	Lion tanière	lions;lion repair;repaire;tabernacle;dens;den;tar;tanière;enclos;enclore
beat about the bush	yes	beat/VERB about/ADP bush/NOUN	bush	Buisson	buisson;buissons;brousse
beat swords into ploughshares	yes	sword/NOUN beaten/VERB into/ADP ploughshare/NOUN	sword ploughshare	épée;éper soc	épées;sabre;éper;épée;épéer labourshare;labours;charrues;labour;charrue
beat the clock	yes	beat/VERB clock/NOUN	clock	l&#39;horloge	horloge;montre;montr;horloges
beat the daylights out of	yes	beat/VERB daylights/NOUN out/SCONJ of/ADP	daylights	jour	jour;lumière
beat the meat	yes	beat/VERB meat/NOUN	meat	Viande	viande;charcuterie;viandes
beat the rap	yes	beat/VERB rap/NOUN	rap	rap	viol;raps;rap
bedroom eyes	yes	bedroom/NOUN eyes/NOUN /PUNCT	bedroom eyes	chambre yeux;oeil	chambre;chambres;coucher yeux;œil;oeil;regard
beer and skittles	yes	beer/NOUN and/CCONJ skittles/NOUN	beer skittles	Bière quilles;quille	bières;bière bâton;steak;skettle;skittle;steaks;cacahuèt;caillou;bâtons;steakttle;bonhomme;skettles;bâtonnet;skettl;bâtonnets;cacahuète;ski
before you can say knife	yes	before/ADP you/PRON can/VERB say/VERB knife/NOUN	knife	couteau	couteaux;couteau
beg the question	yes	question/NOUN begs/VERB	question	question	question;questions;problème
beggars can't be choosers	yes	beggars/NOUN ca/VERB nt/PART be/AUX choosers/NOUN	beggars choosers	mendiants;mendiant sélectionneurs;sélectionneur	mendiante;mendiers;mendier;mendiants;mendicité;mendiant sélectionneurs;choix;choixeurs;sélectionneur;choixeur;choixur
behind bars	yes	behind/ADP bars/NOUN	bars	barre;barres	bars;barr;bar;barre;barres
behind closed doors	yes	behind/ADP closed/ADJ doors/NOUN	doors	porte;portes	porte;portes;portail
behind someone's back	yes	behind/ADP back/NOUN	back	arrière	do;retour;dos;backs;back;derrière;arrière
behind the curve	yes	behind/ADP curve/NOUN	curve	courbe	courbe;courbes;virage
behind the eight ball	yes	behind/ADP eight/NUM ball/NOUN	eight ball	huit Balle	8s;huitième;huit;8 bal;couille;couilles;ballon;boule;balle;boul;boules
behind the scenes	yes	behind/ADP scenes/NOUN	scenes	scènes;scène	scène;crime;scene;scen;scènes
bell the cat	yes	belling/VERB cat/NOUN	cat	chat	cat;chat;chatte;chats
bells and whistles	yes	bells/NOUN and/CCONJ whistles/NOUN	bells whistles	clocher;cloches sifflets;sifflet	cloche;clochette;clocher;cloches sifflet;sifflement;sifflets;sifflements
below par	yes	below/ADP par/NOUN	par	par	pari;pars;paragraphe;modèle;pair;par
below the belt	yes	below/ADP belt/NOUN	belt	ceinture	ceinture;ceinturon;courroie;ceintures
belt and braces	yes	belt/NOUN and/CCONJ braces/NOUN	belt braces	ceinture croisillon;croisillons	ceinture;ceinturon;courroie;ceintures brac;bretell;dentaire;appareil;bretelle;gorge;photo;appareillage;appareillages;bracet
bend someone's ear	yes	ear/NOUN bending/VERB	ear	oreille	ouïe;écoute;oreilles;oreille;ouïr
better the devil you know	yes	better/ADV devil/NOUN you/PRON know/VERB	devil	diable	monstre;diable;démons;diables;démon
between a rock and a hard place	yes	between/ADP rock/NOUN and/CCONJ hard/ADJ place/NOUN	rock place	Roche endroit	rocher;rock;pierres;roche;caillou;rochers;roc;pierre;cailloux lieu;lieux;places;endroits;endroit;ici;place
between the devil and the deep blue sea	yes	between/ADP devil/NOUN and/CCONJ deep/ADJ blue/ADJ sea/NOUN	devil blue sea	diable bleu mer	monstre;diable;démons;diables;démon bleue;bleu;blue;blues océan;mer;mers
betwixt and between	yes	betwixt/NOUN and/CCONJ between/ADP	betwixt	entre	none;Aucune;bénéfice;pari;zéro;betwixt;Betwixt;aucun;Néant;None;nul;Aucun;paris
beyond the pale	yes	beyond/ADP pale/NOUN	pale	pâle	pâle;clair;pâleur;pâlin;pâles
big girl's blouse	yes	big/ADJ girl/NOUN s/PART blouse/NOUN	girl blouse	fille chemisier	fille;filles;girl blouse;blouses;Blouse;blous;chemise;chemisier
big hitter	yes	big/ADJ hitters/NOUN hitter/NOUN	hitters hitter	frappeurs;frappeur frappeur	frappeurs;gages;hitter;gage;tueur;frappeur;attaque;coupeur;frapper frappeurs;gages;hitter;tueur;gage;frappeur;coupeur;attaque;frapper
birds of a feather	yes	birds/NOUN of/ADP feather/NOUN	birds feather	oiseau;oiseaux plume	oiseau;oiseaux plume;plumes
bite someone's head off	yes	head/NOUN off/ADP bite/VERB	head	diriger	tête;têtes;crâne
bite the big one	yes	bit/NOUN big/ADJ one/NOUN	bit one	bit un;une	peu;bits;mordre;cela;bit;mordu;ça uns;truc;seul;cela;un;une;seule;ceux;celui;-là;idée;ça
bite the bullet	yes	bullet/NOUN bite/VERB	bullet	balle	balles;balle
bite the dust	yes	dust/NOUN	dust	poussière;poussièr	poussière;poussières;poussièr
bite your lip	yes	bite/VERB your/DET lip/NOUN	lip	lèvre	lèvre;lèvres;bouche
bite your tongue	yes	your/DET tongue/NOUN bite/VERB	tongue	langue	langage;langues;langue
bits and bobs	yes	bits/NOUN and/CCONJ bobs/PROPN	bits	morceau;morceaux	peu;bits;mordre;cela;bit;mordu;ça
blaze a trail	yes	blazing/VERB trail/NOUN	trail	Piste	pistes;trail;parcours;chemin;sentier;Trail;piste;pist;sentiers
bleeding heart	yes	bleeding/VERB heart/NOUN	heart	cœur	coeurs;cœur;coeur;cœurs
blood and guts	yes	blood/NOUN and/CCONJ guts/NOUN	blood guts	sang entrailles;entraille	sang;sangs cran;triper;cinglé;cingler;tripes;intuition;intestinal;courage;tripe;instinct;intestin;culot
blood and thunder	yes	blood/NOUN and/CCONJ thunder/NOUN	blood thunder	sang tonnerre	sang;sangs tonnerres;foudre;tonnerre
blood is thicker than water	yes	blood/NOUN is/AUX thicker/ADJ than/SCONJ water/NOUN	blood water	sang l&#39;eau	sang;sangs mer;eaux;eau
blow a fuse	yes	fuse/NOUN blew/VERB	fuse	fusible	fusibles;fuser;fusible;fusée
