Nature conservation runs against the grain of current political doctrine.	0 0 0 1 0 1 0 0 0 0	against the grain	figurative	identical	NOUN NOUN VERB ADP DET NOUN ADP ADJ ADJ NOUN
So, as much as it went against the grain, she knew she had no alternative but to fit in with Ross's plans.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	ADV ADV ADV ADP PRON VERB ADP DET NOUN PRON VERB PRON VERB DET NOUN CCONJ PART VERB PART ADP PROPN NOUN
It just went against the grain.	0 0 0 1 0 1	against the grain	figurative	identical	PRON ADV VERB ADP DET NOUN
The desire for a normal life of love, work and friendship runs through these essays, cutting against the grain of the totalitarian state.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	against the grain	figurative	identical	DET NOUN ADP DET ADJ NOUN ADP NOUN NOUN CCONJ NOUN VERB ADP DET NOUN VERB ADP DET NOUN ADP DET ADJ NOUN
Often, of course, the story is so important that they have to cover it, but it goes against the grain to be sweeping up behind another paper's scoops.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	against the grain	figurative	identical	ADV ADP NOUN DET NOUN VERB ADV ADJ ADP PRON VERB PART VERB PRON CCONJ PRON VERB ADP DET NOUN PART VERB VERB PART ADP DET NOUN NOUN
What you 're dealing with, if you 're involved in any sort of ' against - the - grain ' work on something like cancer, is the stereotyped notion of knowledge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	dashes	NOUN PRON VERB VERB ADP ADP PRON VERB VERB ADP DET NOUN ADP PUNCT ADP PUNCT DET PUNCT NOUN PUNCT NOUN ADP NOUN ADP NOUN VERB DET ADJ NOUN ADP NOUN
Yeah well I I had erm access to quite a lot of you know, quite good clothing, er both children's and adult's and erm while I didn't feel that it was that people should have to depend on someone else to give them clothing, erm in some ways it went against the grain to do it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	against the grain	figurative	identical	INTJ INTJ PRON PRON VERB NOUN NOUN ADP ADJ DET NOUN ADP PRON VERB ADV ADJ NOUN INTJ DET NOUN CCONJ NOUN CCONJ NOUN ADP PRON VERB VERB ADP PRON VERB ADP NOUN VERB VERB PART VERB ADP NOUN ADV PART VERB PRON NOUN NOUN ADP DET NOUN PRON VERB ADP DET NOUN PART VERB PRON
That's fine, I 'd had, on the subject of this boycotting timber, erm I know of two instances at least where Oxford City Council are still using tropical hardwoods, and I wonder, I mean, you know, obviously it goes against the grain of the signing of the tropical hardwood.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	against the grain	figurative	identical	DET ADJ PRON VERB VERB ADP DET NOUN ADP DET VERB NOUN NOUN PRON VERB ADP NUM NOUN ADP ADJ ADV PROPN PROPN PROPN VERB ADV VERB ADJ NOUN CCONJ PRON VERB PRON VERB PRON VERB ADV PRON VERB ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN
Even as she heard her own voice she was horrified by what it was saying, but somehow couldn't stop herself, even though it went completely against the grain to tell such blatant lies.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	against the grain	figurative	identical	ADV ADP PRON VERB ADJ ADJ NOUN PRON VERB VERB ADP NOUN PRON VERB VERB CCONJ ADV VERB VERB PRON ADV ADP PRON VERB ADV ADP DET NOUN PART VERB ADJ ADJ NOUN
And then, the Daily Telegraph discovered ‘ the truth’ : ‘ privatisation of Britain's water industry … runs against the grain of Mr Delors’ social strategy.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	against the grain	figurative	identical	CCONJ ADV DET PROPN PROPN VERB PRON DET NOUN PUNCT NUM NOUN ADP PROPN NOUN NOUN PUNCT VERB ADP DET NOUN ADP PROPN PROPN ADJ NOUN
Dona and Anna went against the grain for love, but Dona benefitted and got away with her actions while Anna escaped convention and let convention have its revenge.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	against the grain	figurative	identical	PROPN CCONJ PROPN VERB ADP DET NOUN ADP NOUN CCONJ PROPN VERB CCONJ VERB ADV ADP ADJ NOUN ADP PROPN VERB NOUN CCONJ VERB NOUN VERB ADJ NOUN
