And she still didn't know what was on Luke Hunter's mind.	0 0 0 0 0 0 0 1 0 1 1	on someone's mind	figurative	combined-other	CCONJ PRON ADV VERB VERB NOUN VERB ADP PROPN PROPN NOUN	▁And ▁she ▁still ▁did n ' t ▁know ▁what ▁was ▁on ▁L uke ▁Hun ter ' s ▁mind .	0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 1	CCONJ PRON ADV VERB VERB VERB VERB VERB NOUN VERB ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN
Old people are no fools, and can easily be hurt ; so however many things you have on your mind to be done when you get home, never leave them feeling that you have given them time that you have grudgingly spared.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADJ NOUN VERB DET NOUN CCONJ VERB ADV VERB VERB PUNCT ADV ADV ADJ NOUN PRON VERB ADP ADJ NOUN PART VERB VERB ADV PRON VERB ADV ADV VERB PRON VERB ADP PRON VERB VERB PRON NOUN ADJ PRON VERB ADV VERB	▁Old ▁people ▁are ▁no ▁fool s , ▁and ▁can ▁easily ▁be ▁hurt ▁ ; ▁so ▁however ▁many ▁things ▁you ▁have ▁on ▁your ▁mind ▁to ▁be ▁done ▁when ▁you ▁get ▁home , ▁never ▁leave ▁them ▁feeling ▁that ▁you ▁have ▁given ▁them ▁time ▁that ▁you ▁have ▁g ru dging ly ▁spare d .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB DET NOUN NOUN NOUN CCONJ VERB ADV VERB VERB PUNCT PUNCT ADV ADV ADJ NOUN PRON VERB ADP ADJ NOUN PART VERB VERB ADV PRON VERB ADV ADV ADV VERB PRON VERB ADP PRON VERB VERB PRON NOUN ADJ PRON VERB ADV ADV ADV ADV VERB VERB VERB
Charles Dickens had something similar on his mind when, in an embittered flogging essay of 1860, he accused ‘ The Ruffian’ of making London's streets as perilous as a ‘ solitary mountain - spur of the Abruzzi’.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PROPN PROPN VERB NOUN ADJ ADP ADJ NOUN ADV ADP DET ADJ ADJ NOUN ADP NUM PRON VERB PUNCT DET PROPN ADP VERB PROPN NOUN ADP ADJ ADP DET PUNCT ADJ NOUN PUNCT NOUN ADP DET NOUN	▁Charles ▁Di cken s ▁had ▁something ▁similar ▁on ▁his ▁mind ▁when , ▁in ▁an ▁em bit tered ▁fl ogging ▁ essa y ▁of ▁186 0, ▁he ▁accused ▁ ‘ ▁The ▁R uff ian ’ ▁of ▁making ▁London ' s ▁streets ▁as ▁per il ous ▁as ▁a ▁ ‘ ▁so lit ary ▁mountain ▁- ▁spur ▁of ▁the ▁A br uzzi ’ .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN VERB NOUN ADJ ADP ADJ NOUN ADV ADV ADP DET ADJ ADJ ADJ ADJ ADJ NOUN NOUN NOUN ADP NUM NUM PRON VERB PUNCT PUNCT DET PROPN PROPN PROPN PROPN ADP VERB PROPN PROPN PROPN NOUN ADP ADJ ADJ ADJ ADP DET PUNCT PUNCT ADJ ADJ ADJ NOUN PUNCT NOUN ADP DET NOUN NOUN NOUN NOUN NOUN
And more and more the fast - approaching deadline of the next dummy edition was pressing on his mind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	CCONJ ADJ CCONJ ADV DET ADV PUNCT VERB NOUN ADP DET ADJ NOUN NOUN VERB VERB ADP ADJ NOUN	▁And ▁more ▁and ▁more ▁the ▁fast ▁- ▁approaching ▁deadline ▁of ▁the ▁next ▁dummy ▁edition ▁was ▁pressing ▁on ▁his ▁mind .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	CCONJ ADJ CCONJ ADV DET ADV PUNCT VERB NOUN ADP DET ADJ NOUN NOUN VERB VERB ADP ADJ NOUN NOUN
I have more important things on my mind.’	0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-other	PRON VERB ADV ADJ NOUN ADP ADJ NOUN	▁I ▁have ▁more ▁important ▁things ▁on ▁my ▁mind . ’	0 0 0 0 0 1 1 1 1 1	PRON VERB ADV ADJ NOUN ADP ADJ NOUN NOUN NOUN
Obviously, Tom had a lot on his mind, but I had no choice but to ask him to spend some time helping us with our problems.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	ADV PROPN VERB DET NOUN ADP ADJ NOUN CCONJ PRON VERB DET NOUN ADP PART VERB PRON PART VERB DET NOUN VERB PRON ADP ADJ NOUN	▁Obviously , ▁Tom ▁had ▁a ▁lot ▁on ▁his ▁mind , ▁but ▁I ▁had ▁no ▁choice ▁but ▁to ▁ask ▁him ▁to ▁spend ▁some ▁time ▁help ing ▁us ▁with ▁our ▁problems .	0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PROPN VERB DET NOUN ADP ADJ NOUN NOUN CCONJ PRON VERB DET NOUN ADP PART VERB PRON PART VERB DET NOUN VERB VERB PRON ADP ADJ NOUN NOUN
The monks ' cells, just visible through the windows of the women's dormitories, lay 500 yards away, far enough for them to have required a telescope and searchlights if disturbance had been on their minds.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	combined-inflection	DET NOUN PART NOUN ADV ADJ ADP DET NOUN ADP DET NOUN NOUN VERB NUM NOUN ADV ADV ADV ADP PRON PART VERB VERB DET NOUN CCONJ NOUN ADP NOUN VERB VERB ADP ADJ NOUN	▁The ▁mon ks ▁' ▁cells , ▁just ▁visible ▁through ▁the ▁windows ▁of ▁the ▁women ' s ▁do rm itor ies , ▁lay ▁500 ▁yards ▁away , ▁far ▁enough ▁for ▁them ▁to ▁have ▁required ▁a ▁telescop e ▁and ▁search light s ▁if ▁disturbance ▁had ▁been ▁on ▁their ▁minds .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	DET NOUN NOUN PART NOUN NOUN ADV ADJ ADP DET NOUN ADP DET NOUN NOUN NOUN NOUN NOUN NOUN NOUN NOUN VERB NUM NOUN ADV ADV ADV ADV ADP PRON PART VERB VERB DET NOUN NOUN CCONJ NOUN NOUN NOUN ADP NOUN VERB VERB ADP ADJ NOUN NOUN
Sheikh al Hassan had a lot on his mind.	0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PROPN PROPN PROPN VERB DET NOUN ADP ADJ NOUN	▁She i kh ▁al ▁Hassan ▁had ▁a ▁lot ▁on ▁his ▁mind .	0 0 0 0 0 0 0 0 1 1 1 1	PROPN PROPN PROPN PROPN PROPN VERB DET NOUN ADP ADJ NOUN NOUN
Paula asked the question which had preyed on her mind while they were drinking coffee from room service in Tweed's suite.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	on someone's mind	figurative	possessive	PROPN VERB DET NOUN ADJ VERB VERB ADP ADJ NOUN ADP PRON VERB VERB NOUN ADP NOUN NOUN ADP PROPN NOUN	▁Paul a ▁asked ▁the ▁question ▁which ▁had ▁pre y ed ▁on ▁her ▁mind ▁while ▁they ▁were ▁drinking ▁coffee ▁from ▁room ▁service ▁in ▁T we ed ' s ▁suit e .	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB DET NOUN ADJ VERB VERB VERB VERB ADP ADJ NOUN ADP PRON VERB VERB NOUN ADP NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN
Success was also on Cecil Parkinson's mind.	0 0 0 1 0 1 1	on someone's mind	figurative	combined-other	PROPN VERB ADV ADP PROPN PROPN NOUN	▁Success ▁was ▁also ▁on ▁C e cil ▁Parkinson ' s ▁mind .	0 0 0 1 0 0 0 1 1 1 1 1	PROPN VERB ADV ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN NOUN
Shiona sensed that he knew she had something on her mind.	0 0 0 0 0 0 0 0 1 1 1	on someone's mind	figurative	possessive	PROPN VERB ADP PRON VERB PRON VERB NOUN ADP ADJ NOUN	▁Shi ona ▁sense d ▁that ▁he ▁knew ▁she ▁had ▁something ▁on ▁her ▁mind .	0 0 0 0 0 0 0 0 0 0 1 1 1 1	PROPN PROPN VERB VERB ADP PRON VERB PRON VERB NOUN ADP ADJ NOUN NOUN
