Is that the on button?	0 0 0 1 1	on the button	literal	deletion-determiner	VERB DET DET ADP NOUN
Stick a gold star ( or a dab of nail varnish ) on the bottom button and sew a little red thread on the bottom buttonhole so that she doesn't mismatch them.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	insertion-other	VERB DET ADJ NOUN PUNCT CCONJ DET NOUN ADP NOUN NOUN PUNCT ADP DET NOUN NOUN CCONJ VERB DET ADJ ADJ NOUN ADP DET ADJ NOUN ADP ADP PRON VERB VERB PRON
. So making a great show of it Gwendoline sowed on the six blue buttons one night.	0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0	on the button	literal	combined-inflection	PUNCT ADV VERB DET ADJ NOUN ADP PRON PROPN VERB ADP DET NUM ADJ NOUN NUM NOUN
Then click on the button change, and choose a name for the computer.	0 0 1 0 1 0 0 0 0 0 0 0 0	on the button	literal	identical	ADV VERB ADP DET NOUN NOUN CCONJ VERB DET NOUN ADP DET NOUN
Drew leant against the wall, his thumb on the control button.	0 0 0 0 0 0 0 1 0 0 1	on the button	literal	insertion-other	PROPN NOUN ADP DET NOUN ADJ NOUN ADP DET NOUN NOUN
After we had been locked in I spent the evening making preparations with Malleson's help : sewing on buttons, dubbining my boots, making a pillow case into a rucksack and staring at a map with unreal names on it like Danzig and Berlin.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	deletion-determiner	ADP PRON VERB VERB VERB ADP PRON VERB DET NOUN VERB NOUN ADP PROPN NOUN PUNCT VERB ADP NOUN VERB ADJ NOUN VERB DET NOUN NOUN ADP DET NOUN CCONJ VERB ADP DET NOUN ADP ADJ NOUN ADP PRON ADP PROPN CCONJ PROPN
Click on the button beneath the Google+ logo, select the option Settings, and change where it says, " Who can send you notifications? "	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the button	literal	identical	VERB ADP DET NOUN ADP DET PROPN NOUN VERB DET NOUN NOUN CCONJ VERB ADV PRON VERB PUNCT NOUN VERB VERB PRON NOUN PUNCT
Click on the red ' Exclude ' button to close the Facebook conversation.	0 1 0 0 0 0 0 1 0 0 0 0 0	on the button	literal	combined-other	VERB ADP DET ADJ PUNCT PROPN PUNCT NOUN PART VERB DET PROPN NOUN
In the Kaspersky main panel, click on the two " Update " arrows, and then click on the " Update " button.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1	on the button	literal	combined-other	ADP DET PROPN ADJ NOUN VERB ADP DET NUM PUNCT NOUN PUNCT NOUN CCONJ ADV VERB ADP DET PUNCT PROPN PUNCT NOUN
Point the mouse cursor ( seen here as an arrow ) onto the required program and double - click on the left mouse button to highlight and operate the program.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0	on the button	literal	insertion-other	VERB DET NOUN NOUN PUNCT VERB ADV ADP DET NOUN PUNCT ADP DET VERB NOUN CCONJ ADJ PUNCT NOUN ADP DET ADJ NOUN NOUN PART VERB CCONJ VERB DET NOUN
' On the button! '	0 1 0 1 0	on the button	figurative	case	PUNCT ADP DET NOUN PUNCT
