Now she's on the mend and preparing to return home this weekend.	0 0 1 0 1 0 0 0 0 0 0 0	on the mend	figurative	identical	ADV PRON ADP DET NOUN CCONJ VERB PART VERB ADV DET NOUN
Hirst is on the mend after cracking his ankle at Highbury a fortnight ago, and Bright said : ‘ I like his style of play and feel we can work well together.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the mend	figurative	identical	PROPN VERB ADP DET NOUN ADP VERB ADJ NOUN ADP PROPN DET NOUN ADV CCONJ PROPN VERB PUNCT PUNCT PRON VERB ADJ NOUN ADP NOUN CCONJ VERB PRON VERB VERB ADV ADV
Major says Britain's on the mend.	0 0 0 1 0 1	on the mend	figurative	identical	PROPN VERB PROPN ADP DET NOUN
The details of public - sector funds ' investment in the stockmarket are kept murky, the better to make folk think the market is on the mend.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the mend	figurative	identical	DET NOUN ADP ADJ PUNCT NOUN NOUN PART NOUN ADP DET NOUN VERB VERB ADJ DET ADJ PART VERB NOUN VERB DET NOUN VERB ADP DET NOUN
Now thanks to regular shampooing he's on the mend.	0 0 0 0 0 0 1 0 1	on the mend	figurative	identical	ADV NOUN ADP ADJ NOUN PRON ADP DET NOUN
Brimming with official funds, Greece was apparently on the mend.	0 0 0 0 0 0 0 1 0 1	on the mend	figurative	identical	VERB ADP ADJ NOUN PROPN VERB ADV ADP DET NOUN
The Vietnam War really appeared to be near its end, and the economy, shaken by the rise in world oil prices and the inflation produced by the war, seemed to be on the mend.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the mend	figurative	identical	DET PROPN PROPN ADV VERB PART VERB ADP ADJ NOUN CCONJ DET NOUN VERB ADP DET NOUN ADP NOUN NOUN NOUN CCONJ DET NOUN VERB ADP DET NOUN VERB PART VERB ADP DET NOUN
So The Scotsman asked several leading businessmen whether they thought the economy really is on the mend.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the mend	figurative	identical	ADV DET PROPN VERB ADJ VERB NOUN ADP PRON VERB DET NOUN ADV VERB ADP DET NOUN
‘ No news at all,’ she warned, ‘ until I know how you 've been … and whether you are on the mend.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the mend	figurative	dashes	PUNCT DET NOUN ADP NOUN PRON VERB PUNCT ADP PRON VERB ADV PRON VERB VERB PUNCT CCONJ ADP PRON VERB ADP DET NOUN
Recent improvements in data for industrial production, fixed investment, and retail sales suggest that the Chinese economy, which had slowed in recent quarters, may already be on the mend.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the mend	figurative	identical	ADJ NOUN ADP NOUN ADP ADJ NOUN VERB NOUN CCONJ ADJ NOUN VERB ADP DET ADJ NOUN ADJ VERB VERB ADP ADJ NOUN VERB ADV VERB ADP DET NOUN
Ferguson, for his part, can now look any supporter of his club in the eye and say that Gough having to commit the foul that debarred him from a Cup - tie verified the youngster's ability to put an awkward pre - match situation out of his mind and play in a determined way that suggested his temperament was on the mend.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the mend	figurative	identical	PROPN ADP ADJ NOUN VERB ADV VERB DET NOUN ADP ADJ NOUN ADP DET NOUN CCONJ VERB ADP PROPN VERB PART VERB DET NOUN ADJ VERB PRON ADP DET PROPN PUNCT NOUN VERB DET NOUN NOUN PART VERB DET ADJ ADJ PUNCT NOUN NOUN ADP ADP ADJ NOUN CCONJ VERB ADP DET ADJ NOUN ADJ VERB ADJ NOUN VERB ADP DET NOUN
