Can you see items on your shelves or in your cabinets which you have not used for at least a year?	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	VERB PRON VERB NOUN ADP ADJ NOUN CCONJ ADP ADJ NOUN ADJ PRON VERB ADV VERB ADP ADV ADV DET NOUN
She felt ‘ on the shelf’ and a burden to her parents.	0 0 0 1 0 1 0 0 0 0 0 0	on the shelf	figurative	dashes	PRON VERB PRON ADP DET PROPN CCONJ DET NOUN ADP ADJ NOUN
The extent to which subject coverage on the shelves can be achieved is a matter of library policy, funding, the amount of shelf space available, and the efficiency of interlending systems to which the authority has recourse.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	inflection	DET NOUN PART ADJ ADJ NOUN ADP DET NOUN VERB VERB VERB VERB DET NOUN ADP NOUN NOUN NOUN DET NOUN ADP NOUN NOUN ADJ CCONJ DET NOUN ADP VERB NOUN PART ADJ DET NOUN VERB VERB
We frequently consult both old and new textbooks on our shelves to check some small point.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the shelf	literal	combined-inflection	PRON ADV VERB DET ADJ CCONJ ADJ NOUN ADP ADJ NOUN PART VERB DET ADJ NOUN
Briefly, these factors are : the total population of the area and the number of registered library members ; trends in book publishing — i.e. the number of new books published per annum, broken down by subjects ; the length of life of stock on the open shelves ( depreciation rate ) ; the risen costs of books and binding on the previous year's fund ; and the range and condition of the existing stock.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	PROPN DET NOUN VERB PUNCT DET ADJ NOUN ADP DET NOUN CCONJ DET NOUN ADP VERB NOUN NOUN PUNCT NOUN ADP NOUN NOUN PUNCT X DET NOUN ADP ADJ NOUN VERB ADP NOUN VERB PART ADP NOUN PUNCT DET NOUN ADP NOUN ADP NOUN ADP DET ADJ NOUN PUNCT NOUN NOUN PUNCT PUNCT DET VERB NOUN ADP NOUN CCONJ VERB ADP DET ADJ NOUN NOUN PUNCT CCONJ DET NOUN CCONJ NOUN ADP DET VERB NOUN
" It's just over there on the shelf. "	0 0 0 0 0 1 0 1 0	on the shelf	literal	identical	PUNCT PRON ADV ADV ADV ADP DET NOUN PUNCT
This means that customers who like the retailer's own brand goods can quickly identify them on the shelves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	inflection	DET VERB ADP NOUN NOUN VERB DET NOUN ADJ NOUN NOUN VERB ADV VERB PRON ADP DET NOUN
On a shelf stood wilting plants and very small stuffed animals, squirrels and starlings which had fallen victim to the chase.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-other	ADP DET NOUN VERB VERB NOUN CCONJ ADV ADJ VERB NOUN NOUN CCONJ NOUN ADJ VERB VERB NOUN ADP DET NOUN
On the shelves, the books themselves were in a chaotic jumble, stacked in piles, or stuffed in, spine first.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	ADP DET NOUN DET NOUN PRON VERB ADP DET ADJ NOUN VERB ADP NOUN CCONJ VERB PART NOUN ADV
I wouldn't want this version of the Etudes as the only one on my shelves, but it earns a place alongside other ( note, too, that these discs are available separately ).	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	PRON VERB VERB DET NOUN ADP DET PROPN ADP DET ADJ NUM ADP ADJ NOUN CCONJ PRON VERB DET NOUN ADP ADJ PUNCT NOUN ADV ADP DET NOUN VERB ADJ ADV PUNCT
She was going to put it in the china vase, only one of the stage hands had left his lighter there for safe keeping, so she stuffed it between two books on the top shelf.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the shelf	literal	insertion-other	PRON VERB VERB PART VERB PRON ADP DET NOUN NOUN ADV NUM ADP DET NOUN NOUN VERB VERB ADJ ADJ ADV ADP ADJ NOUN ADV PRON VERB PRON ADP NUM NOUN ADP DET ADJ NOUN
He counted nine loaves of bread on the highest shelf and a dozen tins of meat stacked on the dresser.	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	insertion-other	PRON VERB NUM NOUN ADP NOUN ADP DET ADJ NOUN CCONJ DET NOUN NOUN ADP NOUN VERB ADP DET NOUN
I 'll sling that tonic water thing up on the next shelf.	0 0 0 0 0 0 0 0 1 0 0 1	on the shelf	literal	insertion-other	PRON VERB VERB DET NOUN NOUN NOUN PART ADP DET ADJ NOUN
For Hamed, the eldest son of Um Hamed, who found himself on the shelf quite unexpectedly and yet was ready to marry.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	on the shelf	figurative	identical	ADP PROPN DET ADJ NOUN ADP PROPN PROPN NOUN VERB PRON ADP DET NOUN ADV ADV CCONJ ADV VERB ADJ PART VERB
The saga centres on the tangled love life of a 30-year - old woman, who fears she will be left on the shelf.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	figurative	identical	DET NOUN NOUN ADP DET VERB NOUN NOUN ADP DET NUM PUNCT ADJ NOUN NOUN VERB PRON VERB VERB VERB ADP DET NOUN
On a shelf was a pebble that had been polished by running water ; it was ovoid, a piece of granite about big enough to hold in a clenched fist ; a seam of quartz halved it on the diagonal.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-other	ADP DET NOUN VERB DET ADJ ADJ VERB VERB VERB ADP VERB NOUN PUNCT PRON VERB NOUN DET NOUN ADP NOUN ADV ADJ ADV PART VERB PART DET ADJ NOUN PUNCT DET NOUN ADP NOUN VERB PRON ADP DET ADJ
Now the white painted bookcases which reached to the ceiling were filled only on the first two shelves with incongruous modern volumes with used - looking dust - covers.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	ADV DET ADJ VERB NOUN ADJ VERB ADP DET NOUN VERB VERB ADV ADP DET ADJ NUM NOUN ADP ADJ ADJ NOUN ADP VERB PUNCT VERB NOUN PUNCT VERB
The useless girl that I was might have grown without diversion, etiolated and bland like a stalk of grass under a stone, from those early days, represented still by the dolls and bears that lay on the cupboard shelves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the shelf	literal	combined-inflection	DET ADJ NOUN ADJ PRON VERB VERB VERB VERB ADP NOUN VERB CCONJ ADJ ADP DET NOUN ADP NOUN ADP DET NOUN ADP DET ADJ NOUN VERB ADV ADP DET NOUN CCONJ NOUN ADJ VERB ADP DET ADJ NOUN
Do you ever feel confused by the vast array of wines on supermarket shelves?	0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	combined-inflection	VERB PRON ADV VERB ADJ ADP DET ADJ NOUN ADP NOUN ADP NOUN NOUN
James put the bowl reluctantly back on its shelf and shut the cabinet doors.	0 0 0 0 0 0 1 0 1 0 0 0 0 0	on the shelf	literal	determiner-broad	PROPN VERB DET NOUN ADV ADV ADP ADJ NOUN CCONJ VERB DET NOUN NOUN
’ New Release’will be bottled and on the shelves in a months time and is England's answer to the French wine Beaujolais Nouveau.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	inflection	PUNCT PROPN NOUN VERB VERB CCONJ ADP DET NOUN ADP DET NOUN NOUN CCONJ VERB PROPN NOUN ADP DET ADJ NOUN PROPN PROPN
Croydon again, showing egg boxes on shelves.	0 0 0 0 0 1 1	on the shelf	literal	combined-inflection	PROPN ADV VERB NOUN NOUN ADP NOUN
Mary is looking for her library card, which is probably somewhere on the shelf in the hall, covered by other things.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	on the shelf	literal	identical	PROPN VERB VERB ADP ADJ NOUN NOUN ADJ VERB ADV ADV ADP DET NOUN ADP DET NOUN VERB ADP ADJ NOUN
The bookshop was still open, and now, in addition to the paperbacks, the little magazines, and the Village Voice, the new wave of American papers was beginning to appear on the shelves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	inflection	DET NOUN VERB ADV ADJ CCONJ ADV ADP NOUN ADP DET NOUN DET ADJ NOUN CCONJ DET PROPN PROPN DET ADJ NOUN ADP ADJ NOUN VERB VERB PART VERB ADP DET NOUN
The library had nothing on the shelves but the floor was littered with volumes open and lying face down.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	on the shelf	literal	inflection	DET NOUN VERB NOUN ADP DET NOUN CCONJ DET NOUN VERB VERB ADP NOUN ADJ CCONJ VERB NOUN PART
In the past, the farmer's wife or daughters made the cheese and then it was matured and ripened on a shelf near the cooking range.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	on the shelf	literal	determiner-narrow	ADP DET NOUN DET NOUN NOUN CCONJ NOUN VERB DET NOUN CCONJ ADV PRON VERB VERB CCONJ VERB ADP DET NOUN ADP DET NOUN NOUN
Take a good look at the Writers ' and Artists ' Yearbook, which lists the publishers of all the books on the library shelves, plus some you may not have come across yet.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	on the shelf	literal	combined-inflection	VERB DET ADJ NOUN ADP DET PROPN PART CCONJ PROPN PART PROPN ADJ VERB DET NOUN ADP ADJ DET NOUN ADP DET NOUN NOUN CCONJ DET PRON VERB ADV VERB VERB ADV ADV
We all buy goods on impulse sometimes — simply because we saw them on the shelf of the shop.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	on the shelf	literal	identical	PRON DET VERB NOUN ADP NOUN ADV PUNCT ADV ADP PRON VERB PRON ADP DET NOUN ADP DET NOUN
Would you say that cutting meat and getting it on the shelf every day, takes your department forward?	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	on the shelf	literal	identical	VERB PRON VERB ADP VERB NOUN CCONJ VERB PRON ADP DET NOUN DET NOUN VERB ADJ NOUN ADV
She likes to wear bright colours too and would love to see emerald green, cobalt blue and purple tights on the shelf in extra large sizes.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	on the shelf	literal	identical	PRON VERB PART VERB ADJ NOUN ADV CCONJ VERB VERB PART VERB NOUN ADJ NOUN ADJ CCONJ ADJ NOUN ADP DET NOUN ADP ADJ ADJ NOUN
This selection of carbonated and still waters cam be found on most supermarket shelves.	0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the shelf	literal	combined-inflection	DET NOUN ADP VERB CCONJ ADV NOUN NOUN VERB VERB ADP ADJ NOUN NOUN
Houghton places greatest stress upon achieving the maximum number of issues per book added to stock, rather than on achieving subject coverage on the shelves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	on the shelf	literal	inflection	PROPN VERB ADJ NOUN ADP VERB DET ADJ NOUN ADP NOUN ADP NOUN VERB ADP NOUN ADV ADP ADP VERB ADJ NOUN ADP DET NOUN
They were made in Plasticine, and obviously based on photographs of Hindu sculpture in the art books on his bottom shelves.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	on the shelf	literal	combined-inflection	PRON VERB VERB ADP PROPN CCONJ ADV VERB ADP NOUN ADP PROPN NOUN ADP DET NOUN NOUN ADP ADJ ADJ NOUN
