He's on top of the world!	0 1 1 1 0 1	on top of the world	figurative	identical	PRON ADP NOUN ADP DET NOUN
They were all grins and seemed to be on top of the world.	0 0 0 0 0 0 0 0 1 1 1 0 1	on top of the world	figurative	identical	PRON VERB DET NOUN CCONJ VERB PART VERB ADP NOUN ADP DET NOUN
People who believe in the ancient chinese art of Chi - Dynamics say it 'll make you feel on top of the world.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	on top of the world	figurative	identical	NOUN NOUN VERB ADP DET ADJ ADJ NOUN ADP PROPN PUNCT PROPN VERB PRON VERB VERB PRON VERB ADP NOUN ADP DET NOUN
‘ Peaks’ is actually to give the wrong impression, anywhere else they would be no more than hills ; but on Amantani they give a commanding view of Lake Titicaca and make you feel as if you 're on top of the world.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	on top of the world	figurative	identical	PUNCT PROPN VERB ADV PART VERB DET ADJ NOUN ADV ADV PRON VERB VERB ADV ADJ ADP NOUN PUNCT CCONJ ADP PROPN PRON VERB DET ADJ NOUN ADP PROPN PROPN CCONJ VERB PRON VERB ADP ADP PRON VERB ADP NOUN ADP DET NOUN
Rebecca ecstatically relayed the news back to base camp through her Japanese - built VHF radio, shouting : ‘ I 'm on top of the world’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	on top of the world	figurative	dashes	PROPN ADV VERB DET NOUN ADV ADP NOUN NOUN ADP ADJ PROPN PUNCT VERB NOUN NOUN VERB PUNCT PUNCT PRON NOUN ADP NOUN ADP DET NOUN
MOSCOW – In the spring of 2008, Russian President Vladimir ~ Putin was on top of the world.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	on top of the world	figurative	identical	PROPN PUNCT ADP DET NOUN ADP NUM ADJ PROPN PROPN PUNCT PROPN VERB ADP NOUN ADP DET NOUN
Erm since we 've got we, we are on top of the world.	0 0 0 0 0 0 0 0 1 1 1 0 1	on top of the world	figurative	identical	NOUN ADP PRON VERB VERB PRON PRON VERB ADP NOUN ADP DET NOUN
Yeah, well you don't expect him to be on top of the world do you?	0 0 0 0 0 0 0 0 1 1 1 0 1 0 0	on top of the world	figurative	identical	INTJ INTJ PRON VERB VERB PRON PART VERB ADP NOUN ADP DET NOUN VERB PRON
Britain was on top of the world — literally.	0 0 1 1 1 0 1 0 0	on top of the world	figurative	identical	PROPN VERB ADP NOUN ADP DET NOUN PUNCT ADV
In February, when he presented his plan to cut the deficit by $ 196 billion over five years to a joint session of Congress, Mr Clinton was on top of the world.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1	on top of the world	figurative	identical	ADP PROPN ADV PRON VERB ADJ NOUN PART VERB DET NOUN ADP SYM NUM NUM ADP NUM NOUN ADP DET ADJ NOUN ADP PROPN PROPN PROPN VERB ADP NOUN ADP DET NOUN
South Africa v Australia — Wallabies on top of the world	0 0 0 0 0 0 1 1 1 0 1	on top of the world	figurative	identical	PROPN PROPN ADP PROPN PUNCT PROPN ADP NOUN ADP DET NOUN
