‘ It's just one of those days.’	0 0 0 1 1 1 1	one of those days	figurative	dashes	PUNCT PRON ADV NUM ADP DET X
I was sitting under Marcus's chair in the garden on one of those days when he stays at home when I heard this noise from next door.	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	one of those days	figurative	identical	PRON VERB VERB ADP PROPN NOUN ADP DET NOUN ADP NUM ADP DET NOUN ADV PRON VERB ADP NOUN ADV PRON VERB DET NOUN ADP ADJ NOUN
One of those days was last Friday, when I had a terrible time going to lunch with Herman to meet Ivy.	1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one of those days	literal	case	NUM ADP DET NOUN VERB ADJ PROPN ADV PRON VERB DET ADJ NOUN VERB ADP NOUN ADP PROPN PART VERB PROPN
O K. This is one of those days.	0 0 0 0 1 1 1 1	one of those days	figurative	identical	INTJ PROPN DET VERB NUM ADP DET NOUN
It had been one of those days.	0 0 0 1 1 1 1	one of those days	figurative	identical	PRON VERB VERB NUM ADP DET NOUN
The day after your dinner party was one of those really bright winter days.	0 0 0 0 0 0 0 1 1 1 0 0 0 1	one of those days	literal	insertion-other	DET NOUN ADP ADJ NOUN NOUN VERB NUM ADP DET ADV ADJ NOUN NOUN
IT WAS one of those days which news editors will remember on their death - beds.	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	one of those days	figurative	identical	PRON VERB NUM ADP DET NOUN ADJ NOUN NOUN VERB VERB ADP ADJ NOUN PUNCT NOUN
I knew this was going to happen it's going to be one of those days.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	one of those days	figurative	identical	PRON VERB DET VERB VERB PART VERB PRON VERB PART VERB NUM ADP DET NOUN
Because it's going to finish one of those days it's going to be	0 0 0 0 0 1 1 1 1 0 0 0 0	one of those days	figurative	identical	ADP PRON VERB PART VERB NUM ADP DET NOUN PRON VERB PART VERB
If Graeme Souness is going a bit thin on top, it is probably the result of watching Rosenthal on one of those days and he certainly has them when he seems incapable of getting anything right.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	one of those days	figurative	identical	ADP PROPN PROPN VERB VERB DET NOUN ADJ ADP NOUN PRON VERB ADV DET NOUN ADP VERB PROPN ADP NUM ADP DET NOUN CCONJ PRON ADV VERB PRON ADV PRON VERB ADJ ADP VERB NOUN ADJ
A friend of mine had one of those awful days at work when she felt like hitting everyone and shouting at everybody in sight.	0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one of those days	figurative	insertion-other	DET NOUN ADP NOUN VERB NUM ADP DET ADJ NOUN ADP NOUN ADV PRON VERB ADP VERB NOUN CCONJ VERB ADP NOUN ADP NOUN
I 'm never going to get this work done, I 'm never going to get my act together today You know, as, as people say, it's one of those days.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	one of those days	figurative	identical	PRON VERB ADV VERB PART VERB DET NOUN VERB PRON VERB ADV VERB PART VERB ADJ NOUN ADV NOUN PRON VERB ADP ADP NOUN VERB PRON NUM ADP DET NOUN
‘ It's been one of those days, hasn't it, Robyn?’ he murmured evenly.	0 0 0 1 1 1 1 0 0 0 0 0 0	one of those days	figurative	identical	PUNCT PRON VERB NUM ADP DET NOUN VERB PRON PROPN PRON VERB ADV
It was just one of those days,’ he said.	0 0 0 1 1 1 1 0 0	one of those days	figurative	dashes	PRON VERB ADV NUM ADP DET NOUN PRON VERB
‘ Just one of those days.	0 0 1 1 1 1	one of those days	figurative	identical	PUNCT ADV NUM ADP DET NOUN
AS everyone knows, was Comic Relief Day — one of those days when, if you dared to venture out of your bed, you would be forced to empty your pockets for charity.	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one of those days	figurative	identical	ADP NOUN VERB VERB PROPN PROPN PROPN PUNCT NUM ADP DET NOUN ADV ADP PRON VERB PART VERB ADP ADP ADJ NOUN PRON VERB VERB VERB PART VERB ADJ NOUN ADP NOUN
It was two or three days earlier that I had made my appointment, and as luck so often has it, the due day arrived to what can only be described as ‘ one of those days’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	one of those days	figurative	dashes	PRON VERB NUM CCONJ NUM NOUN ADV ADP PRON VERB VERB ADJ NOUN CCONJ ADP NOUN ADV ADV VERB PRON DET ADJ NOUN VERB ADP NOUN VERB ADV VERB VERB ADP NUM NUM ADP DET ADJ
James, stop hit, hey, stop it, now, oh, are we gon na have one of those days where you go around beating up your brother and sister?	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	one of those days	figurative	identical	PROPN VERB VERB INTJ VERB PRON ADV INTJ VERB PRON VERB PART VERB NUM ADP DET NOUN ADV PRON VERB ADV VERB PART ADJ NOUN CCONJ NOUN
The third seed was beaten in four sets by the 18th - ranked Czech and the highly - rated Swede was forced to admit : ‘ It was one of those days.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	one of those days	figurative	dashes	DET ADJ NOUN VERB VERB ADP NUM NOUN ADP DET NOUN PUNCT VERB PROPN CCONJ DET ADV PUNCT VERB PROPN VERB VERB PART VERB PUNCT PUNCT PRON VERB NUM ADP DET X
‘ It was one of those days when it seemed like I had to climb a mountain.	0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	one of those days	figurative	identical	PUNCT PRON VERB NUM ADP DET NOUN ADV PRON VERB ADP PRON VERB PART VERB DET NOUN
A grey day in a cold April, one of those winter's - end days when the land looks exhausted and worn and it seems like all the colour is gone from the world.	0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one of those days	literal	combined-other	DET ADJ NOUN ADP DET ADJ PROPN NUM ADP DET NOUN PUNCT NOUN NOUN ADV DET NOUN VERB ADJ CCONJ ADJ CCONJ PRON VERB ADP ADJ DET NOUN VERB VERB ADP DET NOUN
It was just that City enjoyed one of those rare days when everything went right, even though some of the Maine Road faithful will have mixed feelings about whether it was an occasion for celebration.	0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	one of those days	figurative	insertion-other	PRON VERB ADV ADP PROPN VERB NUM ADP DET ADJ NOUN ADV NOUN VERB ADV ADV ADP DET ADP DET PROPN PROPN ADJ VERB VERB ADJ NOUN ADP ADP PRON VERB DET NOUN ADP NOUN
After she had roared off, it was one of those days when I had the house to myself.	0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	one of those days	figurative	identical	ADP PRON VERB VERB PART PRON VERB NUM ADP DET NOUN ADV PRON VERB DET NOUN ADP PRON
