She opened her eyes and said emphatically, ‘ No good.	0 1 1 1 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN CCONJ VERB ADV PUNCT ADV ADJ
I opened my eyes and looked up at Mick's grinning face, leaning into the entrance to the trench.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN CCONJ VERB PART ADP PROPN NOUN NOUN VERB ADP DET NOUN ADP DET NOUN
I woke up yesterday morning, I couldn't open my eyes!	0 0 0 0 0 0 0 1 1 1	open someone's eyes	literal	possessive	PRON VERB PART NOUN NOUN PRON VERB VERB ADJ NOUN
The following morning, as he opened his eyes, Mungo heard voices outside his window.	0 0 0 0 0 1 1 1 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	DET ADJ NOUN ADP PRON VERB ADJ NOUN PROPN VERB NOUN ADP ADJ NOUN
He opened his eyes ; I held the light away.	0 1 1 1 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB ADJ NOUN PUNCT PRON VERB DET NOUN ADV
Accordingly, globalization is not only something that will concern and threaten us in the future, but something that is taking place in the present and to which we must first open our eyes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	open someone's eyes	figurative	possessive	ADV NOUN VERB ADV ADV NOUN ADJ VERB NOUN CCONJ VERB PRON ADP DET NOUN CCONJ NOUN ADJ VERB VERB NOUN ADP DET NOUN CCONJ PART ADJ PRON VERB ADV VERB ADJ NOUN
Half a mile away, in another bedroom, Mabel Judge opened her eyes to find her husband looming over her, silhouetted against the landing light.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	ADJ DET NOUN ADV ADP DET NOUN PROPN PROPN VERB ADJ NOUN PART VERB ADJ NOUN VERB ADP PRON ADJ ADP DET NOUN NOUN
I longed to see all that I could of Italy, and opened my eyes wide every fifteen minutes.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	open someone's eyes	literal	combined-inflection	PRON VERB PART VERB DET ADJ PRON VERB ADP PROPN CCONJ VERB ADJ NOUN ADJ DET NUM NOUN
Working in the WTN news room for the past four years had opened my eyes to how the media worked.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	open someone's eyes	figurative	combined-inflection	VERB ADP DET PROPN NOUN NOUN ADP DET ADJ NUM NOUN VERB VERB ADJ NOUN ADP ADV DET NOUN VERB
When she opened her eyes it was daylight.	0 0 1 1 1 0 0 0	open someone's eyes	literal	combined-inflection	ADV PRON VERB ADJ NOUN PRON VERB NOUN
Yes, I 'm all right,’ Tamar replied, opening her eyes and then veiling them with the black sweep of her lashes, but not before Tempy had seen the gleam of triumph in their topaz depths.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open someone's eyes	literal	combined-inflection	INTJ PRON VERB DET NOUN PROPN VERB VERB ADJ NOUN CCONJ ADV VERB PRON ADP DET ADJ NOUN ADP ADJ NOUN CCONJ ADV ADP PROPN VERB VERB DET NOUN ADP NOUN ADP ADJ NOUN NOUN
