The score that opened the floodgates came out of nothing after 62 minutes.	0 0 0 1 0 1 0 0 0 0 0 0 0	open the floodgates	figurative	inflection	DET NOUN ADJ VERB DET NOUN VERB ADP ADP NOUN ADP NUM NOUN
The discussion with trainees may reveal that they fear that they will open emotional floodgates for Sally since so many of her problems may not have immediate solutions.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	open the floodgates	figurative	determiner-broad	DET NOUN ADP NOUN VERB VERB ADP PRON VERB ADP PRON VERB VERB ADJ NOUN ADP PROPN ADP ADV ADJ ADP ADJ NOUN VERB ADV VERB ADJ NOUN
It opened the floodgates to a deluge of referrals, altered the whole balance of its work and confronted it with the enormity of ‘ need’ in terms of family poverty and homelessness.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open the floodgates	figurative	inflection	PRON VERB DET NOUN ADP DET NOUN ADP NOUN VERB DET ADJ NOUN ADP ADJ NOUN CCONJ VERB PRON ADP DET NOUN ADP PUNCT NOUN ADP NOUN ADP NOUN NOUN CCONJ NOUN
But Jane had always been close to her mother and, almost inevitably, there came an evening when Mrs Connachan inadvertently prised open the floodgates.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	open the floodgates	figurative	identical	CCONJ PROPN VERB ADV VERB ADJ ADP ADJ NOUN CCONJ ADV ADV ADV VERB DET NOUN ADV PROPN PROPN ADV VERB ADJ DET NOUN
The revised law opened the scoring floodgates.	0 0 0 1 0 0 1	open the floodgates	figurative	combined-inflection	DET ADJ NOUN VERB DET NOUN NOUN
Beginning with the publication of Lady Chatterley's Lover, she argues, the floodgates to total permissiveness were opened and a society in which ' the permissive intellectual's anything goes ' was created.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open the floodgates	figurative	misc	VERB ADP DET NOUN ADP PROPN PROPN PROPN PRON VERB DET NOUN PART VERB ADJ VERB VERB CCONJ DET NOUN ADP ADJ PUNCT DET ADJ NOUN NOUN VERB PUNCT VERB VERB
By forcing the man to admit hate for one tiny part of the system, Kirov opened the mental floodgates for doubts about the whole to pour in.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	open the floodgates	figurative	combined-inflection	ADP VERB DET NOUN PART VERB NOUN ADP NUM ADJ NOUN ADP DET NOUN PROPN VERB DET ADJ NOUN ADP NOUN ADP DET NOUN PART VERB PART
The case could open the floodgates for thousands of similar claims worldwide.	0 0 0 1 0 1 0 0 0 0 0 0	open the floodgates	figurative	identical	DET NOUN VERB VERB DET NOUN ADP NOUN ADP ADJ NOUN ADV
Test me in this,’ says the Lord Almighty, ‘ and see if I will not throw open the floodgates of heaven and pour out so much blessing that you will not have room enough for it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open the floodgates	figurative	identical	VERB PRON ADP NOUN VERB DET PROPN PROPN PUNCT CCONJ VERB ADP PRON VERB ADV VERB ADJ DET NOUN ADP PROPN CCONJ VERB PART ADV ADJ NOUN ADP PRON VERB ADV VERB NOUN ADV ADP PRON
Its authors say the motorway has opened the floodgates for development on a scale planners hadn't envisaged.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	open the floodgates	figurative	inflection	ADJ NOUN VERB DET NOUN VERB VERB DET NOUN ADP NOUN ADP DET NOUN NOUN VERB VERB
Bob Kimmins heaved open the floodgates and Mike Fielden, Hesketh with a second, Brendan Hanavan, Allan Wyllie and Charles Cusani allowed Lancashire to pour through unopposed.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	open the floodgates	figurative	identical	PROPN PROPN VERB VERB DET NOUN CCONJ PROPN PROPN PROPN ADP DET ADJ PROPN PROPN PROPN PROPN CCONJ PROPN PROPN VERB PROPN PART VERB ADP ADJ
