He stood outside the door and cried and then went and drank until he was out cold.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	out cold	figurative	identical	PRON VERB ADP DET NOUN CCONJ VERB CCONJ ADV VERB CCONJ VERB ADP PRON VERB ADV ADJ
Here, the flickering of the blaze showed preparations for a cosy dinner, with hot ~ plates baking through and through before the fire, and deep red curtains, ready to be drawn to shut out cold and darkness.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	out cold	literal	identical	ADV DET NOUN ADP DET NOUN VERB NOUN ADP DET NOUN NOUN ADP ADJ PUNCT NOUN VERB ADP CCONJ ADV ADP DET NOUN CCONJ ADJ ADJ NOUN ADJ PART VERB VERB PART VERB PART ADJ CCONJ NOUN
He was out cold, his body a dead weight on hers, his face buried in the tangled skeins of her long hair.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out cold	figurative	identical	PRON VERB ADV ADJ ADJ NOUN DET ADJ NOUN ADP PRON ADJ NOUN VERB ADP DET ADJ NOUN ADP ADJ ADJ NOUN
one of them saw the body and passed out cold.’	0 0 0 0 0 0 0 0 1 1	out cold	figurative	dashes	NUM ADP PRON VERB DET NOUN CCONJ VERB PART NOUN
It means some bastard not only laid me out cold, and stuck me face - down in the Comer, but even rammed me well down into the mud with a foot in the small of my back to make dead sure of me, before he lit out and left me there to drown.’	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out cold	figurative	identical	PRON VERB DET NOUN ADV ADV VERB PRON PART ADJ CCONJ VERB PRON NOUN PUNCT NOUN ADP DET PROPN CCONJ ADV VERB PRON ADV PART ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP ADJ NOUN PART VERB ADJ ADJ ADP PRON ADP PRON VERB PART CCONJ VERB PRON ADV ADP VERB
‘ I 've been knocked out cold.’	0 0 0 0 0 1 1	out cold	figurative	dashes	PUNCT PRON VERB VERB VERB PART NOUN
The seaman had been knocked out cold, helped considerably by the cider no doubt.	0 0 0 0 0 1 1 0 0 0 0 0 0 0	out cold	figurative	identical	DET NOUN VERB VERB VERB PART ADJ VERB ADV ADP DET NOUN DET NOUN
Is velvet with sleep, the hills are out cold.	0 0 0 0 0 0 0 1 1	out cold	figurative	identical	VERB NOUN ADP NOUN DET NOUN VERB ADV ADJ
He drove past the dark oiled surface of the Seine ; he saw a bateau - mouche pass, brilliant with lights, saw two lovers, entwined in each other's arms in the shadows ; saw a clochard out cold, slumped over the warmth of the vents from the Métro, a brown paper bag and a puddle of alcohol by his side.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out cold	figurative	identical	PRON VERB ADP DET ADJ VERB NOUN ADP DET PROPN PUNCT PRON VERB DET NOUN PUNCT NOUN NOUN ADJ ADP NOUN VERB NUM NOUN VERB ADP DET ADJ NOUN ADP DET NOUN PUNCT VERB DET NOUN PART ADJ VERB ADP DET NOUN ADP DET NOUN ADP DET PROPN DET ADJ NOUN NOUN CCONJ DET NOUN ADP NOUN ADP ADJ NOUN
With her lesbian lover out cold to the world she searched the houseboat.	0 0 0 0 1 1 0 0 0 0 0 0 0	out cold	figurative	identical	ADP ADJ NOUN NOUN PART ADV ADP DET NOUN PRON VERB DET NOUN
JAILED boxer Mike Tyson's ex - wife knocked a foulmouthed casanova out cold.	0 0 0 0 0 0 0 0 0 0 0 1 1	out cold	figurative	identical	NOUN NOUN PROPN PROPN NUM PUNCT NOUN VERB DET VERB NOUN PART ADJ
But instead of throwing a ‘ screen punch’, Beery, as was often his habit, threw a real punch and knocked Raft out cold.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	out cold	figurative	identical	CCONJ ADV ADP VERB DET ADJ NOUN NOUN NOUN ADP VERB ADV ADJ NOUN VERB DET ADJ NOUN CCONJ VERB PROPN PART ADJ
You were knocked out cold, and a head wound coupled with alcohol can be serious.’	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0	out cold	figurative	identical	PRON VERB VERB PART ADJ CCONJ DET NOUN VERB VERB ADP NOUN VERB VERB ADJ
‘ She's out cold!	0 0 1 1	out cold	figurative	identical	PUNCT PRON ADV ADJ
Out cold? '	1 1 0	out cold	figurative	case	ADV ADJ PUNCT
‘ Although when they first walked in and found you out cold on the floor, they thought you were one of the gang too!	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	out cold	figurative	identical	PUNCT ADP ADV PRON ADV VERB ADV CCONJ VERB PRON PART ADJ ADP DET NOUN PRON VERB PRON VERB NUM ADP DET NOUN ADV
