It 'll be out of order then though	0 0 0 1 1 1 0 0	out of order	figurative	identical	PRON VERB VERB ADP ADP NOUN ADV ADP
‘ Oliver,’ said Stu after a while, ‘ you 're way out of order.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	PUNCT NOUN VERB PROPN ADP DET NOUN PUNCT PRON VERB NOUN ADP ADP NOUN
Yeah I know, don't you think it's out of order right that we er that we erm cos he said it's only gon na be on Thursdays right and sometimes Tuesdays and it's every fucking week.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	INTJ PRON VERB VERB PRON VERB PRON ADP ADP NOUN INTJ ADP PRON INTJ ADP PRON ADV ADP PRON VERB PRON ADV VERB PART VERB ADP PROPN ADJ CCONJ ADV PROPN CCONJ PRON DET ADJ NOUN
It's out of order.	0 1 1 1	out of order	figurative	identical	PRON ADP ADP NOUN
that's what you call out of order in it?	0 0 0 0 1 1 1 0 0	out of order	figurative	identical	DET NOUN PRON VERB ADP ADP NOUN ADP PRON
The telephone is very often the only link these loyal citizens have with the outside world they can no longer walk in safety to the local telephone box to make their calls, and even if they could, when they get there it is out of order.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	out of order	figurative	identical	DET NOUN VERB ADV ADV DET ADJ VERB DET ADJ NOUN VERB ADP DET ADJ NOUN PRON VERB ADV ADV VERB ADP NOUN ADP DET ADJ NOUN NOUN PART VERB ADJ NOUN CCONJ ADV ADP PRON VERB ADV PRON VERB ADV PRON VERB ADP ADP NOUN
‘ Gone to report her phone out of order!’ suggested Iris.	0 0 0 0 0 0 1 1 1 0 0	out of order	figurative	dashes	PUNCT VERB PART VERB ADJ NOUN ADP ADP NOUN VERB PROPN
A target figure of 70 machine sets of components was set for delivery by 31 July 1942, out of a total order of 225 sets, later reduced to 160.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0	out of order	literal	insertion-other	DET NOUN NOUN ADP NUM NOUN NOUN ADP NOUN VERB VERB ADP NOUN ADP NUM PROPN NUM ADP ADP DET ADJ NOUN ADP NUM NOUN ADV VERB ADP NUM
erm fucking indoor murder ball, the seat, cushion and stuff like that, its fucking well out of order piss up games oh that's right I think we played in, I think we played, you know that British bull dog thing?, we managed to clear all the fucking the nappy chair this and the chairs out the way, we were playing this British bull dog sort of thing and the only thing, the only, the only difference was when you got caught, got, everybody was fucking giving you a few thumps in the arm, for good measure like, and we played about four of this and every time this cocky little son of a bitch didn't get caught, he was always the last person, so we fucking said, we said, me and this other guy's that are in our troop and that er, we said right we 'll get him, so when, when everybody sort of go for it right just after the one person in the middle, said fucking just get this guy and fucking pin him down and do something to him right, we didn't, I think we said we 'd just get him, yeah that's a good idea, so he's gone right go and his mate he's fucking took off two steps and there's eight of us fucking dived on top of him, what the fucking, he's struggling, get off you cunt so we pinned him down and at first we was just going to de - bag him in front of the women, we 've taken his boots off and his trousers and that and shave his bollocks, yeah the whole fucking yeah, it was like an audience, all that they sort of gathered up the chairs and the tables fuck have his bollocks shaved.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of order	figurative	identical	ADV VERB ADJ NOUN NOUN DET NOUN NOUN CCONJ NOUN ADP DET ADJ ADJ ADV ADP ADP NOUN VERB PART NOUN INTJ DET ADJ PRON VERB PRON VERB PART PRON VERB PRON VERB PRON VERB ADP ADJ NOUN NOUN NOUN PRON VERB PART VERB ADJ DET ADJ DET ADJ NOUN DET CCONJ DET NOUN PART DET NOUN PRON VERB VERB DET ADJ NOUN NOUN NOUN ADP NOUN CCONJ DET ADJ NOUN DET ADV DET ADJ NOUN VERB ADV PRON VERB VERB VERB NOUN VERB VERB VERB PRON DET ADJ NOUN ADP DET NOUN ADP ADJ NOUN INTJ CCONJ PRON VERB ADV NUM ADP DET CCONJ DET NOUN DET ADJ ADJ NOUN ADP DET NOUN VERB VERB VERB PRON VERB ADV DET ADJ NOUN ADV PRON VERB VERB PRON VERB PRON CCONJ DET ADJ NOUN ADJ VERB ADP ADJ NOUN CCONJ ADP INTJ PRON VERB INTJ PRON VERB VERB PRON ADV ADV ADV NOUN ADV ADV VERB ADP PRON ADV ADV ADP DET NUM NOUN ADP DET NOUN VERB INTJ ADV VERB DET NOUN CCONJ INTJ VERB PRON PART CCONJ VERB NOUN ADP PRON ADV PRON VERB PRON VERB PRON VERB PRON VERB ADV VERB PRON INTJ DET DET ADJ NOUN ADV PRON VERB ADV VERB CCONJ ADJ NOUN PRON ADJ VERB PART NUM NOUN CCONJ ADV NUM ADP PRON VERB VERB ADP NOUN ADP PRON NOUN DET ADJ PRON VERB VERB PART PRON VERB ADV PRON VERB PRON PART CCONJ ADP ADV PRON VERB ADV VERB ADP PROPN PUNCT NOUN PRON ADP NOUN ADP DET NOUN PRON VERB VERB ADJ NOUN PART CCONJ ADJ NOUN CCONJ DET CCONJ VERB ADJ NOUN INTJ DET ADJ INTJ INTJ PRON VERB ADP DET NOUN DET ADJ PRON ADV ADV VERB PART DET NOUN CCONJ DET NOUN ADJ VERB ADJ NOUN VERB
Osmond, you 're out of order you know.	0 0 0 1 1 1 0 0	out of order	figurative	identical	PROPN PRON VERB ADP ADP NOUN PRON VERB
that's out of order jelly like that	0 1 1 1 0 0 0	out of order	figurative	identical	DET ADP ADP NOUN ADV ADP DET
