Chambord not out of the woods	0 0 1 1 0 1	out of the woods	figurative	identical	PROPN ADV ADP ADP DET NOUN
Forest not out of the woods	0 0 1 1 0 1	out of the woods	figurative	identical	NOUN ADV ADP ADP DET NOUN
There was a place — he recalled it now — Burkett had pointed it out to him when they were fishing on Derwent Water — a sheer cliff coming suddenly out of woods and fronting the valley.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0	out of the woods	literal	deletion-determiner	ADV VERB DET NOUN PUNCT PRON VERB PRON ADV PUNCT PROPN VERB VERB PRON PART ADP PRON ADV PRON VERB VERB ADP PROPN PROPN PUNCT DET ADJ NOUN VERB ADV ADP ADP NOUN CCONJ VERB DET NOUN
With one final corkscrew twist the path came out of the woods, flattened out and meandered along the edge of a lush expanse of green lawn.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	out of the woods	literal	identical	ADP NUM ADJ NOUN VERB DET NOUN VERB ADP ADP DET NOUN VERB PART CCONJ VERB ADP DET NOUN ADP DET ADJ NOUN ADP ADJ NOUN
I also loved making gadgets out of wood, and my heart's desire was a chemistry set.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	out of the woods	literal	combined-inflection	PRON ADV VERB VERB NOUN ADP ADP NOUN CCONJ ADJ NOUN NOUN VERB DET NOUN VERB
Beds varied in their design and some were raised platforms made out of wood or stone.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	out of the woods	literal	combined-inflection	NOUN ADJ ADP ADJ NOUN CCONJ DET VERB VERB NOUN VERB ADP ADP NOUN CCONJ NOUN
They weren't out of the woods yet — far from it.	0 0 1 1 0 1 0 0 0 0 0	out of the woods	figurative	identical	PRON VERB ADP ADP DET NOUN ADV PUNCT ADV ADP PRON
But Mr Major and his Government are not yet out of the woods.	0 0 0 0 0 0 0 0 0 1 1 0 1	out of the woods	figurative	identical	CCONJ PROPN PROPN CCONJ ADJ PROPN VERB ADV ADV ADP ADP DET NOUN
Although the sum will make a considerable dent in Philips ' net debt, it doesn't get the company out of the woods altogether — total borrowings are $ 8,500 m.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0	out of the woods	figurative	identical	ADP DET NOUN VERB VERB DET ADJ NOUN ADP PROPN PART ADJ NOUN PRON VERB VERB DET NOUN ADP ADP DET NOUN ADV PUNCT ADJ NOUN VERB SYM NUM NOUN
Manager Harry McNally said : ‘ We are not out of the wood but we have been thrown a lifeline.	0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	out of the woods	figurative	inflection	PROPN PROPN PROPN VERB PUNCT PUNCT PRON VERB ADV ADP ADP DET NOUN CCONJ PRON VERB VERB VERB DET NOUN
He is back home with mother Christine now but she yesterday said : ‘ The medical advice is that he is not out of the woods yet.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0	out of the woods	figurative	identical	PRON VERB ADV ADV ADP NOUN PROPN ADV CCONJ PRON NOUN VERB PUNCT PUNCT DET ADJ NOUN VERB ADP PRON VERB ADV ADP ADP DET NOUN PROPN
