Scatter the cheese over the top.	0 0 0 1 0 1	over the top	literal	identical	VERB DET NOUN ADP DET NOUN	▁Sc atter ▁the ▁cheese ▁over ▁the ▁top .	0 0 0 0 1 0 1 1	VERB VERB DET NOUN ADP DET NOUN NOUN
I said that to him and he looked at me over the top of his glasses like that, cos he, in his office, he sits here, the door's there, he sits here and I, I, everybody else has had the door open, I went in and shut the door and I stood behind him, I didn't stand in front of him, stood behind him so, keep	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	PRON VERB ADP ADP PRON CCONJ PRON VERB ADP PRON ADP DET NOUN ADP ADJ NOUN ADP DET ADP PRON ADP ADJ NOUN PRON VERB ADV DET NOUN ADV PRON VERB ADV CCONJ PRON PRON NOUN ADV VERB VERB DET NOUN ADJ PRON VERB ADV CCONJ VERB DET NOUN CCONJ PRON VERB ADP PRON PRON VERB VERB ADP NOUN ADP PRON VERB ADP PRON ADV VERB	▁I ▁said ▁that ▁to ▁him ▁and ▁he ▁looked ▁at ▁me ▁over ▁the ▁top ▁of ▁his ▁glasses ▁like ▁that , ▁co s ▁he , ▁in ▁his ▁office , ▁he ▁sit s ▁here , ▁the ▁door ' s ▁there , ▁he ▁sit s ▁here ▁and ▁I , ▁I , ▁everybody ▁else ▁has ▁had ▁the ▁door ▁open , ▁I ▁went ▁in ▁and ▁shut ▁the ▁door ▁and ▁I ▁stood ▁behind ▁him , ▁I ▁did n ' t ▁stand ▁in ▁front ▁of ▁him , ▁stood ▁behind ▁him ▁so , ▁keep	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADP ADP PRON CCONJ PRON VERB ADP PRON ADP DET NOUN ADP ADJ NOUN ADP DET DET ADP ADP PRON PRON ADP ADJ NOUN NOUN PRON VERB VERB ADV ADV DET NOUN NOUN NOUN ADV ADV PRON VERB VERB ADV CCONJ PRON PRON PRON PRON NOUN ADV VERB VERB DET NOUN ADJ ADJ PRON VERB ADV CCONJ VERB DET NOUN CCONJ PRON VERB ADP PRON PRON PRON VERB VERB VERB VERB VERB ADP NOUN ADP PRON PRON VERB ADP PRON ADV ADV VERB
she went a bit over the top didn't she?	0 0 0 0 1 0 1 0 0	over the top	figurative	identical	PRON VERB DET NOUN ADP DET NOUN VERB PRON	▁she ▁went ▁a ▁bit ▁over ▁the ▁top ▁did n ' t ▁she ?	0 0 0 0 1 0 1 0 0 0 0 0 0	PRON VERB DET NOUN ADP DET NOUN VERB VERB VERB VERB PRON PRON
A spokesman for the local NRA said : ‘ Another downpour could send the rivers over the top.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	over the top	literal	dashes	DET NOUN ADP DET ADJ PROPN VERB PUNCT PUNCT DET NOUN VERB VERB DET NOUN ADP DET NOUN	▁A ▁spokesman ▁for ▁the ▁local ▁NRA ▁said ▁ : ▁ ‘ ▁Another ▁down p our ▁could ▁send ▁the ▁rivers ▁over ▁the ▁top . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	DET NOUN ADP DET ADJ PROPN VERB PUNCT PUNCT PUNCT PUNCT DET NOUN NOUN NOUN VERB VERB DET NOUN ADP DET NOUN NOUN NOUN
Her eyes slipped across and down to glimpse any words not covered by her fingers spread over the top page : ‘ hours’, ‘ be with you’, ‘ your name’, ‘ love’, ‘ last night’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	literal	identical	ADJ NOUN VERB ADP CCONJ ADV PART VERB DET NOUN ADV VERB ADP ADJ NOUN VERB ADP DET ADJ NOUN PUNCT PUNCT NOUN PUNCT VERB ADP PROPN PUNCT ADJ NOUN PUNCT NOUN PUNCT ADJ ADV	▁Her ▁eyes ▁slip ped ▁across ▁and ▁down ▁to ▁glim ps e ▁any ▁words ▁not ▁covered ▁by ▁her ▁fingers ▁spread ▁over ▁the ▁top ▁page ▁ : ▁ ‘ ▁hours ’ , ▁ ‘ ▁be ▁with ▁you ’ , ▁ ‘ ▁your ▁name ’ , ▁ ‘ ▁love ’ , ▁ ‘ ▁last ▁night ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB ADP CCONJ ADV PART VERB VERB VERB DET NOUN ADV VERB ADP ADJ NOUN VERB ADP DET ADJ NOUN PUNCT PUNCT PUNCT PUNCT NOUN NOUN NOUN PUNCT PUNCT VERB ADP PROPN PROPN PROPN PUNCT PUNCT ADJ NOUN NOUN NOUN PUNCT PUNCT NOUN NOUN NOUN PUNCT PUNCT ADJ ADV ADV ADV
Occasionally and inevitably they go over the top — but that's in the nature of risk.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	over the top	figurative	identical	ADV CCONJ ADV PRON VERB ADP DET NOUN PUNCT CCONJ DET ADP DET NOUN ADP NOUN	▁Occasional ly ▁and ▁inevitably ▁they ▁go ▁over ▁the ▁top ▁ — ▁but ▁that ' s ▁in ▁the ▁nature ▁of ▁risk .	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV CCONJ ADV PRON VERB ADP DET NOUN PUNCT PUNCT CCONJ DET DET DET ADP DET NOUN ADP NOUN NOUN
So what I 'm saying to you is, don't go in over the top, you know, five, just a normal but a firm handshake because a man would expect it because a weak ha ha handshake can be irritating and the same thing if she is a woman	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	over the top	figurative	identical	ADV NOUN PRON VERB VERB ADP PRON VERB VERB VERB ADV ADP DET NOUN PRON VERB NUM ADV DET ADJ CCONJ DET ADJ NOUN ADP DET NOUN VERB VERB PRON ADP DET ADJ INTJ INTJ NOUN VERB VERB VERB CCONJ DET ADJ NOUN ADP PRON VERB DET NOUN	▁So ▁what ▁I ▁' m ▁saying ▁to ▁you ▁is , ▁don ' t ▁go ▁in ▁over ▁the ▁top , ▁you ▁know , ▁five , ▁just ▁a ▁normal ▁but ▁a ▁firm ▁hand shak e ▁because ▁a ▁man ▁would ▁expect ▁it ▁because ▁a ▁weak ▁ha ▁ha ▁hand shak e ▁can ▁be ▁irrita ting ▁and ▁the ▁same ▁thing ▁if ▁she ▁is ▁a ▁woman	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV NOUN PRON VERB VERB VERB ADP PRON VERB VERB VERB VERB VERB VERB ADV ADP DET NOUN NOUN PRON VERB VERB NUM NUM ADV DET ADJ CCONJ DET ADJ NOUN NOUN NOUN ADP DET NOUN VERB VERB PRON ADP DET ADJ INTJ INTJ NOUN NOUN NOUN VERB VERB VERB VERB CCONJ DET ADJ NOUN ADP PRON VERB DET NOUN
It was right over the top of this seat look.	0 0 0 1 0 1 0 0 0 0	over the top	literal	identical	PRON VERB ADJ ADP DET NOUN ADP DET NOUN NOUN	▁It ▁was ▁right ▁over ▁the ▁top ▁of ▁this ▁seat ▁look .	0 0 0 1 0 1 0 0 0 0 0	PRON VERB ADJ ADP DET NOUN ADP DET NOUN NOUN NOUN
Water used to come over the top, and swelled it up and bust em!	0 0 0 0 1 0 1 0 0 0 0 0 0 0	over the top	literal	identical	NOUN VERB PART VERB ADP DET NOUN CCONJ VERB PRON PART CCONJ VERB PRON	▁Water ▁used ▁to ▁come ▁over ▁the ▁top , ▁and ▁s well ed ▁it ▁up ▁and ▁bus t ▁em !	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB PART VERB ADP DET NOUN NOUN CCONJ VERB VERB VERB PRON PART CCONJ VERB VERB PRON PRON
they speak out, they 're clear what they want, what they don't want mind you they go over the top a little bit	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	over the top	figurative	identical	PRON VERB PART PRON VERB ADJ NOUN PRON VERB NOUN PRON VERB VERB NOUN PRON PRON VERB ADP DET NOUN DET ADJ NOUN	▁they ▁speak ▁out , ▁they ▁' re ▁clear ▁what ▁they ▁want , ▁what ▁they ▁don ' t ▁want ▁mind ▁you ▁they ▁go ▁over ▁the ▁top ▁a ▁little ▁bit	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	PRON VERB PART PART PRON VERB VERB ADJ NOUN PRON VERB VERB NOUN PRON VERB VERB VERB VERB NOUN PRON PRON VERB ADP DET NOUN DET ADJ NOUN
The Quad X has six separate effects loops, which at first glance may seem a little over the top, but in reality is not such a bad idea.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	over the top	figurative	identical	DET PROPN NOUN VERB NUM ADJ NOUN NOUN ADJ ADP ADJ NOUN VERB VERB DET ADJ ADP DET NOUN CCONJ ADP NOUN VERB ADV ADJ DET ADJ NOUN	▁The ▁Qua d ▁X ▁has ▁six ▁separate ▁effects ▁loop s , ▁which ▁at ▁first ▁glance ▁may ▁seem ▁a ▁little ▁over ▁the ▁top , ▁but ▁in ▁reality ▁is ▁not ▁such ▁a ▁bad ▁idea .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN NOUN VERB NUM ADJ NOUN NOUN NOUN NOUN ADJ ADP ADJ NOUN VERB VERB DET ADJ ADP DET NOUN NOUN CCONJ ADP NOUN VERB ADV ADJ DET ADJ NOUN NOUN
