‘ All right, pick holes,’ he said sulkily.	0 0 0 1 1 0 0 0	pick holes	figurative	dashes	PUNCT ADV ADV VERB NOUN PRON VERB ADV
( a ) It's a great opportunity to pick holes in the way the class is conducted.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	pick holes	figurative	identical	PUNCT PUNCT PUNCT PRON DET ADJ NOUN PART VERB NOUN ADP DET NOUN DET NOUN VERB VERB
Any fanatical guitar collector or dealer would find a fair few things to pick holes in ( the excessive buckle - scratching on the back, the missing selector - switch surround, a semi - collapsed bridge causing severe buzzing on the middle strings, the advanced state of decay of the stop tailpiece, an unoriginal jack - plate and a number of modern screws ) but despite its flaws the whole guitar still just reeks of class and character.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick holes	figurative	identical	DET ADJ NOUN NOUN CCONJ NOUN VERB VERB DET ADJ ADJ NOUN PART VERB NOUN ADP PUNCT DET ADJ NOUN PUNCT NOUN ADP DET NOUN DET VERB NOUN PUNCT NOUN NOUN DET NOUN PUNCT VERB NOUN VERB ADJ NOUN ADP DET ADJ NOUN DET ADJ NOUN ADP NOUN ADP DET NOUN NOUN DET ADJ NOUN PUNCT NOUN CCONJ DET NOUN ADP ADJ NOUN PUNCT CCONJ ADP ADJ NOUN DET ADJ NOUN ADV ADV NOUN ADP NOUN CCONJ NOUN
To date, it's been reasonably simple to pick holes in their Heads - Down - Take - No - Nonsense - Mindless - Boogie, but here in New York they overcome both comparisons and critics, sending a tangible buzz round a capacity crowd, already reeling after each being given a free condom by a security man on the way in.	0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick holes	figurative	identical	ADP NOUN PRON VERB ADV ADJ PART VERB NOUN ADP ADJ NOUN PUNCT PROPN PUNCT VERB PUNCT NOUN PUNCT NOUN PUNCT PROPN PUNCT PROPN CCONJ ADV ADP PROPN PROPN PRON VERB DET NOUN CCONJ NOUN VERB DET ADJ NOUN ADP DET NOUN NOUN ADV VERB ADP DET VERB VERB DET ADJ NOUN ADP DET NOUN NOUN ADP DET NOUN ADV
Afterwards, the SAE would disclose his identity, then pick holes in the AE's sales techniques.	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	pick holes	figurative	identical	ADV DET NOUN VERB VERB ADJ NOUN ADV VERB NOUN ADP DET PROPN NOUN NOUN
I says you 're picking holes, you 're picking holes and I says I 'll tell you what, that declaration of intent is last year's declaration of intent.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick holes	figurative	inflection	PRON VERB PRON VERB VERB NOUN PRON VERB VERB NOUN CCONJ PRON VERB PRON VERB VERB PRON NOUN ADP NOUN ADP NOUN VERB ADJ NOUN NOUN ADP NOUN
‘ Don't you pick holes in my religion, Cleg Jones, being Catholic is better than being a Welsh heathen like you.’	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick holes	figurative	identical	PUNCT VERB PRON VERB NOUN ADP ADJ NOUN PROPN PROPN VERB PROPN VERB ADJ ADP VERB DET PROPN NOUN ADP NOUN
After all, we 're trying to pick holes in it.	0 0 0 0 0 0 1 1 0 0	pick holes	figurative	identical	ADV ADV PRON VERB VERB PART VERB NOUN ADP PRON
It is almost impossible to pick holes in the Essex claim to be the best county side especially for three and four - day cricket.	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick holes	figurative	identical	PRON VERB ADV ADJ PART VERB NOUN ADP DET PROPN NOUN PART VERB DET ADJ NOUN NOUN ADV ADP NUM CCONJ NUM PUNCT NOUN NOUN
Er he 'll, he's a good fighter and a good, a good, a good but there's certain points you can pick holes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	pick holes	figurative	identical	INTJ PRON VERB PRON DET ADJ NOUN CCONJ DET NOUN DET NOUN DET ADJ CCONJ ADV ADJ NOUN PRON VERB VERB NOUN
The following Saturday she agreed, at least, to go with him but then all she did was pick holes : ‘ Carpet's frayed,’ she said, after inspecting an apparently immaculate place in Muswell Hill ; ‘ Too far from the shops,’of a modern luxury development on the prestigious fringes of Hampstead Heath ; and of the one he 'd had real hopes for, a newly - converted maisonette over towards Crouch End —‘original features all been taken out.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pick holes	figurative	identical	DET VERB PROPN PRON VERB ADP ADJ PART VERB ADP PRON CCONJ ADV DET PRON VERB VERB VERB NOUN PUNCT PUNCT PROPN PROPN PRON VERB ADP VERB DET ADV ADJ NOUN ADP PROPN PROPN PUNCT PUNCT ADV ADV ADP DET PROPN DET ADJ NOUN NOUN ADP DET ADJ NOUN ADP PROPN PROPN PUNCT CCONJ ADP DET NOUN PRON VERB VERB ADJ NOUN ADP DET ADV PUNCT VERB NOUN ADV ADP PROPN PROPN ADJ NOUN DET VERB VERB PART
