He was only pulling your leg.	0 0 0 1 1 1	pull someone's leg	figurative	combined-inflection	PRON VERB ADV VERB ADJ NOUN
It is quite legal to go out into the countryside, find a hedgehog and pull off its legs one by one.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	pull someone's leg	literal	combined-inflection	PRON VERB ADV ADJ PART VERB PART ADP DET NOUN VERB DET ADJ CCONJ VERB PART ADJ NOUN NUM ADP NUM
‘ I 'll pull your legs.’	0 0 0 1 1 1	pull someone's leg	literal	combined-inflection	PUNCT PRON VERB VERB ADJ NOUN
Apparently David Sole uses his free arm to pull his opponent's legs from under him, thereby causing the scrum to collapse and invariably gaining a penalty.	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pull someone's leg	literal	combined-inflection	ADV PROPN PROPN VERB ADJ ADJ NOUN PART VERB ADJ NOUN NOUN ADP ADP PRON ADV VERB DET NOUN PART VERB CCONJ ADV VERB DET NOUN
For wisecrackers have been pulling their legs unmercifully ever since the sex and sangria saga hit the airwaves.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	pull someone's leg	figurative	combined-inflection	ADP NOUN VERB VERB VERB ADJ NOUN ADV ADV ADP DET NOUN CCONJ NOUN NOUN VERB DET NOUN
I was only pulling your leg’	0 0 0 1 1 1	pull someone's leg	figurative	combined-inflection	PRON VERB ADV VERB ADJ NOUN
In Darfur, janjaweed militia kidnapped a 12-year - old girl and gang - raped her for a week, pulling her legs so far apart that she was crippled for life.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	pull someone's leg	literal	combined-inflection	ADP PROPN NOUN NOUN VERB DET NUM PUNCT ADJ NOUN CCONJ NOUN PUNCT VERB PRON ADP DET NOUN VERB ADJ NOUN ADV ADV ADV ADP PRON VERB VERB ADP NOUN
Are you pulling my leg?	0 0 1 1 1	pull someone's leg	figurative	combined-inflection	VERB PRON VERB ADJ NOUN
Chatterton pulled their legs slightly and said they had better be careful not to get on the wrong side of you again and Glastonbury didn't know what the hell anyone was talking about.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	pull someone's leg	figurative	combined-inflection	PROPN VERB ADJ NOUN ADV CCONJ VERB PRON VERB ADJ VERB ADJ ADV PART VERB ADP DET ADJ NOUN ADP PRON ADV CCONJ PROPN VERB VERB NOUN DET NOUN NOUN VERB VERB ADP
‘ It's all right, Robbie, I was pulling your leg.	0 0 0 0 0 0 0 1 1 1	pull someone's leg	figurative	combined-inflection	PUNCT PRON ADV ADJ PROPN PRON VERB VERB ADJ NOUN
He did me first and, as usual, stepped over my mattress to Brian, who suddenly snarled, ‘ Don't you pull my leg, I 'm not an animal.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	pull someone's leg	figurative	possessive	PRON VERB PRON ADV CCONJ ADP ADJ VERB ADP ADJ NOUN ADP PROPN NOUN ADV VERB PUNCT VERB PRON VERB ADJ NOUN PRON VERB ADV DET NOUN
She described the Americans on the moon, satellites and space travel, and his eyes widened with delighted wonder, like a child's, as he said : ‘ You 're pulling my leg.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	pull someone's leg	figurative	combined-inflection	PRON VERB DET PROPN ADP DET NOUN NOUN CCONJ NOUN NOUN CCONJ ADJ NOUN VERB ADP ADJ NOUN ADP DET NOUN ADP PRON VERB PUNCT PUNCT PRON VERB VERB ADJ NOUN
‘ Now I know you 're pulling my leg!’ exclaimed Gloria.	0 0 0 0 0 0 1 1 1 0 0	pull someone's leg	figurative	combined-inflection	PUNCT ADV PRON VERB PRON VERB VERB ADJ PROPN VERB PROPN
‘ You 're pulling my leg!’	0 0 0 1 1 1	pull someone's leg	figurative	combined-inflection	PUNCT PRON VERB VERB ADJ NOUN
I tried to get him to return my smile, to confess that he had been pulling my leg ; but his brooding face was drained of humour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	pull someone's leg	figurative	combined-inflection	PRON VERB PART VERB PRON PART VERB ADJ NOUN PART VERB ADP PRON VERB VERB VERB ADJ NOUN PUNCT CCONJ ADJ VERB NOUN VERB VERB ADP NOUN
