So that put the damper on gigs for a bit.	0 0 1 0 1 1 0 0 0 0	put a damper on	figurative	inflection	ADV DET VERB DET NOUN ADP NOUN ADP DET NOUN
’ Anyroad, ' er and oor George is over t'moon, so don't put a damper on.’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	put a damper on	figurative	dashes	PUNCT PROPN PUNCT INTJ CCONJ ADJ PROPN VERB ADP NOUN ADV VERB VERB DET NOUN NOUN
She 'd put the damper on anybody. '	0 0 1 0 1 1 0 0	put a damper on	figurative	inflection	PRON VERB VERB DET NOUN ADP NOUN PUNCT
Torrential rain put a damper on the event, sending bedraggled guests squelching across lawns to seek shelter.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	put a damper on	figurative	identical	ADJ NOUN VERB DET NOUN ADP DET NOUN VERB VERB NOUN VERB ADP NOUN PART VERB NOUN
The uncertainty caused by this atmosphere put a damper on further developments of public transport in London, as those desiring to make improvements felt that the fruits of their endeavours would pass to others.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put a damper on	figurative	identical	DET NOUN VERB ADP DET NOUN VERB DET NOUN ADP ADJ NOUN ADP ADJ NOUN ADP PROPN ADP DET VERB PART VERB NOUN VERB ADP DET NOUN ADP ADJ NOUN VERB VERB ADP NOUN
I don't want to put a damper on your ambitions, but this species is very difficult to sex, and it may be more accurate to say you have two fish rather than a pair.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put a damper on	figurative	identical	PRON VERB VERB PART VERB DET NOUN ADP ADJ NOUN CCONJ DET NOUN VERB ADV ADJ ADP NOUN CCONJ PRON VERB VERB ADV ADJ PART VERB PRON VERB NUM NOUN ADV ADP DET NOUN
His tone was censorious, putting an instant damper on the moment.	0 0 0 0 1 0 0 1 1 0 0	put a damper on	figurative	combined-inflection	ADJ NOUN VERB ADJ VERB DET ADJ NOUN ADP DET NOUN
It really put a damper on the whole house and straight away cheered us up and got rid of the edginess we were all feeling.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put a damper on	figurative	identical	PRON ADV VERB DET NOUN ADP DET ADJ NOUN CCONJ ADV ADV VERB PRON PART CCONJ VERB VERB ADP DET NOUN PRON VERB DET NOUN
However, if you are with a group and everyone is laughing, it might put a damper on things if you remained tight - lipped and poker - faced.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	put a damper on	figurative	identical	ADV ADP PRON VERB ADP DET NOUN CCONJ NOUN VERB VERB PRON VERB VERB DET NOUN ADP NOUN ADP PRON VERB ADJ PUNCT ADJ CCONJ NOUN PUNCT VERB
Pound puts damper on inflation cheer	0 1 1 1 0 0	put a damper on	figurative	combined-inflection	NOUN VERB NOUN ADP NOUN NOUN
Widely known for his anti - Maastricht politics, Fillon says that he wants to avoid ‘ getting bogged down at the EC level … whose cumbersome procedures put a damper on the research community’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0	put a damper on	figurative	identical	ADV VERB ADP ADJ ADV PUNCT PROPN NOUN PROPN VERB ADP PRON VERB PART VERB PRON VERB VERB PART ADP DET PROPN NOUN PUNCT ADJ ADJ NOUN VERB DET NOUN ADP DET NOUN NOUN
