Cuts and capping have sadly put paid to that.	0 0 0 0 0 1 1 1 0	put paid to	figurative	identical	NOUN CCONJ NOUN VERB ADV VERB VERB ADP DET	▁Cut s ▁and ▁c apping ▁have ▁sadly ▁put ▁paid ▁to ▁that .	0 0 0 0 0 0 0 1 1 1 0 0	NOUN NOUN CCONJ NOUN NOUN VERB ADV VERB VERB ADP DET DET
And here's hoping we put paid to Fedorov too.’	0 0 0 0 1 1 1 0 0	put paid to	figurative	identical	CCONJ ADV VERB PRON VERB VERB ADP PROPN NOUN	▁And ▁here ' s ▁hoping ▁we ▁put ▁paid ▁to ▁Fe do rov ▁too . ’	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	CCONJ ADV ADV ADV VERB PRON VERB VERB ADP PROPN PROPN PROPN NOUN NOUN NOUN
My arrival put paid to her travels — at least for the first couple of years.’	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	ADJ NOUN VERB VERB ADP ADJ NOUN PUNCT ADP ADJ ADP DET ADJ NOUN ADP NOUN	▁My ▁arrival ▁put ▁paid ▁to ▁her ▁travel s ▁ — ▁at ▁least ▁for ▁the ▁first ▁couple ▁of ▁years . ’	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB ADP ADJ NOUN NOUN PUNCT PUNCT ADP ADJ ADP DET ADJ NOUN ADP NOUN NOUN NOUN
To throw ourselves into those turbulent waters and then be unable to regain the punt would have put paid to any hope of rescuing Dennis.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	put paid to	figurative	identical	PART VERB PRON ADP DET ADJ NOUN CCONJ ADV VERB ADJ PART VERB DET NOUN VERB VERB VERB VERB ADP DET NOUN ADP VERB PROPN	▁To ▁throw ▁ourselves ▁into ▁those ▁ tur bul ent ▁waters ▁and ▁then ▁be ▁unable ▁to ▁regain ▁the ▁p unt ▁would ▁have ▁put ▁paid ▁to ▁any ▁hope ▁of ▁rescuing ▁Den nis .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	PART VERB PRON ADP DET ADJ ADJ ADJ ADJ NOUN CCONJ ADV VERB ADJ PART VERB DET NOUN NOUN VERB VERB VERB VERB ADP DET NOUN ADP VERB PROPN PROPN PROPN
The Yom Kippur War, and the oil crisis put paid to that as western governments tried to buy their way out of recession by borrowing heavily.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	DET PROPN PROPN PROPN CCONJ DET NOUN NOUN VERB VERB ADP DET ADP ADJ NOUN VERB PART VERB ADJ NOUN ADP ADP NOUN ADP VERB ADV	▁The ▁Y om ▁K ip pur ▁War , ▁and ▁the ▁oil ▁crisis ▁put ▁paid ▁to ▁that ▁as ▁ western ▁governments ▁tried ▁to ▁buy ▁their ▁way ▁out ▁of ▁recession ▁by ▁borrowing ▁heavily .	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN CCONJ DET NOUN NOUN VERB VERB ADP DET ADP ADJ ADJ NOUN VERB PART VERB ADJ NOUN ADP ADP NOUN ADP VERB ADV ADV
The decision, regarded as inevitable due to the activities of Loop offshoots The Hair And Skin Trading Company and Main, puts paid to speculation that the band would reunite for a US tour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	inflection	DET NOUN VERB ADP ADJ ADP ADP DET NOUN ADP PROPN NOUN DET PROPN CCONJ NOUN PROPN PROPN CCONJ PROPN VERB VERB ADP NOUN ADP DET NOUN VERB VERB ADP DET PROPN NOUN	▁The ▁decision , ▁regarded ▁as ▁inevitable ▁due ▁to ▁the ▁activities ▁of ▁Lo op ▁off s ho ots ▁The ▁Hair ▁And ▁Skin ▁Trading ▁Company ▁and ▁Main , ▁puts ▁paid ▁to ▁speculation ▁that ▁the ▁band ▁would ▁re unit e ▁for ▁a ▁US ▁to ur .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN VERB ADP ADJ ADP ADP DET NOUN ADP PROPN PROPN NOUN NOUN NOUN NOUN DET PROPN CCONJ NOUN PROPN PROPN CCONJ PROPN PROPN VERB VERB ADP NOUN ADP DET NOUN VERB VERB VERB VERB ADP DET PROPN NOUN NOUN NOUN
Certainly, the multi - studio techniques used for the famous 1959 Decca Aida were meat and drink to Karajan ; and although he sometimes thought he knew more than he did, occasionally putting paid to expensive equipment, his mastery was of an order not previously seen in a working musician.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	inflection	ADV DET ADJ PUNCT NOUN NOUN VERB ADP DET ADJ NUM PROPN PROPN VERB NOUN CCONJ VERB ADP PROPN PUNCT CCONJ ADP PRON ADV VERB PRON VERB ADV ADP PRON VERB ADV VERB VERB ADP ADJ NOUN ADJ NOUN VERB ADP DET NOUN ADV ADV VERB ADP DET VERB NOUN	▁Certainly , ▁the ▁multi ▁- ▁studio ▁techniques ▁used ▁for ▁the ▁famous ▁1959 ▁Dec ca ▁Aid a ▁were ▁meat ▁and ▁drink ▁to ▁Kar a jan ▁ ; ▁and ▁although ▁he ▁sometimes ▁thought ▁he ▁knew ▁more ▁than ▁he ▁did , ▁occasionally ▁putting ▁paid ▁to ▁expensive ▁equipment , ▁his ▁master y ▁was ▁of ▁an ▁order ▁not ▁previously ▁seen ▁in ▁a ▁working ▁music ian .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV DET ADJ PUNCT NOUN NOUN VERB ADP DET ADJ NUM PROPN PROPN PROPN PROPN VERB NOUN CCONJ VERB ADP PROPN PROPN PROPN PUNCT PUNCT CCONJ ADP PRON ADV VERB PRON VERB ADV ADP PRON VERB VERB ADV VERB VERB ADP ADJ NOUN NOUN ADJ NOUN NOUN VERB ADP DET NOUN ADV ADV VERB ADP DET VERB NOUN NOUN NOUN
The shock of finding out, when I finally persuaded a partner to play with me, that I was colour - blind, put paid to my dreams of a misspent youth.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	put paid to	figurative	identical	DET NOUN ADP VERB PART ADV PRON ADV VERB DET NOUN PART VERB ADP PRON ADP PRON VERB NOUN PUNCT ADJ VERB VERB ADP ADJ NOUN ADP DET NOUN NOUN	▁The ▁shock ▁of ▁finding ▁out , ▁when ▁I ▁finally ▁persuaded ▁a ▁partner ▁to ▁play ▁with ▁me , ▁that ▁I ▁was ▁colour ▁- ▁blind , ▁put ▁paid ▁to ▁my ▁dreams ▁of ▁a ▁miss pent ▁youth .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	DET NOUN ADP VERB PART PART ADV PRON ADV VERB DET NOUN PART VERB ADP PRON PRON ADP PRON VERB NOUN PUNCT ADJ ADJ VERB VERB ADP ADJ NOUN ADP DET NOUN NOUN NOUN NOUN
Opposition parties claimed that government's plans were intended to put paid to the current social welfare state, and convert the lot to capitalism.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	NOUN NOUN VERB ADP NOUN NOUN VERB VERB PART VERB VERB ADP DET ADJ ADJ NOUN NOUN CCONJ VERB DET NOUN ADP NOUN	▁Opposition ▁parties ▁claimed ▁that ▁government ' s ▁plans ▁were ▁intended ▁to ▁put ▁paid ▁to ▁the ▁current ▁social ▁welfare ▁state , ▁and ▁convert ▁the ▁lot ▁to ▁capital ism .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN NOUN VERB ADP NOUN NOUN NOUN NOUN VERB VERB PART VERB VERB ADP DET ADJ ADJ NOUN NOUN NOUN CCONJ VERB DET NOUN ADP NOUN NOUN NOUN
Putting paid to Daisy's hour of peace were also hoards of children clambering over pews, chasing each other down the aisles, punching their mothers, and having to be repeatedly hushed for talking.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	combined-inflection	VERB VERB ADP PROPN NOUN ADP NOUN VERB ADV NOUN ADP NOUN VERB ADP NOUN VERB DET ADJ ADP DET NOUN VERB ADJ NOUN CCONJ VERB PART VERB ADV VERB ADP VERB	▁Put ting ▁paid ▁to ▁Da is y ' s ▁hour ▁of ▁peace ▁were ▁also ▁ho ards ▁of ▁children ▁clam ber ing ▁over ▁p ew s , ▁cha s ing ▁each ▁other ▁down ▁the ▁a is les , ▁punch ing ▁their ▁mothers , ▁and ▁having ▁to ▁be ▁repeatedly ▁hu shed ▁for ▁talking .	1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB VERB ADP PROPN PROPN PROPN PROPN PROPN NOUN ADP NOUN VERB ADV NOUN NOUN ADP NOUN VERB VERB VERB ADP NOUN NOUN NOUN NOUN VERB VERB VERB DET ADJ ADP DET NOUN NOUN NOUN NOUN VERB VERB ADJ NOUN NOUN CCONJ VERB PART VERB ADV VERB VERB ADP VERB VERB
1940 had put paid to all that when, to echo a slogan, Britain and her Commonwealth stood alone, and the post - war cultural world was in little doubt that British was best.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	put paid to	figurative	identical	NUM VERB VERB VERB ADP ADJ DET ADV PART VERB DET NOUN PROPN CCONJ ADJ PROPN VERB ADJ CCONJ DET NOUN PUNCT NOUN ADJ NOUN VERB ADP ADJ NOUN ADP PROPN VERB ADJ	▁19 40 ▁had ▁put ▁paid ▁to ▁all ▁that ▁when , ▁to ▁echo ▁a ▁s logan , ▁Britain ▁and ▁her ▁Common wealth ▁stood ▁alone , ▁and ▁the ▁post ▁- ▁war ▁cultural ▁world ▁was ▁in ▁little ▁doubt ▁that ▁British ▁was ▁best .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	NUM NUM VERB VERB VERB ADP ADJ DET ADV ADV PART VERB DET NOUN NOUN NOUN PROPN CCONJ ADJ PROPN PROPN VERB ADJ ADJ CCONJ DET NOUN PUNCT NOUN ADJ NOUN VERB ADP ADJ NOUN ADP PROPN VERB ADJ ADJ
