‘ I never raised hell, amigo,’ he once told me.	0 0 0 1 1 0 0 0 0 0	raise hell	figurative	inflection	PUNCT PRON ADV VERB NOUN PROPN PRON ADV VERB PRON
I 'd go to the cottage and raise hell.’	0 0 0 0 0 0 0 1 1	raise hell	figurative	dashes	PRON VERB VERB ADP DET NOUN CCONJ VERB NOUN
While Brando and Dean were rebelling, and people like Peter Finch and Lee Marvin were raising hell, there was another, more exclusive, fraternity of Hollywood Rogues into which membership was purely by invitation.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	raise hell	figurative	inflection	ADP PROPN CCONJ PROPN VERB VERB CCONJ NOUN ADP PROPN PROPN CCONJ PROPN PROPN VERB VERB NOUN ADV VERB DET ADV ADJ NOUN ADP PROPN PROPN ADP ADJ NOUN VERB ADV ADP NOUN
All they had to do was live life through an alcoholic haze and generally raise hell — hence the term ‘ Hellraiser’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	raise hell	figurative	identical	DET PRON VERB PART VERB VERB VERB NOUN ADP DET ADJ NOUN CCONJ ADV VERB NOUN PUNCT ADV DET NOUN ADJ NOUN
Why didn't we start raising hell straight away after Maastricht?	0 0 0 0 1 1 0 0 0 0	raise hell	figurative	inflection	ADV VERB PRON VERB VERB NOUN ADV ADV ADP PROPN
For him raising hell meant having a wonderful time.	0 0 1 1 0 0 0 0 0	raise hell	figurative	inflection	ADP PRON VERB NOUN VERB VERB DET ADJ NOUN
The press may have labelled them all Brats, but not all of them had any great desire to raise hell and make headlines.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0	raise hell	figurative	identical	DET NOUN VERB VERB VERB PRON DET PROPN CCONJ ADV DET ADP PRON VERB DET ADJ NOUN PART VERB NOUN CCONJ VERB NOUN
Sadly, mass closures and redundancies have become commonplace, it's no longer hitting the headlines, just a few small columns in the paper, so I ask you delegates, go back to your branches, raise the issue not just about coal but about all unemployment, chase up the media, write to your M P, especially the Tories, support the rallies and maybe a petition from this conference could be organized, but I say raise hell, give them no peace, one job loss is one too many and we ain't gon na accept redundancy in any of our sections without a bloody good fight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	raise hell	figurative	identical	ADV ADJ NOUN CCONJ NOUN VERB VERB ADJ PRON ADV ADV VERB DET NOUN ADV DET ADJ ADJ NOUN ADP DET NOUN CCONJ PRON VERB PRON NOUN VERB ADV ADP ADJ NOUN VERB DET NOUN ADV ADV ADP NOUN CCONJ ADP DET NOUN VERB PART DET NOUN VERB ADP ADJ PROPN PROPN ADV DET PROPN VERB DET NOUN CCONJ ADV DET NOUN ADP DET NOUN VERB VERB VERB CCONJ PRON VERB VERB NOUN VERB PRON DET NOUN NUM NOUN NOUN VERB NUM ADV ADJ CCONJ PRON VERB VERB PART VERB NOUN ADP DET ADP ADJ NOUN ADP DET ADJ ADJ NOUN
Maurice is raising hell — spoliation of the countryside, damage to the rural environment, forcible eviction of rabbits you name it.’	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	raise hell	figurative	inflection	PROPN VERB VERB NOUN PUNCT NOUN ADP DET NOUN NOUN ADP DET ADJ NOUN ADJ NOUN ADP NOUN PRON VERB NOUN
But if anybody crossed him, or if he thought the embassy establishment was trying to put him down, he 'd stand on his desk and raise hell.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	raise hell	figurative	identical	CCONJ ADP NOUN VERB PRON CCONJ ADP PRON VERB DET NOUN NOUN VERB VERB PART VERB PRON PART PRON VERB VERB ADP ADJ NOUN CCONJ VERB NOUN
Led by Teenage Mutant Hero Biker dude Alex Mitchell, Circus Of Power are well into the concept or raising hell.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	raise hell	figurative	inflection	VERB ADP PROPN PROPN PROPN PROPN NOUN PROPN PROPN PROPN ADP PROPN VERB ADV ADP DET NOUN CCONJ VERB NOUN
The babies are no better when they leave, patiently raising hell all the way to the door.	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0	raise hell	figurative	inflection	DET NOUN VERB ADV ADJ ADV PRON VERB ADV VERB NOUN ADJ DET NOUN ADP DET NOUN
