Well I can run three miles.	0 0 0 1 0 1	run a mile	literal	determiner-broad	INTJ PRON VERB VERB NUM NOUN	▁Well ▁I ▁can ▁run ▁three ▁miles .	0 0 0 1 0 1 1	INTJ PRON VERB VERB NUM NOUN NOUN
‘ If you ran a mile race, you would go off fairly quickly then settle at an even pace before building up towards the end.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	run a mile	literal	inflection	PUNCT ADP PRON VERB DET NOUN NOUN PRON VERB VERB PART ADV ADV ADV VERB ADP DET ADJ NOUN ADP VERB PART ADP DET NOUN	▁ ‘ ▁If ▁you ▁ran ▁a ▁ mile ▁race , ▁you ▁would ▁go ▁off ▁fairly ▁quickly ▁then ▁settle ▁at ▁an ▁even ▁pace ▁before ▁building ▁up ▁towards ▁the ▁end .	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADP PRON VERB DET NOUN NOUN NOUN NOUN PRON VERB VERB PART ADV ADV ADV VERB ADP DET ADJ NOUN ADP VERB PART ADP DET NOUN NOUN
Meanwhile back on the ward, Doctor Beri's bleep goes again … this time it's a call to casualty … and the weary house physician has to run half a mile from one end of the building to the other … along the new corridor linking the old part of the hospital with the new. By the end of the morning, he's covered six miles … one day recently he covered eighteen miles :	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	run a mile	literal	insertion-other	ADV ADV ADP DET NOUN PROPN PROPN NOUN VERB ADV PUNCT DET NOUN PRON DET NOUN ADP NOUN PUNCT CCONJ DET ADJ NOUN NOUN VERB PART VERB ADJ DET NOUN ADP NUM NOUN ADP DET NOUN ADP DET ADJ PUNCT ADP DET ADJ NOUN VERB DET ADJ NOUN ADP DET NOUN ADP DET ADJ ADP DET NOUN ADP DET NOUN PRON VERB NUM NOUN PUNCT NUM NOUN ADV PRON VERB NUM NOUN PUNCT	▁Meanwhile ▁back ▁on ▁the ▁ward , ▁Doctor ▁B eri ' s ▁ble ep ▁goes ▁again ▁... ▁this ▁time ▁it ' s ▁a ▁call ▁to ▁casualty ▁... ▁and ▁the ▁we ary ▁house ▁physician ▁has ▁to ▁run ▁half ▁a ▁ mile ▁from ▁one ▁end ▁of ▁the ▁building ▁to ▁the ▁other ▁... ▁along ▁the ▁new ▁corridor ▁link ing ▁the ▁old ▁part ▁of ▁the ▁hospital ▁with ▁the ▁new . ▁By ▁the ▁end ▁of ▁the ▁morning , ▁he ' s ▁covered ▁six ▁miles ▁... ▁one ▁day ▁recently ▁he ▁covered ▁eighteen ▁miles ▁ :	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADP DET NOUN NOUN PROPN PROPN PROPN PROPN PROPN NOUN NOUN VERB ADV PUNCT DET NOUN PRON PRON PRON DET NOUN ADP NOUN PUNCT CCONJ DET ADJ ADJ NOUN NOUN VERB PART VERB ADJ DET NOUN NOUN ADP NUM NOUN ADP DET NOUN ADP DET ADJ PUNCT ADP DET ADJ NOUN VERB VERB DET ADJ NOUN ADP DET NOUN ADP DET ADJ ADJ ADP DET NOUN ADP DET NOUN NOUN PRON PRON PRON VERB NUM NOUN PUNCT NUM NOUN ADV PRON VERB NUM NOUN PUNCT PUNCT
You run eight miles?	0 1 0 1	run a mile	literal	determiner-broad	PRON VERB NUM NOUN	▁You ▁run ▁eight ▁miles ?	0 1 0 1 1	PRON VERB NUM NOUN NOUN
‘ Well, I 'd still like to get married, but if someone actually proposed to me I 'd probably run a mile from that as well.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	run a mile	figurative	identical	PUNCT INTJ PRON VERB ADV VERB PART VERB VERB CCONJ ADP NOUN ADV VERB ADP PRON PRON VERB ADV VERB DET NOUN ADP DET ADP PROPN	▁ ‘ ▁Well , ▁I ▁' d ▁still ▁like ▁to ▁get ▁married , ▁but ▁if ▁someone ▁actually ▁proposed ▁to ▁me ▁I ▁' d ▁probably ▁run ▁a ▁ mile ▁from ▁that ▁as ▁well . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0	PUNCT PUNCT INTJ INTJ PRON VERB VERB ADV VERB PART VERB VERB VERB CCONJ ADP NOUN ADV VERB ADP PRON PRON VERB VERB ADV VERB DET NOUN NOUN ADP DET ADP PROPN PROPN PROPN
Although he was the first to use motor transport on an extensive scale in Lewis — many a time as a youngster I ran a mile to see his fleet of yellow Fords — he failed to see that the advent of the bus made it possible for the crofter to live in the country and work in the town.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	run a mile	literal	inflection	ADP PRON VERB DET ADJ PART VERB NOUN NOUN ADP DET ADJ NOUN ADP PROPN PUNCT ADJ DET NOUN ADP DET NOUN PRON VERB DET NOUN PART VERB ADJ NOUN ADP ADJ PROPN PUNCT PRON VERB PART VERB ADP DET NOUN ADP DET NOUN VERB PRON ADJ ADP DET NOUN PART VERB ADP DET NOUN CCONJ NOUN ADP DET NOUN	▁Although ▁he ▁was ▁the ▁first ▁to ▁use ▁motor ▁transport ▁on ▁an ▁extensive ▁scale ▁in ▁Le wi s ▁ — ▁many ▁a ▁time ▁as ▁a ▁young ster ▁I ▁ran ▁a ▁ mile ▁to ▁see ▁his ▁fleet ▁of ▁yellow ▁Ford s ▁ — ▁he ▁failed ▁to ▁see ▁that ▁the ▁advent ▁of ▁the ▁bus ▁made ▁it ▁possible ▁for ▁the ▁cr of ter ▁to ▁live ▁in ▁the ▁country ▁and ▁work ▁in ▁the ▁town .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP PRON VERB DET ADJ PART VERB NOUN NOUN ADP DET ADJ NOUN ADP PROPN PROPN PROPN PUNCT PUNCT ADJ DET NOUN ADP DET NOUN NOUN PRON VERB DET NOUN NOUN PART VERB ADJ NOUN ADP ADJ PROPN PROPN PUNCT PUNCT PRON VERB PART VERB ADP DET NOUN ADP DET NOUN VERB PRON ADJ ADP DET NOUN NOUN NOUN PART VERB ADP DET NOUN CCONJ NOUN ADP DET NOUN NOUN
I then did a physical which they made me run a mile and a half, did press ups, sit ups, which I passed.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	run a mile	literal	identical	PRON ADV VERB DET ADJ ADJ PRON VERB PRON VERB DET NOUN CCONJ DET NOUN VERB NOUN NOUN VERB NOUN ADJ PRON VERB	▁I ▁then ▁did ▁a ▁physical ▁which ▁they ▁made ▁me ▁run ▁a ▁ mile ▁and ▁a ▁half , ▁did ▁press ▁up s , ▁sit ▁up s , ▁which ▁I ▁passed .	0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB DET ADJ ADJ PRON VERB PRON VERB DET NOUN NOUN CCONJ DET NOUN NOUN VERB NOUN NOUN NOUN NOUN VERB NOUN NOUN NOUN ADJ PRON VERB VERB
' I was running just 20 miles a week in my build up for the race.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	run a mile	literal	combined-inflection	PUNCT PRON VERB VERB ADV NUM NOUN DET NOUN ADP ADJ NOUN PART ADP DET NOUN	▁' ▁I ▁was ▁running ▁just ▁20 ▁miles ▁a ▁week ▁in ▁my ▁build ▁up ▁for ▁the ▁race .	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0	PUNCT PRON VERB VERB ADV NUM NOUN DET NOUN ADP ADJ NOUN PART ADP DET NOUN NOUN
By the time they 'd put a medal round my neck in Central Park and we could visualise the noughts on the cheque to present to Oxford Street, Mill Road and Fazakerley Hospital's Newborn Appeal, 25,000 runners had learned a lot more about how painful running 26 miles can be.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	run a mile	literal	combined-inflection	ADP DET NOUN PRON VERB VERB DET ADJ ADP ADJ NOUN ADP PROPN PROPN CCONJ PRON VERB VERB DET NOUN ADP DET NOUN ADP NOUN ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN NUM NOUN VERB VERB DET NOUN ADJ ADP ADV ADJ VERB NUM NOUN VERB VERB	▁By ▁the ▁time ▁they ▁' d ▁put ▁a ▁med al ▁round ▁my ▁neck ▁in ▁Central ▁Park ▁and ▁we ▁could ▁visual ise ▁the ▁no ught s ▁on ▁the ▁cheque ▁to ▁present ▁to ▁Oxford ▁Street , ▁Mill ▁Road ▁and ▁F aza ker ley ▁Hospital ' s ▁New born ▁Appeal , ▁2 5,000 ▁run ners ▁had ▁learned ▁a ▁lot ▁more ▁about ▁how ▁painful ▁running ▁26 ▁miles ▁can ▁be .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	ADP DET NOUN PRON VERB VERB VERB DET ADJ ADJ ADP ADJ NOUN ADP PROPN PROPN CCONJ PRON VERB VERB VERB DET NOUN NOUN NOUN ADP DET NOUN ADP NOUN ADP PROPN PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NUM NUM NOUN NOUN VERB VERB DET NOUN ADJ ADP ADV ADJ VERB NUM NOUN VERB VERB VERB
Wallace then withdrew from the contest after running 51 7 miles in 7 7 hours.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	run a mile	literal	combined-inflection	PROPN ADV VERB ADP DET NOUN ADP VERB NUM NUM NOUN ADP NUM NUM NOUN	▁Wall ace ▁then ▁withdrew ▁from ▁the ▁contest ▁after ▁running ▁51 ▁7 ▁miles ▁in ▁7 ▁7 ▁hours .	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	PROPN PROPN ADV VERB ADP DET NOUN ADP VERB NUM NUM NOUN ADP NUM NUM NOUN NOUN
There is said to be an area on the knee called The Three - Mile Point ; it sounds wonderful for runners because, practitioners say, if you touch it in the right way, you 'll have enough energy to run another three miles.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	run a mile	literal	combined-inflection	ADV VERB VERB PART VERB DET NOUN ADP DET NOUN VERB DET PROPN PUNCT PROPN PROPN PUNCT PRON VERB ADJ ADP NOUN ADP NOUN VERB ADP PRON VERB PRON ADP DET ADJ NOUN PRON VERB VERB ADJ NOUN PART VERB DET NUM NOUN	▁There ▁is ▁said ▁to ▁be ▁an ▁area ▁on ▁the ▁knee ▁called ▁The ▁Three ▁- ▁M ile ▁Point ▁ ; ▁it ▁sound s ▁wonderful ▁for ▁run ners ▁because , ▁practitioners ▁say , ▁if ▁you ▁touch ▁it ▁in ▁the ▁right ▁way , ▁you ▁' ll ▁have ▁enough ▁energy ▁to ▁run ▁another ▁three ▁miles .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	ADV VERB VERB PART VERB DET NOUN ADP DET NOUN VERB DET PROPN PUNCT PROPN PROPN PROPN PUNCT PUNCT PRON VERB VERB ADJ ADP NOUN NOUN ADP ADP NOUN VERB VERB ADP PRON VERB PRON ADP DET ADJ NOUN NOUN PRON VERB VERB VERB ADJ NOUN PART VERB DET NUM NOUN NOUN
