Mr Major's bacon was saved by 19 Liberal Democrat votes.	0 1 1 0 1 0 0 0 0 0	save someone's bacon	figurative	misc	PROPN PROPN NOUN VERB VERB ADP NUM PROPN PROPN NOUN	▁Mr ▁Major ' s ▁ba con ▁was ▁saved ▁by ▁19 ▁Liberal ▁Democra t ▁votes .	0 1 1 1 1 1 0 1 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN NOUN NOUN VERB VERB ADP NUM PROPN PROPN PROPN NOUN NOUN
Also here is the UNDELETE command which will sometimes ( don't rely on this as a guaranteed safety catch ) save your bacon if you have accidentally wiped ( deleted ) a file from a disk.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	save someone's bacon	figurative	possessive	ADV ADV VERB DET ADJ NOUN ADJ VERB ADV PUNCT VERB VERB ADP DET ADP DET VERB NOUN NOUN PUNCT VERB ADJ NOUN ADP PRON VERB ADV VERB PUNCT VERB PUNCT DET NOUN ADP DET NOUN	▁Also ▁here ▁is ▁the ▁UN DE LET E ▁command ▁which ▁will ▁sometimes ▁( ▁don ' t ▁rely ▁on ▁this ▁as ▁a ▁guaranteed ▁safety ▁catch ▁ ) ▁save ▁your ▁ba con ▁if ▁you ▁have ▁accidentally ▁wipe d ▁( ▁deleted ▁ ) ▁a ▁file ▁from ▁a ▁disk .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV VERB DET ADJ ADJ ADJ ADJ NOUN ADJ VERB ADV PUNCT VERB VERB VERB VERB ADP DET ADP DET VERB NOUN NOUN PUNCT PUNCT VERB ADJ NOUN NOUN ADP PRON VERB ADV VERB VERB PUNCT VERB PUNCT PUNCT DET NOUN ADP DET NOUN NOUN
But she also didn't see any way she could graciously say no after Nelson had just saved her bacon.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	save someone's bacon	figurative	combined-inflection	CCONJ PRON ADV VERB VERB DET NOUN PRON VERB ADV VERB INTJ ADP PROPN VERB ADV VERB ADJ NOUN	▁But ▁she ▁also ▁did n ' t ▁see ▁any ▁way ▁she ▁could ▁gr aci ously ▁say ▁no ▁after ▁Nelson ▁had ▁just ▁saved ▁her ▁ba con .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	CCONJ PRON ADV VERB VERB VERB VERB VERB DET NOUN PRON VERB ADV ADV ADV VERB INTJ ADP PROPN VERB ADV VERB ADJ NOUN NOUN NOUN
Her latest film Romuald et Juliette is about the extraordinary goings - on in a yoghurt manufacturing company which brings together the white boss and the Black night - cleaner who saves his bacon.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	save someone's bacon	figurative	combined-inflection	ADJ ADJ NOUN PROPN PROPN PROPN VERB ADP DET ADJ NOUN PUNCT PART ADP DET NOUN NOUN NOUN ADJ VERB ADV DET ADJ NOUN CCONJ DET ADJ NOUN PUNCT ADJ NOUN VERB ADJ NOUN	▁Her ▁latest ▁film ▁Rom ual d ▁et ▁Jul i ette ▁is ▁about ▁the ▁extraordinary ▁going s ▁- ▁on ▁in ▁a ▁yoghurt ▁manufacturing ▁company ▁which ▁bring s ▁together ▁the ▁white ▁bo s s ▁and ▁the ▁Black ▁night ▁- ▁cleaner ▁who ▁save s ▁his ▁ba con .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	ADJ ADJ NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB ADP DET ADJ NOUN NOUN PUNCT PART ADP DET NOUN NOUN NOUN ADJ VERB VERB ADV DET ADJ NOUN NOUN NOUN CCONJ DET ADJ NOUN PUNCT ADJ NOUN VERB VERB ADJ NOUN NOUN NOUN
Then I worked for Jimmy Young for quite a long time … he saved my bacon.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	save someone's bacon	figurative	combined-inflection	ADV PRON VERB ADP PROPN PROPN ADP ADJ DET ADJ NOUN PUNCT PRON VERB ADJ NOUN	▁Then ▁I ▁worked ▁for ▁J im my ▁Young ▁for ▁quite ▁a ▁long ▁time ▁... ▁he ▁saved ▁my ▁ba con .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADV PRON VERB ADP PROPN PROPN PROPN PROPN ADP ADJ DET ADJ NOUN PUNCT PRON VERB ADJ NOUN NOUN NOUN
Rik Mayell in goal saved Norwich's bacon in the second half, no doubt about it.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	save someone's bacon	figurative	combined-inflection	PROPN PROPN ADP NOUN VERB PROPN NOUN ADP DET ADJ NOUN DET NOUN ADP PRON	▁R ik ▁May ell ▁in ▁goal ▁saved ▁Nor wich ' s ▁ba con ▁in ▁the ▁second ▁half , ▁no ▁doubt ▁about ▁it .	0 0 0 0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN ADP NOUN VERB PROPN PROPN PROPN PROPN NOUN NOUN ADP DET ADJ NOUN NOUN DET NOUN ADP PRON PRON
They want to take the matter to a public inquirey, in the hope that one way or another, their bacon will be saved.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1	save someone's bacon	figurative	misc	PRON VERB PART VERB DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP NUM NOUN CCONJ DET ADJ NOUN VERB VERB VERB	▁They ▁want ▁to ▁take ▁the ▁matter ▁to ▁a ▁public ▁in quire y , ▁in ▁the ▁hope ▁that ▁one ▁way ▁or ▁another , ▁their ▁ba con ▁will ▁be ▁saved .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 1 1	PRON VERB PART VERB DET NOUN ADP DET ADJ NOUN NOUN NOUN NOUN ADP DET NOUN ADP NUM NOUN CCONJ DET DET ADJ NOUN NOUN VERB VERB VERB VERB
That saved Rough Trade's bacon, as it turned out.	0 1 0 1 1 0 0 0 0	save someone's bacon	figurative	combined-inflection	DET VERB PROPN PROPN NOUN ADP PRON VERB PART	▁That ▁saved ▁R ough ▁Trade ' s ▁ba con , ▁as ▁it ▁turned ▁out .	0 1 0 0 1 1 1 1 1 1 0 0 0 0 0	DET VERB PROPN PROPN PROPN PROPN PROPN NOUN NOUN NOUN ADP PRON VERB PART PART
They saved our bacon!’ cried Middle.	0 1 1 1 0 0	save someone's bacon	figurative	combined-inflection	PRON VERB ADJ NOUN VERB PROPN	▁They ▁saved ▁our ▁ba con ! ’ ▁cried ▁Middle .	0 1 1 1 1 1 1 0 0 0	PRON VERB ADJ NOUN NOUN NOUN NOUN VERB PROPN PROPN
She saved young Michael's bacon tonight, that's a fact. '	0 1 0 1 1 0 0 0 0 0	save someone's bacon	figurative	combined-inflection	PRON VERB ADJ PROPN NOUN NOUN DET DET NOUN PUNCT	▁She ▁saved ▁young ▁Michael ' s ▁ba con ▁tonight , ▁that ' s ▁a ▁fact . ▁'	0 1 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0	PRON VERB ADJ PROPN PROPN PROPN NOUN NOUN NOUN NOUN DET DET DET DET NOUN NOUN PUNCT
Evert's prediction was spot - on as Minter grabbed a thrilling 6 - 3, 2 - 6, 6 - 4 victory that saved Australia's bacon after Liz Smylie had lost the opening singles rubber 6 - 2, 6 - 1 to Katerina Maleeva.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	save someone's bacon	figurative	combined-inflection	PROPN NOUN VERB NOUN PUNCT PART ADP PROPN VERB DET VERB NUM SYM NUM NUM SYM NUM NUM SYM NUM NOUN ADJ VERB PROPN NOUN ADP PROPN PROPN VERB VERB DET NOUN NOUN NOUN NUM SYM NUM NUM SYM NUM ADP PROPN PROPN	▁E vert ' s ▁prediction ▁was ▁spot ▁- ▁on ▁as ▁M inter ▁g rab bed ▁a ▁th rill ing ▁6 ▁- ▁3, ▁2 ▁- ▁6 , ▁6 ▁- ▁4 ▁victory ▁that ▁saved ▁Australia ' s ▁ba con ▁after ▁L iz ▁S my lie ▁had ▁lost ▁the ▁opening ▁single s ▁rubber ▁6 ▁- ▁2, ▁6 ▁- ▁1 ▁to ▁Kat er ina ▁Male eva .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN NOUN VERB NOUN PUNCT PART ADP PROPN PROPN VERB VERB VERB DET VERB VERB VERB NUM SYM NUM NUM SYM NUM NUM NUM SYM NUM NOUN ADJ VERB PROPN PROPN PROPN NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN VERB VERB DET NOUN NOUN NOUN NOUN NUM SYM NUM NUM SYM NUM ADP PROPN PROPN PROPN PROPN PROPN PROPN
