It was far safer politically and economically to sit on the scientific fence.	0 0 0 0 0 0 0 0 1 1 0 0 1	sit on the fence	figurative	insertion-other	PRON VERB ADV ADJ ADV CCONJ ADV PART VERB ADP DET ADJ NOUN
But on the other hand we thought I suppose oh good riddance you know er rather than have a few er namby - pamby people you know sitting on the fence, we might be better off without them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	sit on the fence	figurative	inflection	CCONJ ADP DET ADJ NOUN PRON VERB PRON VERB INTJ ADJ NOUN PRON VERB INTJ ADV ADP VERB DET ADJ INTJ NOUN PUNCT VERB NOUN PRON VERB VERB ADP DET NOUN PRON VERB VERB ADJ PART ADP PRON
And he did the same thing at Brackley Town, he guided them to success, their best ever season, he's gone to Buckingham Town, took a few players with him, so Brackley Town, they 're not too pleased and they 're going to be out to beat Buckingham Town tonight, but I 'm going to sit on the fence and go for Buckingham 3 1.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	sit on the fence	figurative	identical	CCONJ PRON VERB DET ADJ NOUN ADP PROPN PROPN PRON VERB PRON ADP NOUN ADJ ADJ ADV NOUN PRON VERB ADP PROPN PROPN VERB DET ADJ NOUN ADP PRON ADV PROPN PROPN PRON VERB ADV ADV ADJ CCONJ PRON VERB VERB PART VERB ADV PART VERB PROPN PROPN NOUN CCONJ PRON VERB VERB PART VERB ADP DET NOUN CCONJ VERB ADP PROPN NUM NUM
Micky Yornutta is not so sure, so he asked Brian what exactly he expects from his side and Brian, as ever, decided not to sit on the fence, but the main concern being for his side to pass the ball as opposed to kicking it, but first Brian says that long ball to John Durnin is all wrong.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit on the fence	figurative	identical	PROPN PROPN VERB ADV ADV ADJ ADV PRON VERB PROPN NOUN ADV PRON VERB ADP ADJ NOUN CCONJ PROPN ADP ADV VERB ADV PART VERB ADP DET NOUN CCONJ DET ADJ NOUN VERB ADP ADJ NOUN PART VERB DET NOUN ADP VERB ADP VERB PRON CCONJ ADJ PROPN VERB ADP ADJ NOUN ADP PROPN PROPN VERB DET ADJ
For too long we have sat on the fence regarding when a lone rescuer should leave a collapsed victim to seek medical help.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit on the fence	figurative	inflection	ADP ADV ADV PRON VERB VERB ADP DET NOUN VERB ADV DET ADJ NOUN VERB VERB DET VERB NOUN PART VERB ADJ NOUN
Although he sat on the fence with the rest of London's Jews during the noisy campaign of Rabbi Manasseh ben Israel [ q.v.]of Amsterdam to secure a public readmission of the Jews to England, eventually he was forced to show his hand.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit on the fence	figurative	inflection	ADP PRON VERB ADP DET NOUN ADP DET NOUN ADP PROPN PROPN ADP DET ADJ NOUN ADP PROPN PROPN VERB PROPN PUNCT PROPN PROPN PART VERB DET ADJ NOUN ADP DET PROPN ADP PROPN ADV PRON VERB VERB PART VERB ADJ NOUN
Bigger nations sat on the fence.	0 0 1 1 0 1	sit on the fence	figurative	inflection	ADJ NOUN VERB ADP DET NOUN
It is not certain how many of the leading members were privy to this scheme : Lloyd - Greame seems to have sat on the fence ; Hoare, Wood, Cave, Salisbury and some of the other peers stood out for Baldwin, but this was not contained in the advice which convinced Stamfordham.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit on the fence	figurative	inflection	PRON VERB ADV ADJ ADV ADJ ADP DET VERB NOUN VERB NOUN ADP DET NOUN PUNCT PROPN PUNCT PROPN VERB PART VERB VERB ADP DET NOUN PUNCT PROPN PROPN PROPN PROPN CCONJ DET ADP DET ADJ NOUN VERB PART ADP PROPN CCONJ DET VERB ADV VERB ADP DET NOUN ADJ VERB PROPN
If the encyclopaedia has a weakness it is that it sits on the fence on controversial issues.	0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	sit on the fence	figurative	inflection	ADP DET NOUN VERB DET NOUN PRON VERB ADP PRON VERB ADP DET NOUN ADP ADJ NOUN
The Jordanian government sits squarely on the fence ; it has neither banned the book nor approved its sale.	0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	sit on the fence	figurative	combined-inflection	DET ADJ NOUN VERB ADV ADP DET NOUN PUNCT PRON VERB CCONJ VERB DET NOUN CCONJ VERB ADJ NOUN
I think I need to say on that, that that should not be taken as the county council sitting on the fence between two opposing er extremes.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0	sit on the fence	figurative	inflection	PRON VERB PRON VERB PART VERB ADP DET ADP DET VERB ADV VERB VERB ADP DET NOUN NOUN VERB ADP DET NOUN ADP NUM VERB INTJ NOUN
Ramsey had read the life of Archbishop Randall Davidson by George Bell and found it very depressing — a noble and unspoilt man inside a sickening system —‘the wire - pulling, the hedging, and energy spent on things that don't matter, and all the sitting on the fence’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	sit on the fence	figurative	combined-inflection	PROPN VERB VERB DET NOUN ADP PROPN PROPN PROPN ADP PROPN PROPN CCONJ VERB PRON ADV ADJ PUNCT DET ADJ CCONJ ADJ NOUN ADP DET NOUN NOUN DET NOUN PUNCT NOUN DET NOUN CCONJ NOUN VERB ADP NOUN ADJ VERB VERB CCONJ ADJ DET NOUN ADP DET PROPN
If they ask you what wing of the Party you belong to, say it is your intention to sit prettily on the fence.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1	sit on the fence	figurative	insertion-other	ADP PRON VERB PRON ADJ NOUN ADP DET PROPN PRON VERB ADP VERB PRON VERB ADJ NOUN PART VERB ADV ADP DET NOUN
