Whether they 'll sit tight or run.	0 0 0 1 1 0 0	sit tight	figurative	identical	ADP PRON VERB VERB ADV CCONJ VERB	▁W hether ▁they ▁' ll ▁sit ▁tight ▁or ▁run .	0 0 0 0 0 1 1 0 0 0	ADP ADP PRON VERB VERB VERB ADV CCONJ VERB VERB
‘ We 'll sit tight and wait for the storm to blow itself out.’	0 0 0 1 1 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	PUNCT PRON VERB VERB ADV CCONJ VERB ADP DET NOUN PART VERB PRON X	▁ ‘ ▁We ▁' ll ▁sit ▁tight ▁and ▁wait ▁for ▁the ▁storm ▁to ▁blow ▁itself ▁out . ’	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB VERB ADV CCONJ VERB ADP DET NOUN PART VERB PRON X X X
His response, echoing what he had so often done on the battlefield, was first to sit tight and then to try to turn an apparently negative situation to his advantage.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	ADJ NOUN VERB NOUN PRON VERB ADV ADV VERB ADP DET NOUN VERB ADJ PART VERB ADV CCONJ ADV PART VERB PART VERB DET ADV ADJ NOUN ADP ADJ NOUN	▁His ▁response , ▁echo ing ▁what ▁he ▁had ▁so ▁often ▁done ▁on ▁the ▁battle field , ▁was ▁first ▁to ▁sit ▁tight ▁and ▁then ▁to ▁try ▁to ▁turn ▁an ▁apparently ▁negative ▁situation ▁to ▁his ▁advantage .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN VERB VERB NOUN PRON VERB ADV ADV VERB ADP DET NOUN NOUN NOUN VERB ADJ PART VERB ADV CCONJ ADV PART VERB PART VERB DET ADV ADJ NOUN ADP ADJ NOUN NOUN
I 've actually seen them only once — Lawrence and I wandered in there one morning– the torch beam just happened to fall on a clutch of them sitting tight on the wall, right by my ear.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	sit tight	figurative	inflection	PRON VERB ADV VERB PRON ADV ADV PUNCT PROPN CCONJ PRON VERB ADP ADV NUM VERB DET NOUN NOUN ADV VERB PART VERB ADP DET NOUN ADP PRON VERB ADV ADP DET NOUN ADV ADP ADJ NOUN	▁I ▁' ve ▁actually ▁seen ▁them ▁only ▁once ▁ — ▁Law r ence ▁and ▁I ▁w and ered ▁in ▁there ▁one ▁morning – ▁the ▁to rch ▁beam ▁just ▁happened ▁to ▁fall ▁on ▁a ▁clutch ▁of ▁them ▁sitting ▁tight ▁on ▁the ▁wall , ▁right ▁by ▁my ▁ear .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	PRON VERB VERB ADV VERB PRON ADV ADV PUNCT PUNCT PROPN PROPN PROPN CCONJ PRON VERB VERB VERB ADP ADV NUM VERB VERB DET NOUN NOUN NOUN ADV VERB PART VERB ADP DET NOUN ADP PRON VERB ADV ADP DET NOUN NOUN ADV ADP ADJ NOUN NOUN
Sit tight.	1 1	sit tight	figurative	case	VERB ADV	▁Sit ▁tight .	1 1 1	VERB ADV ADV
‘ Just sit tight.’	0 0 1 1	sit tight	figurative	dashes	PUNCT ADV VERB ADP	▁ ‘ ▁Just ▁sit ▁tight . ’	0 0 0 1 1 1 1	PUNCT PUNCT ADV VERB ADP ADP ADP
IF you are planning to take part in the sponsored step aerobics session for the day care centre sit tight for a few weeks.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	sit tight	figurative	identical	ADP PRON VERB VERB PART VERB NOUN ADP DET VERB NOUN NOUN NOUN ADP DET NOUN NOUN NOUN VERB ADV ADP DET ADJ NOUN	▁IF ▁you ▁are ▁planning ▁to ▁take ▁part ▁in ▁the ▁sponsored ▁step ▁aerobic s ▁session ▁for ▁the ▁day ▁care ▁centre ▁sit ▁tight ▁for ▁a ▁few ▁weeks .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	ADP PRON VERB VERB PART VERB NOUN ADP DET VERB NOUN NOUN NOUN NOUN ADP DET NOUN NOUN NOUN VERB ADV ADP DET ADJ NOUN NOUN
She was told to sit tight while he went round the corner to the newsagent, returning with an armful of print.	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	PRON VERB VERB PART VERB ADV ADP PRON VERB ADV DET NOUN ADP DET NOUN VERB ADP DET ADJ ADP NOUN	▁She ▁was ▁told ▁to ▁sit ▁tight ▁while ▁he ▁went ▁round ▁the ▁corner ▁to ▁the ▁new s agent , ▁returning ▁with ▁an ▁arm ful ▁of ▁print .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB PART VERB ADV ADP PRON VERB ADV DET NOUN ADP DET NOUN NOUN NOUN NOUN VERB ADP DET ADJ ADJ ADP NOUN NOUN
Will you sit tight in your little kingdom, and watch it crumbling all around you?	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	VERB PRON VERB ADV ADP ADJ ADJ NOUN CCONJ VERB PRON VERB ADV ADP PRON	▁Will ▁you ▁sit ▁tight ▁in ▁your ▁little ▁kingdom , ▁and ▁watch ▁it ▁cru m bling ▁all ▁around ▁you ?	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB PRON VERB ADV ADP ADJ ADJ NOUN NOUN CCONJ VERB PRON VERB VERB VERB ADV ADP PRON PRON
Or it may sit tight in the reasonable hope that either the economic strain proves too great and Syria's military strength is sapped by political and economic instability, or that Syria will dissipate its strength against its eastern adversary, Iraq.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	sit tight	figurative	identical	CCONJ PRON VERB VERB ADV ADP DET ADJ NOUN ADP CCONJ DET ADJ NOUN VERB ADV ADJ CCONJ PROPN ADJ NOUN VERB VERB ADP ADJ CCONJ ADJ NOUN CCONJ ADP PROPN VERB VERB ADJ NOUN ADP ADJ ADJ NOUN PROPN	▁Or ▁it ▁may ▁sit ▁tight ▁in ▁the ▁reasonable ▁hope ▁that ▁either ▁the ▁economic ▁strain ▁proves ▁too ▁great ▁and ▁Syria ' s ▁military ▁strength ▁is ▁sa pped ▁by ▁political ▁and ▁economic ▁instability , ▁or ▁that ▁Syria ▁will ▁dis s ip ate ▁its ▁strength ▁against ▁its ▁eastern ▁ad versary , ▁Iraq .	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ PRON VERB VERB ADV ADP DET ADJ NOUN ADP CCONJ DET ADJ NOUN VERB ADV ADJ CCONJ PROPN PROPN PROPN ADJ NOUN VERB VERB VERB ADP ADJ CCONJ ADJ NOUN NOUN CCONJ ADP PROPN VERB VERB VERB VERB VERB ADJ NOUN ADP ADJ ADJ NOUN NOUN NOUN PROPN PROPN
He pulls me close and tells me to sit tight.	0 0 0 0 0 0 0 0 1 1	sit tight	figurative	identical	PRON VERB PRON ADV CCONJ VERB PRON PART VERB ADV	▁He ▁pull s ▁me ▁close ▁and ▁tells ▁me ▁to ▁sit ▁tight .	0 0 0 0 0 0 0 0 0 1 1 1	PRON VERB VERB PRON ADV CCONJ VERB PRON PART VERB ADV ADV
