Much of the humour derives from slips of the tongue, an occupational hazard.	0 0 0 0 0 0 1 1 0 1 0 0 0	slip of the tongue	figurative	inflection	ADJ ADP DET NOUN VERB ADP NOUN ADP DET NOUN DET ADJ NOUN	▁Much ▁of ▁the ▁h umour ▁derives ▁from ▁slip s ▁of ▁the ▁tongue , ▁an ▁occupational ▁hazard .	0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0	ADJ ADP DET NOUN NOUN VERB ADP NOUN NOUN ADP DET NOUN NOUN DET ADJ NOUN NOUN
BOSTON / ROME : Any reader of non - US newspapers could draw two conclusions about America ’s electoral campaign : 1. that there is little difference between the two candidates ; 2. that a mere detail – a slip of the tongue, a false step, a piece of gossip – could decide the election.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	identical	PROPN SYM PROPN PUNCT DET NOUN ADP ADJ PUNCT PROPN NOUN VERB VERB NUM NOUN ADP PROPN PART ADJ NOUN PUNCT PUNCT ADP ADV VERB ADJ NOUN ADP DET NUM NOUN PUNCT NUM ADP DET ADJ NOUN PUNCT DET NOUN ADP DET NOUN DET ADJ NOUN DET NOUN ADP NOUN PUNCT VERB VERB DET NOUN	▁B OST ON ▁/ ▁R OME ▁ : ▁Any ▁reader ▁of ▁non ▁- ▁US ▁newspapers ▁could ▁draw ▁two ▁conclusions ▁about ▁America ▁ ’ s ▁elector al ▁campaign ▁ : ▁1. ▁that ▁there ▁is ▁little ▁difference ▁between ▁the ▁two ▁candidates ▁ ; ▁2. ▁that ▁a ▁mere ▁detail ▁ – ▁a ▁slip ▁of ▁the ▁tongue , ▁a ▁false ▁step , ▁a ▁piece ▁of ▁go s s ip ▁ – ▁could ▁decide ▁the ▁election .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN SYM PROPN PROPN PUNCT PUNCT DET NOUN ADP ADJ PUNCT PROPN NOUN VERB VERB NUM NOUN ADP PROPN PART PART PART ADJ ADJ NOUN PUNCT PUNCT PUNCT ADP ADV VERB ADJ NOUN ADP DET NUM NOUN PUNCT PUNCT NUM ADP DET ADJ NOUN PUNCT PUNCT DET NOUN ADP DET NOUN NOUN DET ADJ NOUN NOUN DET NOUN ADP NOUN NOUN NOUN NOUN PUNCT PUNCT VERB VERB DET NOUN NOUN
Slip of the tongue. '	1 1 0 1 0	slip of the tongue	figurative	case	VERB ADP DET NOUN PUNCT	▁S lip ▁of ▁the ▁tongue . ▁'	1 1 1 0 1 1 0	VERB VERB ADP DET NOUN NOUN PUNCT
The few references to their own practices by members of code - switching communities which are contained in the literature are vague and general : for example, the now - famous quotation ( complete with slip of the tongue ) from a Spanish - English bilingual which gave Poplack's important 1981 article its title : " Sometimes I start a sentence in Spanish y termino en Español " ( Sometimes I start a sentence in Spanish and finish in Spanish ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	identical	DET ADJ NOUN ADP ADJ ADJ NOUN ADP NOUN ADP NOUN PUNCT VERB NOUN ADJ VERB VERB ADP DET NOUN VERB ADJ CCONJ ADJ PUNCT ADP NOUN DET ADV PUNCT ADJ NOUN PUNCT ADJ ADP NOUN ADP DET NOUN PUNCT ADP DET ADJ PUNCT ADJ NOUN ADJ VERB PROPN ADJ NUM NOUN ADJ NOUN PUNCT PUNCT ADV PRON VERB DET NOUN ADP PROPN PRON NOUN ADP PROPN PUNCT PUNCT ADV PRON VERB DET NOUN ADP ADJ CCONJ NOUN ADP PROPN PUNCT	▁The ▁few ▁references ▁to ▁their ▁own ▁practices ▁by ▁members ▁of ▁code ▁- ▁switching ▁communities ▁which ▁are ▁contained ▁in ▁the ▁literature ▁are ▁vague ▁and ▁general ▁ : ▁for ▁example , ▁the ▁now ▁- ▁famous ▁quotation ▁( ▁complete ▁with ▁slip ▁of ▁the ▁tongue ▁ ) ▁from ▁a ▁Spanish ▁- ▁English ▁bi lingual ▁which ▁gave ▁Po pl ack ' s ▁important ▁1981 ▁article ▁its ▁title ▁ : ▁" ▁Sometimes ▁I ▁start ▁a ▁sentence ▁in ▁Spanish ▁y ▁term ino ▁en ▁E sp añ ol ▁" ▁( ▁Sometimes ▁I ▁start ▁a ▁sentence ▁in ▁Spanish ▁and ▁finish ▁in ▁Spanish ▁ ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN ADP ADJ ADJ NOUN ADP NOUN ADP NOUN PUNCT VERB NOUN ADJ VERB VERB ADP DET NOUN VERB ADJ CCONJ ADJ PUNCT PUNCT ADP NOUN NOUN DET ADV PUNCT ADJ NOUN PUNCT ADJ ADP NOUN ADP DET NOUN PUNCT PUNCT ADP DET ADJ PUNCT ADJ NOUN NOUN ADJ VERB PROPN PROPN PROPN PROPN PROPN ADJ NUM NOUN ADJ NOUN PUNCT PUNCT PUNCT ADV PRON VERB DET NOUN ADP PROPN PRON NOUN NOUN ADP PROPN PROPN PROPN PROPN PUNCT PUNCT ADV PRON VERB DET NOUN ADP ADJ CCONJ NOUN ADP PROPN PUNCT PUNCT
‘ Perhaps it was an unfortunate slip of the tongue,’ said Mr Bergg.	0 0 0 0 0 0 1 1 0 1 0 0 0	slip of the tongue	figurative	dashes	PUNCT ADV PRON VERB DET ADJ NOUN ADP DET NOUN VERB PROPN PROPN	▁ ‘ ▁Perhaps ▁it ▁was ▁an ▁unfortunate ▁slip ▁of ▁the ▁tongue , ’ ▁said ▁Mr ▁Berg g .	0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0	PUNCT PUNCT ADV PRON VERB DET ADJ NOUN ADP DET NOUN NOUN NOUN VERB PROPN PROPN PROPN PROPN
But even as he stepped off the plane from Taipei, a slip of the tongue showed how far the two sides have drifted apart, and how unreal to Taiwanese is the official vision of reunification.	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	identical	CCONJ ADV ADP PRON VERB ADP DET NOUN ADP PROPN DET NOUN ADP DET NOUN VERB ADV ADV DET NUM NOUN VERB VERB ADV CCONJ ADV ADJ ADP PROPN VERB DET ADJ NOUN ADP NOUN	▁But ▁even ▁as ▁he ▁stepped ▁off ▁the ▁plane ▁from ▁Ta ip ei , ▁a ▁slip ▁of ▁the ▁tongue ▁showed ▁how ▁far ▁the ▁two ▁sides ▁have ▁drift ed ▁apart , ▁and ▁how ▁un real ▁to ▁Taiwan ese ▁is ▁the ▁official ▁vision ▁of ▁reunification .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV ADP PRON VERB ADP DET NOUN ADP PROPN PROPN PROPN PROPN DET NOUN ADP DET NOUN VERB ADV ADV DET NUM NOUN VERB VERB VERB ADV ADV CCONJ ADV ADJ ADJ ADP PROPN PROPN VERB DET ADJ NOUN ADP NOUN NOUN
Sorry, beg your pardon, slip of the tongue, it's six thousand.	0 0 0 0 1 1 0 1 0 0 0	slip of the tongue	figurative	identical	INTJ VERB ADJ NOUN VERB ADP DET NOUN PRON NUM NUM	▁So rry , ▁be g ▁your ▁pardon , ▁slip ▁of ▁the ▁tongue , ▁it ' s ▁six ▁thousand .	0 0 0 0 0 0 0 0 1 1 0 1 1 0 0 0 0 0 0	INTJ INTJ INTJ VERB VERB ADJ NOUN NOUN VERB ADP DET NOUN NOUN PRON PRON PRON NUM NUM NUM
With currently available equipment we are not able to discover what goes on in detail in the brain when someone is speaking, though we can make guesses based on evidence such as speech errors ( ‘ slips of the tongue’ ) and the effects on speech production of different sorts of brain damage.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	combined-inflection	ADP ADV ADJ NOUN PRON VERB ADV ADJ PART VERB NOUN VERB PART ADP NOUN ADP DET NOUN ADV NOUN VERB VERB ADP PRON VERB VERB NOUN VERB ADP NOUN ADJ ADP NOUN NOUN PUNCT ADJ NOUN ADP DET NOUN PUNCT CCONJ DET NOUN ADP NOUN NOUN ADP ADJ NOUN ADP NOUN NOUN	▁With ▁currently ▁available ▁equipment ▁we ▁are ▁not ▁able ▁to ▁discover ▁what ▁goes ▁on ▁in ▁detail ▁in ▁the ▁brain ▁when ▁someone ▁is ▁speaking , ▁though ▁we ▁can ▁make ▁guess es ▁based ▁on ▁evidence ▁such ▁as ▁speech ▁errors ▁( ▁ ‘ ▁slip s ▁of ▁the ▁tongue ’ ▁ ) ▁and ▁the ▁effects ▁on ▁speech ▁production ▁of ▁different ▁sorts ▁of ▁brain ▁damage .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADV ADJ NOUN PRON VERB ADV ADJ PART VERB NOUN VERB PART ADP NOUN ADP DET NOUN ADV NOUN VERB VERB VERB ADP PRON VERB VERB NOUN NOUN VERB ADP NOUN ADJ ADP NOUN NOUN PUNCT ADJ ADJ NOUN NOUN ADP DET NOUN NOUN PUNCT PUNCT CCONJ DET NOUN ADP NOUN NOUN ADP ADJ NOUN ADP NOUN NOUN NOUN
He had made an unfortunate slip of the tongue himself.	0 0 0 0 0 1 1 0 1 0	slip of the tongue	figurative	identical	PRON VERB VERB DET ADJ NOUN ADP DET NOUN PRON	▁He ▁had ▁made ▁an ▁unfortunate ▁slip ▁of ▁the ▁tongue ▁himself .	0 0 0 0 0 1 1 0 1 0 0	PRON VERB VERB DET ADJ NOUN ADP DET NOUN PRON PRON
may have been a professional slip of the tongue i in saying that now be up to Labour, it is not up to Labour at all, it is up to all of u, it is up to all of us, it is up to all of us all, and you and you and you, you can't dump responsibility, it is up to all of us, all of us	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip of the tongue	figurative	identical	VERB VERB VERB DET ADJ NOUN ADP DET NOUN PRON ADP VERB ADP ADV VERB ADP ADP PROPN PRON VERB ADV ADP ADP PROPN ADV ADV PRON VERB ADP ADP DET ADP NOUN PRON VERB ADP ADP DET ADP PRON PRON VERB ADP ADP DET ADP PRON DET CCONJ PRON CCONJ PRON CCONJ PRON PRON VERB VERB NOUN PRON VERB ADP ADP DET ADP PRON DET ADP PRON	▁may ▁have ▁been ▁a ▁professional ▁slip ▁of ▁the ▁tongue ▁i ▁in ▁saying ▁that ▁now ▁be ▁up ▁to ▁Labour , ▁it ▁is ▁not ▁up ▁to ▁Labour ▁at ▁all , ▁it ▁is ▁up ▁to ▁all ▁of ▁u , ▁it ▁is ▁up ▁to ▁all ▁of ▁us , ▁it ▁is ▁up ▁to ▁all ▁of ▁us ▁all , ▁and ▁you ▁and ▁you ▁and ▁you , ▁you ▁can ' t ▁dump ▁responsibility , ▁it ▁is ▁up ▁to ▁all ▁of ▁us , ▁all ▁of ▁us	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB VERB DET ADJ NOUN ADP DET NOUN PRON ADP VERB ADP ADV VERB ADP ADP PROPN PROPN PRON VERB ADV ADP ADP PROPN ADV ADV ADV PRON VERB ADP ADP DET ADP NOUN NOUN PRON VERB ADP ADP DET ADP PRON PRON PRON VERB ADP ADP DET ADP PRON DET DET CCONJ PRON CCONJ PRON CCONJ PRON PRON PRON VERB VERB VERB VERB NOUN NOUN PRON VERB ADP ADP DET ADP PRON PRON DET ADP PRON
‘ Was that a slip of the tongue, Leonora?	0 0 0 0 1 1 0 1 0	slip of the tongue	figurative	identical	PUNCT VERB ADP DET NOUN ADP DET NOUN PROPN	▁ ‘ ▁Was ▁that ▁a ▁slip ▁of ▁the ▁tongue , ▁Leon or a ?	0 0 0 0 0 1 1 0 1 1 0 0 0 0	PUNCT PUNCT VERB ADP DET NOUN ADP DET NOUN NOUN PROPN PROPN PROPN PROPN
