But many more could be slipping through the net.	0 0 0 0 0 1 1 0 1	slip through the net	figurative	inflection	CCONJ ADJ ADJ VERB VERB VERB ADP DET NOUN
Yes it will, and the few who slip through the net will be denied legal aid to argue their case.	0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0	slip through the net	figurative	identical	INTJ PRON VERB CCONJ DET ADJ NOUN VERB ADP DET NOUN VERB VERB VERB ADJ NOUN PART VERB ADJ NOUN
There are still many buildings that are not listed simply because they have not yet been properly surveyed, or have somehow slipped through the net.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	slip through the net	figurative	inflection	ADV VERB ADV ADJ NOUN ADJ VERB ADV VERB ADV ADP PRON VERB ADV ADV VERB ADV VERB CCONJ VERB ADV VERB ADP DET NOUN
What steps have been taken by the CITB to ensure a maximum register of employers and that none slips through the net?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	slip through the net	figurative	inflection	NOUN NOUN VERB VERB VERB ADP DET NOUN PART VERB DET ADJ NOUN ADP NOUN CCONJ ADP NOUN VERB ADP DET NOUN
This one slipped through the net.	0 0 1 1 0 1	slip through the net	figurative	inflection	DET NOUN VERB ADP DET NOUN
Here at ZZAP! we 're very good at spotting ripped - off software, but should one slip through the net it's the sender who 'd be in trouble — this could mean a hefty fine and possible imprisonment if you 're lucky, or being made to eat your own entrails if I catch you before the software company!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip through the net	figurative	identical	ADV ADP PROPN PRON VERB ADV ADJ ADP VERB VERB PUNCT PART NOUN CCONJ VERB NUM VERB ADP DET NOUN PRON DET NOUN NOUN VERB VERB ADP NOUN PUNCT DET VERB VERB DET ADJ ADJ CCONJ ADJ NOUN ADP PRON VERB ADJ CCONJ VERB VERB PART VERB ADJ ADJ NOUN ADP PRON VERB PRON ADP DET NOUN NOUN
However, there are number of players who because their mini - rugby team didn't make Finals Day, would have slipped through the net, and they are asked to contact officials with the prospect of playing in a special mini - rugby game between two ‘ select’ teams.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	slip through the net	figurative	inflection	ADV ADV VERB NOUN ADP NOUN NOUN ADP ADJ NOUN PUNCT NOUN NOUN VERB VERB PROPN PROPN VERB VERB VERB ADP DET NOUN CCONJ PRON VERB VERB PART VERB NOUN ADP DET NOUN ADP NOUN ADP DET ADJ NOUN PUNCT NOUN NOUN ADP NUM NUM NOUN NOUN
The concept of ‘ teaching by objectives’, and regular progress monitoring, can be regarded as offering a system whereby no child slips through the net.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	slip through the net	figurative	inflection	DET NOUN ADP ADJ NOUN ADP NOUN CCONJ ADJ NOUN NOUN VERB VERB VERB ADP VERB DET NOUN ADV DET NOUN VERB ADP DET NOUN
Fortunately, many of these loopholes are now being closed by new amendments and, hopefully, there will be less frustration for the law - enforcers who, in the past, have seen many villains slip through the net after they have worked hard to bring them to justice.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	slip through the net	figurative	identical	ADV ADJ ADP DET NOUN VERB ADV VERB VERB ADP ADJ NOUN CCONJ ADV ADV VERB VERB ADJ NOUN ADP DET NOUN PUNCT NOUN NOUN ADP DET NOUN VERB VERB ADJ NOUN VERB ADP DET NOUN ADP PRON VERB VERB ADV PART VERB PRON ADP NOUN
Nothing slipped through the net.	0 1 1 0 1	slip through the net	figurative	inflection	NOUN VERB ADP DET NOUN
The chances are that this shyness would have naturally prevented him from attaining such a high profile … but Morrissey slipped through the net and the consequences could be devastating.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0	slip through the net	figurative	inflection	DET NOUN VERB ADP DET NOUN VERB VERB ADV VERB PRON ADP VERB ADJ DET ADJ NOUN PUNCT CCONJ PROPN VERB ADP DET NOUN CCONJ DET NOUN VERB VERB ADJ
