‘ You mean, you knew all along, but you let me make a fool of myself?’	0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PUNCT PRON VERB PRON VERB ADV ADV CCONJ PRON VERB PRON VERB DET NOUN ADP ADV	▁ ‘ ▁You ▁mean , ▁you ▁knew ▁all ▁along , ▁but ▁you ▁let ▁me ▁make ▁a ▁fool ▁of ▁myself ? ’	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB PRON VERB ADV ADV ADV CCONJ PRON VERB PRON VERB DET NOUN ADP ADV ADV ADV
He's a thief, a criminal, he nicked my bag and I had to sift through every shit - bin in Bristol till I found my dreams and found out what I ought to've known all along if you hadn't …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	all along	figurative	identical	PRON DET NOUN DET NOUN PRON VERB ADJ NOUN CCONJ PRON VERB PART VERB ADP DET NOUN PUNCT NOUN ADP PROPN ADP PRON VERB ADJ NOUN CCONJ VERB PART NOUN PRON VERB VERB VERB DET ADP ADP PRON VERB PUNCT	▁He ' s ▁a ▁thi ef , ▁a ▁criminal , ▁he ▁n ick ed ▁my ▁bag ▁and ▁I ▁had ▁to ▁si ft ▁through ▁every ▁sh it ▁- ▁bin ▁in ▁Bristol ▁till ▁I ▁found ▁my ▁dreams ▁and ▁found ▁out ▁what ▁I ▁ought ▁to ' ve ▁known ▁all ▁along ▁if ▁you ▁had n ' t ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0	PRON PRON PRON DET NOUN NOUN NOUN DET NOUN NOUN PRON VERB VERB VERB ADJ NOUN CCONJ PRON VERB PART VERB VERB ADP DET NOUN NOUN PUNCT NOUN ADP PROPN ADP PRON VERB ADJ NOUN CCONJ VERB PART NOUN PRON VERB VERB VERB VERB VERB DET ADP ADP PRON VERB VERB VERB VERB PUNCT
The grapes are all along here see behind the washing?	0 0 0 1 1 0 0 0 0 0	all along	literal	identical	DET NOUN VERB ADV ADV ADV VERB ADP DET NOUN	▁The ▁grapes ▁are ▁all ▁along ▁here ▁see ▁behind ▁the ▁washing ?	0 0 0 1 1 0 0 0 0 0 0	DET NOUN VERB ADV ADV ADV VERB ADP DET NOUN NOUN
But in fact feminists have been concerned with the morality of abortion all along — but in a distinctly different way from the moral philosophers and Right - to - Lifers.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	CCONJ ADP NOUN NOUN VERB VERB VERB ADP DET NOUN ADP NOUN ADV ADV PUNCT CCONJ ADP DET ADV ADJ NOUN ADP DET ADJ NOUN CCONJ NOUN PUNCT NOUN PUNCT PROPN	▁But ▁in ▁fact ▁fem in ists ▁have ▁been ▁concerned ▁with ▁the ▁morality ▁of ▁abortion ▁all ▁along ▁ — ▁but ▁in ▁a ▁distinct ly ▁different ▁way ▁from ▁the ▁moral ▁p hil oso pher s ▁and ▁Right ▁- ▁to ▁- ▁Life rs .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP NOUN NOUN NOUN NOUN VERB VERB VERB ADP DET NOUN ADP NOUN ADV ADV PUNCT PUNCT CCONJ ADP DET ADV ADV ADJ NOUN ADP DET ADJ NOUN NOUN NOUN NOUN NOUN CCONJ NOUN PUNCT NOUN PUNCT PROPN PROPN PROPN
It was the kind of illogical fear of the supernatural that in others made me sneer ; but all along I had felt that I was invited not out of hospitality, but for some other reason.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	figurative	identical	PRON VERB DET NOUN ADP ADJ NOUN ADP DET ADJ ADP ADP NOUN VERB PRON VERB PUNCT CCONJ DET ADP PRON VERB VERB ADP PRON VERB VERB ADV ADP ADP NOUN CCONJ ADP DET ADJ NOUN	▁It ▁was ▁the ▁kind ▁of ▁il logical ▁fear ▁of ▁the ▁super natural ▁that ▁in ▁others ▁made ▁me ▁s ne er ▁ ; ▁but ▁all ▁along ▁I ▁had ▁felt ▁that ▁I ▁was ▁invited ▁not ▁out ▁of ▁hospital ity , ▁but ▁for ▁some ▁other ▁reason .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET NOUN ADP ADJ ADJ NOUN ADP DET ADJ ADJ ADP ADP NOUN VERB PRON VERB VERB VERB PUNCT PUNCT CCONJ DET ADP PRON VERB VERB ADP PRON VERB VERB ADV ADP ADP NOUN NOUN NOUN CCONJ ADP DET ADJ NOUN NOUN
I love you, Folly — I think I 've loved you all along.	0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON VERB PRON PROPN PUNCT PRON VERB PRON VERB VERB PRON DET ADV	▁I ▁love ▁you , ▁F ol ly ▁ — ▁I ▁think ▁I ▁' ve ▁love d ▁you ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON VERB PRON PRON PROPN PROPN PROPN PUNCT PUNCT PRON VERB PRON VERB VERB VERB VERB PRON DET ADV ADV
Why do you come to me with a proposal for something you have resisted all along?’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	dashes	ADV VERB PRON VERB ADP PRON ADP DET NOUN ADP NOUN PRON VERB VERB DET NOUN	▁Why ▁do ▁you ▁come ▁to ▁me ▁with ▁a ▁proposal ▁for ▁something ▁you ▁have ▁resist ed ▁all ▁along ? ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV VERB PRON VERB ADP PRON ADP DET NOUN ADP NOUN PRON VERB VERB VERB DET NOUN NOUN NOUN
American morels can be found all along the Canadian border.	0 0 0 0 0 1 1 0 0 0	all along	literal	identical	ADJ NOUN VERB VERB VERB ADV ADP DET ADJ NOUN	▁American ▁more ls ▁can ▁be ▁found ▁all ▁along ▁the ▁Canadian ▁border .	0 0 0 0 0 0 1 1 0 0 0 0	ADJ NOUN NOUN VERB VERB VERB ADV ADP DET ADJ NOUN NOUN
She was lucky she 'd been able to keep it a secret all along.	0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	PRON VERB ADJ PRON VERB VERB ADJ PART VERB PRON DET NOUN DET ADV	▁She ▁was ▁luck y ▁she ▁' d ▁been ▁able ▁to ▁keep ▁it ▁a ▁secret ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	PRON VERB ADJ ADJ PRON VERB VERB VERB ADJ PART VERB PRON DET NOUN DET ADV ADV
However, events take a path of their own and the picture finally brings him the happiness it seemed to promise all along.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	all along	figurative	identical	ADV NOUN VERB DET NOUN ADP ADJ ADJ CCONJ DET NOUN ADV VERB PRON DET NOUN PRON VERB PART VERB DET ADV	▁However , ▁events ▁take ▁a ▁path ▁of ▁their ▁own ▁and ▁the ▁picture ▁finally ▁bring s ▁him ▁the ▁h app iness ▁it ▁seemed ▁to ▁promise ▁all ▁along .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	ADV ADV NOUN VERB DET NOUN ADP ADJ ADJ CCONJ DET NOUN ADV VERB VERB PRON DET NOUN NOUN NOUN PRON VERB PART VERB DET ADV ADV
Coal was handled all along the Forth with Charlestown, West of Rosyth being the early front runner shipping 250,000 tons in 1869.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	all along	literal	identical	PROPN VERB VERB ADV ADP DET PROPN ADP PROPN PROPN ADP PROPN VERB DET ADJ ADJ NOUN VERB NUM NOUN ADP NUM	▁Coal ▁was ▁handled ▁all ▁along ▁the ▁For th ▁with ▁Charles town , ▁West ▁of ▁Ro sy th ▁being ▁the ▁early ▁front ▁ runner ▁shipping ▁25 0,000 ▁tons ▁in ▁18 69 .	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB VERB ADV ADP DET PROPN PROPN ADP PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN VERB DET ADJ ADJ NOUN NOUN VERB NUM NUM NOUN ADP NUM NUM NUM
