Bob's your uncle.	1 1 1	bob's your uncle	figurative	dashes	PROPN ADJ NOUN
Yes, and therefore it happens, you tread on something and Bob's your uncle!	0 0 0 0 0 0 0 0 0 0 1 1 1	bob's your uncle	figurative	dashes	INTJ CCONJ ADV PRON VERB PRON VERB ADP NOUN CCONJ PROPN ADJ NOUN
Pour it in a glass and look at it, or a spoon but pour it out the bottle, hold your breath and Bob's your uncle!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	bob's your uncle	figurative	dashes	VERB PRON ADP DET NOUN CCONJ VERB ADP PRON CCONJ DET NOUN CCONJ VERB PRON PART DET NOUN VERB ADJ NOUN CCONJ PROPN ADJ NOUN
You can say : the sea was like blue glass, the sand like fine powder, and Bob's your uncle.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	bob's your uncle	figurative	dashes	PRON VERB VERB PUNCT DET NOUN VERB ADP ADJ NOUN DET NOUN ADP ADJ NOUN CCONJ PROPN ADJ NOUN
So he hung about in a lonely spot one night, just where the other fellow was due to pass by — and well, Bob's your uncle, as you so succinctly put it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	bob's your uncle	figurative	dashes	ADV PRON VERB PART ADP DET ADJ NOUN NUM NOUN ADV ADV DET ADJ NOUN VERB ADJ PART VERB ADP PUNCT CCONJ ADV PROPN ADJ NOUN ADP PRON ADV ADV VERB PRON
‘ Put in your powder,’ he said, ‘ and Bob's your uncle.’	0 0 0 0 0 0 0 0 0 1 1 1	bob's your uncle	figurative	dashes	PUNCT VERB PART ADJ NOUN PRON VERB PUNCT CCONJ PROPN ADJ NOUN
‘ You 'll get away with a fine and Bob's your uncle.’	0 0 0 0 0 0 0 0 0 1 1 1	bob's your uncle	figurative	dashes	PUNCT PRON VERB VERB ADV ADP DET NOUN CCONJ PROPN ADJ NOUN
Bon voyage, cheerio, and Bob's your uncle.	0 0 0 0 1 1 1	bob's your uncle	figurative	dashes	PROPN NOUN NOUN CCONJ PROPN ADJ NOUN
On even days he whispered about the five different meanings of how's your father and the etymology of knackered, Bob's your uncles, and taking the piss out of X or Y.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	bob's your uncle	figurative	misc	ADP ADJ NOUN PRON VERB ADP DET NUM ADJ NOUN ADP ADV ADJ NOUN CCONJ DET NOUN ADP VERB PROPN ADJ NOUN CCONJ VERB DET NOUN ADP ADP NOUN CCONJ PROPN
So Bob's your uncle.	0 1 1 1	bob's your uncle	figurative	dashes	ADV PROPN ADJ NOUN
And Bob's your uncle!’	0 1 1 1	bob's your uncle	figurative	dashes	CCONJ PROPN ADJ NOUN
