CRUEL BODY BLOW FOR ANITA	0 1 1 0 0	body blow	figurative	case	ADJ NOUN NOUN ADP NOUN
He is now resigned to selecting a side for the World Cup qualifier without the Juventus midfielder and described the news as ‘ a body blow’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	body blow	figurative	dashes	PRON VERB ADV VERB ADP VERB DET NOUN ADP DET PROPN PROPN ADV ADP DET PROPN NOUN CCONJ VERB DET NOUN ADP PUNCT DET NOUN NOUN
THE BRITISH government's claim that it is not necessary to remove lead from petrol received another body - blow last week.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	body blow	figurative	dashes	DET ADJ NOUN NOUN ADP PRON VERB ADV ADJ PART VERB NOUN ADP NOUN VERB DET NOUN PUNCT NOUN ADJ NOUN
The protest received a body - blow last month when Mr John Wakeham, energy secretary, approved upgrading of the 11 km.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	body blow	figurative	dashes	DET NOUN VERB DET NOUN PUNCT NOUN ADJ NOUN ADV PROPN PROPN PROPN NOUN NOUN VERB NOUN ADP DET NUM NOUN
But tomorrow, with just a few words, the Chancellor could deal the company a body blow.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1	body blow	figurative	identical	CCONJ NOUN ADP ADV DET ADJ NOUN DET PROPN VERB VERB DET NOUN DET NOUN NOUN
The use of her own words against her was a body blow and she looked away.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	body blow	figurative	identical	DET NOUN ADP ADJ ADJ NOUN ADP PRON VERB DET NOUN NOUN CCONJ PRON VERB ADV
It seemed like a thousand years had lapsed since ‘ Meat Is Murder’ and how refreshing it was, how exciting to place the record clumsily on the turntable for the first time to be faced with the full frontal body blow that is the title track.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	body blow	figurative	identical	PRON VERB ADP DET NUM NOUN VERB VERB ADP PUNCT NOUN VERB PROPN CCONJ ADV VERB PRON VERB ADV ADJ PART VERB DET NOUN ADV ADP DET NOUN ADP DET ADJ NOUN PART VERB VERB ADP DET ADJ ADJ NOUN NOUN ADJ VERB DET NOUN NOUN
Meanwhile, Aston Villa manager Ron Atkinson was last night reeling from the body blow of one of his biggest disappointments in football.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0	body blow	figurative	identical	ADV PROPN PROPN NOUN PROPN PROPN VERB ADJ NOUN VERB ADP DET NOUN NOUN ADP NUM ADP ADJ ADJ NOUN ADP NOUN
When it fell to his lot to cut her free from the coils of the hydra, had his poignant fixation received a body - blow — or a boost?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	body blow	figurative	dashes	ADV PRON VERB ADP ADJ NOUN PART VERB PRON ADJ ADP DET NOUN ADP DET NOUN VERB ADJ ADJ NOUN VERB DET NOUN PUNCT NOUN PUNCT CCONJ DET NOUN
With this body - blow came a plea for understanding.	0 0 1 0 1 0 0 0 0 0	body blow	figurative	dashes	ADP DET NOUN PUNCT NOUN VERB DET NOUN ADP NOUN
The first body - blow to this belief was dealt by Kinsey, Pomeroy and Martin, who concluded that, far from a high - point of sexual feeling and tension existing only in the earlier adult years and continuing only to around the mid - fifties, sexuality and sexual activity decline after youth only in the most gradual way, with no set or probable point of cessation.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	body blow	figurative	dashes	DET ADJ NOUN PUNCT NOUN ADP DET NOUN VERB VERB ADP PROPN PROPN CCONJ PROPN NOUN VERB ADP ADV ADP DET ADJ PUNCT NOUN ADP ADJ NOUN CCONJ NOUN VERB ADV ADP DET ADJ NOUN NOUN CCONJ VERB ADV ADP ADP DET ADJ PUNCT NOUN NOUN CCONJ ADJ NOUN NOUN ADP NOUN ADV ADP DET ADV ADJ NOUN ADP DET ADJ CCONJ ADJ NOUN ADP NOUN
Learning that your loved one is having an affair is a body - blow to trust and poison to self - esteem.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	body blow	figurative	dashes	VERB ADP ADJ VERB NOUN VERB VERB DET NOUN VERB DET NOUN PUNCT NOUN PART VERB CCONJ NOUN ADP NOUN PUNCT NOUN
Then, a body blow.	0 0 1 1	body blow	figurative	identical	ADV DET NOUN NOUN
Mr Godfray sent out a letter to some six hundred MPs on 25th January stating that ‘ A tax on books would be a body blow for education.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0	body blow	figurative	identical	PROPN PROPN VERB PART DET NOUN ADP DET NUM NUM NOUN ADP ADJ PROPN VERB ADP PUNCT DET NOUN ADP NOUN VERB VERB DET NOUN NOUN ADP NOUN
It was the biggest body - blow the club had taken since they were dumped into the Second Division 20 years ago.	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	body blow	figurative	dashes	PRON VERB DET ADJ NOUN PUNCT VERB DET NOUN VERB VERB ADP PRON VERB VERB ADP DET PROPN PROPN NUM NOUN ADV
The family friend told how the photos came as a body blow to 47-year - old Mia.	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	body blow	figurative	identical	DET NOUN NOUN VERB ADV DET NOUN VERB ADP DET NOUN NOUN ADP NUM PUNCT ADJ PROPN
