There's no cover, and — as happened to me — any stranger sticks out like a sore thumb.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1	stick out like a sore thumb	figurative	inflection	ADV DET NOUN CCONJ PUNCT ADP VERB ADP PRON PUNCT DET NOUN VERB PART ADP DET ADJ NOUN
Historically, both state and federal ~ attorney generals have preferred to prosecute “ occasional ” traders, who stick out like a sore thumb.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1	stick out like a sore thumb	figurative	identical	ADV DET NOUN CCONJ ADJ PUNCT NOUN NOUN VERB VERB PART VERB PUNCT ADJ PUNCT NOUN NOUN VERB PART ADP DET ADJ NOUN
Having said that, in some of the bits of Shoreditch I passed through I stuck out like a sore thumb.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1	stick out like a sore thumb	figurative	inflection	VERB VERB ADP ADP DET ADP DET NOUN ADP PROPN PRON VERB ADP PRON VERB PART ADP DET ADJ NOUN
Having a whole batch together should make an odd one stick out like a sore thumb.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1	stick out like a sore thumb	figurative	identical	VERB DET ADJ NOUN ADV VERB VERB DET ADJ NUM NOUN PART ADP DET ADJ NOUN
I mean it stuck out like a sore thumb, I mean er by King George's playing fields erm cos of the, they hadn't the, th the, the s other story for that was as I said was we they sent er some of us to a class in Walsall for er aircraft recognition and er the days I went to this class, cos I went as er, er both for the factory and for the Home Guard, so that I could cover both the factory and when I were on duty, Home Guard and we was at a building on the corner of Corporation Street and west, and we was taking classes in there.	0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	stick out like a sore thumb	figurative	inflection	PRON VERB PRON VERB PART ADP DET ADJ NOUN PRON VERB INTJ ADP PROPN PROPN NOUN NOUN NOUN ADP ADP DET PRON VERB DET X DET DET NOUN ADJ NOUN ADP DET VERB ADP PRON VERB VERB PRON PRON VERB INTJ DET ADP PRON ADP DET NOUN ADP PROPN ADP INTJ NOUN NOUN CCONJ INTJ DET NOUN PRON VERB ADP DET NOUN ADP PRON VERB ADP INTJ INTJ DET ADP DET NOUN CCONJ ADP DET PROPN PROPN ADP ADP PRON VERB VERB CCONJ DET NOUN CCONJ ADV PRON VERB ADP NOUN PROPN PROPN CCONJ PRON VERB ADP DET NOUN ADP DET NOUN ADP PROPN PROPN CCONJ NOUN CCONJ PRON VERB VERB NOUN ADP ADV
He did not stick out like a sore thumb — the drawback of most Englishmen, and he spoke French fluently.	0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	stick out like a sore thumb	figurative	identical	PRON VERB ADV VERB PART ADP DET ADJ NOUN PUNCT DET NOUN ADP ADJ PROPN CCONJ PRON VERB PROPN ADV
I, er I mean it sticks out like a sore thumb, and one would have expected that this paper came from education.	0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0	stick out like a sore thumb	figurative	inflection	PRON INTJ PRON VERB PRON VERB PART ADP DET ADJ NOUN CCONJ PRON VERB VERB VERB ADP DET NOUN VERB ADP NOUN
Look at the surrounding skyline and pick out things that catch the eye — the flashy Porsche in the car - park, the dark cloud looming or the ugly building that sticks out like a sore thumb.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1	stick out like a sore thumb	figurative	inflection	VERB ADP DET VERB NOUN CCONJ VERB PART NOUN ADJ VERB DET NOUN PUNCT DET ADJ PROPN ADP DET NOUN PUNCT NOUN DET ADJ NOUN VERB CCONJ DET ADJ NOUN ADJ VERB PART ADP DET ADJ NOUN
This was decidedly amateur night and if the book itself hadn't stuck out like a sore thumb among the reference works, then a quick look at the floppy spine would have given the game away.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	stick out like a sore thumb	figurative	inflection	DET VERB ADV ADJ NOUN CCONJ ADP DET NOUN PRON VERB VERB PART ADP DET ADJ NOUN ADP DET NOUN VERB ADV DET ADJ NOUN ADP DET ADJ NOUN VERB VERB VERB DET NOUN ADV
But that was in 1909 and she has had so many successors that the device now sticks out like a sore thumb and must be used only with the greatest care and deftness of touch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	stick out like a sore thumb	figurative	inflection	CCONJ DET VERB ADP NUM CCONJ PRON VERB VERB ADV ADJ NOUN ADP DET NOUN ADV VERB PART ADP DET ADJ NOUN CCONJ VERB VERB VERB ADV ADP DET ADJ NOUN CCONJ NOUN ADP NOUN
You stick out like a sore thumb in that ghastly uniform, Charles.	0 1 1 1 0 1 1 0 0 0 0 0	stick out like a sore thumb	figurative	identical	PRON VERB PART ADP DET ADJ NOUN ADP DET ADV ADJ PROPN
