Foreign policy will take a back seat while Clinton sorts out domestic problems.	0 0 0 1 0 1 1 0 0 0 0 0 0	take a back seat	figurative	identical	ADJ NOUN VERB VERB DET ADJ NOUN ADP PROPN VERB PART ADJ NOUN
Branch manager Richard Fairhurst took a back seat for the day, as he rode along on the back of a tandem.	0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	inflection	NOUN NOUN PROPN PROPN VERB DET ADJ NOUN ADP DET NOUN ADP PRON VERB PART ADP DET NOUN ADP DET NOUN
Party members and SA men, who in 1933 had seen themselves as posing a radical, populist alternative to the conservative Reichswehr, now took a back seat and simply provided the setting for the triumphant reception of young officers of the Wehrmacht, heroes home on leave from the Front recounting tales of stirring deeds which had earned them the Ritterkreuz.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	inflection	NOUN NOUN CCONJ PROPN NOUN NOUN ADP NUM VERB VERB PRON ADP VERB DET ADJ ADJ NOUN ADP DET ADJ PROPN ADV VERB DET ADJ NOUN CCONJ ADV VERB DET NOUN ADP DET NOUN NOUN ADP ADJ NOUN ADP DET PROPN NOUN ADV ADP NOUN ADP DET PROPN NOUN NOUN ADP VERB NOUN ADJ VERB VERB PRON DET PROPN
That her family had taken a back seat in her life.	0 0 0 0 1 0 1 1 0 0 0	take a back seat	figurative	inflection	ADP ADJ NOUN VERB VERB DET ADJ NOUN ADP ADJ NOUN
‘ Any developments? or does that murder take a back seat now they 've got a new one to think about?’	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	PUNCT DET NOUN CCONJ VERB DET NOUN VERB DET ADJ NOUN ADV PRON VERB VERB DET ADJ NOUN PART VERB NOUN
Turning the original classic topsy - turvy, Stoppard makes Hamlet himself take a back seat and elevates two minor characters to star status.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	VERB DET ADJ ADJ ADJ PUNCT ADJ PROPN VERB PROPN PRON VERB DET ADJ NOUN CCONJ VERB NUM ADJ NOUN PART VERB NOUN
You have to take a back seat and be ‘ an unselfish performer’, and very few successful acts or ‘ stars’ are unselfish.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	PRON VERB PART VERB DET ADJ NOUN CCONJ VERB PRON DET ADJ NOUN CCONJ ADV ADJ ADJ NOUN CCONJ ADJ NOUN VERB ADJ
But they might find it difficult to take a back seat and Whitehall believes that criminal intelligence will evolve into a top detective agency with an operational arm.	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	identical	CCONJ PRON VERB VERB PRON ADJ PART VERB DET ADJ NOUN CCONJ PROPN VERB ADP ADJ NOUN VERB VERB ADP DET ADJ NOUN NOUN ADP DET ADJ NOUN
In fact the professional golfers almost took a back seat, and it always afforded me some wry amusement when Ryder Cup golfers of repute were ignored by the spectators who were intent on getting the autograph of some star from a television soap opera.	0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	inflection	ADP NOUN DET ADJ NOUN ADV VERB DET ADJ NOUN CCONJ PRON ADV VERB PRON DET ADJ NOUN ADV PROPN PROPN NOUN ADP NOUN VERB VERB ADP DET NOUN NOUN VERB ADJ ADP VERB DET NOUN ADP DET NOUN ADP DET NOUN NOUN NOUN
In previous years this was how the BBC treated the competition, but gradually, with its revamped Sunday Grandstand, cricket took a back seat to free - fall dominoes and the like.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0	take a back seat	figurative	inflection	ADP ADJ NOUN DET VERB ADV DET PROPN VERB DET NOUN CCONJ ADV ADP ADJ VERB PROPN PROPN NOUN VERB DET ADJ NOUN ADP ADJ PUNCT NOUN NOUN CCONJ DET ADJ
I think that what happened was that a lot of traditional union members, that is, the white, heterosexual male stewards who normally formed its backbone, for once took a back - seat, and allowed us to get on with it — to organize in our own way which we did.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take a back seat	figurative	combined-inflection	PRON VERB ADP NOUN VERB VERB ADP DET NOUN ADP ADJ NOUN NOUN ADV ADV DET ADJ ADJ ADJ NOUN NOUN ADV VERB ADJ NOUN ADP ADV VERB DET NOUN PUNCT NOUN CCONJ VERB PRON PART VERB PART ADP PRON PUNCT PART VERB ADP ADJ ADJ NOUN ADJ PRON VERB
