No, but they 're very nice you can take it from me	0 0 0 0 0 0 0 0 1 1 1 1	take it from me	figurative	identical	INTJ CCONJ PRON VERB ADV ADJ PRON VERB VERB PRON ADP PRON
He took it from me and put it on the mantelpiece.	0 1 1 1 1 0 0 0 0 0 0	take it from me	literal	inflection	PRON VERB PRON ADP PRON CCONJ VERB PRON ADP DET NOUN
' Take it from me, Wilson, ' said the headmaster, ' you are nothing like Napoleon.	0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	case	PUNCT VERB PRON ADP PRON PROPN PUNCT VERB DET NOUN PUNCT PRON VERB NOUN ADP PROPN
Take it from me, they don't come much dirtier than Lovedolls, not in England, not legally.	1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	case	VERB PRON ADP PRON PRON VERB VERB ADV ADJ ADP PROPN ADV ADP PROPN ADV ADV
' Take it from me as a medico, ' called Pringle up to her, ' no stirrup - cups today!	0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	case	PUNCT VERB PRON ADP PRON ADP DET NOUN PUNCT VERB PROPN PART ADP PRON PUNCT DET NOUN PUNCT NOUN NOUN
take it from me that I haven't seen one and if there is one I 'd be grateful if somebody on your site would point it out, but to my knowledge no such document has been disclosed.	1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	identical	VERB PRON ADP PRON ADP PRON VERB VERB NUM CCONJ ADP ADV VERB NUM PRON VERB VERB ADJ ADP NOUN ADP ADJ NOUN VERB VERB PRON PART CCONJ ADP ADJ NOUN DET ADJ NOUN VERB VERB VERB
Then take it from me.	0 1 1 1 1	take it from me	figurative	identical	ADV VERB PRON ADP PRON
Bashing them over the head would be really tricky, take it from me.’	0 0 0 0 0 0 0 0 0 1 1 1 1	take it from me	figurative	dashes	VERB PRON ADP DET NOUN VERB VERB ADV ADJ VERB PRON ADP NOUN
' Take it from me, ' said Thorfinn.	0 1 1 1 1 0 0 0	take it from me	figurative	case	PUNCT VERB PRON ADP PRON PUNCT VERB PROPN
Well erm take it from me that I 've worked for for major American corporates and one major British corporate and er there is still something that you may miss all right.	0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	identical	INTJ INTJ VERB PRON ADP PRON ADP PRON VERB VERB ADP ADP ADJ ADJ NOUN CCONJ NUM ADJ ADJ ADJ CCONJ INTJ ADV VERB ADV NOUN ADJ PRON VERB VERB ADV ADJ
‘ I think you can take it from me,’ said Rose firmly, ‘ that Mr Didier did not murder Sir Thomas,’earning himself a look of gratitude from Auguste.	0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take it from me	figurative	dashes	PUNCT PRON VERB PRON VERB VERB PRON ADP PROPN VERB PROPN ADV PUNCT ADP PROPN PROPN VERB ADV VERB PROPN VERB PRON DET NOUN ADP NOUN ADP PROPN
' Take it from me, Tom, you had the simp option. '	0 1 1 1 1 0 0 0 0 0 0 0	take it from me	figurative	case	PUNCT VERB PRON ADP PRON PROPN PRON VERB DET ADJ NOUN PUNCT
