But if she opens it gon na take her to the cleaners!	0 0 0 0 0 0 0 1 1 1 0 1	take someone to the cleaners	figurative	objective	CCONJ ADP PRON VERB PRON VERB PART VERB PRON ADP DET NOUN
Instead of taking Barnsley to the cleaners, it was Swindon who went in the washtub and were all but scrubbed out.	0 0 1 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone to the cleaners	figurative	combined-inflection	ADV ADP VERB PROPN ADP DET NOUN PRON VERB PROPN NOUN VERB ADP DET NOUN CCONJ VERB DET CCONJ VERB PART
and with so much steam coming from the forwards all the signs were that Gloucester were going to take sale to the cleaners …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0	take someone to the cleaners	figurative	combined-inflection	CCONJ ADP ADV ADJ NOUN VERB ADP DET NOUN ADJ DET NOUN VERB ADP PROPN VERB VERB PART VERB NOUN ADP DET NOUN PUNCT
The British had been taken to the cleaners because foolish politicians in post - war Britain had elected to produce sociologists instead of engineers, and the predictable end result was that Britain had been short on wealth creators and long on spenders.	0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take someone to the cleaners	figurative	combined-inflection	DET PROPN VERB VERB VERB ADP DET NOUN ADP ADJ NOUN ADP NOUN PUNCT NOUN PROPN VERB VERB PART VERB NOUN ADV ADP NOUN CCONJ DET ADJ NOUN NOUN VERB ADP PROPN VERB VERB ADJ ADP NOUN NOUN CCONJ ADV ADP NOUN
Some of these types who went in for murder as a professional thing would probably take you to the cleaners as soon as look at you.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0 0 0 0 0	take someone to the cleaners	figurative	objective	DET ADP DET NOUN NOUN VERB ADV ADP NOUN ADP DET ADJ NOUN VERB ADV VERB PRON ADP DET NOUN ADV ADV ADP NOUN ADP PRON
Oh yes they are they 're nice presents and erm she said she is is sort of in charge of his suits and he can only wear a suit she takes a suit to the cleaners every three weeks.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 1 0 0 0	take someone to the cleaners	literal	combined-inflection	INTJ INTJ PRON VERB PRON VERB ADJ NOUN CCONJ NOUN PRON VERB PRON VERB VERB ADV ADV ADP NOUN ADP ADJ NOUN CCONJ PRON VERB ADV VERB DET NOUN PRON VERB DET NOUN ADP DET NOUN DET NUM NOUN
NOT only did the Kiwis get blown off the park at the Hong Kong Sevens by Fiji, but three gnarled members of their supporters club got taken to the cleaners in a local hostess bar.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 0 1 0 0 0 0 0	take someone to the cleaners	figurative	combined-inflection	ADV ADV VERB DET PROPN VERB VERB ADP DET NOUN ADP DET PROPN PROPN PROPN ADP PROPN CCONJ NUM VERB NOUN ADP ADJ NOUN NOUN VERB VERB ADP DET NOUN ADP DET ADJ NOUN NOUN
But I do remember Sterland giving an interview before the final saying that he was basically taken to the cleaners by the boy.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 1 0 0 0	take someone to the cleaners	figurative	combined-inflection	CCONJ PRON VERB VERB PROPN VERB DET NOUN ADP DET ADJ NOUN ADP PRON VERB ADV VERB ADP DET NOUN ADP DET NOUN
However, Underwood's achievement fell short of the seven tries by Alistair Smallwood, who took Manchester to the cleaners in 1922.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 0 0	take someone to the cleaners	figurative	combined-inflection	ADV PROPN NOUN VERB ADV ADP DET NUM NOUN ADP PROPN PROPN NOUN VERB PROPN ADP DET NOUN ADP NUM
After a shaky start, we took them to the cleaners.	0 0 0 0 0 1 1 1 0 1	take someone to the cleaners	figurative	combined-inflection	ADP DET ADJ NOUN PRON VERB PRON ADP DET NOUN
You can't, you took it to the cleaners on Saturday …	0 0 0 1 1 1 0 1 0 0 0	take someone to the cleaners	literal	combined-inflection	PRON VERB PRON VERB PRON ADP DET NOUN ADP PROPN PUNCT
