Take my words for it.	1 1 1 1 1	take someone's word for it	figurative	combined-inflection	VERB ADJ NOUN ADP PRON	▁Take ▁my ▁words ▁for ▁it .	1 1 1 1 1 1	VERB ADJ NOUN ADP PRON PRON
‘ The Americans aren't going to be impressed by somebody from Sprague's Committee who wasn't within miles of the Abbey telling them Not to worry old boy the Redcoats have muddled through again can't recall the details but just take my word for it …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0	take someone's word for it	figurative	possessive	PUNCT DET PROPN VERB VERB PART VERB VERB ADP NOUN ADP PROPN PROPN NOUN VERB ADP NOUN ADP DET PROPN VERB PRON ADV PART VERB ADJ NOUN DET PROPN VERB VERB PART ADV VERB VERB DET NOUN CCONJ ADV VERB ADJ NOUN ADP PRON PUNCT	▁ ‘ ▁The ▁Americans ▁are n ' t ▁going ▁to ▁be ▁impress ed ▁by ▁somebody ▁from ▁S pra gue ' s ▁Committee ▁who ▁was n ' t ▁within ▁miles ▁of ▁the ▁A bb ey ▁telling ▁them ▁Not ▁to ▁worry ▁old ▁boy ▁the ▁Red co ats ▁have ▁mud d led ▁through ▁again ▁can ' t ▁recall ▁the ▁details ▁but ▁just ▁take ▁my ▁word ▁for ▁it ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0	PUNCT PUNCT DET PROPN VERB VERB VERB VERB VERB PART VERB VERB VERB ADP NOUN ADP PROPN PROPN PROPN PROPN PROPN PROPN NOUN VERB VERB VERB VERB ADP NOUN ADP DET PROPN PROPN PROPN VERB PRON ADV PART VERB ADJ NOUN DET PROPN PROPN PROPN VERB VERB VERB VERB PART ADV VERB VERB VERB VERB DET NOUN CCONJ ADV VERB ADJ NOUN ADP PRON PUNCT
You can take my word for it.’	0 0 1 1 1 1 1	take someone's word for it	figurative	combined-other	PRON VERB VERB ADJ NOUN ADP NOUN	▁You ▁can ▁take ▁my ▁word ▁for ▁it . ’	0 0 1 1 1 1 1 1 1	PRON VERB VERB ADJ NOUN ADP NOUN NOUN NOUN
It's a pity we can't animate the final movie for you to see, but take my word for it — and the editor's — the results are certainly superb.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	PRON DET NOUN PRON VERB VERB DET ADJ NOUN ADP PRON PART VERB CCONJ VERB ADJ NOUN ADP PRON PUNCT CCONJ DET NOUN PUNCT DET NOUN VERB ADV ADJ	▁It ' s ▁a ▁pity ▁we ▁can ' t ▁an im ate ▁the ▁final ▁mo vie ▁for ▁you ▁to ▁see , ▁but ▁take ▁my ▁word ▁for ▁it ▁ — ▁and ▁the ▁editor ' s ▁ — ▁the ▁results ▁are ▁certainly ▁super b .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON PRON PRON DET NOUN PRON VERB VERB VERB VERB VERB VERB DET ADJ NOUN NOUN ADP PRON PART VERB VERB CCONJ VERB ADJ NOUN ADP PRON PUNCT PUNCT CCONJ DET NOUN NOUN NOUN PUNCT PUNCT DET NOUN VERB ADV ADJ ADJ ADJ
Ronni was prepared to take his word for it.	0 0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	PROPN VERB ADJ PART VERB ADJ NOUN ADP PRON	▁R on ni ▁was ▁prepared ▁to ▁take ▁his ▁word ▁for ▁it .	0 0 0 0 0 0 1 1 1 1 1 1	PROPN PROPN PROPN VERB ADJ PART VERB ADJ NOUN ADP PRON PRON
They Les takes my word for it.	0 0 1 1 1 1 1	take someone's word for it	figurative	combined-inflection	PRON ADV VERB ADJ NOUN ADP PRON	▁They ▁L es ▁takes ▁my ▁word ▁for ▁it .	0 0 0 1 1 1 1 1 1	PRON ADV ADV VERB ADJ NOUN ADP PRON PRON
And then backspace, I think, I 'm no I 'm not positive on that so don't take my word for it, you 'll probably mess the whole thing up!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0	take someone's word for it	figurative	possessive	CCONJ ADV NOUN PRON VERB PRON VERB INTJ PRON VERB ADV ADJ ADP DET ADV VERB VERB ADJ NOUN ADP PRON PRON VERB ADV VERB DET ADJ NOUN PART	▁And ▁then ▁back space , ▁I ▁think , ▁I ▁' m ▁no ▁I ▁' m ▁not ▁positive ▁on ▁that ▁so ▁don ' t ▁take ▁my ▁word ▁for ▁it , ▁you ▁' ll ▁probably ▁me s s ▁the ▁whole ▁thing ▁up !	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADV NOUN NOUN NOUN PRON VERB VERB PRON VERB VERB INTJ PRON VERB VERB ADV ADJ ADP DET ADV VERB VERB VERB VERB ADJ NOUN ADP PRON PRON PRON VERB VERB ADV VERB VERB VERB DET ADJ NOUN PART PART
‘ I could never have taken your word for it …	0 0 0 0 0 1 1 1 1 1 0	take someone's word for it	figurative	combined-inflection	PUNCT PRON VERB ADV VERB VERB ADJ NOUN ADP PRON PUNCT	▁ ‘ ▁I ▁could ▁never ▁have ▁taken ▁your ▁word ▁for ▁it ▁...	0 0 0 0 0 0 1 1 1 1 1 0	PUNCT PUNCT PRON VERB ADV VERB VERB ADJ NOUN ADP PRON PUNCT
Germon and Shane Thomson are two of the gentlemen of New Zealand cricket, and one run later Germon took Thomson's word for it that he had caught him at extra cover, and walked.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	combined-inflection	PROPN CCONJ PROPN PROPN VERB NUM ADP DET NOUN ADP PROPN PROPN NOUN CCONJ NUM NOUN ADV PROPN VERB PROPN NOUN ADP PRON ADP PRON VERB VERB PRON ADP ADJ NOUN CCONJ VERB	▁Ger mon ▁and ▁Sha ne ▁T hom son ▁are ▁two ▁of ▁the ▁gentlemen ▁of ▁New ▁Zealand ▁cri cke t , ▁and ▁one ▁run ▁later ▁Ger mon ▁took ▁T hom son ' s ▁word ▁for ▁it ▁that ▁he ▁had ▁caught ▁him ▁at ▁extra ▁cover , ▁and ▁walked .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN VERB NUM ADP DET NOUN ADP PROPN PROPN NOUN NOUN NOUN NOUN CCONJ NUM NOUN ADV PROPN PROPN VERB PROPN PROPN PROPN PROPN PROPN NOUN ADP PRON ADP PRON VERB VERB PRON ADP ADJ NOUN NOUN CCONJ VERB VERB
Take his word for it people : Ashton's winged fellowship are homing in on you.	1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	take someone's word for it	figurative	combined-other	VERB ADJ NOUN ADP PRON NOUN PUNCT PROPN ADJ NOUN VERB VERB PART ADP PRON	▁Take ▁his ▁word ▁for ▁it ▁people ▁ : ▁Ash ton ' s ▁wing ed ▁fellow ship ▁are ▁ho ming ▁in ▁on ▁you .	1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB ADJ NOUN ADP PRON NOUN PUNCT PUNCT PROPN PROPN PROPN PROPN ADJ ADJ NOUN NOUN VERB VERB VERB PART ADP PRON PRON
I know that many of you might doubt that, but I hope you will take my word for it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	take someone's word for it	figurative	possessive	PRON VERB ADP ADJ ADP PRON VERB VERB ADP CCONJ PRON VERB PRON VERB VERB ADJ NOUN ADP PRON	▁I ▁know ▁that ▁many ▁of ▁you ▁might ▁doubt ▁that , ▁but ▁I ▁hope ▁you ▁will ▁take ▁my ▁word ▁for ▁it .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	PRON VERB ADP ADJ ADP PRON VERB VERB ADP ADP CCONJ PRON VERB PRON VERB VERB ADJ NOUN ADP PRON PRON
