take the biscuits.	1 0 1	take the biscuit	figurative	inflection	VERB DET NOUN
This really takes the biscuit!!	0 0 1 0 1	take the biscuit	figurative	inflection	DET ADV VERB DET NOUN
HAVE heard many stories of people running into old school friends after a number of years, but this one takes the biscuit.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the biscuit	figurative	inflection	VERB VERB ADJ NOUN ADP NOUN VERB ADP ADJ NOUN NOUN ADP DET NOUN ADP NOUN CCONJ DET NOUN VERB DET NOUN
Award takes the biscuit	0 1 0 1	take the biscuit	figurative	inflection	NOUN VERB DET NOUN
And — this idea really takes the biscuit — the cute TV puppy impersonation ; you know the one — grab the end of a full toilet roll and run off with it, laughing, Mum in hot pursuit!	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the biscuit	figurative	inflection	CCONJ PUNCT DET NOUN ADV VERB DET NOUN PUNCT DET ADJ NOUN NOUN NOUN PUNCT PRON VERB DET NUM PUNCT VERB DET NOUN ADP DET ADJ NOUN NOUN CCONJ VERB PART ADP PRON VERB PROPN ADP ADJ NOUN
Taking the biscuit though was Mr Andy Preston who donned a ridiculously extravagant full length [ right down over his board]Easter Island statue disguise and dropped in.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the biscuit	figurative	combined-inflection	VERB DET NOUN ADP VERB PROPN PROPN PROPN NOUN VERB DET ADV ADJ ADJ NOUN PUNCT ADV ADV ADP ADJ PROPN PROPN NOUN NOUN CCONJ VERB PART
Coming from the Health Department, who should know something about how difficult it is to align health and age, it really takes the biscuit.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the biscuit	figurative	inflection	VERB ADP DET PROPN PROPN NOUN VERB VERB NOUN ADP ADV ADJ PRON VERB PART VERB NOUN CCONJ NOUN PRON ADV VERB DET NOUN
He looks away and takes another dry biscuit.	0 0 0 0 1 0 0 1	take the biscuit	literal	combined-inflection	PRON VERB ADV CCONJ VERB DET ADJ NOUN
She wants to take biscuits from the kitchen but she doesn't because she knows she will get into trouble.	0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the biscuit	literal	deletion-determiner	PRON VERB PART VERB NOUN ADP DET NOUN CCONJ PRON VERB ADP PRON VERB PRON VERB VERB ADP NOUN
They 're saying that after all IBM Corp has been through, hiring a guy from RJR Nabisco Corp really takes the biscuit, and Reuter sums up the new round of IBM woes succinctly : the headline on Tuesday night read 24MAR93 USA : IBM TUMBLES ON MAINFRAME CONCERN, GERSTNER.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the biscuit	figurative	inflection	PRON VERB VERB ADP ADP DET PROPN PROPN VERB VERB ADP VERB DET NOUN ADP PROPN PROPN PROPN ADV VERB DET NOUN CCONJ PROPN NOUN PART DET ADJ NOUN ADP PROPN VERB ADV PUNCT DET NOUN ADP PROPN NOUN VERB NUM PROPN PUNCT PROPN VERB ADP PROPN PROPN PROPN
John Cole's column of 24 April ( ‘ It really takes the biscuit’ ), which counterposed reports of famine ( in Sudan, again, and Zimbabwe ) with the domestic political ‘ babble’ over ‘ Scottish devolution, poll tax, or the privatisation of British Rail’, brought similar complaints.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the biscuit	figurative	combined-inflection	PROPN PROPN NOUN ADP NUM PROPN PUNCT PUNCT PRON ADV VERB DET NOUN PUNCT ADJ VERB NOUN ADP NOUN PUNCT ADP PROPN ADV CCONJ PROPN PUNCT ADP DET ADJ ADJ NOUN NOUN ADP PUNCT ADJ NOUN NOUN NOUN CCONJ DET NOUN ADP ADJ PROPN VERB ADJ NOUN
We particularly like the combination of skull - collared Fliegerbluse and camouflage jacket for assault gun crews ; and for sheer oddness a Luftwaffe bicycle - mounted Jäger unit wearing cavalry Waffenfarbe in Italy must take the biscuit.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the biscuit	figurative	identical	PRON ADV VERB DET NOUN ADP NOUN PUNCT VERB PROPN CCONJ NOUN NOUN ADP NOUN NOUN NOUN PUNCT CCONJ ADP ADJ NOUN DET PROPN NOUN PUNCT VERB PROPN NOUN VERB NOUN PROPN ADP PROPN VERB VERB DET NOUN
