Now you can imagine with a little van that size the policeman thought he was taking the mickey.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the mickey	figurative	inflection	ADV PRON VERB VERB ADP DET ADJ NOUN ADJ VERB DET NOUN VERB PRON VERB VERB DET NOUN
and you 've a number inside the car as well on the bottom of the car on the floor so er some of them no, they don't so some of them take the mickey of them and putting different plates on of a written off car from a scrap yard so you can have like a brand new Sierra smashed up in a scrap yard and you buy it for like a thousand pound and you this Sierra with a brand new Sierra, so you change all the plates over and do all this on the car and then you got a bloody Sierra worth about nine or ten thousand pound	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the mickey	figurative	identical	CCONJ PRON VERB DET NOUN ADP DET NOUN ADV ADV ADP DET NOUN ADP DET NOUN ADP DET NOUN ADV INTJ DET ADP PRON INTJ PRON VERB ADV DET ADP PRON VERB DET NOUN ADP PRON CCONJ VERB ADJ NOUN ADP ADP DET VERB PART NOUN ADP DET NOUN NOUN ADP PRON VERB VERB INTJ DET NOUN ADJ PROPN VERB PART ADP DET NOUN NOUN CCONJ PRON VERB PRON ADP INTJ DET NUM NOUN CCONJ PRON DET PROPN ADP DET NOUN ADJ PROPN ADV PRON VERB ADJ DET NOUN ADV CCONJ VERB ADJ DET ADP DET NOUN CCONJ ADV PRON VERB DET ADJ PROPN NOUN ADP NUM CCONJ NUM NUM NOUN
Lucy and your mother comes to take the mickey don't she?	0 0 0 0 0 0 1 0 1 0 0	take the mickey	figurative	identical	PROPN CCONJ ADJ NOUN VERB PART VERB DET NOUN VERB PRON
Dandies on a beano : Suede take the ' Mickey ' — and McCann's fancy	0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	take the mickey	figurative	combined-other	NOUN ADP DET NOUN PUNCT NOUN VERB DET PUNCT PROPN PUNCT PUNCT CCONJ PROPN NOUN
It starts of Stuart says to Geoff what team do you support, support and he says Nottingham Forest, ooh Nottingham Forest urgh and he takes the mickey out of him which okay, then he called him	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	take the mickey	figurative	inflection	PRON VERB ADP PROPN VERB ADP PROPN NOUN NOUN VERB PRON VERB NOUN CCONJ PRON VERB PROPN PROPN PROPN PROPN PROPN NOUN CCONJ PRON VERB DET NOUN ADP ADP PRON ADJ INTJ ADV PRON VERB PRON
You know how the other journalists take the mickey occasionally,’ I suggested.	0 0 0 0 0 0 1 0 1 0 0 0	take the mickey	figurative	identical	PRON VERB ADV DET ADJ NOUN VERB DET NOUN NOUN PRON VERB
We were just taking the mickey.	0 0 0 1 0 1	take the mickey	figurative	inflection	PRON VERB ADV VERB DET NOUN
He and his friend Keith took the mickey out of the rich.	0 0 0 0 0 1 0 1 0 0 0 0	take the mickey	figurative	inflection	PRON CCONJ ADJ NOUN PROPN VERB DET NOUN ADP ADP DET ADJ
After his death his empire could barely be sustained by the new rulers ( including Charles the Bald and Charles the Fat — is it possible to hold an empire together when the populace is taking the mickey out of you to that extent? ) and crumbled away over a period of two centuries.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the mickey	figurative	inflection	ADP ADJ NOUN ADJ NOUN VERB ADV VERB VERB ADP DET ADJ NOUN PUNCT VERB PROPN DET PROPN CCONJ PROPN DET PROPN PUNCT VERB PRON ADJ PART VERB DET NOUN ADV ADV DET NOUN VERB VERB DET NOUN ADP ADP PRON ADP DET NOUN PUNCT CCONJ VERB ADV ADP DET NOUN ADP NUM NOUN
And without any lead - up she said, ‘ From what I gather some people take the mickey out of her down there because of her name, punning it like, and she being a bit fat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the mickey	figurative	identical	CCONJ ADP DET NOUN PUNCT NOUN PRON VERB PUNCT ADP NOUN PRON VERB DET NOUN VERB DET NOUN ADP ADP PRON ADV ADV ADP ADP ADJ NOUN VERB PRON ADP CCONJ PRON VERB DET NOUN ADJ
Now if she 'd had the voice of the little dumpy one they all took the mickey out of, Lemon, as they called her, he just might have put the question to her.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the mickey	figurative	inflection	ADV ADP PRON VERB VERB DET NOUN ADP DET ADJ NOUN NOUN PRON DET VERB DET NOUN ADP ADP PROPN ADP PRON VERB PRON PRON ADV VERB VERB VERB DET NOUN ADP PRON
He loved that role, Barry Took told me, because it was a way of being quite open about homosexuality and taking the mickey out of it was safe.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	take the mickey	figurative	inflection	PRON VERB DET NOUN PROPN PROPN VERB PRON ADP PRON VERB DET NOUN ADP VERB ADV ADJ ADP NOUN CCONJ VERB DET NOUN ADP ADP PRON VERB ADJ
Don't you see by ha don't you see by not retaliating, you 're already showing us something it's just a personal opinion I have I 've it's like, I dunno if you have the se erm i if people are taking the mickey out of you, ignore them.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	take the mickey	figurative	inflection	VERB PRON VERB ADP INTJ VERB PRON VERB ADP ADV VERB PRON VERB ADV VERB PRON NOUN PRON ADV DET ADJ NOUN PRON VERB PRON VERB PRON INTJ PRON VERB ADP PRON VERB DET X NOUN PRON ADP NOUN VERB VERB DET NOUN ADP ADP PRON VERB PRON
I think that taking the mickey out of them.	0 0 0 1 0 1 0 0 0	take the mickey	figurative	inflection	PRON VERB ADP VERB DET NOUN ADP ADP PRON
