A wealth of inviting attractions await all visitors who take the plunge …	0 0 0 0 0 0 0 0 0 1 0 1 0	take the plunge	figurative	identical	DET NOUN ADP VERB NOUN VERB DET NOUN NOUN VERB DET NOUN PUNCT
Her conversion helped to make the BDDA at long last take the plunge and appoint its first paid staff.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	take the plunge	figurative	identical	ADJ NOUN VERB PART VERB DET PROPN ADP ADV ADV VERB DET NOUN CCONJ VERB ADJ ADJ VERB NOUN
Manager Jean Cundy and her assistant Cherrie Elliott took the plunge and dressed as rabbits for the day, which was hailed as a great success.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	inflection	PROPN PROPN PROPN CCONJ ADJ ADJ PROPN PROPN VERB DET NOUN CCONJ VERB ADP NOUN ADP DET NOUN ADJ VERB VERB ADP DET ADJ NOUN
Anthony Lewis talks to drivers who have taken the plunge and switched from petrol - engined cars to diesel with not a regret between them The doctor	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	inflection	PROPN PROPN VERB ADP NOUN NOUN VERB VERB DET NOUN CCONJ VERB ADP NOUN PUNCT VERB NOUN PART VERB ADP ADV DET NOUN ADP PRON DET NOUN
It is therefore prudent for a newcomer to spend considerable time and effort acquiring the skills before taking the plunge by buying a farm.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	take the plunge	figurative	inflection	PRON VERB ADV ADJ ADP DET NOUN PART VERB ADJ NOUN CCONJ NOUN VERB DET NOUN ADP VERB DET NOUN ADP VERB DET NOUN
Only Hungary — a superbly well managed economy by CMEA standards — has taken the plunge and restored direction to its flagging reform efforts ( a direct consequence of which has been a 79 per cent increase in the consumer price index between 1979–1983 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	inflection	ADV PROPN PUNCT DET ADV ADV VERB NOUN ADP PROPN NOUN PUNCT VERB VERB DET NOUN CCONJ VERB NOUN ADP ADJ VERB NOUN NOUN PUNCT DET ADJ NOUN ADP ADJ VERB VERB DET NUM NOUN NOUN NOUN ADP DET NOUN NOUN NOUN ADP NUM PUNCT
Take the plunge and opt for change, you 'll soon begin to fell the benefits.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	case	VERB DET NOUN CCONJ VERB ADP NOUN PRON VERB ADV VERB PART VERB DET NOUN
Convinced by the foreigners — and the then high price of onions — the farmers took the plunge on a large scale.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	take the plunge	figurative	inflection	VERB ADP DET NOUN PUNCT CCONJ DET ADV ADJ NOUN ADP NOUN PUNCT DET NOUN VERB DET NOUN ADP DET ADJ NOUN
TAKING the plunge	1 0 1	take the plunge	figurative	combined-inflection	VERB DET NOUN
But I really meant,’ Ruth hesitated, then took the plunge, ‘ isn't Rosie with you, then?’	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	take the plunge	figurative	inflection	CCONJ PRON ADV PROPN PROPN VERB ADV VERB DET NOUN PUNCT VERB PROPN ADP PRON NOUN
Having taken the plunge and opened the package I was delighted to find that the software isn't copy protected — no problems running it on my hard disk systems here, or so I thought.	0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	inflection	VERB VERB DET NOUN CCONJ VERB DET NOUN PRON VERB ADJ PART VERB ADP DET NOUN VERB VERB VERB PUNCT DET NOUN VERB PRON ADP ADJ ADJ NOUN NOUN ADV CCONJ ADV PRON VERB
Now they 're tuned up and ready to take the plunge for the triathlon season ahead.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	take the plunge	figurative	identical	ADV PRON VERB VERB PART CCONJ ADJ PART VERB DET NOUN ADP DET NOUN NOUN ADV
Its future depends on continually convincing these companies, and others yet to take the plunge, that it is the best place in South - East Asia from which to do business.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	ADJ NOUN VERB ADP ADV VERB DET NOUN CCONJ NOUN ADV PART VERB DET NOUN ADP PRON VERB DET ADJ NOUN ADP PROPN PUNCT PROPN PROPN ADP ADJ PART VERB NOUN
Inspired by the Sixties, we asked a few brave souls to take the plunge and dress up like latter - day Twiggys.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	VERB ADP DET PROPN PRON VERB DET ADJ ADJ NOUN PART VERB DET NOUN CCONJ VERB PART ADP ADJ PUNCT NOUN PROPN
I took the plunge.	0 1 0 1	take the plunge	figurative	inflection	PRON VERB DET NOUN
Having decided to take the plunge and get yourself ‘ done’, there are a number of routs by which a would - be sitter can approach a likely artist.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	identical	VERB VERB PART VERB DET NOUN CCONJ VERB PRON PUNCT NOUN ADV VERB DET NOUN ADP NOUN ADP ADJ DET VERB PUNCT VERB NOUN VERB VERB DET ADJ NOUN
Whilst one of Karajan's recording companies held back, the Deutsche Grammophon - Polygram group took the plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	inflection	ADP NUM ADP PROPN VERB NOUN VERB ADV DET PROPN PROPN PUNCT PROPN NOUN VERB DET NOUN
No we, we heard that this development was coming up so we came round and looked and liked it and took the plunge.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	inflection	INTJ PRON PRON VERB ADP DET NOUN VERB VERB PART ADV PRON VERB ADV CCONJ VERB CCONJ VERB PRON CCONJ VERB DET NOUN
GOING DOWN : Bride and groom take the plunge	0 0 0 0 0 0 1 0 1	take the plunge	figurative	identical	VERB PART PUNCT NOUN CCONJ NOUN VERB DET NOUN
With a background in both teaching and magazine work, Fedelma has had wide experience of full - time employment, but is happy that she ‘ took the plunge’ and is confident her business will expand.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	take the plunge	figurative	combined-inflection	ADP DET NOUN ADP DET NOUN CCONJ NOUN NOUN PROPN VERB VERB ADJ NOUN ADP ADJ PUNCT NOUN NOUN CCONJ VERB ADJ ADP PRON PUNCT VERB DET NOUN CCONJ VERB ADJ ADJ NOUN VERB VERB
Bob has taken the plunge & acquired a video recorder — masquerading as my birthday present to him.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	take the plunge	figurative	inflection	PROPN VERB VERB DET NOUN CCONJ VERB DET NOUN NOUN PUNCT VERB ADP ADJ NOUN ADJ ADP PRON
And back in his bathers : The Foreign Secretary takes the plunge.	0 0 0 0 0 0 0 0 0 1 0 1	take the plunge	figurative	inflection	CCONJ ADV ADP ADJ NOUN PUNCT DET PROPN PROPN VERB DET NOUN
One of them Derek Clark is the man who dreamt up the new idea … took the plunge into the sailing revolution	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	take the plunge	figurative	inflection	NUM ADP PRON PROPN PROPN VERB DET NOUN NOUN VERB PART DET ADJ NOUN PUNCT VERB DET NOUN ADP DET NOUN NOUN
Michael Levaton, owner of the Metropolitan modelling agency, slid into the seat next to her and took the plunge ; within minutes, he had offered her a contract.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	take the plunge	figurative	inflection	PROPN PROPN NOUN ADP DET PROPN NOUN NOUN VERB ADP DET NOUN ADV ADP PRON CCONJ VERB DET NOUN PUNCT ADP NOUN PRON VERB VERB PRON DET NOUN
