this time and the ball's in their court.	0 0 0 0 1 1 1 1	the ball is in someone's court	figurative	misc	DET NOUN CCONJ DET NOUN ADP ADJ NOUN	▁this ▁time ▁and ▁the ▁ball ' s ▁in ▁their ▁court .	0 0 0 0 1 1 1 1 1 1 1	DET NOUN CCONJ DET NOUN NOUN NOUN ADP ADJ NOUN NOUN
The ball is now firmly in your court!	0 1 1 0 0 1 1 1	the ball is in someone's court	figurative	combined-other	DET NOUN VERB ADV ADV ADP ADJ NOUN	▁The ▁ball ▁is ▁now ▁firmly ▁in ▁your ▁court !	0 1 1 0 0 1 1 1 1	DET NOUN VERB ADV ADV ADP ADJ NOUN NOUN
On the matter of OALDCE 3/e Electronic and availability on your campus, the ball is currently in my court.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	the ball is in someone's court	figurative	combined-other	ADP DET NOUN ADP PROPN NUM PROPN CCONJ NOUN ADP ADJ NOUN DET NOUN VERB ADV ADP ADJ NOUN	▁On ▁the ▁matter ▁of ▁O AL D CE ▁3/ e ▁Electronic ▁and ▁availability ▁on ▁your ▁camp us , ▁the ▁ball ▁is ▁currently ▁in ▁my ▁court .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1	ADP DET NOUN ADP PROPN PROPN PROPN PROPN NUM NUM PROPN CCONJ NOUN ADP ADJ NOUN NOUN NOUN DET NOUN VERB ADV ADP ADJ NOUN NOUN
The ball's in her court then.	0 1 1 1 1 0	the ball is in someone's court	figurative	misc	DET NOUN ADP ADJ NOUN ADV	▁The ▁ball ' s ▁in ▁her ▁court ▁then .	0 1 1 1 1 1 1 0 0	DET NOUN NOUN NOUN ADP ADJ NOUN ADV ADV
And they add that the ball is in the Bird's court.	0 0 0 0 0 1 1 1 0 1 1	the ball is in someone's court	figurative	combined-other	CCONJ PRON VERB ADP DET NOUN VERB ADP DET PROPN NOUN	▁And ▁they ▁add ▁that ▁the ▁ball ▁is ▁in ▁the ▁Bird ' s ▁court .	0 0 0 0 0 1 1 1 0 1 1 1 1 1	CCONJ PRON VERB ADP DET NOUN VERB ADP DET PROPN PROPN PROPN NOUN NOUN
The ball is now in their court, ' he said.	0 1 1 0 1 1 1 0 0 0	the ball is in someone's court	figurative	combined-other	DET NOUN VERB ADV ADP ADJ NOUN PUNCT PRON VERB	▁The ▁ball ▁is ▁now ▁in ▁their ▁court , ▁' ▁he ▁said .	0 1 1 0 1 1 1 1 0 0 0 0	DET NOUN VERB ADV ADP ADJ NOUN NOUN PUNCT PRON VERB VERB
I promised myself I wouldn't come near you again unless you wanted me to, that the ball would always be in your court, and that if you chose to kick me out of your life for good, then I 'd respect that wish, even if it 'd half kill me to do so.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the ball is in someone's court	figurative	combined-inflection	PRON VERB PRON PRON VERB VERB ADP PRON ADV ADP PRON VERB PRON PART ADP DET NOUN VERB ADV VERB ADP ADJ NOUN CCONJ ADP ADP PRON VERB PART VERB PRON ADP ADP ADJ NOUN ADP ADJ ADV PRON VERB VERB DET NOUN ADV ADP PRON VERB ADV VERB PRON PART VERB ADV	▁I ▁promised ▁myself ▁I ▁would n ' t ▁come ▁near ▁you ▁again ▁unless ▁you ▁wanted ▁me ▁to , ▁that ▁the ▁ball ▁would ▁always ▁be ▁in ▁your ▁court , ▁and ▁that ▁if ▁you ▁chose ▁to ▁kick ▁me ▁out ▁of ▁your ▁life ▁for ▁good , ▁then ▁I ▁' d ▁respect ▁that ▁wish , ▁even ▁if ▁it ▁' d ▁half ▁kill ▁me ▁to ▁do ▁so .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB PRON PRON VERB VERB VERB VERB VERB ADP PRON ADV ADP PRON VERB PRON PART PART ADP DET NOUN VERB ADV VERB ADP ADJ NOUN NOUN CCONJ ADP ADP PRON VERB PART VERB PRON ADP ADP ADJ NOUN ADP ADJ ADJ ADV PRON VERB VERB VERB DET NOUN NOUN ADV ADP PRON VERB VERB ADV VERB PRON PART VERB ADV ADV
Peter Cole, a solicitor acting for Edwards, said after yesterday's hearing : ' I think the ball is essentially in Knighton's court. '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0	the ball is in someone's court	figurative	combined-other	PROPN PROPN DET NOUN VERB ADP PROPN VERB ADP NOUN NOUN PUNCT PUNCT PRON VERB DET NOUN VERB ADV ADP PROPN NOUN PUNCT	▁Peter ▁C ole , ▁a ▁so licit or ▁acting ▁for ▁Edward s , ▁said ▁after ▁yesterday ' s ▁hearing ▁ : ▁' ▁I ▁think ▁the ▁ball ▁is ▁essentially ▁in ▁K night on ' s ▁court . ▁'	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 1 1 1 1 1 0	PROPN PROPN PROPN PROPN DET NOUN NOUN NOUN VERB ADP PROPN PROPN PROPN VERB ADP NOUN NOUN NOUN NOUN PUNCT PUNCT PUNCT PRON VERB DET NOUN VERB ADV ADP PROPN PROPN PROPN PROPN PROPN NOUN NOUN PUNCT
' The ball is now in the Government's court.	0 0 1 1 0 1 0 1 1	the ball is in someone's court	figurative	combined-other	PUNCT DET NOUN VERB ADV ADP DET PROPN NOUN	▁' ▁The ▁ball ▁is ▁now ▁in ▁the ▁Government ' s ▁court .	0 0 1 1 0 1 0 1 1 1 1 1	PUNCT DET NOUN VERB ADV ADP DET PROPN PROPN PROPN NOUN NOUN
But the ball is in our court.	0 0 1 1 1 1 1	the ball is in someone's court	figurative	combined-other	CCONJ DET NOUN VERB ADP ADJ NOUN	▁But ▁the ▁ball ▁is ▁in ▁our ▁court .	0 0 1 1 1 1 1 1	CCONJ DET NOUN VERB ADP ADJ NOUN NOUN
The ball is now in the Commission's court.	0 1 1 0 1 0 1 1	the ball is in someone's court	figurative	combined-other	DET NOUN VERB ADV ADP DET PROPN NOUN	▁The ▁ball ▁is ▁now ▁in ▁the ▁Commission ' s ▁court .	0 1 1 0 1 0 1 1 1 1 1	DET NOUN VERB ADV ADP DET PROPN PROPN PROPN NOUN NOUN
