The last could be the icing on the cake couldn't it?	0 0 0 0 0 1 1 0 1 0 0	the icing on the cake	figurative	deletion-determiner	DET ADJ VERB VERB DET NOUN ADP DET NOUN VERB PRON
Today, in his last game in charge, he attempts to put the icing on the cake by leading the champions to premiership glory which would complete the sport's first five - trophy clean sweep.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	NOUN ADP ADJ ADJ NOUN ADP NOUN PRON VERB PART VERB DET NOUN ADP DET NOUN ADP VERB DET NOUN PART NOUN NOUN ADJ VERB VERB DET NOUN ADJ NUM PUNCT NOUN ADJ NOUN
‘ What happens in Europe remains only the icing on the cake for Rangers,’ he said.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	the icing on the cake	figurative	deletion-determiner	PUNCT NOUN VERB ADP PROPN VERB ADV DET NOUN ADP DET NOUN ADP NOUN PRON VERB
A hobby has become the icing on the cake for Jackie Wintle of Barlaston's planning department.	0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	DET NOUN VERB VERB DET NOUN ADP DET NOUN ADP PROPN PROPN ADP PROPN NOUN NOUN
Lee's transfer to a French soccer club was the icing on the cake.	0 0 0 0 0 0 0 0 0 1 1 0 1	the icing on the cake	figurative	deletion-determiner	PROPN NOUN ADP DET ADJ NOUN NOUN VERB DET NOUN ADP DET NOUN
‘ If people in Liverpool like it that will be the icing on the cake.’	0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	the icing on the cake	figurative	deletion-determiner	PUNCT ADP NOUN ADP PROPN ADP PRON ADJ VERB VERB DET NOUN ADP DET NOUN
It's an added bonus, the icing on the cake.	0 0 0 0 0 1 1 0 1	the icing on the cake	figurative	deletion-determiner	PRON DET VERB NOUN DET NOUN ADP DET NOUN
It seemed far more important to out and the programmes on the top line, and then the icing on the cake, which is community service.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	the icing on the cake	figurative	deletion-determiner	PRON VERB ADV ADV ADJ ADP ADV CCONJ DET NOUN ADP DET ADJ NOUN CCONJ ADV DET NOUN ADP DET NOUN ADJ VERB NOUN NOUN
Boardman said : ‘ It's the icing on the cake at the end of an historic year.’	0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0	the icing on the cake	figurative	deletion-determiner	PROPN VERB PUNCT PUNCT PRON DET NOUN ADP DET NOUN ADP DET NOUN ADP DET ADJ NOUN
‘ If he can start winning some of that back, it 'll be the icing on the cake,’ says his devoted trainer.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0	the icing on the cake	figurative	deletion-determiner	PUNCT ADP PRON VERB VERB VERB DET ADP DET ADV PRON VERB VERB DET NOUN ADP DET NOUN VERB ADJ ADJ NOUN
‘ So the deal is, with all the fast playing, I thought it was very good and I 'm very much for it, but it should be the icing on the cake.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	the icing on the cake	figurative	deletion-determiner	PUNCT ADV DET NOUN VERB ADP ADJ DET ADJ NOUN PRON VERB PRON VERB ADV ADJ CCONJ PRON VERB ADV ADJ ADP PRON CCONJ PRON VERB VERB DET NOUN ADP DET NOUN
