Bread and circuses!	1 1 1	bread and circuses	figurative	case	NOUN CCONJ VERB
So with football and politics as the bread and circuses of our decadent empire — whither religion?	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	bread and circuses	figurative	identical	ADV ADP NOUN CCONJ NOUN ADP DET NOUN CCONJ NOUN ADP ADJ ADJ NOUN PUNCT NOUN NOUN
In the old world continual distraction has become the major weapon of control — bread and circuses — or the modern equivalent : football, royalty, and fashion.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	bread and circuses	figurative	identical	ADP DET ADJ NOUN ADJ NOUN VERB VERB DET ADJ NOUN ADP NOUN PUNCT NOUN CCONJ NOUN PUNCT CCONJ DET ADJ NOUN PUNCT NOUN NOUN CCONJ NOUN
Writing on ‘ The Fall of the Roman Empire and Its Lessons for Us’ one author had already struck the easy notes of comparison in 1898 — the decline of the arts of soldiery and manliness, the financial oppression of the middle classes, subsidised food prices, bread and circuses ( that is, football ) and the recruitment of the barbarian ‘ lower races’into the imperial armies were all listed as forces ‘ which may tend to enervate and degrade us, to destroy our love of truth, to poison the fountains of family life’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	bread and circuses	figurative	identical	VERB ADP PUNCT DET NOUN ADP DET PROPN PROPN CCONJ ADJ PROPN ADP NOUN NUM NOUN VERB ADV VERB DET ADJ NOUN ADP NOUN ADP NUM PUNCT DET NOUN ADP DET NOUN ADP NOUN CCONJ NOUN DET ADJ NOUN ADP DET ADJ NOUN VERB NOUN NOUN NOUN CCONJ VERB PUNCT ADV ADV NOUN PUNCT CCONJ DET NOUN ADP DET NOUN PUNCT ADJ ADP DET ADJ NOUN VERB DET VERB ADP NOUN PART ADJ VERB VERB PART VERB CCONJ VERB PRON PART VERB ADJ NOUN ADP NOUN PART VERB DET NOUN ADP NOUN ADJ
One leading Republican called OEO " the greatest boondoggle since bread and circuses in the days of the ancient Roman Empire ".	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	bread and circuses	figurative	identical	NUM VERB PROPN VERB NOUN PUNCT DET ADJ NOUN ADP NOUN CCONJ VERB ADP DET NOUN ADP DET ADJ PROPN PROPN PUNCT
Instead of lyric participation in common cultural activity, the French have been numbed, divided and tranquillised by the cultural politics of bread and circuses.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	bread and circuses	figurative	identical	ADV ADP NOUN NOUN ADP ADJ ADJ NOUN DET PROPN VERB VERB VERB VERB CCONJ VERB ADP DET ADJ NOUN ADP NOUN CCONJ NOUN
Cynics might call this the old bread - and - circuses routine.	0 0 0 0 0 0 1 0 1 0 1 0	bread and circuses	figurative	dashes	NOUN VERB VERB DET DET ADJ NOUN PUNCT CCONJ PUNCT NOUN ADJ
Not all, exactly : getting old is the last display for the bread - and - circuses culture.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0	bread and circuses	figurative	dashes	ADV DET ADV PUNCT VERB ADJ VERB DET ADJ NOUN ADP DET NOUN PUNCT CCONJ PUNCT NOUN NOUN
A case of bread and circuses, and it's about time someone said it for the rave generation.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	bread and circuses	figurative	identical	DET NOUN ADP NOUN CCONJ NOUN CCONJ PRON ADV NOUN NOUN VERB PRON ADP DET NOUN NOUN
You would have thought this would be enough to keep him in bread and circus animals for the foreseeable future, but there are rumours that he intends to watch the money grow by buying out Jobete Music, publishers of the Motown catalogue — a snip at $ 175 million.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	bread and circuses	figurative	inflection	PRON VERB VERB VERB DET VERB VERB ADJ PART VERB PRON ADP NOUN CCONJ NOUN NOUN ADP DET ADJ NOUN CCONJ ADV VERB NOUN ADP PRON VERB PART VERB DET NOUN VERB ADP VERB PART PROPN PROPN NOUN ADP DET PROPN NOUN PUNCT DET NOUN ADP SYM NUM NUM
If the military could provide them with bread and circuses, then the people would be content.	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	bread and circuses	figurative	identical	ADP DET NOUN VERB VERB PRON ADP NOUN CCONJ NOUN ADV DET NOUN VERB VERB ADJ
