Er and they thought of, I mean they thought the world of their their animals and but	0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0	think the world of	figurative	inflection	INTJ CCONJ PRON VERB ADP PRON VERB PRON VERB DET NOUN ADP ADJ ADJ NOUN CCONJ CCONJ
Don't they just think the world of themselves?’	0 0 0 1 0 1 1 0	think the world of	figurative	identical	VERB PRON ADV VERB DET NOUN ADP NOUN
‘ They all think the world of her too.	0 0 0 1 0 1 1 0 0	think the world of	figurative	identical	PUNCT PRON DET VERB DET NOUN ADP PRON ADV
‘ She thought the world of him, as he had been brought back specially from Florida by a friend of mine,’ said Karen.	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	think the world of	figurative	inflection	PUNCT PRON VERB DET NOUN ADP PRON ADP PRON VERB VERB VERB ADV ADV ADP PROPN ADP DET NOUN ADP PROPN VERB PROPN
She thinks the world of you.	0 1 0 1 1 0	think the world of	figurative	inflection	PRON VERB DET NOUN ADP PRON
I used to think the world of her when she came to stay.	0 0 0 1 0 1 1 0 0 0 0 0 0	think the world of	figurative	identical	PRON VERB PART VERB DET NOUN ADP PRON ADV PRON VERB PART VERB
We have two children, aged eight and six, and I know my husband thinks the world of them, but he is carrying on living the life of a single man, with no thought for me.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	think the world of	figurative	inflection	PRON VERB NUM NOUN VERB NUM CCONJ NUM CCONJ PRON VERB ADJ NOUN VERB DET NOUN ADP PRON CCONJ PRON VERB VERB ADP VERB DET NOUN ADP DET ADJ NOUN ADP DET NOUN ADP PRON
Vic thought the world of her.	0 1 0 1 1 0	think the world of	figurative	inflection	PROPN VERB DET NOUN ADP PRON
Tip — I think the world of Tip junior and I did the father ; they helped me a lot— just didn't realize I 'd come all the way over from Ireland by boat and by train up to St Andrews to carry Arnold's bag.	0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	think the world of	figurative	identical	NOUN PUNCT PRON VERB DET NOUN ADP PROPN ADJ CCONJ PRON VERB DET NOUN PUNCT PRON VERB PRON DET NOUN ADV VERB VERB PRON VERB VERB ADJ DET NOUN ADV ADP PROPN ADP NOUN CCONJ ADP NOUN ADP ADP PROPN PROPN PART VERB PROPN NOUN
You see, I 've had a few quite long relationships before but, although I think the world of this young lady and love her deeply, I don't feel that I am the marrying kind.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	think the world of	figurative	identical	PRON VERB PRON VERB VERB DET ADJ ADV ADJ NOUN ADV CCONJ ADP PRON VERB DET NOUN ADP DET ADJ NOUN CCONJ VERB PRON ADV PRON VERB VERB ADP PRON VERB DET VERB NOUN
‘ We thought the world of him and just can't believe he was involved.	0 0 1 0 1 1 0 0 0 0 0 0 0 0	think the world of	figurative	inflection	PUNCT PRON VERB DET NOUN ADP PRON CCONJ ADV VERB VERB PRON VERB VERB
The customers thought the world of her.	0 0 1 0 1 1 0	think the world of	figurative	inflection	DET NOUN VERB DET NOUN ADP PRON
Mrs K. thinks the world of Kettering.	0 0 1 0 1 1 0	think the world of	figurative	inflection	PROPN PROPN VERB DET NOUN ADP PROPN
My sister — the one just younger than me — and I used to share all the jobs in the house — if she washed up one day I did the drying up and so on, but when my grandad came to live with us, he thought the world of her so he did all her jobs, and she 'd come to me and taunt me, and that used to incense me.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	think the world of	figurative	inflection	ADJ NOUN PUNCT DET NOUN ADV ADJ ADP PRON PUNCT CCONJ PRON VERB PART VERB ADJ DET NOUN ADP DET NOUN PUNCT ADP PRON VERB PART NUM NOUN PRON VERB DET VERB PART CCONJ ADV ADV CCONJ ADV ADJ NOUN VERB PART VERB ADP PRON PRON VERB DET NOUN ADP PRON ADV PRON VERB ADJ ADJ NOUN CCONJ PRON VERB VERB ADP PRON CCONJ VERB PRON CCONJ DET VERB PART VERB PRON
