' Every sailor has his own way of tying a knot.	0 0 0 0 0 0 0 0 1 0 1	tie the knot	literal	combined-inflection	PUNCT DET NOUN VERB ADJ ADJ NOUN ADP VERB DET NOUN	▁' ▁Every ▁sail or ▁has ▁his ▁own ▁way ▁of ▁ty ing ▁a ▁k not .	0 0 0 0 0 0 0 0 0 1 1 0 1 1 1	PUNCT DET NOUN NOUN VERB ADJ ADJ NOUN ADP VERB VERB DET NOUN NOUN NOUN
My solution, as I do not use a machine for tying my hooks, is to tie reverse knots which do not put undue pressure on the section of line which ends up immediately above the hook.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	determiner-broad	ADJ NOUN ADP PRON VERB ADV VERB DET NOUN ADP VERB ADJ NOUN VERB PART VERB ADJ NOUN ADJ VERB ADV VERB ADJ NOUN ADP DET NOUN ADP NOUN ADJ VERB PART ADV ADP DET NOUN	▁My ▁solution , ▁as ▁I ▁do ▁not ▁use ▁a ▁machine ▁for ▁ty ing ▁my ▁hooks , ▁is ▁to ▁tie ▁reverse ▁knots ▁which ▁do ▁not ▁put ▁undue ▁pressure ▁on ▁the ▁section ▁of ▁line ▁which ▁ends ▁up ▁immediately ▁above ▁the ▁hook .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN NOUN ADP PRON VERB ADV VERB DET NOUN ADP VERB VERB ADJ NOUN NOUN VERB PART VERB ADJ NOUN ADJ VERB ADV VERB ADJ NOUN ADP DET NOUN ADP NOUN ADJ VERB PART ADV ADP DET NOUN NOUN
Did Gibson find a similar lump in his throat when the time came to tie the knot?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tie the knot	figurative	identical	VERB PROPN VERB DET ADJ NOUN ADP ADJ NOUN ADV DET NOUN VERB PART VERB DET NOUN	▁Did ▁Gi b son ▁find ▁a ▁similar ▁lump ▁in ▁his ▁throat ▁when ▁the ▁time ▁came ▁to ▁tie ▁the ▁k not ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	VERB PROPN PROPN PROPN VERB DET ADJ NOUN ADP ADJ NOUN ADV DET NOUN VERB PART VERB DET NOUN NOUN NOUN
It doesn't cos it ties a knot.	0 0 0 0 1 0 1	tie the knot	literal	combined-inflection	PRON VERB VERB PRON VERB DET NOUN	▁It ▁does n ' t ▁co s ▁it ▁ties ▁a ▁k not .	0 0 0 0 0 0 0 0 1 0 1 1 1	PRON VERB VERB VERB VERB VERB VERB PRON VERB DET NOUN NOUN NOUN
At about the same time as Jayne and Dave were tying the knot, creative director Nadia Marks was limbering up for the 20th anniversary of her wedding to writer husband Graham, whom she met at art school.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	inflection	ADP ADV DET ADJ NOUN ADP PROPN CCONJ PROPN VERB VERB DET NOUN ADJ NOUN PROPN PROPN VERB VERB PART ADP DET ADJ NOUN ADP ADJ NOUN PART NOUN NOUN PROPN NOUN PRON VERB ADP NOUN NOUN	▁At ▁about ▁the ▁same ▁time ▁as ▁Ja y ne ▁and ▁D ave ▁were ▁ty ing ▁the ▁k not , ▁creative ▁director ▁Na dia ▁Mark s ▁was ▁limb er ing ▁up ▁for ▁the ▁20 th ▁anni versary ▁of ▁her ▁we dding ▁to ▁writer ▁husband ▁Gra ham , ▁whom ▁she ▁met ▁at ▁art ▁school .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP ADV DET ADJ NOUN ADP PROPN PROPN PROPN CCONJ PROPN PROPN VERB VERB VERB DET NOUN NOUN NOUN ADJ NOUN PROPN PROPN PROPN PROPN VERB VERB VERB VERB PART ADP DET ADJ ADJ NOUN NOUN ADP ADJ NOUN NOUN PART NOUN NOUN PROPN PROPN PROPN NOUN PRON VERB ADP NOUN NOUN NOUN
LOVEBIRDS Alan and Jennifer Tyler tied the knot again — a year to the day after they separated.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	inflection	VERB PROPN CCONJ PROPN PROPN VERB DET NOUN ADV PUNCT DET NOUN ADP DET NOUN ADP PRON VERB	▁L OV EB IR DS ▁A lan ▁and ▁J en ni fer ▁Ty ler ▁tied ▁the ▁k not ▁again ▁ — ▁a ▁year ▁to ▁the ▁day ▁after ▁they ▁separated .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB VERB VERB VERB PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN NOUN ADV PUNCT PUNCT DET NOUN ADP DET NOUN ADP PRON VERB VERB
The wedding industry has to get as much cash as possible out of the remaining couples who choose to tie the knot with the blessing of God and every florist in Britain.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	identical	DET NOUN NOUN VERB PART VERB ADV ADJ NOUN ADP ADJ ADP ADP DET VERB NOUN NOUN VERB PART VERB DET NOUN ADP DET NOUN ADP PROPN CCONJ DET NOUN ADP PROPN	▁The ▁we dding ▁industry ▁has ▁to ▁get ▁as ▁much ▁cash ▁as ▁possible ▁out ▁of ▁the ▁remaining ▁couple s ▁who ▁choose ▁to ▁tie ▁the ▁k not ▁with ▁the ▁blessing ▁of ▁God ▁and ▁every ▁ flor ist ▁in ▁Britain .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN NOUN NOUN VERB PART VERB ADV ADJ NOUN ADP ADJ ADP ADP DET VERB NOUN NOUN NOUN VERB PART VERB DET NOUN NOUN ADP DET NOUN ADP PROPN CCONJ DET NOUN NOUN NOUN ADP PROPN PROPN
‘ Unless there are children there's no reason to tie the knot,’ he says.	0 0 0 0 0 0 0 0 0 1 0 1 0 0	tie the knot	figurative	dashes	PUNCT ADP ADV VERB NOUN ADV DET NOUN PART VERB DET PROPN PRON VERB	▁ ‘ ▁Unless ▁there ▁are ▁children ▁there ' s ▁no ▁reason ▁to ▁tie ▁the ▁k not , ’ ▁he ▁says .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0	PUNCT PUNCT ADP ADV VERB NOUN ADV ADV ADV DET NOUN PART VERB DET PROPN PROPN PROPN PROPN PRON VERB VERB
The pair tied the knot in July, and the last - minute wedding went off to a tee …	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	figurative	inflection	DET NOUN VERB DET NOUN ADP PROPN CCONJ DET ADJ PUNCT NOUN NOUN VERB PART ADP DET NOUN PUNCT	▁The ▁pair ▁tied ▁the ▁k not ▁in ▁July , ▁and ▁the ▁last ▁- ▁minute ▁we dding ▁went ▁off ▁to ▁a ▁tee ▁...	0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET NOUN VERB DET NOUN NOUN ADP PROPN PROPN CCONJ DET ADJ PUNCT NOUN NOUN NOUN VERB PART ADP DET NOUN PUNCT
Okay Suzanne, now you had to slacken off the halyard to let me tie that last knot so if you could tighten it up again that will pull the sail up to the top of the mast.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tie the knot	literal	combined-other	INTJ PROPN ADV PRON VERB PART VERB PART DET NOUN PART VERB PRON VERB DET ADJ NOUN ADP ADP PRON VERB VERB PRON PART ADV DET VERB VERB DET NOUN ADP ADP DET NOUN ADP DET NOUN	▁O ka y ▁S uz anne , ▁now ▁you ▁had ▁to ▁slack en ▁off ▁the ▁ha ly ard ▁to ▁let ▁me ▁tie ▁that ▁last ▁k not ▁so ▁if ▁you ▁could ▁tighten ▁it ▁up ▁again ▁that ▁will ▁pull ▁the ▁sail ▁up ▁to ▁the ▁top ▁of ▁the ▁mast .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	INTJ INTJ INTJ PROPN PROPN PROPN PROPN ADV PRON VERB PART VERB VERB PART DET NOUN NOUN NOUN PART VERB PRON VERB DET ADJ NOUN NOUN ADP ADP PRON VERB VERB PRON PART ADV DET VERB VERB DET NOUN ADP ADP DET NOUN ADP DET NOUN NOUN
So busy are international players that they are lucky if they are able to find the time even in summer to tie the knot.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tie the knot	figurative	identical	ADV ADJ VERB ADJ NOUN ADJ PRON VERB ADJ ADP PRON VERB ADJ PART VERB DET NOUN ADV ADP NOUN PART VERB DET NOUN	▁So ▁busy ▁are ▁international ▁players ▁that ▁they ▁are ▁luck y ▁if ▁they ▁are ▁able ▁to ▁find ▁the ▁time ▁even ▁in ▁summer ▁to ▁tie ▁the ▁k not .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1	ADV ADJ VERB ADJ NOUN ADJ PRON VERB ADJ ADJ ADP PRON VERB ADJ PART VERB DET NOUN ADV ADP NOUN PART VERB DET NOUN NOUN NOUN
