Time will tell.	1 1 1	time will tell	figurative	case	PROPN VERB VERB	▁Time ▁will ▁tell .	1 1 1 1	PROPN VERB VERB VERB
Only time will tell if this is a serious effort at improving both public sector accountability and overall performance.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP DET VERB DET ADJ NOUN ADP VERB DET ADJ NOUN NOUN CCONJ ADJ NOUN	▁Only ▁time ▁will ▁tell ▁if ▁this ▁is ▁a ▁serious ▁effort ▁at ▁improving ▁both ▁public ▁sector ▁accountability ▁and ▁overall ▁performance .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB ADP DET VERB DET ADJ NOUN ADP VERB DET ADJ NOUN NOUN CCONJ ADJ NOUN NOUN
Only time will tell if the ban will be lifted on Friday … ironic then that the clock should stop half way through today's announcement, and refuse to start again.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP DET NOUN VERB VERB VERB ADP PROPN PUNCT ADJ ADV ADP DET NOUN VERB VERB DET NOUN ADP NOUN NOUN CCONJ VERB PART VERB ADV	▁Only ▁time ▁will ▁tell ▁if ▁the ▁ban ▁will ▁be ▁lifted ▁on ▁Friday ▁... ▁iron ic ▁then ▁that ▁the ▁clock ▁should ▁stop ▁half ▁way ▁through ▁today ' s ▁announcement , ▁and ▁refuse ▁to ▁start ▁again .	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB ADP DET NOUN VERB VERB VERB ADP PROPN PUNCT ADJ ADJ ADV ADP DET NOUN VERB VERB DET NOUN ADP NOUN NOUN NOUN NOUN NOUN CCONJ VERB PART VERB ADV ADV
‘ Only time will tell whether things will change back to the way they were.’	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	PUNCT ADJ NOUN VERB VERB ADP NOUN VERB VERB ADV ADP DET NOUN PRON PUNCT	▁ ‘ ▁Only ▁time ▁will ▁tell ▁whether ▁things ▁will ▁change ▁back ▁to ▁the ▁way ▁they ▁were . ’	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT PUNCT ADJ NOUN VERB VERB ADP NOUN VERB VERB ADV ADP DET NOUN PRON PUNCT PUNCT PUNCT
Many of the developments outlined in succeeding chapters are relatively new, and only time will tell whether politicians, management and the public at large are, as a result, better informed on the activities of government.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ ADP DET NOUN VERB ADP VERB NOUN VERB ADV ADJ CCONJ ADJ NOUN VERB VERB ADP NOUN NOUN CCONJ DET NOUN ADP ADJ VERB ADP DET NOUN ADV VERB ADP DET NOUN ADP NOUN	▁Many ▁of ▁the ▁developments ▁outlined ▁in ▁succeeding ▁chapters ▁are ▁relatively ▁new , ▁and ▁only ▁time ▁will ▁tell ▁whether ▁politician s , ▁management ▁and ▁the ▁public ▁at ▁large ▁are , ▁as ▁a ▁result , ▁better ▁informed ▁on ▁the ▁activities ▁of ▁government .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADP DET NOUN VERB ADP VERB NOUN VERB ADV ADJ ADJ CCONJ ADJ NOUN VERB VERB ADP NOUN NOUN NOUN NOUN CCONJ DET NOUN ADP ADJ VERB VERB ADP DET NOUN NOUN ADV VERB ADP DET NOUN ADP NOUN NOUN
‘ We thought Eric would be here for years, but time will tell if we 'll miss him.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	time will tell	figurative	identical	PUNCT PRON VERB PROPN VERB VERB ADV ADP NOUN CCONJ NOUN VERB VERB ADP PRON VERB VERB PRON	▁ ‘ ▁We ▁thought ▁E ric ▁would ▁be ▁here ▁for ▁years , ▁but ▁time ▁will ▁tell ▁if ▁we ▁' ll ▁miss ▁him .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB PROPN PROPN VERB VERB ADV ADP NOUN NOUN CCONJ NOUN VERB VERB ADP PRON VERB VERB VERB PRON PRON
‘ Only time will tell if we are successful.’	0 0 1 1 1 0 0 0 0	time will tell	figurative	identical	PUNCT ADJ NOUN VERB VERB ADP PRON VERB ADJ	▁ ‘ ▁Only ▁time ▁will ▁tell ▁if ▁we ▁are ▁successful . ’	0 0 0 1 1 1 0 0 0 0 0 0	PUNCT PUNCT ADJ NOUN VERB VERB ADP PRON VERB ADJ ADJ ADJ
Only time will tell if he is the right man for the job.	0 1 1 1 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	ADJ NOUN VERB VERB ADP PRON VERB DET ADJ NOUN ADP DET NOUN	▁Only ▁time ▁will ▁tell ▁if ▁he ▁is ▁the ▁right ▁man ▁for ▁the ▁job .	0 1 1 1 0 0 0 0 0 0 0 0 0 0	ADJ NOUN VERB VERB ADP PRON VERB DET ADJ NOUN ADP DET NOUN NOUN
Afshar suggested, " Your Majesty, time will tell, but you could say to him " If you try to sit on two stills, you will fall between. " "	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	identical	PROPN VERB PUNCT ADJ PROPN NOUN VERB VERB CCONJ PRON VERB VERB ADP PRON PUNCT ADP PRON VERB PART VERB ADP NUM NOUN PRON VERB VERB ADP PUNCT PUNCT	▁Af s har ▁suggested , ▁" ▁Your ▁Majesty , ▁time ▁will ▁tell , ▁but ▁you ▁could ▁say ▁to ▁him ▁" ▁If ▁you ▁try ▁to ▁sit ▁on ▁two ▁still s , ▁you ▁will ▁fall ▁between . ▁" ▁"	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN VERB VERB PUNCT ADJ PROPN PROPN NOUN VERB VERB VERB CCONJ PRON VERB VERB ADP PRON PUNCT ADP PRON VERB PART VERB ADP NUM NOUN NOUN NOUN PRON VERB VERB ADP ADP PUNCT PUNCT
‘ Only time will tell.	0 0 1 1 1	time will tell	figurative	identical	PUNCT ADJ NOUN VERB VERB	▁ ‘ ▁Only ▁time ▁will ▁tell .	0 0 0 1 1 1 1	PUNCT PUNCT ADJ NOUN VERB VERB VERB
Time will tell whether collecting the alpine 4000ers will become as popular as Munro bagging, but for a real challenge, how about going for a complete set of 150 peaks and 4000 m tops!	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	time will tell	figurative	case	PROPN VERB VERB ADP VERB DET NOUN NUM VERB VERB ADV ADJ ADP PROPN NOUN CCONJ ADP DET ADJ NOUN ADV ADP VERB ADP DET ADJ NOUN ADP NUM NOUN CCONJ NUM NOUN NOUN	▁Time ▁will ▁tell ▁whether ▁collecting ▁the ▁al pine ▁4000 ers ▁will ▁become ▁as ▁popular ▁as ▁Mun ro ▁b agging , ▁but ▁for ▁a ▁real ▁challenge , ▁how ▁about ▁going ▁for ▁a ▁complete ▁set ▁of ▁150 ▁peak s ▁and ▁4000 ▁m ▁to ps !	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN VERB VERB ADP VERB DET NOUN NOUN NUM NUM VERB VERB ADV ADJ ADP PROPN PROPN NOUN NOUN NOUN CCONJ ADP DET ADJ NOUN NOUN ADV ADP VERB ADP DET ADJ NOUN ADP NUM NOUN NOUN CCONJ NUM NOUN NOUN NOUN NOUN
