‘ It was touch and go financially,’ says Rudd.	0 0 0 1 1 1 0 0 0	touch and go	figurative	identical	PUNCT PRON VERB NOUN CCONJ VERB PROPN VERB PROPN	▁ ‘ ▁It ▁was ▁touch ▁and ▁go ▁financially , ’ ▁says ▁Ru dd .	0 0 0 0 1 1 1 0 0 0 0 0 0 0	PUNCT PUNCT PRON VERB NOUN CCONJ VERB PROPN PROPN PROPN VERB PROPN PROPN PROPN
It's going to be touch and go but Swindon are in form.	0 0 0 0 1 1 1 0 0 0 0 0	touch and go	figurative	identical	PRON VERB PART VERB NOUN CCONJ VERB CCONJ PROPN VERB ADP NOUN	▁It ' s ▁going ▁to ▁be ▁touch ▁and ▁go ▁but ▁S wind on ▁are ▁in ▁form .	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	PRON PRON PRON VERB PART VERB NOUN CCONJ VERB CCONJ PROPN PROPN PROPN VERB ADP NOUN NOUN
‘ It is touch and go for him.	0 0 0 1 1 1 0 0	touch and go	figurative	identical	PUNCT PRON VERB NOUN CCONJ VERB ADP PRON	▁ ‘ ▁It ▁is ▁touch ▁and ▁go ▁for ▁him .	0 0 0 0 1 1 1 0 0 0	PUNCT PUNCT PRON VERB NOUN CCONJ VERB ADP PRON PRON
But it was touch and go all the way.	0 0 0 1 1 1 0 0 0	touch and go	figurative	identical	CCONJ PRON VERB NOUN CCONJ VERB ADJ DET NOUN	▁But ▁it ▁was ▁touch ▁and ▁go ▁all ▁the ▁way .	0 0 0 1 1 1 0 0 0 0	CCONJ PRON VERB NOUN CCONJ VERB ADJ DET NOUN NOUN
no such excuses for Oxford United … we've got them in close - up … this match was touch and go for a long time … lots of action … lots of shots … lots of saves …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	DET ADJ NOUN ADP PROPN PROPN PUNCT PRON VERB PRON ADP NOUN PUNCT NOUN PUNCT DET NOUN VERB NOUN CCONJ VERB ADP DET ADJ NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN PUNCT	▁no ▁such ▁excuse s ▁for ▁Oxford ▁United ▁... ▁we ' ve ▁got ▁them ▁in ▁close ▁- ▁up ▁... ▁this ▁match ▁was ▁touch ▁and ▁go ▁for ▁a ▁long ▁time ▁... ▁lots ▁of ▁action ▁... ▁lots ▁of ▁shot s ▁... ▁lots ▁of ▁save s ▁...	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN NOUN ADP PROPN PROPN PUNCT PRON PRON PRON VERB PRON ADP NOUN PUNCT NOUN PUNCT DET NOUN VERB NOUN CCONJ VERB ADP DET ADJ NOUN PUNCT NOUN ADP NOUN PUNCT NOUN ADP NOUN NOUN PUNCT NOUN ADP NOUN NOUN PUNCT
In fact, doctors listed his chances as ‘ touch and go’.	0 0 0 0 0 0 0 0 1 1 1	touch and go	figurative	dashes	ADP NOUN NOUN VERB ADJ NOUN ADP PUNCT NOUN CCONJ PROPN	▁In ▁fact , ▁doctors ▁listed ▁his ▁chances ▁as ▁ ‘ ▁touch ▁and ▁go ’ .	0 0 0 0 0 0 0 0 0 0 1 1 1 1 1	ADP NOUN NOUN NOUN VERB ADJ NOUN ADP PUNCT PUNCT NOUN CCONJ PROPN PROPN PROPN
It certainly was touch and go for Dunlop who was registering his fourth Regal win on the Ulster roads this year.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON ADV VERB NOUN CCONJ VERB ADP PROPN NOUN VERB VERB ADJ ADJ ADJ NOUN ADP DET PROPN NOUN DET NOUN	▁It ▁certainly ▁was ▁touch ▁and ▁go ▁for ▁Dun lop ▁who ▁was ▁register ing ▁his ▁fourth ▁Reg al ▁win ▁on ▁the ▁Ul ster ▁roads ▁this ▁year .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB NOUN CCONJ VERB ADP PROPN PROPN NOUN VERB VERB VERB ADJ ADJ ADJ ADJ NOUN ADP DET PROPN PROPN NOUN DET NOUN NOUN
Touch and go until the very last minute when Andy Arnott got a third for Gillingham, the end for Hereford ; the end of a night of football fireworks.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	case	VERB CCONJ VERB ADP DET ADV ADJ NOUN ADV PROPN PROPN VERB DET NOUN ADP PROPN DET NOUN ADP PROPN PUNCT DET NOUN ADP DET NOUN ADP NOUN NOUN	▁To uch ▁and ▁go ▁until ▁the ▁very ▁last ▁minute ▁when ▁And y ▁Ar not t ▁got ▁a ▁third ▁for ▁Gill ing ham , ▁the ▁end ▁for ▁Here ford ▁ ; ▁the ▁end ▁of ▁a ▁night ▁of ▁f ootball ▁fireworks .	1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB CCONJ VERB ADP DET ADV ADJ NOUN ADV PROPN PROPN PROPN PROPN PROPN VERB DET NOUN ADP PROPN PROPN PROPN PROPN DET NOUN ADP PROPN PROPN PUNCT PUNCT DET NOUN ADP DET NOUN ADP NOUN NOUN NOUN NOUN
It was always touch and go whether he would be fit to take his place, and he only got the nod after coming through a trial game without any problems.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB ADV VERB CCONJ VERB ADP PRON VERB VERB ADJ PART VERB ADJ NOUN CCONJ PRON ADV VERB DET NOUN ADP VERB ADP DET NOUN NOUN ADP DET NOUN	▁It ▁was ▁always ▁touch ▁and ▁go ▁whether ▁he ▁would ▁be ▁fit ▁to ▁take ▁his ▁place , ▁and ▁he ▁only ▁got ▁the ▁no d ▁after ▁coming ▁through ▁a ▁trial ▁game ▁without ▁any ▁problems .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB ADV VERB CCONJ VERB ADP PRON VERB VERB ADJ PART VERB ADJ NOUN NOUN CCONJ PRON ADV VERB DET NOUN NOUN ADP VERB ADP DET NOUN NOUN ADP DET NOUN NOUN
But now America's debt ceiling has become the subject of intense political posturing and touch - and - go negotiations behind closed doors.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0	touch and go	figurative	dashes	CCONJ ADV PROPN NOUN NOUN VERB VERB DET NOUN ADP ADJ ADJ NOUN CCONJ NOUN PUNCT CCONJ PUNCT VERB NOUN ADP ADJ NOUN	▁But ▁now ▁America ' s ▁debt ▁ceiling ▁has ▁become ▁the ▁subject ▁of ▁intense ▁political ▁post uring ▁and ▁touch ▁- ▁and ▁- ▁go ▁negotiations ▁behind ▁closed ▁doors .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0	CCONJ ADV PROPN PROPN PROPN NOUN NOUN VERB VERB DET NOUN ADP ADJ ADJ NOUN NOUN CCONJ NOUN PUNCT CCONJ PUNCT VERB NOUN ADP ADJ NOUN NOUN
It had been touch and go whether she would get herself anywhere near, let alone actually on, the bench.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	touch and go	figurative	identical	PRON VERB VERB NOUN CCONJ VERB ADP PRON VERB VERB PRON ADV ADV VERB ADV ADV ADV DET NOUN	▁It ▁had ▁been ▁touch ▁and ▁go ▁whether ▁she ▁would ▁get ▁herself ▁anywhere ▁near , ▁let ▁alone ▁actually ▁on , ▁the ▁bench .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB NOUN CCONJ VERB ADP PRON VERB VERB PRON ADV ADV ADV VERB ADV ADV ADV ADV DET NOUN NOUN
