‘ I couldn't have broken her heart.	0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	PUNCT PRON VERB VERB VERB ADJ NOUN
Nothing mattered any more — except the truth that was breaking her heart.	0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	NOUN VERB DET ADV PUNCT ADP DET NOUN ADJ VERB VERB ADJ NOUN
Da da da da da that's love and I can't believe it's true da da you better stop before you go and break my heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	possessive	PROPN X X X PROPN DET NOUN CCONJ PRON VERB VERB PRON ADJ X X PRON ADJ VERB ADP PRON VERB CCONJ VERB ADJ NOUN
It's the same with most of the old ladies I talk to, and frankly it breaks your heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	PRON DET ADJ ADP ADJ ADP DET ADJ NOUN PRON VERB ADP CCONJ ADV PRON VERB ADJ NOUN
It 'll break my tailor's heart. '	0 0 1 0 1 1 0	break someone's heart	figurative	combined-inflection	PRON VERB VERB ADJ NOUN NOUN PUNCT
The Fergie Scandal … shock new revelation that will break the Queen's heart	0 0 0 0 0 0 0 0 0 1 0 1 1	break someone's heart	figurative	combined-inflection	DET PROPN PROPN PUNCT NOUN ADJ NOUN ADJ VERB VERB DET PROPN NOUN
It broke my heart.	0 1 1 1	break someone's heart	figurative	combined-inflection	PRON VERB ADJ NOUN
It broke Perdita's heart that Ricky, who 'd only been out of top - class polo for three years, was totally ignored.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	break someone's heart	figurative	combined-inflection	PRON VERB PROPN NOUN ADJ PROPN NOUN VERB ADV VERB ADP ADP ADJ PUNCT NOUN NOUN ADP NUM NOUN VERB ADV VERB
The blue eyes pierced through her with that cold, callous look that once was capable of breaking her heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	DET ADJ NOUN VERB ADP PRON ADP DET ADJ ADJ NOUN ADP ADV VERB ADJ ADP VERB ADJ NOUN
‘ I was told that you broke their hearts.’	0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	PUNCT PRON VERB VERB ADP PRON VERB ADJ X
So he has to go back home and leave her and in telling her of course he breaks her heart.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	break someone's heart	figurative	combined-inflection	CCONJ PRON VERB PART VERB ADV ADV CCONJ VERB PRON CCONJ ADP VERB PRON ADP NOUN PRON VERB ADJ NOUN
