BUDDING actor Prince Edward will mimic brother Charles as he treads the boards tonight.	0 0 0 0 0 0 0 0 0 0 1 0 1 0	tread the boards	figurative	inflection	VERB NOUN PROPN PROPN VERB VERB NOUN PROPN ADP PRON VERB DET NOUN NOUN
And rather than treading the boards … they were teetering two feet above them.	0 0 0 1 0 1 0 0 0 0 0 0 0 0	tread the boards	figurative	inflection	CCONJ ADV ADP VERB DET NOUN PUNCT PRON VERB VERB NUM NOUN ADP PRON
I was 22 or 23 before I decided to tread the boards.	0 0 0 0 0 0 0 0 0 1 0 1	tread the boards	figurative	identical	PRON VERB NUM CCONJ NUM ADP PRON VERB PART VERB DET NOUN
And the former British No 1, who treads the boards as Cinderella in Norwich next month, was the first to confess her return to competitive tennis was hardly the stuff of fairy tales.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tread the boards	figurative	inflection	CCONJ DET ADJ ADJ NOUN NUM NOUN VERB DET NOUN ADP PROPN ADP PROPN ADJ NOUN VERB DET ADJ PART VERB ADJ NOUN ADP ADJ NOUN VERB ADV DET NOUN ADP NOUN NOUN
A MAN who had a triple heart bypass operation is now treading the boards in the hope of becoming a pop star.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	tread the boards	figurative	inflection	DET PROPN NOUN VERB DET ADJ NOUN NOUN NOUN VERB ADV VERB DET NOUN ADP DET NOUN ADP VERB DET NOUN NOUN
I trod the boards, as it were, when I was thirteen.	0 1 0 1 0 0 0 0 0 0 0	tread the boards	figurative	inflection	PRON VERB DET NOUN ADP PRON VERB ADV PRON VERB NUM
Spirit treads the boards	0 1 0 1	tread the boards	figurative	inflection	PROPN VERB DET NOUN
The trio were treading the boards at Linthorpe Road Junior School, Middlesbrough, in a short play devised and performed by South Tees Community and Mental Health chiropody department.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tread the boards	figurative	inflection	DET NOUN VERB VERB DET NOUN ADP PROPN PROPN PROPN PROPN PROPN ADP DET ADJ NOUN VERB CCONJ VERB ADP PROPN PROPN PROPN CCONJ PROPN PROPN NOUN NOUN
HISTORY AND ALL THAT Sarah - Jane Forder treads the boards at Charlecote	0 0 0 0 0 0 0 0 1 0 1 0 0	tread the boards	figurative	inflection	NOUN CCONJ DET ADJ PROPN PUNCT PROPN PROPN VERB DET NOUN ADP PROPN
But not until he was 25 ( and he's now 51 ) did Bob even dare to tread the boards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tread the boards	figurative	identical	CCONJ ADV ADP PRON VERB NUM PUNCT CCONJ PRON ADV NUM PUNCT VERB PROPN ADV VERB PART VERB DET NOUN
‘ But more, I shall spread your name far and wide to all parts of the country, you will be as famous as any of the actors who have trod the boards at this theatre, that I promise you, Hari Morgan.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	tread the boards	figurative	inflection	PUNCT CCONJ ADJ PRON VERB VERB ADJ NOUN ADV CCONJ ADV ADP DET NOUN ADP DET NOUN PRON VERB VERB ADV ADJ ADP DET ADP DET NOUN NOUN VERB NOUN DET NOUN ADP DET NOUN ADP PRON VERB PRON PROPN PROPN
But not until he was 25 ( and he's now 51 ) did Bob even dare to tread the boards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tread the boards	figurative	identical	CCONJ ADV ADP PRON VERB NUM PUNCT CCONJ PRON ADV NUM PUNCT VERB PROPN ADV VERB PART VERB DET NOUN
STRINDBERG 'S Miss Julie ranks among the most tiresome female characters to have trod the boards over the last 100 years or so.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	tread the boards	figurative	inflection	PROPN PART PROPN PROPN VERB ADP DET ADV ADJ ADJ NOUN PART VERB NOUN DET NOUN ADP DET ADJ NUM NOUN CCONJ ADV
Paul Boardman, son of Liverpool comic Stan, will tread the Home Park boards on his Plymouth Argyle debut against Bournemouth.	0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0	tread the boards	figurative	insertion-other	PROPN PROPN NOUN ADP PROPN ADJ PROPN VERB VERB DET PROPN PROPN NOUN ADP ADJ PROPN PROPN NOUN ADP PROPN
Grov - cap Knock down : Demolition men move into Belfast's Grosvenor Hall, where many an international star trod the boards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tread the boards	figurative	inflection	PROPN PUNCT NOUN PROPN PART PUNCT NOUN NOUN VERB ADP PROPN PROPN PROPN ADV ADJ DET ADJ NOUN NOUN DET NOUN
‘ Oh, I used to tread the boards, I am an actor all right but there aren't many roles for a man who sustained an injury that left one leg shorter than the other.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tread the boards	figurative	identical	PUNCT INTJ PRON VERB PART VERB DET NOUN PRON VERB DET NOUN ADV ADV CCONJ ADV VERB ADJ NOUN ADP DET NOUN NOUN VERB DET NOUN ADJ VERB NUM NOUN ADJ ADP DET ADJ
The Royal Shakespeare Company is paying a first visit to Durham City but not to tread the boards.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	tread the boards	figurative	identical	DET PROPN PROPN PROPN VERB VERB DET ADJ NOUN ADP PROPN PROPN CCONJ ADV PART VERB DET NOUN
If they start today they have something under three weeks before treading the boards.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	tread the boards	figurative	inflection	ADP PRON VERB NOUN PRON VERB NOUN ADP NUM NOUN ADP VERB DET NOUN
… welcome back … later on we 'll meet the ex con who's doing time treading the boards … but first … sport and we 're off to the sunshine of Australia … to the heart of the outback to join Tim Russon	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	tread the boards	figurative	inflection	PUNCT VERB PART PUNCT ADV ADP PRON VERB VERB DET NUM NOUN NOUN VERB NOUN VERB DET NOUN PUNCT CCONJ ADJ PUNCT NOUN CCONJ PRON VERB ADP ADP DET NOUN ADP PROPN PUNCT ADP DET NOUN ADP DET NOUN PART VERB PROPN PROPN
REM guitarist Peter Buck has recently been treading the boards with Kevin Kinney of Drivin ' N ' Cryin.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	tread the boards	figurative	inflection	NOUN NOUN PROPN PROPN VERB ADV VERB VERB DET NOUN ADP PROPN PROPN ADP PROPN PART PROPN PUNCT NOUN
Morris had no idea she had trodden the boards.	0 0 0 0 0 0 1 0 1	tread the boards	figurative	inflection	PROPN VERB DET NOUN PRON VERB VERB DET NOUN
