Punk had turned pop music and its attendant culture on its head.	0 0 1 0 1 0 0 0 0 1 1 1	turn something on its head	figurative	combined-inflection	NOUN VERB VERB NOUN NOUN CCONJ ADJ ADJ NOUN ADP ADJ NOUN
In fact, we can turn the apparent paradox on its head : what would happen if the people of the future decided not to communicate with the past, despite the fact that their histories told them that they were going to?	0 0 0 0 1 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn something on its head	figurative	combined-other	ADP NOUN PRON VERB VERB DET ADJ NOUN ADP ADJ NOUN PUNCT NOUN VERB VERB ADP DET NOUN ADP DET NOUN VERB ADV PART VERB ADP DET NOUN ADP DET NOUN ADP ADJ NOUN VERB PRON ADP PRON VERB VERB ADP
A new historical theory has been put forward which could turn the entire legend of King Arthur on its head.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 1 1	turn something on its head	figurative	combined-other	DET ADJ ADJ NOUN VERB VERB VERB ADV ADJ VERB VERB DET ADJ NOUN ADP PROPN PROPN ADP ADJ NOUN
They also sought to turn the criticism on its head by offering Reagan as a ' citizen ' candidate running against a seasoned and, by implication, tainted professional politician.	0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn something on its head	figurative	combined-other	PRON ADV VERB PART VERB DET NOUN ADP ADJ NOUN ADP VERB PROPN ADP DET PUNCT NOUN PUNCT NOUN VERB ADP DET ADJ CCONJ ADP NOUN ADJ ADJ NOUN
TOKYO – If the most dangerous moment for any dictatorship is when it starts to reform, North ~ Korea looks ready to turn that truism on its head.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1	turn something on its head	figurative	combined-other	PROPN PUNCT ADP DET ADV ADJ NOUN ADP DET NOUN VERB ADV PRON VERB PART VERB PROPN PUNCT PROPN VERB ADJ PART VERB DET NOUN ADP ADJ NOUN
In fact, it would turn Beveridge on its head and use the national insurance system as a tax system.	0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0	turn something on its head	figurative	combined-other	ADP NOUN PRON VERB VERB PROPN ADP ADJ NOUN CCONJ VERB DET ADJ NOUN NOUN ADP DET NOUN NOUN
But this is to turn the matter on its head.	0 0 0 0 1 0 1 1 1 1	turn something on its head	figurative	combined-other	CCONJ DET VERB PART VERB DET NOUN ADP ADJ NOUN
Turning that issue on its head.	1 0 1 1 1 1	turn something on its head	figurative	combined-inflection	VERB DET NOUN ADP ADJ NOUN
And it occu It seemed to me therefore that really one could only consider this level o at a strategic issue by looking at the quality of the existing landscape and it seems to me, if the proposition is that you should locate a new settlement to the erm North in the Ryedale sector, er of Greater York, then you 're effectively turning planning on its head because I think the usual approach is to try and steer development to less attractive areas rather than put them in better quality areas.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn something on its head	figurative	combined-inflection	CCONJ PRON ADP PRON VERB ADP PRON ADV ADP ADV PRON VERB ADV VERB DET NOUN X ADP DET ADJ NOUN ADP VERB ADP DET NOUN ADP DET VERB NOUN CCONJ PRON VERB ADP PRON ADP DET NOUN VERB ADP PRON VERB VERB DET ADJ NOUN ADP DET ADJ PROPN ADP DET PROPN NOUN INTJ ADP PROPN PROPN ADV PRON VERB ADV VERB NOUN ADP ADJ NOUN ADP PRON VERB DET ADJ NOUN VERB PART VERB CCONJ VERB NOUN ADP ADV ADJ NOUN ADV ADP VERB PRON ADP ADJ NOUN NOUN
Such a quantity of natural ability can sometimes cause inner confusion and players like him can turn a match on its head sometimes without knowing how it happened or how they did it.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	turn something on its head	figurative	combined-other	ADJ DET NOUN ADP ADJ NOUN VERB ADV VERB ADJ NOUN CCONJ NOUN ADP PRON VERB VERB DET NOUN ADP ADJ NOUN ADV ADP VERB ADV PRON VERB CCONJ ADV PRON VERB PRON
With a smile on his face, The Doc turned years of anguish on its head.	0 0 0 0 0 0 0 0 1 1 0 0 1 1 1	turn something on its head	figurative	combined-inflection	ADP DET NOUN ADP ADJ NOUN DET PROPN VERB NOUN ADP NOUN ADP ADJ NOUN
Thus, individuals socialised into the working classes will suffer from status frustration, and will adopt an outlook set on turning the middle - class value system on its head.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 1 1 1 1	turn something on its head	figurative	combined-inflection	ADV NOUN VERB ADP DET VERB NOUN VERB VERB ADP NOUN NOUN CCONJ VERB VERB DET NOUN VERB ADP VERB DET ADJ PUNCT NOUN NOUN NOUN ADP ADJ NOUN
The history of the town or village : turning history on its head	0 0 0 0 0 0 0 0 1 1 1 1 1	turn something on its head	figurative	combined-inflection	DET NOUN ADP DET NOUN CCONJ NOUN PUNCT VERB NOUN ADP ADJ NOUN
But the shrewd and hard - working daughter of the 14th Earl of Glamis turned the dire situation completely on its head.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 1 1	turn something on its head	figurative	combined-inflection	CCONJ DET ADJ CCONJ ADV PUNCT VERB NOUN ADP DET ADJ PROPN ADP PROPN VERB DET ADJ NOUN ADV ADP ADJ NOUN
Sociology just seems to turn all that on its head.	0 0 0 0 1 0 1 1 1 1	turn something on its head	figurative	combined-other	NOUN ADV VERB PART VERB ADJ DET ADP ADJ NOUN
And it was this ability to get straight to the point and to turn conventional wisdom on its head that earned him the respect of so many staff and others with whom he regularly had to confront thorny questions of Amnesty strategy and its relations with governments.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn something on its head	figurative	combined-other	CCONJ PRON VERB DET NOUN PART VERB ADJ ADP DET NOUN CCONJ PART VERB ADJ NOUN ADP ADJ NOUN ADJ VERB PRON DET NOUN ADP ADV ADJ NOUN CCONJ NOUN ADP NOUN PRON ADV VERB PART VERB ADJ NOUN ADP PROPN NOUN CCONJ ADJ NOUN ADP NOUN
Lewis turned Boeke's idea on its head, arguing that labor migration from traditional agriculture to modern industrial activities is the engine of economic development.	0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn something on its head	figurative	combined-inflection	PROPN VERB PROPN NOUN ADP ADJ NOUN VERB ADP NOUN NOUN ADP ADJ NOUN ADP ADJ ADJ NOUN VERB DET NOUN ADP ADJ NOUN
The Solomon Islands Development Trust ( SIDT ) is an independent, indigenous organisation which has attracted world - wide interest throughout the last decade by turning conventional development on its head with a simple premise ; that the villager is the nation's most valuable resource.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn something on its head	figurative	combined-inflection	DET PROPN PROPN PROPN PROPN PUNCT PROPN PUNCT VERB DET ADJ ADJ NOUN ADJ VERB VERB NOUN PUNCT ADJ NOUN ADP DET ADJ NOUN ADP VERB ADJ NOUN ADP ADJ NOUN ADP DET ADJ NOUN PUNCT ADP DET NOUN VERB DET NOUN ADV ADJ NOUN
Famed for his kicking but accused of rarely tackling, Botha can the vision to turn a game on its head.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1	turn something on its head	figurative	combined-other	VERB ADP ADJ NOUN CCONJ VERB ADP ADV VERB PROPN VERB DET NOUN PART VERB DET NOUN ADP ADJ NOUN
So effectively Robert Harris and Noel Timms ( ' Backs against the wall ', 15 April ) turn Parkinson's Law on its head when they say that in residential care ' time expands in accordance with the potentially limitless tasks which exist '.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn something on its head	figurative	combined-other	ADV ADV PROPN PROPN CCONJ PROPN PROPN PUNCT PUNCT NOUN ADP DET NOUN PUNCT NUM PROPN PUNCT VERB PROPN PROPN ADP ADJ NOUN ADV PRON VERB ADP ADP ADJ NOUN PUNCT NOUN VERB ADP NOUN ADP DET ADV ADJ NOUN ADJ VERB PUNCT
Then they were a single out away from going one game up in Dodger Stadium — only for Kirk Gibson to turn the Series on its head with a home run at the last moment.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0	turn something on its head	figurative	combined-other	ADV PRON VERB DET ADJ ADV ADV ADP VERB NUM NOUN PART ADP PROPN PROPN PUNCT ADV ADP PROPN PROPN PART VERB DET NOUN ADP ADJ NOUN ADP DET NOUN NOUN ADP DET ADJ NOUN
While it is not my intention to turn conventional theory on its head, it often happens that theories become accepted facts because people simply repeat them, without anyone ever questioning them.	0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	turn something on its head	figurative	combined-other	ADP PRON VERB ADV ADJ NOUN PART VERB ADJ NOUN ADP ADJ NOUN PRON ADV VERB ADP NOUN VERB VERB NOUN ADP NOUN ADV VERB PRON ADP NOUN ADV VERB PRON
The old lady was right to turn the prayer on its head.	0 0 0 0 0 0 1 0 1 1 1 1	turn something on its head	figurative	combined-other	DET ADJ NOUN VERB ADJ PART VERB DET NOUN ADP ADJ NOUN
Turn the pensions market on its head, making pension provision costly and difficult.	1 0 0 1 1 1 1 0 0 0 0 0 0	turn something on its head	figurative	combined-other	VERB DET NOUN NOUN ADP ADJ NOUN VERB NOUN NOUN ADJ CCONJ ADJ
He said : ' It is designed mostly for London and turns reality on its head because it is dealing with late trains.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0	turn something on its head	figurative	combined-inflection	PRON VERB PUNCT PUNCT PRON VERB VERB ADV ADP PROPN CCONJ VERB NOUN ADP ADJ NOUN ADP PRON VERB VERB ADP ADJ NOUN
This is to turn the problem on its head.	0 0 0 1 0 1 1 1 1	turn something on its head	figurative	combined-other	DET VERB PART VERB DET NOUN ADP ADJ NOUN
The so - called ' hard ' deep - discounters turn this logic on its head.	0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1	turn something on its head	figurative	combined-other	DET ADV PUNCT VERB PUNCT ADJ PUNCT ADJ PUNCT NOUN VERB DET NOUN ADP ADJ NOUN
It all went wrong for him, though, in a three - minute spell during which time Mills scored twice for Leicester to turn the game on its head.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1	turn something on its head	figurative	combined-other	PRON DET VERB ADJ ADP PRON ADV ADP DET NUM PUNCT NOUN NOUN ADP ADJ NOUN NOUN VERB ADV ADP PROPN PART VERB DET NOUN ADP ADJ NOUN
With a mixture of public relations and desperation, they attempted to turn the situation on its head.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1	turn something on its head	figurative	combined-other	ADP DET NOUN ADP ADJ NOUN CCONJ NOUN PRON VERB PART VERB DET NOUN ADP ADJ NOUN
