Well with all those people breathing down his neck it's probably put him off	0 0 0 0 0 1 1 1 1 0 0 0 0 0	breathe down someone's neck	figurative	combined-inflection	INTJ ADP ADJ DET NOUN VERB PART ADJ NOUN PRON ADV VERB PRON PART
‘ The bank was breathing down my neck.	0 0 0 0 1 1 1 1	breathe down someone's neck	figurative	combined-inflection	PUNCT DET NOUN VERB VERB PART ADJ NOUN
Decisions obviously have to go through the A&R Director, but I don't have accountants breathing down my neck’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	breathe down someone's neck	figurative	combined-inflection	NOUN ADV VERB PART VERB ADP DET PROPN PROPN CCONJ PRON VERB VERB NOUN VERB PART ADJ NOUN
Labour and the Liberal Democrats are breathing down his neck.	0 0 0 0 0 0 1 1 1 1	breathe down someone's neck	figurative	combined-inflection	NOUN CCONJ DET PROPN PROPN VERB VERB PART ADJ NOUN
Because of him she had had to waste valuable days sightseeing, all the time aware of him breathing down her neck, and conscious that Lori had an extremely low boredom level.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	breathe down someone's neck	figurative	combined-inflection	ADP ADP PRON PRON VERB VERB PART VERB ADJ NOUN NOUN ADJ DET NOUN ADJ ADP PRON VERB PART ADJ NOUN CCONJ ADJ ADP PROPN VERB DET ADV ADJ NOUN NOUN
I have come back to the international scene with a fierce rival in Phil Tufnell, with Ian Salisbury breathing down our necks and Hampshire's young Sean Udal making great strides every season.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0	breathe down someone's neck	figurative	combined-inflection	PRON VERB VERB ADV ADP DET ADJ NOUN ADP DET ADJ NOUN ADP PROPN PROPN ADP PROPN PROPN VERB PART ADJ NOUN CCONJ PROPN ADJ PROPN PROPN VERB ADJ NOUN DET NOUN
The obligation to alert Vitor to his paternity had stalked her since the day of Thomas's birth, but now it was breathing down her neck.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	breathe down someone's neck	figurative	combined-inflection	DET NOUN PART VERB PROPN ADP ADJ NOUN VERB VERB PRON ADP DET NOUN ADP PROPN NOUN CCONJ ADV PRON VERB VERB PART ADJ NOUN
While county councillors were in the chamber yesterday discussing how much to overspend in Gloucestershire next year, protestors outside were breathing down their necks demanding an end to the threatened cuts that would result if the budget was brought in on target.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	breathe down someone's neck	figurative	combined-inflection	ADP NOUN NOUN VERB ADP DET NOUN NOUN VERB ADV ADJ PART VERB ADP ADJ ADJ NOUN NOUN ADV VERB VERB PART ADJ NOUN VERB DET NOUN ADP DET VERB NOUN ADJ VERB VERB ADP DET NOUN VERB VERB PART ADP NOUN
I don't trust you and I shall be breathing down your neck next time you pick up a phone.’	0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0	breathe down someone's neck	figurative	combined-inflection	PRON VERB VERB PRON CCONJ PRON VERB VERB VERB PART ADJ NOUN ADJ NOUN PRON VERB PART DET NOUN
Here's Jochim He needs a bit of help here Cooper breathing down his neck.	0 0 0 0 0 0 0 0 0 0 1 1 1 1	breathe down someone's neck	figurative	combined-inflection	ADV PROPN PRON VERB DET NOUN ADP NOUN ADV PROPN VERB PART ADJ NOUN
Did I really want this young man — oh, not now, this minute, pressed on top of me — but tomorrow, and the days after, breathing down my neck?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	breathe down someone's neck	figurative	combined-inflection	VERB PRON ADV VERB DET ADJ NOUN PUNCT INTJ ADV ADV DET NOUN VERB ADP NOUN ADP PRON PUNCT CCONJ NOUN CCONJ DET NOUN ADV VERB PART ADJ NOUN
Three days had passed before it suddenly struck Lisa that she had so far been spared her most dreaded aggravation — the aggravation of Alexander Vass constantly breathing down her neck.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	breathe down someone's neck	figurative	combined-inflection	NUM NOUN VERB VERB ADP PRON ADV VERB PROPN ADP PRON VERB ADV ADV VERB VERB PRON ADV VERB NOUN PUNCT DET NOUN ADP PROPN PROPN ADV VERB PART ADJ NOUN
‘ I must say, it's a lot better here without the old dragon breathing down my neck.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	breathe down someone's neck	figurative	combined-inflection	PUNCT PRON VERB VERB PRON DET NOUN ADJ ADV ADP DET ADJ NOUN VERB PART ADJ NOUN
It was harder to think clearly with someone breathing down his neck.	0 0 0 0 0 0 0 0 1 1 1 1	breathe down someone's neck	figurative	combined-inflection	PRON VERB ADJ PART VERB ADV ADP NOUN VERB PART ADJ NOUN
This means that the accuracy of our picture of God is not shown in the orthodoxy of our creeds or testimonies but in the truths which we assume and count on in the concrete situation ; those moments when the heat is on, the chips are down and reality seems to be breathing down our necks.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	breathe down someone's neck	figurative	combined-inflection	DET VERB ADP DET NOUN ADP ADJ NOUN ADP PROPN VERB ADV VERB ADP DET NOUN ADP ADJ NOUN CCONJ NOUN CCONJ ADP DET NOUN ADJ PRON VERB CCONJ VERB ADP ADP DET ADJ NOUN PUNCT DET NOUN ADV DET NOUN VERB ADV DET NOUN VERB ADV CCONJ NOUN VERB PART VERB VERB PART ADJ NOUN
It was a troubled film, directed by Sam Peckinpah who constantly had the Columbia Studio brass breathing down his neck.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	breathe down someone's neck	figurative	combined-inflection	PRON VERB DET ADJ NOUN VERB ADP PROPN PROPN NOUN ADV VERB DET PROPN PROPN NOUN VERB PART ADJ NOUN
