Er you know I think i er it's all up up for grabs really.	0 0 0 0 0 0 0 0 0 0 1 1 1 0	up for grabs	figurative	identical	INTJ PRON VERB PRON VERB PRON INTJ PRON DET PART PART ADP NOUN ADV
In a parallel move, Sun is putting 3.4 m Chubb shares up for grabs to investors through the same three brokers.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0	up for grabs	figurative	identical	ADP DET ADJ NOUN PROPN VERB VERB NUM NOUN PROPN NOUN PART ADP NOUN ADP NOUN ADP DET ADJ NUM NOUN
it's all up for grabs I would suggest.	0 0 1 1 1 0 0 0	up for grabs	figurative	identical	PRON DET ADP ADP NOUN PRON VERB VERB
This is the process whereby every scrap of green land in a town is up for grabs by development.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	up for grabs	figurative	identical	DET VERB DET NOUN ADV DET NOUN ADP ADJ NOUN ADP DET NOUN VERB ADP ADP NOUN ADP NOUN
Many of the national titles were up for grabs … it doesn't pay to be faint - hearted in this game.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	ADJ ADP DET ADJ NOUN VERB PART ADP NOUN PUNCT PRON VERB VERB PART VERB ADJ PUNCT ADJ ADP DET NOUN
Up for grabs :	1 1 1 0	up for grabs	figurative	case	ADP ADP NOUN PUNCT
As well as cups for cut flowers and floral art, prizes are also up for grabs for best vegetables and farm produce, cakes, preserves, and handicrafts.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	identical	ADV ADV ADP NOUN ADP NOUN NOUN CCONJ ADJ NOUN NOUN VERB ADV ADP ADP NOUN ADP ADJ NOUN CCONJ NOUN NOUN NOUN NOUN CCONJ NOUN
Burberrys £ 1.5 m work up for grabs	0 0 0 0 0 1 1 1	up for grabs	figurative	identical	PROPN SYM NUM NOUN NOUN PART ADP NOUN
Up for grabs are six travel awards from Larne to Cairnryan for the first male and female in each of three age categories.	1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up for grabs	figurative	case	ADP ADP NOUN VERB NUM NOUN NOUN ADP PROPN ADP PROPN ADP DET ADJ NOUN CCONJ ADJ ADP DET ADP NUM NOUN NOUN
No, more like expanding already open minds to infinite parameters, building their own Virtual Reality theme park where time has no meaning and the entire history of sound — acid house, prog rock, punk, reggae, classical, astronaut transmissions, Muslim prayer chants, Rickie Lee Jones eulogising the skies of her youth — is up for grabs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	INTJ ADV ADP VERB ADV ADJ NOUN ADP VERB NOUN VERB ADJ ADJ ADJ NOUN NOUN NOUN ADV NOUN VERB DET NOUN CCONJ DET ADJ NOUN ADP ADJ PUNCT NOUN NOUN ADJ NOUN NOUN NOUN ADJ NOUN NOUN ADJ NOUN NOUN PROPN PROPN PROPN VERB DET NOUN ADP ADJ NOUN PUNCT VERB ADP ADP NOUN
The competitive spirit thrives because the salespeople — sorry demonstrators — know there are good prizes up for grabs.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up for grabs	figurative	identical	DET ADJ NOUN NOUN ADP DET NOUN PUNCT ADJ NOUN PUNCT VERB ADV VERB ADJ NOUN PART ADP NOUN
