Is your radio receiving equipment up to scratch?’	0 0 0 0 0 1 1 1	up to scratch	figurative	dashes	VERB ADJ NOUN VERB NOUN ADP ADP NOUN
All these people needed a boot up the backside at regular intervals to keep them up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	ADJ DET NOUN VERB DET NOUN PART DET NOUN ADP ADJ NOUN PART VERB PRON PART ADP NOUN
Three of them floated in a sea of garlic and tomato and although I found them no better than chewy chicken my wife told me they were well up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	NUM ADP PRON VERB ADP DET NOUN ADP NOUN CCONJ NOUN CCONJ ADP PRON VERB PRON ADV ADV ADP ADJ NOUN ADJ NOUN VERB PRON PRON VERB ADV ADP ADP NOUN
They obviously keep it cut and keep it up to scratch.	0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	PRON ADV VERB PRON VERB CCONJ VERB PRON PART ADP NOUN
These arrangements are an unknown quantity and the administration may not turn out to be up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	DET NOUN VERB DET ADJ NOUN CCONJ DET NOUN VERB ADV VERB PART PART VERB ADP ADP NOUN
‘ Their forward technique is not up to scratch either in maul or scrum, but hose deficiencies won't take long to correct.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	PUNCT ADJ NOUN NOUN VERB ADV ADP PART VERB CCONJ ADP NOUN CCONJ NOUN CCONJ NOUN NOUN VERB VERB ADJ PART VERB
Falcon 3 from Spectrum Holobyte is still the best around for serious sim pilots, Secret Weapons of the Luftwaffe from Lucasfilms, and Aces of the Pacific from Dynamix show how good ‘ historic’ flight sims can be — against this formidable opposition Birds of Prey does not come up to scratch and in open combat would soon become the hunted, rather than the hunter …	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	PROPN NUM ADP PROPN PROPN VERB ADV DET ADJ ADV ADP ADJ NOUN NOUN PROPN PROPN ADP DET PROPN ADP PROPN CCONJ NOUN ADP DET PROPN ADP PROPN VERB ADV ADJ PRON NOUN NOUN NOUN VERB VERB PUNCT ADP DET ADJ NOUN PROPN ADP PROPN VERB ADV VERB PART ADP VERB CCONJ ADP ADJ NOUN VERB ADV VERB DET VERB ADV ADP DET NOUN PUNCT
He will if Sharpe's crossing is up to scratch.	0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	PRON VERB ADP PROPN NOUN VERB ADP PART NOUN
Then I look in the mirror and think : ‘ You 're not Miss World, kiddo’, and I thank God that someone didn't determine that my appearance didn't come up to scratch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	identical	ADV PRON VERB ADP DET NOUN CCONJ VERB PUNCT PUNCT PRON VERB ADV PROPN PROPN NOUN CCONJ PRON VERB PROPN ADP NOUN VERB VERB ADP ADJ NOUN VERB VERB PART ADP NOUN
Fretwork is well up to scratch and the nut is made from a substance which Hamer refer to as ‘ Lubritrak resin '.	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	up to scratch	figurative	identical	NOUN VERB ADV PART ADP NOUN CCONJ DET NOUN VERB VERB ADP DET NOUN ADJ PROPN VERB ADP ADP ADJ PROPN NOUN PUNCT
Former New Seekers singer Lyn Paul was linked with him briefly and, in a ‘ kiss- and tell’ interview, said, ‘ I think every time he took a girl out he compared her with his former wife, Gabrielle, and none of them came up to scratch.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	up to scratch	figurative	dashes	ADJ PROPN PROPN NOUN PROPN PROPN VERB VERB ADP PRON ADV CCONJ ADP DET NUM NOUN CCONJ PUNCT NOUN VERB PUNCT PRON VERB DET NOUN PRON VERB DET NOUN ADV PRON VERB PRON ADP ADJ ADJ NOUN PROPN CCONJ NOUN ADP PRON VERB PART ADP NOUN
