Er a complete dead loss about which way to go and turn basically.	0 0 0 0 0 0 0 1 1 1 0 0 0	way to go	literal	identical	INTJ DET ADJ ADJ NOUN ADP ADJ NOUN PART VERB CCONJ VERB ADV	▁Er ▁a ▁complete ▁dead ▁loss ▁about ▁which ▁way ▁to ▁go ▁and ▁turn ▁basic ally .	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	INTJ DET ADJ ADJ NOUN ADP ADJ NOUN PART VERB CCONJ VERB ADV ADV ADV
For instance, if you 've a long way to go, it's better to get there slowly than not at all .’	0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	ADP NOUN ADP PRON VERB DET ADJ NOUN PART VERB PRON ADJ PART VERB ADV ADV ADP ADV ADV ADV PUNCT	▁For ▁instance , ▁if ▁you ▁' ve ▁a ▁long ▁way ▁to ▁go , ▁it ' s ▁better ▁to ▁get ▁there ▁slowly ▁than ▁not ▁at ▁all ▁ . ’	0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP NOUN NOUN ADP PRON VERB VERB DET ADJ NOUN PART VERB VERB PRON PRON PRON ADJ PART VERB ADV ADV ADP ADV ADV ADV PUNCT PUNCT PUNCT
Nevertheless, Mr Lamont has a long way to go before he can recover the confidence of Scottish business leaders.	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	ADV PROPN PROPN VERB DET ADJ NOUN PART VERB ADP PRON VERB VERB DET NOUN ADP ADJ NOUN NOUN	▁Nevertheless , ▁Mr ▁La mont ▁has ▁a ▁long ▁way ▁to ▁go ▁before ▁he ▁can ▁recover ▁the ▁confidence ▁of ▁Scottish ▁business ▁leaders .	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	ADV ADV PROPN PROPN PROPN VERB DET ADJ NOUN PART VERB ADP PRON VERB VERB DET NOUN ADP ADJ NOUN NOUN NOUN
However, there's still a long way to go.	0 0 0 0 0 1 1 1	way to go	literal	identical	ADV ADV ADV DET ADJ NOUN PART VERB	▁However , ▁there ' s ▁still ▁a ▁long ▁way ▁to ▁go .	0 0 0 0 0 0 0 0 1 1 1 1	ADV ADV ADV ADV ADV ADV DET ADJ NOUN PART VERB VERB
( Recovering them is a matter of great urgency ; and a start has been made, but there's a long way to go — especially with Upward, whom oblivion has enveloped with a completeness that is startling and significant. )	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	PUNCT VERB PRON VERB DET NOUN ADP ADJ NOUN PUNCT CCONJ DET NOUN VERB VERB VERB CCONJ ADV DET ADJ NOUN PART VERB PUNCT ADV ADP PROPN NOUN NOUN VERB VERB ADP DET NOUN ADJ VERB ADJ CCONJ ADJ PUNCT	▁( ▁Re cover ing ▁them ▁is ▁a ▁matter ▁of ▁great ▁urgency ▁ ; ▁and ▁a ▁start ▁has ▁been ▁made , ▁but ▁there ' s ▁a ▁long ▁way ▁to ▁go ▁ — ▁especially ▁with ▁Up ward , ▁whom ▁obli vi on ▁has ▁envelope d ▁with ▁a ▁completeness ▁that ▁is ▁start ling ▁and ▁significant . ▁ )	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT VERB VERB VERB PRON VERB DET NOUN ADP ADJ NOUN PUNCT PUNCT CCONJ DET NOUN VERB VERB VERB VERB CCONJ ADV ADV ADV DET ADJ NOUN PART VERB PUNCT PUNCT ADV ADP PROPN PROPN PROPN NOUN NOUN NOUN NOUN VERB VERB VERB ADP DET NOUN ADJ VERB ADJ ADJ CCONJ ADJ ADJ PUNCT PUNCT
The new chairman, Dr Gregor Gysi, told an emergency party congress at the weekend that the SED had made a start in ‘ breaking with Stalinism,’ but added that there was still a long way to go in ‘ overcoming Stalinist structures’.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	way to go	literal	identical	DET ADJ NOUN PROPN PROPN PROPN VERB DET NOUN NOUN NOUN ADP DET NOUN ADP DET PROPN VERB VERB DET NOUN ADP PUNCT NOUN ADP PROPN CCONJ VERB ADP ADV VERB ADV DET ADJ NOUN PART VERB ADP ADJ VERB ADJ NOUN	▁The ▁new ▁chairman , ▁Dr ▁Gre g or ▁Gy si , ▁told ▁an ▁emergency ▁party ▁congress ▁at ▁the ▁weekend ▁that ▁the ▁S ED ▁had ▁made ▁a ▁start ▁in ▁ ‘ ▁breaking ▁with ▁Stal in ism , ’ ▁but ▁added ▁that ▁there ▁was ▁still ▁a ▁long ▁way ▁to ▁go ▁in ▁ ‘ ▁overcom ing ▁Stal in ist ▁structures ’ .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN NOUN NOUN ADP DET NOUN ADP DET PROPN PROPN VERB VERB DET NOUN ADP PUNCT PUNCT NOUN ADP PROPN PROPN PROPN PROPN PROPN CCONJ VERB ADP ADV VERB ADV DET ADJ NOUN PART VERB ADP ADJ ADJ VERB VERB ADJ ADJ ADJ NOUN NOUN NOUN
' Way to go, Prent. '	0 1 1 1 0 0	way to go	figurative	case	PUNCT NOUN PART VERB PROPN PUNCT	▁' ▁Way ▁to ▁go , ▁P rent . ▁'	0 1 1 1 1 0 0 0 0	PUNCT NOUN PART VERB VERB PROPN PROPN PROPN PUNCT
So for Swindon there's still a long way to go.	0 0 0 0 0 0 0 1 1 1	way to go	literal	identical	ADV ADP PROPN ADV ADV DET ADJ NOUN PART VERB	▁So ▁for ▁S wind on ▁there ' s ▁still ▁a ▁long ▁way ▁to ▁go .	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	ADV ADP PROPN PROPN PROPN ADV ADV ADV ADV DET ADJ NOUN PART VERB VERB
The Wanderers ' manager, Phil Neal, has some way to go before he can expect to be so honoured but he collected several brownie points after his side's spirited performance.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	way to go	literal	identical	DET PROPN PART NOUN PROPN PROPN VERB DET NOUN PART VERB ADP PRON VERB VERB PART VERB ADV ADJ CCONJ PRON VERB ADJ ADJ NOUN ADP ADJ NOUN ADJ NOUN	▁The ▁Wa nder ers ▁' ▁manager , ▁P hil ▁Ne al , ▁has ▁some ▁way ▁to ▁go ▁before ▁he ▁can ▁expect ▁to ▁be ▁so ▁honoured ▁but ▁he ▁collected ▁several ▁brown ie ▁points ▁after ▁his ▁side ' s ▁spirit ed ▁performance .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET PROPN PROPN PROPN PART NOUN NOUN PROPN PROPN PROPN PROPN PROPN VERB DET NOUN PART VERB ADP PRON VERB VERB PART VERB ADV ADJ CCONJ PRON VERB ADJ ADJ ADJ NOUN ADP ADJ NOUN NOUN NOUN ADJ ADJ NOUN NOUN
Although we 've advanced a great deal in the last fifty years, we still have a way to go and our self esteem is lower than men.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0	way to go	literal	identical	ADP PRON VERB VERB DET ADJ NOUN ADP DET ADJ NUM NOUN PRON ADV VERB DET NOUN PART VERB CCONJ ADJ NOUN NOUN VERB ADJ ADP NOUN	▁Although ▁we ▁' ve ▁advanced ▁a ▁great ▁deal ▁in ▁the ▁last ▁fifty ▁years , ▁we ▁still ▁have ▁a ▁way ▁to ▁go ▁and ▁our ▁self ▁esteem ▁is ▁lower ▁than ▁men .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	ADP PRON VERB VERB VERB DET ADJ NOUN ADP DET ADJ NUM NOUN NOUN PRON ADV VERB DET NOUN PART VERB CCONJ ADJ NOUN NOUN VERB ADJ ADP NOUN NOUN
I had read nine pages on the trans - atlantic flight, but there was still some way to go.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	way to go	literal	identical	PRON VERB VERB NUM NOUN ADP DET NOUN PUNCT ADJ NOUN CCONJ ADV VERB ADV DET NOUN PART VERB	▁I ▁had ▁read ▁nine ▁pages ▁on ▁the ▁trans ▁- ▁ atlantic ▁flight , ▁but ▁there ▁was ▁still ▁some ▁way ▁to ▁go .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1	PRON VERB VERB NUM NOUN ADP DET NOUN PUNCT ADJ ADJ NOUN NOUN CCONJ ADV VERB ADV DET NOUN PART VERB VERB
