Memory returned to Seb in disjointed snatches and he hastily checked he was wearing his trousers.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	wear the trousers	literal	combined-inflection	NOUN VERB ADP PROPN ADP ADJ NOUN CCONJ PRON ADV VERB PRON VERB VERB ADJ NOUN
In October 1991, five young women in this predominantly Muslim area of Southern Malawi were arrested for wearing trousers, which is prohibited by the Decency in Dress Act.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	ADP PROPN NUM NUM ADJ NOUN ADP DET ADV ADJ NOUN ADP PROPN PROPN VERB VERB ADP VERB NOUN ADJ VERB VERB ADP DET PROPN ADP PROPN PROPN
She had short dark hair, wore well - cut trousers, a green country jacket and long, mud - splashed boots.	0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB ADJ ADJ NOUN VERB ADV PUNCT VERB NOUN DET ADJ NOUN NOUN CCONJ ADJ NOUN PUNCT VERB NOUN
After hours, we went to a bar in Knightsbridge, where one afternoon I met a fifty - five - year - old Italian woman who was wearing white leather flared trousers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1	wear the trousers	literal	combined-inflection	ADP NOUN PRON VERB ADP DET NOUN ADP PROPN ADV NUM NOUN PRON VERB DET NUM PUNCT NUM PUNCT NOUN PUNCT ADJ ADJ NOUN NOUN VERB VERB ADJ NOUN VERB NOUN
Then it doesn't matter, girls can wear trousers can't they?	0 0 0 0 0 0 1 1 0 0	wear the trousers	literal	deletion-determiner	ADV PRON VERB VERB NOUN VERB VERB NOUN VERB PRON
As he approached them, Mungo could see that they wore blue uniform trousers under their working clothes.	0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	wear the trousers	literal	combined-inflection	ADP PRON VERB PRON PROPN VERB VERB ADP PRON VERB ADJ ADJ NOUN ADP ADJ VERB NOUN
I, I remember being stared at because I was wearing trousers when I came to live in Scotland forty four years ago!	0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON PRON VERB VERB VERB ADP ADP PRON VERB VERB NOUN ADV PRON VERB PART VERB ADP PROPN NUM NUM NOUN ADV
Heavily drawn from the days when rock writers wore leather trousers and believed that rock would save the world.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	ADV VERB ADP DET NOUN ADV NOUN NOUN VERB NOUN NOUN CCONJ VERB DET NOUN VERB VERB DET NOUN
He wore the battered corduroy trousers and old tweed jacket of the skint London actor, not for effect but because buying clothes was a waste of money.	0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB DET VERB NOUN NOUN CCONJ ADJ NOUN NOUN ADP DET NOUN PROPN NOUN ADV ADP NOUN CCONJ ADP VERB NOUN VERB DET NOUN ADP NOUN
He wore short brown trousers and a rather ugly green shirt.	0 1 0 0 1 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	PRON VERB ADJ ADJ NOUN CCONJ DET ADV ADJ ADJ NOUN
Underneath this she wore black cotton trousers — ideally these should have been made of silk, but she felt sure no one would notice.	0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	wear the trousers	literal	combined-inflection	ADP DET PRON VERB ADJ NOUN NOUN PUNCT ADV DET VERB VERB VERB VERB ADP NOUN CCONJ PRON VERB ADJ DET NOUN VERB VERB
