After this the paths taken by the books change.	0 0 0 0 0 1 0 1 0	by the book	literal	inflection	ADP DET DET NOUN VERB ADP DET NOUN VERB
They always play it by the bloody book. '	0 0 0 0 1 0 0 1 0	by the book	figurative	insertion-other	PRON ADV VERB PRON ADP DET ADJ NOUN PUNCT
Transactions at PAS are done ‘ by the book’, no sign of computer technology here, even the tea machine is configured to take pre - decimal currency, with a cup of tea costing 4d.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	figurative	dashes	NOUN ADP PROPN VERB VERB PUNCT ADP DET NOUN DET NOUN ADP NOUN NOUN ADV ADV DET NOUN NOUN VERB VERB PART VERB ADJ PUNCT ADJ NOUN ADP DET NOUN ADP NOUN NOUN NOUN
So when faced with pay demands in some public services Chancellor Denis Healey did not print the extra money but went strictly by the book.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	by the book	figurative	identical	ADV ADV VERB ADP NOUN NOUN ADP DET ADJ NOUN PROPN PROPN PROPN VERB ADV VERB DET ADJ NOUN CCONJ VERB ADV ADP DET NOUN
The rare ability shown in the digging and publication ( 1928 ) of this site gave her a promising place in Palaeolithic studies, reinforced by her first book, The Upper Palaeolithic Age in Britain ( 1926 ).	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0	by the book	literal	combined-other	DET ADJ NOUN VERB ADP DET NOUN CCONJ NOUN PUNCT NUM PUNCT ADP DET NOUN VERB PRON DET ADJ NOUN ADP PROPN NOUN VERB ADP ADJ ADJ NOUN DET PROPN PROPN PROPN ADP PROPN PUNCT NUM PUNCT
Jed did everything by the book, sounding the warning horn before every pull and staying well clear of Diane and the gun.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	figurative	identical	PROPN VERB NOUN ADP DET NOUN VERB DET VERB NOUN ADP DET NOUN CCONJ VERB ADV ADJ ADP PROPN CCONJ DET NOUN
A Weekend Away and A Week by the Sea each consist of two thirty - minute video cassettes accompanied by an Activity Book for students and a Video Guide for teachers.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	by the book	literal	combined-other	DET PROPN ADV CCONJ DET PROPN ADP DET PROPN DET VERB ADP NUM NUM PUNCT NOUN NOUN NOUN VERB ADP DET PROPN PROPN ADP NOUN CCONJ DET PROPN PROPN ADP NOUN
Greater light is shed on this aspect by the account books of Corelli's patrons, Pamphili and Ottoboni which list all the musicians employed by their respective households.	0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	combined-inflection	ADJ NOUN VERB VERB ADP DET NOUN ADP DET NOUN NOUN ADP PROPN NOUN PROPN CCONJ PROPN ADJ VERB ADJ DET NOUN VERB ADP ADJ ADJ NOUN
The exhibition continues until 31 May 1993 and is accompanied by a book by Nicholas Reeves and John Taylor.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	by the book	literal	determiner-narrow	DET NOUN VERB ADP NUM PROPN NUM CCONJ VERB VERB ADP DET NOUN ADP PROPN PROPN CCONJ PROPN PROPN
The waste is a small perquisite that hath been granted us for several hundred years past, which we are able to prove by our ancient Books of Record, which have been no less than 14 or 15 times ratified and confirmed at the General Quarter Sessions.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	by the book	literal	combined-inflection	DET NOUN VERB DET ADJ NOUN ADJ NOUN VERB VERB PRON ADP ADJ NUM NOUN ADJ ADJ PRON VERB ADJ PART VERB ADP ADJ ADJ NOUN ADP PROPN ADJ VERB VERB DET ADJ ADP NUM CCONJ NUM NOUN VERB CCONJ VERB ADP DET PROPN PROPN PROPN
The movement of the tide is well illustrated by the successive books of Monteverdi's madrigals.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	by the book	literal	combined-inflection	DET NOUN ADP DET NOUN VERB ADV VERB ADP DET ADJ NOUN ADP PROPN NOUN
