Has a woman who knew herself to be well dressed ever caught a cold?	0 0 0 0 0 0 0 0 0 0 0 1 0 1	catch a cold	figurative	inflection	VERB DET NOUN NOUN VERB PRON PART VERB ADV VERB ADV VERB DET NOUN	▁Has ▁a ▁woman ▁who ▁knew ▁herself ▁to ▁be ▁well ▁dressed ▁ever ▁caught ▁a ▁cold ?	0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	VERB DET NOUN NOUN VERB PRON PART VERB ADV VERB ADV VERB DET NOUN NOUN
I think I might have caught a cold.’	0 0 0 0 0 1 0 1	catch a cold	figurative	combined-inflection	PRON VERB PRON VERB VERB VERB DET NOUN	▁I ▁think ▁I ▁might ▁have ▁caught ▁a ▁cold . ’	0 0 0 0 0 1 0 1 1 1	PRON VERB PRON VERB VERB VERB DET NOUN NOUN NOUN
They certainly caught a cold with Preston at the weekend … rather generous in defeat.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	catch a cold	figurative	inflection	PRON ADV VERB DET NOUN ADP PROPN ADP DET NOUN PUNCT ADV ADJ ADP NOUN	▁They ▁certainly ▁caught ▁a ▁cold ▁with ▁Pre s ton ▁at ▁the ▁weekend ▁... ▁rather ▁generous ▁in ▁defeat .	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON ADV VERB DET NOUN ADP PROPN PROPN PROPN ADP DET NOUN PUNCT ADV ADJ ADP NOUN NOUN
He caught a bad cold and, thinking that the disease had returned, took his life.	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0	catch a cold	figurative	combined-inflection	PRON VERB DET ADJ NOUN CCONJ VERB ADP DET NOUN VERB VERB VERB ADJ NOUN	▁He ▁caught ▁a ▁bad ▁cold ▁and , ▁thinking ▁that ▁the ▁disease ▁had ▁returned , ▁took ▁his ▁life .	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB DET ADJ NOUN CCONJ CCONJ VERB ADP DET NOUN VERB VERB VERB VERB ADJ NOUN NOUN
' Ahh, he couldn't catch a bloody cold, ' snapped Yanto and carried the drinks back into the snug.	0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0	catch a cold	figurative	insertion-other	PUNCT INTJ PRON VERB VERB DET ADJ NOUN PUNCT VERB PROPN CCONJ VERB DET NOUN ADV ADP DET NOUN	▁' ▁A h h , ▁he ▁could n ' t ▁catch ▁a ▁blood y ▁cold , ▁' ▁snap ped ▁Y ant o ▁and ▁carried ▁the ▁drinks ▁back ▁into ▁the ▁sn ug .	0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT INTJ INTJ INTJ INTJ PRON VERB VERB VERB VERB VERB DET ADJ ADJ NOUN NOUN PUNCT VERB VERB PROPN PROPN PROPN CCONJ VERB DET NOUN ADV ADP DET NOUN NOUN NOUN
What happened however was that Eliot caught a cold, and on the 2 November we received a telegram from him :	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	catch a cold	figurative	inflection	NOUN VERB ADV VERB ADP PROPN VERB DET NOUN CCONJ ADP DET NUM PROPN PRON VERB DET NOUN ADP PRON PUNCT	▁What ▁happened ▁however ▁was ▁that ▁Eli ot ▁caught ▁a ▁cold , ▁and ▁on ▁the ▁2 ▁November ▁we ▁received ▁a ▁telegram ▁from ▁him ▁ :	0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	NOUN VERB ADV VERB ADP PROPN PROPN VERB DET NOUN NOUN CCONJ ADP DET NUM PROPN PRON VERB DET NOUN ADP PRON PUNCT PUNCT
There has been at least one occasion where we 've caught a cold because this was not done.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	catch a cold	figurative	inflection	ADV VERB VERB ADV ADV NUM NOUN ADV PRON VERB VERB DET NOUN ADP DET VERB ADV VERB	▁There ▁has ▁been ▁at ▁least ▁one ▁occasion ▁where ▁we ▁' ve ▁caught ▁a ▁cold ▁because ▁this ▁was ▁not ▁done .	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	ADV VERB VERB ADV ADV NUM NOUN ADV PRON VERB VERB VERB DET NOUN ADP DET VERB ADV VERB VERB
But later it was revealed the real reason for Benn's no - show was that he was too frightened to catch a cold.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	catch a cold	figurative	identical	CCONJ ADV PRON VERB VERB DET ADJ NOUN ADP PROPN DET PUNCT NOUN VERB ADP PRON VERB ADV ADJ PART VERB DET NOUN	▁But ▁later ▁it ▁was ▁revealed ▁the ▁real ▁reason ▁for ▁Ben n ' s ▁no ▁- ▁show ▁was ▁that ▁he ▁was ▁too ▁f right ened ▁to ▁catch ▁a ▁cold .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	CCONJ ADV PRON VERB VERB DET ADJ NOUN ADP PROPN PROPN PROPN PROPN DET PUNCT NOUN VERB ADP PRON VERB ADV ADJ ADJ ADJ PART VERB DET NOUN NOUN
I was caught in a shower on my way home from school, got soaking wet and caught a cold.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	catch a cold	figurative	inflection	PRON VERB VERB ADP DET NOUN ADP ADJ NOUN ADV ADP NOUN VERB VERB ADJ CCONJ VERB DET NOUN	▁I ▁was ▁caught ▁in ▁a ▁shower ▁on ▁my ▁way ▁home ▁from ▁school , ▁got ▁soak ing ▁wet ▁and ▁caught ▁a ▁cold .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB VERB ADP DET NOUN ADP ADJ NOUN ADV ADP NOUN NOUN VERB VERB VERB ADJ CCONJ VERB DET NOUN NOUN
It used to be said that when America sneezed, the rest of the world caught a cold.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	catch a cold	figurative	inflection	PRON VERB PART VERB VERB ADP ADV PROPN VERB DET NOUN ADP DET NOUN VERB DET NOUN	▁It ▁used ▁to ▁be ▁said ▁that ▁when ▁America ▁sn ee zed , ▁the ▁rest ▁of ▁the ▁world ▁caught ▁a ▁cold .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	PRON VERB PART VERB VERB ADP ADV PROPN VERB VERB VERB VERB DET NOUN ADP DET NOUN VERB DET NOUN NOUN
Henry David Thoreau's ' The Dispersion of Seeds ', now published as ' Faith in a Seed'(Island Press, 284 pages, $ 19.95 ), was written in 1860 after many tramps through the Concord woods, where Thoreau caught the cold that eventually killed him.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	catch a cold	figurative	combined-inflection	PROPN PROPN PROPN PUNCT DET PROPN ADP PROPN PUNCT ADV VERB ADP PUNCT NOUN ADP DET PROPN PROPN NUM NOUN SYM NUM PUNCT VERB VERB ADP NUM ADP ADJ NOUN ADP DET PROPN NOUN ADV PROPN VERB DET NOUN ADJ ADV VERB PRON	▁Henry ▁David ▁Thor eau ' s ▁' ▁The ▁D isper sion ▁of ▁Seeds ▁' , ▁now ▁published ▁as ▁' ▁Fa ith ▁in ▁a ▁See d ' ( Is land ▁Press , ▁284 ▁pages , ▁$ ▁19 . 95 ▁ ), ▁was ▁written ▁in ▁18 60 ▁after ▁many ▁tram ps ▁through ▁the ▁Con cord ▁wood s , ▁where ▁Thor eau ▁caught ▁the ▁cold ▁that ▁eventually ▁killed ▁him .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PUNCT DET PROPN PROPN PROPN ADP PROPN PUNCT PUNCT ADV VERB ADP PUNCT NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN NUM NOUN NOUN SYM NUM NUM NUM PUNCT PUNCT VERB VERB ADP NUM NUM ADP ADJ NOUN NOUN ADP DET PROPN PROPN NOUN NOUN NOUN ADV PROPN PROPN VERB DET NOUN ADJ ADV VERB PRON PRON
