Sometimes called ‘ Sun Trap’ houses, the idea behind them was to catch the sun at every angle.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	catch the sun	figurative	identical	ADV VERB PUNCT PROPN PROPN NOUN DET NOUN ADP PRON VERB PART VERB DET NOUN ADP DET NOUN
It certainly camouflaged her ungainly figure, but its shade did not exactly enhance the heightened colour of her face which had obviously caught the sun on holiday.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	catch the sun	figurative	inflection	PRON ADV VERB PRON ADJ NOUN CCONJ ADJ NOUN VERB ADV ADV VERB DET ADJ NOUN ADP ADJ NOUN ADJ VERB ADV VERB DET NOUN ADP NOUN
The north - facing escarpment of Watership Down, in shadow since early morning, now caught the western sun for an hour before twilight.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	catch the sun	figurative	combined-inflection	DET NOUN PUNCT VERB NOUN ADP PROPN PROPN ADP NOUN ADP ADJ NOUN ADV VERB DET ADJ NOUN ADP DET NOUN ADP NOUN
The stone they used to build Aberdeen may be built for endurance rather than seduction, but when it catches the sun it offers a lively spirit as well as a safe haven.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	catch the sun	figurative	inflection	DET NOUN PRON VERB PART VERB PROPN VERB VERB VERB ADP NOUN ADV ADP NOUN CCONJ ADV PRON VERB DET NOUN PRON VERB DET ADJ NOUN ADV ADV ADP DET ADJ NOUN
My chair with its high back and strong iron wheels is positioned correctly to catch the sun.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	catch the sun	figurative	identical	ADJ NOUN ADP ADJ ADJ ADV CCONJ ADJ NOUN NOUN VERB VERB ADV PART VERB DET NOUN
Dalgliesh could glimpse what was obviously her herb garden planted in elegant terracotta pots carefully disposed to catch the sun.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	catch the sun	figurative	identical	PROPN VERB VERB NOUN VERB ADV ADJ NOUN NOUN VERB ADP ADJ NOUN NOUN ADV VERB PART VERB DET NOUN
Roderick Gradidge, a scholar of the ‘ Butterfly’ plan period, explains the appeal in his book Dream Houses : ‘ Firstly it seems logical, for from a central core of the hall and staircase, the wings pushed out catching the sun and view.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0	catch the sun	figurative	inflection	PROPN PROPN DET NOUN ADP DET PUNCT ADJ NOUN NOUN VERB DET NOUN ADP ADJ NOUN PROPN PROPN PUNCT PUNCT ADV PRON VERB ADJ ADP ADP DET ADJ NOUN ADP DET NOUN CCONJ NOUN DET NOUN VERB PART VERB DET NOUN CCONJ NOUN
Before his eyes dull muddy grass turned into soft reflective banks which caught the sun a thousand ways.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	catch the sun	figurative	inflection	ADP ADJ NOUN ADJ ADJ NOUN VERB ADP ADJ ADJ NOUN ADJ VERB DET NOUN DET NUM NOUN
looking - glass to catch the sun	0 0 0 0 1 0 1	catch the sun	figurative	identical	VERB PUNCT NOUN PART VERB DET NOUN
She has hung ' Christabel ' in her bedroom where it catches the morning sun and shows up my imperfections.	0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0	catch the sun	figurative	combined-inflection	PRON VERB VERB PUNCT PROPN PUNCT ADP ADJ NOUN ADV PRON VERB DET NOUN NOUN CCONJ VERB PART ADJ NOUN
The Pennyland estate in Milton Keynes has over 100 houses that have been designed to catch as much sun as possible, cutting annual heating bills by 40 per cent and costing just one per cent more to build.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	catch the sun	figurative	combined-other	DET PROPN NOUN ADP PROPN PROPN VERB ADP NUM NOUN ADJ VERB VERB VERB PART VERB ADV ADJ NOUN ADP ADJ VERB ADJ NOUN NOUN ADP NUM NOUN NOUN CCONJ VERB ADV NUM NOUN NOUN ADJ PART VERB
Nobody's listening but I insist : ‘ This fairness of skin obliges them to shield themselves so that if they do catch the sun they avoid the obvious danger of peeling.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	catch the sun	figurative	identical	NOUN NOUN CCONJ PRON VERB PUNCT PUNCT DET NOUN ADP NOUN VERB PRON PART VERB PRON ADP ADP ADP PRON VERB VERB DET NOUN PRON VERB DET ADJ NOUN ADP VERB
A flock of dunlin flew across the marsh in a silver swirl, catching the sun, dazzling the eye.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	catch the sun	figurative	inflection	DET NOUN ADP NOUN VERB ADP DET NOUN ADP DET ADJ NOUN VERB DET NOUN VERB DET NOUN
She's caught the sun.	0 1 0 1	catch the sun	literal	inflection	PRON VERB DET NOUN
The garden wall and the towering backs of the High Street tenements were catching the sun.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	catch the sun	figurative	inflection	DET NOUN NOUN CCONJ DET VERB NOUN ADP DET PROPN PROPN NOUN VERB VERB DET NOUN
