who cocked a snook at Phyllis and Simone	0 1 0 1 0 0 0 0	cock a snook	figurative	inflection	NOUN VERB DET NOUN ADP PROPN CCONJ PROPN
A small firm on the brink of disaster two years ago cocking a snook at the recession by doubling its workforce and turning out garden tractors in the face of high demand … today saw number 5,000 roll off the line.	0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cock a snook	figurative	inflection	DET ADJ NOUN ADP DET NOUN ADP NOUN NUM NOUN ADV VERB DET NOUN ADP DET NOUN ADP VERB ADJ NOUN CCONJ VERB PART NOUN NOUN ADP DET NOUN ADP ADJ NOUN PUNCT NOUN VERB NOUN NUM NOUN PART DET NOUN
His glorification of the subtle and simple cocks a snook at the overblown excesses that have given Paris couture the kiss of death.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	cock a snook	figurative	inflection	ADJ NOUN ADP DET ADJ CCONJ ADJ NOUN DET NOUN ADP DET ADJ NOUN ADJ VERB VERB PROPN VERB DET NOUN ADP NOUN
Darling, sweet Constanza, let's do it, let's do it now, we are going to have a jolly life you and I, let's cock a snook at the world and the mess it's in.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0	cock a snook	figurative	identical	NOUN ADJ PROPN VERB VERB PRON VERB VERB PRON ADV PRON VERB VERB PART VERB DET ADJ NOUN PRON CCONJ PRON VERB VERB DET NOUN ADP DET NOUN CCONJ DET NOUN PRON ADJ
He is not cocking a snook at the authorities, he is putting his passengers at risk and that is a very serious matter.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cock a snook	figurative	inflection	PRON VERB ADV VERB DET NOUN ADP DET NOUN PRON VERB VERB ADJ NOUN ADP NOUN CCONJ DET VERB DET ADV ADJ NOUN
Durfey may have written the lyrics himself, adding a coded signature to cock a snook at his detractors ( ‘ The Town may da - da - da - m me as a poet, but they sing my songs for all that’ ) ; or he may conceivably have acted the part himself, for money he appeared to need, and plenty of laughs backstage.	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cock a snook	figurative	identical	PROPN VERB VERB VERB DET NOUN PRON VERB DET VERB NOUN PART VERB DET NOUN ADP ADJ NOUN PUNCT PUNCT DET PROPN VERB PROPN PUNCT PROPN PUNCT PROPN PUNCT VERB PRON ADP DET NOUN CCONJ PRON VERB ADJ NOUN ADP DET ADJ PUNCT PUNCT CCONJ PRON VERB ADV VERB VERB DET NOUN PRON ADP NOUN PRON VERB PART VERB CCONJ NOUN ADP NOUN ADV
Or, to get at it another way, here is a miscellaneous list from my own notebook of possible motives for murder : financial gain, self - protection, to preserve status, fear, to protect a loved one, for a principle, for revenge ( but remember credibility here : only in some societies is revenge stoked up enough to lead to killing ), the drive to power, compensation for past humiliation, removing a bar to sexual happiness ( bother the permissive society, but impediments do still exist ), jealousy, the desire to cock a giant snook at the whole world.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0	cock a snook	figurative	insertion-other	CCONJ PART VERB ADP PRON DET NOUN ADV VERB DET ADJ NOUN ADP ADJ ADJ NOUN ADP ADJ NOUN ADP NOUN PUNCT ADJ NOUN NOUN PUNCT NOUN PART VERB NOUN NOUN PART VERB DET VERB NOUN ADP DET NOUN ADP NOUN PUNCT CCONJ VERB NOUN ADV PUNCT ADV ADP DET NOUN VERB NOUN VERB PART ADV PART VERB ADP VERB PUNCT DET NOUN ADP NOUN NOUN ADP ADJ NOUN VERB DET NOUN ADP ADJ NOUN PUNCT VERB DET ADJ NOUN CCONJ NOUN VERB ADV VERB PUNCT NOUN DET NOUN PART VERB DET ADJ NOUN ADP DET ADJ NOUN
I might cock a snook at him behind his back but I wouldn't dash into his path making the victory sign.’	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cock a snook	figurative	identical	PRON VERB VERB DET NOUN ADP PRON ADP ADJ NOUN CCONJ PRON VERB VERB ADP ADJ NOUN VERB DET NOUN ADJ
Each, it is true, has her own perspective : for France, it is about cocking a snook at the Americans, for Germany about playing the leading role in a superstate, for Italy about compensating for her chronic democratic weaknesses ; for others it is to be able to benefit from German largesse.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cock a snook	figurative	inflection	DET PRON VERB ADJ VERB ADJ ADJ NOUN PUNCT ADP PROPN PRON VERB ADP VERB DET NOUN ADP DET PROPN ADP PROPN ADP VERB DET ADJ NOUN ADP DET NOUN ADP PROPN ADP VERB ADP ADJ ADJ ADJ NOUN PUNCT ADP NOUN PRON VERB PART VERB ADJ PART VERB ADP ADJ NOUN
The very cavalier nature of such waste seems to cock a snook at the Presbyterianism that controls a large section of the community.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0	cock a snook	figurative	identical	DET ADV ADJ NOUN ADP ADJ NOUN VERB PART VERB DET NOUN ADP DET PROPN ADJ VERB DET ADJ NOUN ADP DET NOUN
In his early years, Ceauşescu liked to cock a snook at Brezhnev by making visits to the districts bordering the territories Romania lost to the Soviet Union in 1940.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cock a snook	figurative	identical	ADP ADJ ADJ NOUN PROPN VERB PART VERB DET NOUN ADP PROPN ADP VERB NOUN ADP DET NOUN VERB DET NOUN PROPN VERB ADP DET PROPN PROPN ADP NUM
