And cold comfort.	0 1 1	cold comfort	figurative	identical	CCONJ ADJ NOUN	▁And ▁cold ▁comfort .	0 1 1 1	CCONJ ADJ NOUN NOUN
It is actually much easier than appearances would suggest — cold comfort when it looks impossible!	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0	cold comfort	figurative	identical	PRON VERB ADV ADV ADJ ADP NOUN VERB VERB PUNCT ADJ NOUN ADV PRON VERB ADJ	▁It ▁is ▁actually ▁much ▁easier ▁than ▁appearance s ▁would ▁suggest ▁ — ▁cold ▁comfort ▁when ▁it ▁looks ▁impossible !	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0	PRON VERB ADV ADV ADJ ADP NOUN NOUN VERB VERB PUNCT PUNCT ADJ NOUN ADV PRON VERB ADJ ADJ
It's cold comfort, of course, when there isn't much of a market to have a share of.	0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	PRON ADJ NOUN ADP NOUN ADV ADV VERB ADJ ADP DET NOUN PART VERB DET NOUN ADP	▁It ' s ▁cold ▁comfort , ▁of ▁course , ▁when ▁there ▁is n ' t ▁much ▁of ▁a ▁market ▁to ▁have ▁a ▁share ▁of .	0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON PRON PRON ADJ NOUN NOUN ADP NOUN NOUN ADV ADV VERB VERB VERB VERB ADJ ADP DET NOUN PART VERB DET NOUN ADP ADP
Exploring the nether regions of East Sussex from cold comfort on the South Downs, to Mexico in Peasmarsh, the Festival is out of the concert hall and into the streets, the sewers …	0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	VERB DET ADJ NOUN ADP PROPN PROPN ADP ADJ NOUN ADP DET PROPN PROPN ADP PROPN ADP PROPN DET PROPN VERB ADP ADP DET NOUN NOUN CCONJ ADP DET NOUN DET NOUN PUNCT	▁Explo ring ▁the ▁net her ▁regions ▁of ▁East ▁Sussex ▁from ▁cold ▁comfort ▁on ▁the ▁South ▁Down s , ▁to ▁Mexico ▁in ▁Peas mar sh , ▁the ▁F est ival ▁is ▁out ▁of ▁the ▁concert ▁hall ▁and ▁into ▁the ▁streets , ▁the ▁se wer s ▁...	0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB VERB DET ADJ ADJ NOUN ADP PROPN PROPN ADP ADJ NOUN ADP DET PROPN PROPN PROPN PROPN ADP PROPN ADP PROPN PROPN PROPN PROPN DET PROPN PROPN PROPN VERB ADP ADP DET NOUN NOUN CCONJ ADP DET NOUN NOUN DET NOUN NOUN NOUN PUNCT
British Columbia .............. 3 New Zealand .................. 48 AS THE All Blacks touch down at Heathrow today there is nothing but cold comfort for John Ryan, the Welsh coach, with the news of their heavy defeat of British Columbia at the Swangard Stadium here en route to their United Kingdom tour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	PROPN PROPN PUNCT NUM PROPN PROPN PUNCT NUM ADP DET PROPN PROPN VERB PART ADP PROPN NOUN ADV VERB NOUN ADP ADJ NOUN ADP PROPN PROPN DET PROPN NOUN ADP DET NOUN ADP ADJ ADJ NOUN ADP PROPN PROPN ADP DET PROPN PROPN ADV ADP NOUN ADP ADJ PROPN PROPN NOUN	▁British ▁Columbia ▁ . ............. ▁3 ▁New ▁Zealand ▁ ................ . . ▁48 ▁AS ▁THE ▁All ▁Black s ▁touch ▁down ▁at ▁He ath row ▁today ▁there ▁is ▁nothing ▁but ▁cold ▁comfort ▁for ▁John ▁R yan , ▁the ▁Welsh ▁coach , ▁with ▁the ▁new s ▁of ▁their ▁heavy ▁defeat ▁of ▁British ▁Columbia ▁at ▁the ▁S wan gard ▁Sta dium ▁here ▁en ▁route ▁to ▁their ▁United ▁Kingdom ▁to ur .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PUNCT PUNCT PUNCT NUM PROPN PROPN PUNCT PUNCT PUNCT PUNCT NUM ADP DET PROPN PROPN PROPN VERB PART ADP PROPN PROPN PROPN NOUN ADV VERB NOUN ADP ADJ NOUN ADP PROPN PROPN PROPN PROPN DET PROPN NOUN NOUN ADP DET NOUN NOUN ADP ADJ ADJ NOUN ADP PROPN PROPN ADP DET PROPN PROPN PROPN PROPN PROPN ADV ADP NOUN ADP ADJ PROPN PROPN NOUN NOUN NOUN
Jeremy Leggett reports on some cold - comfort clues from the Ice Age, while David Pugh considers the particular dangers facing cities like Venice as sea levels rise The big melt - down to a flood of fears.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	dashes	PROPN PROPN VERB ADP DET ADJ PUNCT NOUN NOUN ADP DET PROPN PROPN ADP PROPN PROPN VERB DET ADJ NOUN VERB NOUN ADP PROPN ADP NOUN NOUN VERB DET ADJ NOUN PUNCT NOUN ADP DET NOUN ADP NOUN	▁Je rem y ▁L egg ett ▁reports ▁on ▁some ▁cold ▁- ▁comfort ▁cl ue s ▁from ▁the ▁I ce ▁Age , ▁while ▁David ▁P ugh ▁considers ▁the ▁particular ▁dangers ▁facing ▁cities ▁like ▁Venice ▁as ▁sea ▁levels ▁rise ▁The ▁big ▁melt ▁- ▁down ▁to ▁a ▁flood ▁of ▁fears .	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN VERB ADP DET ADJ PUNCT NOUN NOUN NOUN NOUN ADP DET PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN VERB DET ADJ NOUN VERB NOUN ADP PROPN ADP NOUN NOUN VERB DET ADJ NOUN PUNCT NOUN ADP DET NOUN ADP NOUN NOUN
Cold comfort	1 1	cold comfort	figurative	case	ADJ NOUN	▁Cold ▁comfort	1 1	ADJ NOUN
Jolly frosty snowmen and frozen fir trees will add a touch of cold comfort to a gin and tonic or a fruit cup.	0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	ADJ ADJ NOUN CCONJ ADJ NOUN NOUN VERB VERB DET NOUN ADP ADJ NOUN ADP DET NOUN CCONJ NOUN CCONJ DET NOUN NOUN	▁J ol ly ▁frost y ▁snow men ▁and ▁frozen ▁fir ▁trees ▁will ▁add ▁a ▁touch ▁of ▁cold ▁comfort ▁to ▁a ▁g in ▁and ▁to nic ▁or ▁a ▁fruit ▁cup .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ ADJ ADJ ADJ NOUN NOUN CCONJ ADJ NOUN NOUN VERB VERB DET NOUN ADP ADJ NOUN ADP DET NOUN NOUN CCONJ NOUN NOUN CCONJ DET NOUN NOUN NOUN
Cold comfort …	1 1 0	cold comfort	figurative	case	ADJ NOUN PUNCT	▁Cold ▁comfort ▁...	1 1 0	ADJ NOUN PUNCT
But that's cold comfort to the players who for the past two months or so have been attempting to qualify for the PGA European Tour.	0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cold comfort	figurative	identical	CCONJ DET ADJ NOUN ADP DET NOUN NOUN ADP DET ADJ NUM NOUN CCONJ ADV VERB VERB VERB PART VERB ADP DET PROPN PROPN PROPN	▁But ▁that ' s ▁cold ▁comfort ▁to ▁the ▁players ▁who ▁for ▁the ▁past ▁two ▁months ▁or ▁so ▁have ▁been ▁attempting ▁to ▁qualify ▁for ▁the ▁P GA ▁European ▁Tour .	0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ DET DET DET ADJ NOUN ADP DET NOUN NOUN ADP DET ADJ NUM NOUN CCONJ ADV VERB VERB VERB PART VERB ADP DET PROPN PROPN PROPN PROPN PROPN
It was cold comfort, all right.	0 0 1 1 0 0	cold comfort	figurative	identical	PRON VERB ADJ NOUN ADV ADJ	▁It ▁was ▁cold ▁comfort , ▁all ▁right .	0 0 1 1 1 0 0 0	PRON VERB ADJ NOUN NOUN ADV ADJ ADJ
