‘ What's the matter — am I cramping your style?	0 0 0 0 0 0 0 1 1 1	cramp someone's style	figurative	misc	PUNCT NOUN DET NOUN PUNCT VERB PRON VERB ADJ NOUN	▁ ‘ ▁What ' s ▁the ▁matter ▁ — ▁am ▁I ▁cr amp ing ▁your ▁style ?	0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1	PUNCT PUNCT NOUN NOUN NOUN DET NOUN PUNCT PUNCT VERB PRON VERB VERB VERB ADJ NOUN NOUN
Yes, well you 'd be cramping his style wouldn't you?	0 0 0 0 0 1 1 1 0 0	cramp someone's style	figurative	misc	INTJ INTJ PRON VERB VERB VERB ADJ NOUN VERB PRON	▁Yes , ▁well ▁you ▁' d ▁be ▁cr amp ing ▁his ▁style ▁would n ' t ▁you ?	0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0	INTJ INTJ INTJ PRON VERB VERB VERB VERB VERB VERB ADJ NOUN VERB VERB VERB VERB PRON PRON
Being colour - blind has not cramped his style : ‘ Although, because I mix up greens and browns, I seem to have had lots of green hair.’	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	cramp someone's style	figurative	misc	VERB NOUN PUNCT ADJ VERB ADV VERB ADJ NOUN PUNCT PUNCT ADP ADP PRON VERB PART NOUN CCONJ NOUN PRON VERB PART VERB VERB NOUN ADP ADJ NOUN	▁Being ▁colour ▁- ▁blind ▁has ▁not ▁cr amp ed ▁his ▁style ▁ : ▁ ‘ ▁Although , ▁because ▁I ▁mix ▁up ▁green s ▁and ▁brown s , ▁I ▁seem ▁to ▁have ▁had ▁lots ▁of ▁green ▁hair . ’	0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	VERB NOUN PUNCT ADJ VERB ADV VERB VERB VERB ADJ NOUN PUNCT PUNCT PUNCT PUNCT ADP ADP ADP PRON VERB PART NOUN NOUN CCONJ NOUN NOUN NOUN PRON VERB PART VERB VERB NOUN ADP ADJ NOUN NOUN NOUN
The false idea of God will act like a tight collar on faith, cramping its style, confining its movements, throttling the full freedom of the wider truth.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0	cramp someone's style	figurative	misc	DET ADJ NOUN ADP PROPN VERB VERB ADP DET ADJ NOUN ADP NOUN VERB ADJ NOUN VERB ADJ NOUN VERB DET ADJ NOUN ADP DET ADJ NOUN	▁The ▁false ▁idea ▁of ▁God ▁will ▁act ▁like ▁a ▁tight ▁collar ▁on ▁faith , ▁cr amp ing ▁its ▁style , ▁confi ning ▁its ▁movements , ▁thr ott ling ▁the ▁full ▁freedom ▁of ▁the ▁wider ▁truth .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET ADJ NOUN ADP PROPN VERB VERB ADP DET ADJ NOUN ADP NOUN NOUN VERB VERB VERB ADJ NOUN NOUN VERB VERB ADJ NOUN NOUN VERB VERB VERB DET ADJ NOUN ADP DET ADJ NOUN NOUN
‘ He's not putting any pressure on me that would cramp my style at all.’	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	cramp someone's style	figurative	possessive	PUNCT PRON ADV VERB DET NOUN ADP PRON ADJ VERB VERB ADJ NOUN ADP NOUN	▁ ‘ ▁He ' s ▁not ▁putting ▁any ▁pressure ▁on ▁me ▁that ▁would ▁cr amp ▁my ▁style ▁at ▁all . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0	PUNCT PUNCT PRON PRON PRON ADV VERB DET NOUN ADP PRON ADJ VERB VERB VERB ADJ NOUN ADP NOUN NOUN NOUN
Bloody cramping our stu, they 'll be a bit cramping our style wouldn't they?	0 0 0 0 0 0 0 0 0 1 1 1 0 0	cramp someone's style	figurative	misc	ADJ VERB ADJ NOUN PRON VERB VERB DET NOUN VERB ADJ NOUN VERB PRON	▁Blood y ▁cr amp ing ▁our ▁stu , ▁they ▁' ll ▁be ▁a ▁bit ▁cr amp ing ▁our ▁style ▁would n ' t ▁they ?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0 0	ADJ ADJ VERB VERB VERB ADJ NOUN NOUN PRON VERB VERB VERB DET NOUN VERB VERB VERB ADJ NOUN VERB VERB VERB VERB PRON PRON
And, when, finally, she did emerge from her curtain cubicle to face the other girls, they took it very well, for they could afford to be charitable, and they were secretly glad that Clara's style was cramped, for without some handicap she would have been a more serious threat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	cramp someone's style	figurative	misc	CCONJ ADV ADV PRON VERB VERB ADP ADJ NOUN NOUN PART VERB DET ADJ NOUN PRON VERB PRON ADV ADV ADP PRON VERB VERB PART VERB ADJ CCONJ PRON VERB ADV ADJ ADP PROPN NOUN VERB VERB ADP ADP DET NOUN PRON VERB VERB VERB DET ADV ADJ NOUN	▁And , ▁when , ▁finally , ▁she ▁did ▁emerge ▁from ▁her ▁curtain ▁cubic le ▁to ▁face ▁the ▁other ▁girls , ▁they ▁took ▁it ▁very ▁well , ▁for ▁they ▁could ▁afford ▁to ▁be ▁charitable , ▁and ▁they ▁were ▁secret ly ▁glad ▁that ▁Clar a ' s ▁style ▁was ▁cr amp ed , ▁for ▁without ▁some ▁handicap ▁she ▁would ▁have ▁been ▁a ▁more ▁serious ▁threat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ CCONJ ADV ADV ADV ADV PRON VERB VERB ADP ADJ NOUN NOUN NOUN PART VERB DET ADJ NOUN NOUN PRON VERB PRON ADV ADV ADV ADP PRON VERB VERB PART VERB ADJ ADJ CCONJ PRON VERB ADV ADV ADJ ADP PROPN PROPN PROPN PROPN NOUN VERB VERB VERB VERB VERB ADP ADP DET NOUN PRON VERB VERB VERB DET ADV ADJ NOUN NOUN
Now that he was left alone with the two women, both of whom ( he imagined ) rather admired him, Rupert felt a sense of power, though there being two of them rather limited the scope of what he could do — cramped his style, he might almost have said.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0	cramp someone's style	figurative	misc	ADV ADP PRON VERB VERB ADV ADP DET NUM NOUN DET ADP NOUN PUNCT PRON VERB PUNCT ADV VERB PRON PROPN VERB DET NOUN ADP NOUN ADP ADV VERB NUM ADP PRON ADV VERB DET NOUN ADP NOUN PRON VERB VERB PUNCT VERB ADJ NOUN PRON VERB ADV VERB VERB	▁Now ▁that ▁he ▁was ▁left ▁alone ▁with ▁the ▁two ▁women , ▁both ▁of ▁whom ▁( ▁he ▁imagine d ▁ ) ▁rather ▁admire d ▁him , ▁Ru per t ▁felt ▁a ▁sense ▁of ▁power , ▁though ▁there ▁being ▁two ▁of ▁them ▁rather ▁limited ▁the ▁scope ▁of ▁what ▁he ▁could ▁do ▁ — ▁cr amp ed ▁his ▁style , ▁he ▁might ▁almost ▁have ▁said .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1 0 0 0 0 0 0	ADV ADP PRON VERB VERB ADV ADP DET NUM NOUN NOUN DET ADP NOUN PUNCT PRON VERB VERB PUNCT PUNCT ADV VERB VERB PRON PRON PROPN PROPN PROPN VERB DET NOUN ADP NOUN NOUN ADP ADV VERB NUM ADP PRON ADV VERB DET NOUN ADP NOUN PRON VERB VERB PUNCT PUNCT VERB VERB VERB ADJ NOUN NOUN PRON VERB ADV VERB VERB VERB
Craftily she added, ‘ It might cramp your style where this Michele Diomede is concerned.’	0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	cramp someone's style	figurative	possessive	PROPN PRON VERB PUNCT PRON VERB VERB ADJ NOUN ADV DET PROPN PROPN VERB NOUN	▁C raft ily ▁she ▁added , ▁ ‘ ▁It ▁might ▁cr amp ▁your ▁style ▁where ▁this ▁Michel e ▁Di ome de ▁is ▁concerned . ’	0 0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PRON VERB VERB PUNCT PUNCT PRON VERB VERB VERB ADJ NOUN ADV DET PROPN PROPN PROPN PROPN PROPN VERB NOUN NOUN NOUN
Good job that bastard back there was only a captain ; might have cramped my style otherwise.’	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0	cramp someone's style	figurative	misc	ADJ NOUN ADJ NOUN ADV ADV VERB ADV DET NOUN PUNCT VERB VERB VERB ADJ NOUN NUM	▁Good ▁job ▁that ▁bast ard ▁back ▁there ▁was ▁only ▁a ▁captain ▁ ; ▁might ▁have ▁cr amp ed ▁my ▁style ▁otherwise . ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0	ADJ NOUN ADJ NOUN NOUN ADV ADV VERB ADV DET NOUN PUNCT PUNCT VERB VERB VERB VERB VERB ADJ NOUN NUM NUM NUM
It looks as if it might cramp the teacher's style.	0 0 0 0 0 0 1 0 1 1	cramp someone's style	figurative	combined-other	PRON VERB ADP ADP PRON VERB VERB DET NOUN NOUN	▁It ▁looks ▁as ▁if ▁it ▁might ▁cr amp ▁the ▁teacher ' s ▁style .	0 0 0 0 0 0 1 1 0 1 1 1 1 1	PRON VERB ADP ADP PRON VERB VERB VERB DET NOUN NOUN NOUN NOUN NOUN
