Mr McCormack said this did not mean the barrage project was dead and buried.	0 0 0 0 0 0 0 0 0 0 0 1 1 1	dead and buried	figurative	identical	PROPN PROPN VERB DET VERB ADV VERB DET NOUN NOUN VERB ADJ CCONJ VERB
Oxford looked dead and buried until Pompey substitute Stuart Doling brought down John Durnin to allow Jim Magilton to cut the deficit to 5–4 from the penalty spot.	0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dead and buried	figurative	identical	PROPN VERB ADJ CCONJ VERB ADP PROPN ADJ PROPN VERB VERB PART PROPN PROPN PART VERB PROPN PROPN PART VERB DET NOUN ADP NUM ADP DET NOUN NOUN
Think of her as dead and buried.	0 0 0 0 1 1 1	dead and buried	figurative	identical	VERB ADP PRON ADV ADJ CCONJ VERB
In two weeks I shall be speaking to the people who worked for me and campaigned and raised money when I thought I was as good as dead and buried.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	dead and buried	figurative	identical	ADP NUM NOUN PRON VERB VERB VERB ADP DET NOUN NOUN VERB ADP PRON CCONJ VERB CCONJ VERB NOUN ADV PRON VERB PRON VERB ADV ADJ ADP ADJ CCONJ VERB
So popular was the film that, a month after its opening, AIP decided to release Madigan's Millions, two years after it was made, to cash in on Dustin's name, double - billing it in the USA with Fearless Frank, films both actors rather hoped had been dead and buried.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	dead and buried	figurative	identical	ADV ADJ VERB DET NOUN ADJ DET NOUN ADP ADJ NOUN PROPN VERB PART VERB PROPN PROPN NUM NOUN ADP PRON VERB VERB PART VERB PART ADP PROPN NOUN ADJ PUNCT NOUN PRON ADP DET PROPN ADP PROPN PROPN NOUN DET NOUN ADV VERB VERB VERB ADJ CCONJ VERB
But on Thursday he will be given the chance to resurrect an international career which looked dead and buried, and urged to start knocking over Australian wickets in more orthodox fashion!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	dead and buried	figurative	identical	CCONJ ADP PROPN PRON VERB VERB VERB DET NOUN PART VERB DET ADJ NOUN ADJ VERB ADJ CCONJ VERB CCONJ VERB PART VERB VERB ADP ADJ NOUN ADP ADV ADJ NOUN
A second or so before half time Bradford should have been dead and buried as Tommy Jones hit the post.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0	dead and buried	figurative	identical	DET ADJ CCONJ ADV ADP ADJ NOUN PROPN VERB VERB VERB ADJ CCONJ VERB ADP PROPN PROPN VERB DET NOUN
Y'know, we 've been dead and buried as far as a lot of people are concerned, but this album will put us back up there.	0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dead and buried	figurative	identical	NOUN PRON VERB VERB ADJ CCONJ VERB ADV ADV ADP DET NOUN ADP NOUN VERB VERB CCONJ DET NOUN VERB VERB PRON ADV ADV ADV
‘ Both Wessels and Kirsten were playing extremely well,’ Walsh recalls, ‘ and we looked dead and buried.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1	dead and buried	figurative	identical	PUNCT DET PROPN CCONJ PROPN VERB VERB ADV ADP PROPN VERB PUNCT CCONJ PRON VERB ADJ CCONJ VERB
Then there were truly new beginnings, a hated Poor Law, dead and buried ; a single, uncluttered task — to improve the quality of public care ; and a specially recruited ( and largely newly trained ) new band of professionals to take on the exciting role of pioneers.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dead and buried	figurative	identical	ADV ADV VERB ADV ADJ NOUN DET VERB PROPN PROPN ADJ CCONJ VERB PUNCT DET ADJ ADJ NOUN PUNCT PART VERB DET NOUN ADP ADJ NOUN PUNCT CCONJ DET ADV VERB PUNCT CCONJ ADV ADV VERB PUNCT ADJ NOUN ADP NOUN PART VERB PART DET ADJ NOUN ADP NOUN
All Gascoigne's multi million pound move to Lazio now looks dead and buried.	0 0 0 0 0 0 0 0 0 0 1 1 1	dead and buried	figurative	identical	DET PROPN ADJ NUM NOUN NOUN ADP PROPN ADV VERB ADJ CCONJ VERB
