Seems like I been dead to the world for weeks!	0 0 0 0 1 1 0 1 0 0	dead to the world	figurative	identical	VERB ADP PRON VERB ADJ ADP DET NOUN ADP NOUN
‘ You know she 'll be dead to the world.	0 0 0 0 0 0 1 1 0 1	dead to the world	figurative	identical	PUNCT PRON VERB PRON VERB VERB ADJ ADP DET NOUN
And in this darkness the process of crucifying the image of sin in the practice of penance is completed for the contemplative is dead to the world.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1	dead to the world	figurative	identical	CCONJ ADP DET NOUN DET NOUN ADP VERB DET NOUN ADP NOUN ADP DET NOUN ADP NOUN VERB VERB ADP DET NOUN VERB ADJ ADP DET NOUN
Dead to the world, keep house unknown.	1 1 0 1 0 0 0	dead to the world	figurative	case	ADJ ADP DET NOUN VERB NOUN ADJ
‘ She's dead to the world.	0 0 1 1 0 1	dead to the world	figurative	identical	PUNCT PRON ADJ ADP DET NOUN
So, just as Caterina had wanted, she remained dead to the world through the night.	0 0 0 0 0 0 0 0 1 1 0 1 0 0 0	dead to the world	figurative	identical	ADV ADV ADP PROPN VERB VERB PRON VERB ADJ ADP DET NOUN ADP DET NOUN
He's dead to the world,’ said Mabel, over her shoulder.	0 1 1 0 1 0 0 0 0 0	dead to the world	figurative	dashes	PRON ADJ ADP DET PROPN VERB PROPN ADP ADJ NOUN
He was dead to the world, so deeply asleep that she wondered what on earth he could have been doing half the night.	0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	dead to the world	figurative	identical	PRON VERB ADJ ADP DET NOUN ADV ADV ADJ ADP PRON VERB NOUN ADP NOUN PRON VERB VERB VERB VERB ADJ DET NOUN
But since the act of reading monopolises his attention, he is by definition ‘ dead to the world’ and therefore unaware of that fact which his behaviour communicates.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0	dead to the world	figurative	dashes	CCONJ ADP DET NOUN ADP NOUN VERB ADJ NOUN PRON VERB ADP NOUN PUNCT NOUN ADP DET NOUN CCONJ ADV ADJ ADP DET NOUN ADJ ADJ NOUN NOUN
you must of been dead to the world, what with working	0 0 0 0 1 1 0 1 0 0 0	dead to the world	figurative	identical	PRON VERB VERB VERB ADJ ADP DET NOUN NOUN ADP VERB
Anyway Amanda was dead to the world.	0 0 0 1 1 0 1	dead to the world	figurative	identical	INTJ PROPN VERB ADJ ADP DET NOUN
