‘ I 'll do the honours, if you like?’	0 0 0 1 0 1 0 0 0	do the honours	figurative	identical	PUNCT PRON VERB VERB DET NOUN ADP PRON VERB	▁ ‘ ▁I ▁' ll ▁do ▁the ▁honour s , ▁if ▁you ▁like ? ’	0 0 0 0 0 1 0 1 1 1 0 0 0 0 0	PUNCT PUNCT PRON VERB VERB VERB DET NOUN NOUN NOUN ADP PRON VERB VERB VERB
priest could er do the honours.	0 0 0 1 0 1	do the honours	figurative	identical	NOUN VERB INTJ VERB DET NOUN	▁priest ▁could ▁er ▁do ▁the ▁honour s .	0 0 0 1 0 1 1 1	NOUN VERB INTJ VERB DET NOUN NOUN NOUN
We had seen a lot of people cry in our time, but this was the first time that Quigley had done us the honour.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	do the honours	figurative	combined-inflection	PRON VERB VERB DET NOUN ADP NOUN VERB ADP ADJ NOUN CCONJ DET VERB DET ADJ NOUN ADJ PROPN VERB VERB PRON DET NOUN	▁We ▁had ▁seen ▁a ▁lot ▁of ▁people ▁cry ▁in ▁our ▁time , ▁but ▁this ▁was ▁the ▁first ▁time ▁that ▁Qui g ley ▁had ▁done ▁us ▁the ▁honour .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	PRON VERB VERB DET NOUN ADP NOUN VERB ADP ADJ NOUN NOUN CCONJ DET VERB DET ADJ NOUN ADJ PROPN PROPN PROPN VERB VERB PRON DET NOUN NOUN
' May I present myself, Mrs. Stevenson, since I am unable to find Madame Rodet to do me the honour? '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0	do the honours	figurative	combined-inflection	PUNCT VERB PRON VERB PRON PROPN PROPN ADP PRON VERB ADJ PART VERB PROPN PROPN PART VERB PRON DET NOUN PUNCT	▁' ▁May ▁I ▁present ▁myself , ▁Mrs . ▁Steven son , ▁since ▁I ▁am ▁unable ▁to ▁find ▁Madam e ▁Ro de t ▁to ▁do ▁me ▁the ▁honour ? ▁'	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0	PUNCT VERB PRON VERB PRON PRON PROPN PROPN PROPN PROPN PROPN ADP PRON VERB ADJ PART VERB PROPN PROPN PROPN PROPN PROPN PART VERB PRON DET NOUN NOUN PUNCT
he did me the honour of revealing his sources.	0 1 0 0 1 0 0 0 0	do the honours	figurative	combined-inflection	PRON VERB PRON DET NOUN ADP VERB ADJ NOUN	▁he ▁did ▁me ▁the ▁honour ▁of ▁reveal ing ▁his ▁sources .	0 1 0 0 1 0 0 0 0 0 0	PRON VERB PRON DET NOUN ADP VERB VERB ADJ NOUN NOUN
Dear Comrade Surkov, You are warmly invited to do me the honour of attending my forthcoming Inauguration in Washington DC, on 20 January 1989, as 41st President of the United States, and to read your famous poem of international accord, ' Friendship '.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the honours	figurative	combined-inflection	ADJ PROPN PROPN PRON VERB ADV VERB PART VERB PRON DET NOUN ADP VERB ADJ ADJ PROPN ADP PROPN PROPN ADP NUM PROPN NUM ADP ADJ PROPN ADP DET PROPN PROPN CCONJ PART VERB ADJ ADJ NOUN ADP ADJ NOUN PUNCT NOUN PUNCT	▁D ear ▁Com rad e ▁Sur kov , ▁You ▁are ▁warmly ▁invited ▁to ▁do ▁me ▁the ▁honour ▁of ▁attending ▁my ▁forthcoming ▁In augur ation ▁in ▁Washington ▁DC , ▁on ▁20 ▁January ▁1989, ▁as ▁41 st ▁President ▁of ▁the ▁United ▁States , ▁and ▁to ▁read ▁your ▁famous ▁po em ▁of ▁international ▁accord , ▁' ▁Friend ship ▁' .	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADJ ADJ PROPN PROPN PROPN PROPN PROPN PROPN PRON VERB ADV VERB PART VERB PRON DET NOUN ADP VERB ADJ ADJ PROPN PROPN PROPN ADP PROPN PROPN PROPN ADP NUM PROPN NUM ADP ADJ ADJ PROPN ADP DET PROPN PROPN PROPN CCONJ PART VERB ADJ ADJ NOUN NOUN ADP ADJ NOUN NOUN PUNCT NOUN NOUN PUNCT PUNCT
Trygg Tryggvason does him full honours with both production and engineering.	0 0 1 0 0 1 0 0 0 0 0	do the honours	figurative	combined-inflection	PROPN PROPN VERB PRON ADJ NOUN ADP DET NOUN CCONJ NOUN	▁T ry gg ▁T ry gg va son ▁does ▁him ▁full ▁honour s ▁with ▁both ▁production ▁and ▁engineering .	0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN VERB PRON ADJ NOUN NOUN ADP DET NOUN CCONJ NOUN NOUN
Nearly fifty years later Magdalen did me the signal honour of electing me an Honorary Fellow.	0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0	do the honours	figurative	combined-inflection	ADV NUM NOUN ADV PROPN VERB PRON DET NOUN NOUN ADP VERB PRON DET PROPN PROPN	▁ Nearly ▁fifty ▁years ▁later ▁Mag dal en ▁did ▁me ▁the ▁signal ▁honour ▁of ▁elect ing ▁me ▁an ▁Ho nor ary ▁F el low .	0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV NUM NOUN ADV PROPN PROPN PROPN VERB PRON DET NOUN NOUN ADP VERB VERB PRON DET PROPN PROPN PROPN PROPN PROPN PROPN PROPN
By now everyone was dancing, and it seemed quite natural for Huw to ask : ' Would you do me the honour, Mrs O'Dell? '	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0	do the honours	figurative	combined-inflection	ADP ADV NOUN VERB VERB CCONJ PRON VERB ADV ADJ ADP PROPN PART VERB PUNCT PUNCT VERB PRON VERB PRON DET NOUN PROPN PROPN PUNCT	▁By ▁now ▁everyone ▁was ▁d ancing , ▁and ▁it ▁seemed ▁quite ▁natural ▁for ▁Hu w ▁to ▁ask ▁ : ▁' ▁Would ▁you ▁do ▁me ▁the ▁honour , ▁Mrs ▁O ' D ell ? ▁'	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0	ADP ADV NOUN VERB VERB VERB VERB CCONJ PRON VERB ADV ADJ ADP PROPN PROPN PART VERB PUNCT PUNCT PUNCT VERB PRON VERB PRON DET NOUN NOUN PROPN PROPN PROPN PROPN PROPN PROPN PUNCT
to do the the honours.	0 1 0 0 1	do the honours	figurative	insertion-determiner	PART VERB DET DET NOUN	▁to ▁do ▁the ▁the ▁honour s .	0 1 0 0 1 1 1	PART VERB DET DET NOUN NOUN NOUN
And we must both help Mum to do the honours.	0 0 0 0 0 0 0 1 0 1	do the honours	figurative	identical	CCONJ PRON VERB DET VERB PROPN PART VERB DET NOUN	▁And ▁we ▁must ▁both ▁help ▁M um ▁to ▁do ▁the ▁honour s .	0 0 0 0 0 0 0 0 1 0 1 1 1	CCONJ PRON VERB DET VERB PROPN PROPN PART VERB DET NOUN NOUN NOUN
And in Dead City Radio and Seven Souls, respectively, tribute specialist Hal Wilner and New York band Material have done the honours for William Burroughs, the counter - culture's favourite uncle.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0	do the honours	figurative	inflection	CCONJ ADP PROPN PROPN PROPN CCONJ PROPN PROPN ADV NOUN NOUN PROPN PROPN CCONJ PROPN PROPN NOUN NOUN VERB VERB DET NOUN ADP PROPN PROPN DET ADJ PUNCT NOUN ADJ NOUN	▁And ▁in ▁De ad ▁City ▁Radio ▁and ▁Seven ▁So ul s , ▁respectively , ▁tribute ▁specialist ▁Hal ▁Wil ner ▁and ▁New ▁York ▁band ▁Material ▁have ▁done ▁the ▁honour s ▁for ▁William ▁Bur rough s , ▁the ▁counter ▁- ▁culture ' s ▁favour ite ▁uncle .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	CCONJ ADP PROPN PROPN PROPN PROPN CCONJ PROPN PROPN PROPN PROPN PROPN ADV ADV NOUN NOUN PROPN PROPN PROPN CCONJ PROPN PROPN NOUN NOUN VERB VERB DET NOUN NOUN ADP PROPN PROPN PROPN PROPN PROPN DET ADJ PUNCT NOUN NOUN NOUN ADJ ADJ NOUN NOUN
Jagger's record is produced by Rick Rubin, who did the honours on a Red Devils ' live album, released on Rubin's own Def American label.	0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the honours	figurative	inflection	PROPN NOUN VERB VERB ADP PROPN PROPN NOUN VERB DET NOUN ADP DET PROPN PROPN PART ADJ NOUN VERB ADP PROPN ADJ PROPN ADJ NOUN	▁Ja g ger ' s ▁record ▁is ▁produced ▁by ▁R ick ▁Rub in , ▁who ▁did ▁the ▁honour s ▁on ▁a ▁Red ▁De vil s ▁' ▁live ▁al b um , ▁released ▁on ▁Rub in ' s ▁own ▁Def ▁American ▁label .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN NOUN VERB VERB ADP PROPN PROPN PROPN PROPN PROPN NOUN VERB DET NOUN NOUN ADP DET PROPN PROPN PROPN PROPN PART ADJ NOUN NOUN NOUN NOUN VERB ADP PROPN PROPN PROPN PROPN ADJ PROPN ADJ NOUN NOUN
' And I think that someone would like to dance it with me, ' she said, as Herman, lured by the smile, came across and with a ludicrous bow, asked Erika if she would do him the honour of the dance, Erika graciously accepting, to her delight leaving Fritz looking disconsolate and unhappy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the honours	figurative	combined-inflection	PUNCT CCONJ PRON VERB ADP NOUN VERB VERB PART VERB PRON ADP PRON PUNCT PRON VERB ADP PROPN VERB ADP DET NOUN VERB ADV CCONJ ADP DET ADJ NOUN VERB PROPN ADP PRON VERB VERB PRON DET NOUN ADP DET NOUN PROPN ADV VERB ADP ADJ NOUN VERB PROPN VERB ADJ CCONJ ADJ	▁' ▁And ▁I ▁think ▁that ▁someone ▁would ▁like ▁to ▁dance ▁it ▁with ▁me , ▁' ▁she ▁said , ▁as ▁Herman , ▁lu red ▁by ▁the ▁smile , ▁came ▁across ▁and ▁with ▁a ▁lu dic rou s ▁bow , ▁asked ▁Erik a ▁if ▁she ▁would ▁do ▁him ▁the ▁honour ▁of ▁the ▁dance , ▁Erik a ▁gr aci ously ▁accepting , ▁to ▁her ▁delight ▁leaving ▁Fri tz ▁looking ▁disc onso late ▁and ▁unhappy .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PUNCT CCONJ PRON VERB ADP NOUN VERB VERB PART VERB PRON ADP PRON PRON PUNCT PRON VERB VERB ADP PROPN PROPN VERB VERB ADP DET NOUN NOUN VERB ADV CCONJ ADP DET ADJ ADJ ADJ ADJ NOUN NOUN VERB PROPN PROPN ADP PRON VERB VERB PRON DET NOUN ADP DET NOUN NOUN PROPN PROPN ADV ADV ADV VERB VERB ADP ADJ NOUN VERB PROPN PROPN VERB ADJ ADJ ADJ CCONJ ADJ ADJ
Perhaps you 'd like to do the honours?’	0 0 0 0 0 1 0 1	do the honours	figurative	dashes	ADV PRON VERB VERB PART VERB DET NOUN	▁Perhaps ▁you ▁' d ▁like ▁to ▁do ▁the ▁honour s ? ’	0 0 0 0 0 0 1 0 1 1 1 1	ADV PRON VERB VERB VERB PART VERB DET NOUN NOUN NOUN NOUN
Raconteur Lloyd Grossman fourth from left did the honours at his local bookshop last week, launching the new, enlarged Nomad Books in Fulham Road, London SW6.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	do the honours	figurative	inflection	PROPN PROPN PROPN ADV ADP NOUN VERB DET NOUN ADP ADJ ADJ NOUN ADJ NOUN VERB DET ADJ ADJ PROPN PROPN ADP PROPN PROPN PROPN PROPN	▁Ra con teur ▁Lloyd ▁Gross man ▁fourth ▁from ▁left ▁did ▁the ▁honour s ▁at ▁his ▁local ▁books hop ▁last ▁week , ▁launching ▁the ▁new , ▁enlarged ▁No mad ▁Book s ▁in ▁F ul ham ▁Road , ▁London ▁SW 6.	0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PROPN PROPN PROPN PROPN ADV ADP NOUN VERB DET NOUN NOUN ADP ADJ ADJ NOUN NOUN ADJ NOUN NOUN VERB DET ADJ ADJ ADJ PROPN PROPN PROPN PROPN ADP PROPN PROPN PROPN PROPN PROPN PROPN PROPN PROPN
Markby ‘ did the honours’ and settled down in a vast, chintz - covered, feather - cushioned armchair.	0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	do the honours	figurative	combined-inflection	PROPN PUNCT VERB DET NOUN CCONJ VERB PART ADP DET ADJ NOUN PUNCT VERB ADV PUNCT VERB NOUN	▁Mark by ▁ ‘ ▁did ▁the ▁honour s ’ ▁and ▁settled ▁down ▁in ▁a ▁vast , ▁ chin tz ▁- ▁covered , ▁feather ▁- ▁cushion ed ▁arm chair .	0 0 0 0 1 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN PUNCT PUNCT VERB DET NOUN NOUN NOUN CCONJ VERB PART ADP DET ADJ ADJ NOUN NOUN NOUN PUNCT VERB VERB ADV PUNCT VERB VERB NOUN NOUN NOUN
‘ Well — Donald asked me to ask you — would you do the honours?’	0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	do the honours	figurative	dashes	PUNCT PROPN PUNCT PROPN VERB PRON PART VERB PRON PUNCT VERB PRON VERB DET NOUN	▁ ‘ ▁Well ▁ — ▁Don ald ▁asked ▁me ▁to ▁ask ▁you ▁ — ▁would ▁you ▁do ▁the ▁honour s ? ’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 1 1	PUNCT PUNCT PROPN PUNCT PUNCT PROPN PROPN VERB PRON PART VERB PRON PUNCT PUNCT VERB PRON VERB DET NOUN NOUN NOUN NOUN
It may have been a stopping - place for drovers — but he could still do Dr Johnson the honour of making lemonade from fresh lemons.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0	do the honours	figurative	combined-inflection	PRON VERB VERB VERB DET VERB PUNCT NOUN ADP NOUN PUNCT CCONJ PRON VERB ADV VERB PROPN PROPN DET NOUN ADP VERB NOUN ADP ADJ NOUN	▁It ▁may ▁have ▁been ▁a ▁stopping ▁- ▁place ▁for ▁dr overs ▁ — ▁but ▁he ▁could ▁still ▁do ▁Dr ▁Johnson ▁the ▁honour ▁of ▁making ▁lem on ade ▁from ▁fresh ▁lemons .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB DET VERB PUNCT NOUN ADP NOUN NOUN PUNCT PUNCT CCONJ PRON VERB ADV VERB PROPN PROPN DET NOUN ADP VERB NOUN NOUN NOUN ADP ADJ NOUN NOUN
