I think it's certainly true and I think it one shouldn't be too doom and gloom about it.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0	doom and gloom	figurative	identical	PRON VERB PRON ADV ADJ CCONJ PRON VERB PRON PRON VERB VERB ADV NOUN CCONJ NOUN ADP PRON
Good storylines, real people, not all doom and gloom like Brookside.	0 0 0 0 0 0 1 1 1 0 0	doom and gloom	figurative	identical	ADJ NOUN ADJ NOUN ADV DET NOUN CCONJ NOUN ADP PROPN
It is striking that even amid all the doom and gloom assailing world markets, there is no fear of a recession in India.	0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	PRON VERB VERB ADP ADV ADP ADJ DET NOUN CCONJ NOUN VERB NOUN NOUN ADV VERB DET NOUN ADP DET NOUN ADP PROPN
It would be easy to be a prophet of doom and gloom in these difficult times but in business and in the Association, I sense a new spirit of optimism that better times are just around the corner and that we are at last seeing the tangible signs of recovery.	0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	PRON VERB VERB ADJ PART VERB DET NOUN ADP NOUN CCONJ NOUN ADP DET ADJ NOUN CCONJ ADP NOUN CCONJ ADP DET PROPN PRON VERB DET ADJ NOUN ADP NOUN ADP ADJ NOUN VERB ADV ADP DET NOUN CCONJ ADP PRON VERB ADP ADJ VERB DET ADJ NOUN ADP NOUN
No doom and gloom, resentment or woeful tales of broken romances, no poses or pontifications here.	0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	DET NOUN CCONJ NOUN NOUN CCONJ ADJ NOUN ADP ADJ NOUN DET NOUN CCONJ NOUN ADV
This is why current affairs programmes concentrate so much on doom and gloom, even away from the big stories of the day.	0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	DET VERB ADV ADJ NOUN NOUN VERB ADV ADV ADP NOUN CCONJ NOUN ADV ADV ADP DET ADJ NOUN ADP DET NOUN
Anyway, what I really want to talk about is engineering for our future in a way because I mean most of you er, listen to the doom and gloom and all the ni, all the er kind of statistics we 've seen that come out of the Engineering Prize Federation, the C B I, I wish somebody, for a change, would put a little bit of gloss on it instead of actually bringing up the statistics which show how badly we 're doing!	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	INTJ NOUN PRON ADV VERB PART VERB ADP VERB VERB ADP ADJ NOUN ADP DET NOUN ADP PRON VERB ADJ ADP PRON INTJ VERB ADP DET NOUN CCONJ NOUN CCONJ ADJ DET NOUN ADJ DET INTJ NOUN ADP NOUN PRON VERB VERB ADJ VERB ADP ADP DET PROPN PROPN PROPN DET PROPN NOUN NOUN PRON VERB NOUN ADP DET NOUN VERB VERB DET ADJ NOUN ADP NOUN ADP PRON ADV ADP ADV VERB PART DET NOUN ADJ VERB ADV ADV PRON VERB VERB
I would also like to show that it is not all doom and gloom and that, finally, steps are being taken to remedy the dire situation.	0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	PRON VERB ADV VERB PART VERB ADP PRON VERB ADV DET NOUN CCONJ NOUN CCONJ ADP ADV NOUN VERB VERB VERB PART VERB DET ADJ NOUN
Before the Secretary of State rattles on yet again about European figures, our minimum wage policy and our alleged doom and gloom, and as he has proved himself completely unable to say anything constructive, will he today at least ask the Prime Minister to chuck it in now, call an election and let us get on with the job?	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	ADP DET PROPN ADP PROPN NOUN ADV ADV ADV ADP ADJ NOUN ADJ ADJ NOUN NOUN CCONJ ADJ ADJ NOUN CCONJ NOUN CCONJ ADP PRON VERB VERB PRON ADV ADJ PART VERB NOUN ADJ VERB PRON NOUN ADP ADJ VERB DET PROPN PROPN PART VERB PRON PART ADV VERB DET NOUN CCONJ VERB PRON VERB PART ADP DET NOUN
IN THESE days of increasing doom and gloom, why don't TV and film producers make an effort to create cheerful and encouraging films and programmes.	0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	identical	ADP DET NOUN ADP VERB NOUN CCONJ NOUN ADV VERB NOUN CCONJ NOUN NOUN VERB DET NOUN PART VERB ADJ CCONJ ADJ NOUN CCONJ NOUN
It was the old doom - and - gloom mathematics of Thomas Malthus at work : population shoots up geometrically while food production lags behind.	0 0 0 0 1 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	doom and gloom	figurative	dashes	PRON VERB DET ADJ NOUN PUNCT CCONJ PUNCT NOUN NOUN ADP PROPN PROPN ADP NOUN PUNCT NOUN NOUN PART ADV ADP NOUN NOUN VERB ADV
