Ought to have seen them walking down North Road.	0 0 0 0 0 0 1 0 1	down the road	literal	combined-other	VERB PART VERB VERB PRON VERB PART PROPN PROPN	▁O ught ▁to ▁have ▁seen ▁them ▁walking ▁down ▁North ▁Road .	0 0 0 0 0 0 0 1 0 1 1	VERB VERB PART VERB VERB PRON VERB PART PROPN PROPN PROPN
We roared off down the road from the village in the direction of the River Orne.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	PRON VERB PART ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET PROPN PROPN	▁We ▁ro ar ed ▁off ▁down ▁the ▁road ▁from ▁the ▁village ▁in ▁the ▁direction ▁of ▁the ▁River ▁Or ne .	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB PART ADP DET NOUN ADP DET NOUN ADP DET NOUN ADP DET PROPN PROPN PROPN PROPN
From a position, parked a few yards down the road from the Stones ' house, Bodie watched as Anne Hanvey finally delivered Nick to the house.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	ADP DET NOUN VERB DET ADJ NOUN ADP DET NOUN ADP DET PROPN PART NOUN PROPN VERB ADP PROPN PROPN ADV VERB PROPN ADP DET NOUN	▁From ▁a ▁position , ▁park ed ▁a ▁few ▁yards ▁down ▁the ▁road ▁from ▁the ▁Stone s ▁' ▁house , ▁B odi e ▁watch ed ▁as ▁Anne ▁Han ve y ▁finally ▁delivered ▁N ick ▁to ▁the ▁house .	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADP DET NOUN NOUN VERB VERB DET ADJ NOUN ADP DET NOUN ADP DET PROPN PROPN PART NOUN NOUN PROPN PROPN PROPN VERB VERB ADP PROPN PROPN PROPN PROPN ADV VERB PROPN PROPN ADP DET NOUN NOUN
He lived down the road there.	0 0 1 0 1 0	down the road	literal	identical	PRON VERB ADP DET NOUN ADV	▁He ▁lived ▁down ▁the ▁road ▁there .	0 0 1 0 1 0 0	PRON VERB ADP DET NOUN ADV ADV
Mangled remains were hurled 500 yards down the road.	0 0 0 0 0 0 1 0 1	down the road	literal	identical	VERB NOUN VERB VERB NUM NOUN ADP DET NOUN	▁M angle d ▁remains ▁were ▁ hur led ▁500 ▁yards ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 1 0 1 1	VERB VERB VERB NOUN VERB VERB VERB VERB NUM NOUN ADP DET NOUN NOUN
In the autumn of 1959 I was eleven, and I went to the girls ' grammar school down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	ADP DET NOUN ADP NUM PRON VERB NUM CCONJ PRON VERB ADP DET NOUN PART NOUN NOUN ADP DET NOUN	▁In ▁the ▁autumn ▁of ▁1959 ▁I ▁was ▁eleven , ▁and ▁I ▁went ▁to ▁the ▁girls ▁' ▁gram mar ▁school ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP DET NOUN ADP NUM PRON VERB NUM NUM CCONJ PRON VERB ADP DET NOUN PART NOUN NOUN NOUN ADP DET NOUN NOUN
You have to start at the top of the town that way, and go down over down and come round like that, finish off start down Norwich Road and come up Bury Road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0	down the road	literal	combined-other	PRON VERB PART VERB ADP DET NOUN ADP DET NOUN DET NOUN CCONJ VERB PART ADV ADV CCONJ VERB ADV ADP DET VERB PART NOUN PART PROPN PROPN CCONJ VERB PART PROPN PROPN	▁You ▁have ▁to ▁start ▁at ▁the ▁top ▁of ▁the ▁town ▁that ▁way , ▁and ▁go ▁down ▁over ▁down ▁and ▁come ▁round ▁like ▁that , ▁finish ▁off ▁start ▁down ▁Nor wich ▁Road ▁and ▁come ▁up ▁Bur y ▁Road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	PRON VERB PART VERB ADP DET NOUN ADP DET NOUN DET NOUN NOUN CCONJ VERB PART ADV ADV CCONJ VERB ADV ADP DET DET VERB PART NOUN PART PROPN PROPN PROPN CCONJ VERB PART PROPN PROPN PROPN PROPN
This was the best ; it was John exactly as I remembered him, walking down a road, waiting at a bus stop, hunched inside his big coat.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	down the road	literal	determiner-narrow	DET VERB DET ADJ PUNCT PRON VERB PROPN ADV ADP PRON VERB PRON VERB PART DET NOUN VERB ADP DET NOUN NOUN VERB ADP ADJ ADJ NOUN	▁This ▁was ▁the ▁best ▁ ; ▁it ▁was ▁John ▁exactly ▁as ▁I ▁remembered ▁him , ▁walking ▁down ▁a ▁road , ▁waiting ▁at ▁a ▁bus ▁stop , ▁h unch ed ▁inside ▁his ▁big ▁coat .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	DET VERB DET ADJ PUNCT PUNCT PRON VERB PROPN ADV ADP PRON VERB PRON PRON VERB PART DET NOUN NOUN VERB ADP DET NOUN NOUN NOUN VERB VERB VERB ADP ADJ ADJ NOUN NOUN
" I still don't like it, " he said seven days later, as the tough little mountain ponies carried them down the winding road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1	down the road	literal	insertion-other	PUNCT PRON ADV VERB VERB PRON PUNCT PRON VERB NUM NOUN ADV ADP DET ADJ ADJ NOUN NOUN VERB PRON ADP DET VERB NOUN	▁" ▁I ▁still ▁don ' t ▁like ▁it , ▁" ▁he ▁said ▁seven ▁days ▁later , ▁as ▁the ▁tough ▁little ▁mountain ▁p on ies ▁carried ▁them ▁down ▁the ▁winding ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1	PUNCT PRON ADV VERB VERB VERB VERB PRON PRON PUNCT PRON VERB NUM NOUN ADV ADV ADP DET ADJ ADJ NOUN NOUN NOUN NOUN VERB PRON ADP DET VERB NOUN NOUN
There is no risk or default premium baked into British interest rates to indicate that fear of political - economic chaos down the road is discouraging investment.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	down the road	figurative	identical	ADV VERB DET NOUN CCONJ NOUN NOUN VERB ADP ADJ NOUN NOUN PART VERB ADP NOUN ADP ADJ PUNCT ADJ NOUN ADP DET NOUN VERB VERB NOUN	▁There ▁is ▁no ▁risk ▁or ▁default ▁premium ▁ba ked ▁into ▁British ▁interest ▁rates ▁to ▁indicate ▁that ▁fear ▁of ▁political ▁- ▁economic ▁chaos ▁down ▁the ▁road ▁is ▁discouraging ▁investment .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	ADV VERB DET NOUN CCONJ NOUN NOUN VERB VERB ADP ADJ NOUN NOUN PART VERB ADP NOUN ADP ADJ PUNCT ADJ NOUN ADP DET NOUN VERB VERB NOUN NOUN
You 're walking down the road and in each doorway, in each alleyway, they 're sizing you up.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	PRON VERB VERB ADP DET NOUN CCONJ ADP DET NOUN ADP DET NOUN PRON VERB VERB PRON PART	▁You ▁' re ▁walking ▁down ▁the ▁road ▁and ▁in ▁each ▁door way , ▁in ▁each ▁all ey way , ▁they ▁' re ▁s izing ▁you ▁up .	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB ADP DET NOUN CCONJ ADP DET NOUN NOUN NOUN ADP DET NOUN NOUN NOUN NOUN PRON VERB VERB VERB VERB PRON PART PART
we 'll walk down the road at the back and we 'd only just turned round the corner from the Claremont and we found this restaurant and it was, it was an absolutely brilliant chef, really nice restaurant, really high quality and it was was quite reasonable price, it wasn't cheap.	0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	identical	PRON VERB VERB ADP DET NOUN ADP DET NOUN CCONJ PRON VERB ADV ADV VERB ADV DET NOUN ADP DET PROPN CCONJ PRON VERB DET NOUN CCONJ PRON VERB PRON VERB DET ADV ADJ NOUN ADV ADJ NOUN ADV ADJ NOUN CCONJ PRON VERB VERB ADV ADJ NOUN PRON VERB ADJ	▁we ▁' ll ▁walk ▁down ▁the ▁road ▁at ▁the ▁back ▁and ▁we ▁' d ▁only ▁just ▁turned ▁round ▁the ▁corner ▁from ▁the ▁Clar e mont ▁and ▁we ▁found ▁this ▁restaurant ▁and ▁it ▁was , ▁it ▁was ▁an ▁absolutely ▁brilliant ▁che f , ▁really ▁nice ▁restaurant , ▁really ▁high ▁quality ▁and ▁it ▁was ▁was ▁quite ▁reasonable ▁price , ▁it ▁was n ' t ▁cheap .	0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PRON VERB VERB VERB ADP DET NOUN ADP DET NOUN CCONJ PRON VERB VERB ADV ADV VERB ADV DET NOUN ADP DET PROPN PROPN PROPN CCONJ PRON VERB DET NOUN CCONJ PRON VERB VERB PRON VERB DET ADV ADJ NOUN NOUN NOUN ADV ADJ NOUN NOUN ADV ADJ NOUN CCONJ PRON VERB VERB ADV ADJ NOUN NOUN PRON VERB VERB VERB VERB ADJ ADJ
Occasionally, people act very strangely — I was driving down Edgware Road once and a taxi driver pulled up by me, and said, ' Sting!	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	combined-other	ADV NOUN VERB ADV ADV PUNCT PRON VERB VERB PART PROPN PROPN ADV CCONJ DET NOUN NOUN VERB PART ADP PRON CCONJ VERB PUNCT ADJ	▁Occasional ly , ▁people ▁act ▁very ▁strange ly ▁ — ▁I ▁was ▁driving ▁down ▁E d g ware ▁Road ▁once ▁and ▁a ▁tax i ▁driver ▁pulled ▁up ▁by ▁me , ▁and ▁said , ▁' ▁St ing !	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	ADV ADV ADV NOUN VERB ADV ADV ADV PUNCT PUNCT PRON VERB VERB PART PROPN PROPN PROPN PROPN PROPN ADV CCONJ DET NOUN NOUN NOUN VERB PART ADP PRON PRON CCONJ VERB VERB PUNCT ADJ ADJ ADJ
For example, if I measure a car traveling down the highway, I might think it had moved only one kilometer, but to someone on the sun, it would have moved about 1,800 kilometers, because the earth would have moved while the car was going down the road.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	down the road	literal	identical	ADP NOUN ADP PRON VERB DET NOUN VERB ADP DET NOUN PRON VERB VERB PRON VERB VERB ADV NUM NOUN CCONJ ADP NOUN ADP DET NOUN PRON VERB VERB VERB ADV NUM NOUN ADP DET NOUN VERB VERB VERB ADP DET NOUN VERB VERB ADP DET NOUN	▁For ▁example , ▁if ▁I ▁measure ▁a ▁car ▁travel ing ▁down ▁the ▁highway , ▁I ▁might ▁think ▁it ▁had ▁moved ▁only ▁one ▁kilo meter , ▁but ▁to ▁someone ▁on ▁the ▁sun , ▁it ▁would ▁have ▁moved ▁about ▁1 , 800 ▁kilo meters , ▁because ▁the ▁earth ▁would ▁have ▁moved ▁while ▁the ▁car ▁was ▁going ▁down ▁the ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 1	ADP NOUN NOUN ADP PRON VERB DET NOUN VERB VERB ADP DET NOUN NOUN PRON VERB VERB PRON VERB VERB ADV NUM NOUN NOUN NOUN CCONJ ADP NOUN ADP DET NOUN NOUN PRON VERB VERB VERB ADV NUM NUM NUM NOUN NOUN NOUN ADP DET NOUN VERB VERB VERB ADP DET NOUN VERB VERB ADP DET NOUN NOUN
Sarah herself knew many women who had moonlighted down the Bayswater Road to supplement meagre war pensions or National Assistance.	0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0	down the road	literal	combined-other	PROPN PRON VERB ADJ NOUN NOUN VERB VERB ADP DET PROPN PROPN PART VERB NOUN NOUN NOUN CCONJ PROPN NOUN	▁Sara h ▁herself ▁knew ▁many ▁women ▁who ▁had ▁mo on light ed ▁down ▁the ▁Bay s water ▁Road ▁to ▁supplement ▁meagre ▁war ▁pensions ▁or ▁National ▁Assistance .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0	PROPN PROPN PRON VERB ADJ NOUN NOUN VERB VERB VERB VERB VERB ADP DET PROPN PROPN PROPN PROPN PART VERB NOUN NOUN NOUN CCONJ PROPN NOUN NOUN
Sharpe was among the staff officers who trotted their horses down the Charleroi road, past the Gemioncourt farm by the ford, and so on up the shallow hill until they reached the infantry brigade which guarded against any frontal attack up the high road.	0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	down the road	literal	insertion-other	PROPN VERB ADP DET NOUN NOUN NOUN VERB ADJ NOUN ADP DET PROPN NOUN ADP DET PROPN NOUN ADP DET NOUN CCONJ ADV ADV PART DET ADJ NOUN ADP PRON VERB DET NOUN NOUN ADJ VERB ADP DET ADJ NOUN PART DET ADJ NOUN	▁Sharp e ▁was ▁among ▁the ▁staff ▁officers ▁who ▁tro tted ▁their ▁horses ▁down ▁the ▁Charleroi ▁road , ▁past ▁the ▁Gem ion court ▁farm ▁by ▁the ▁for d , ▁and ▁so ▁on ▁up ▁the ▁shall ow ▁hill ▁until ▁they ▁reached ▁the ▁infant ry ▁brigade ▁which ▁guard ed ▁against ▁any ▁frontal ▁attack ▁up ▁the ▁high ▁road .	0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	PROPN PROPN VERB ADP DET NOUN NOUN NOUN VERB VERB ADJ NOUN ADP DET PROPN NOUN NOUN ADP DET PROPN PROPN PROPN NOUN ADP DET NOUN NOUN NOUN CCONJ ADV ADV PART DET ADJ ADJ NOUN ADP PRON VERB DET NOUN NOUN NOUN ADJ VERB VERB ADP DET ADJ NOUN PART DET ADJ NOUN NOUN
A man and a woman are driving down the road in an open - air vehicle	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	down the road	literal	identical	DET NOUN CCONJ DET NOUN VERB VERB ADP DET NOUN ADP DET ADJ PUNCT NOUN NOUN	▁A ▁man ▁and ▁a ▁woman ▁are ▁driving ▁down ▁the ▁road ▁in ▁an ▁open ▁- ▁air ▁vehicle	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	DET NOUN CCONJ DET NOUN VERB VERB ADP DET NOUN ADP DET ADJ PUNCT NOUN NOUN
