Now Argos, our biggest cut - price catalogues group, is feeling the pinch.	0 0 0 0 0 0 0 0 0 0 1 0 1	feel the pinch	figurative	inflection	ADV PROPN ADJ ADJ NOUN PUNCT NOUN NOUN NOUN VERB VERB DET NOUN
Naturally, the loss of this sort of money is a blow to us, but every club is feeling the pinch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	feel the pinch	figurative	inflection	ADV DET NOUN ADP DET NOUN ADP NOUN VERB DET NOUN ADP PRON CCONJ DET NOUN VERB VERB DET NOUN
In addition, parish priests were feeling the pinch through reduced income from alms and tithes.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	feel the pinch	figurative	inflection	ADP NOUN NOUN NOUN VERB VERB DET NOUN ADP ADJ NOUN ADP NOUN CCONJ NOUN
But as past foreign investment turns sour, including loans to projects such as London's Canary Wharf, and domestic investment values fall, Japan's banks — the largest in the world and once financiers to it — are feeling the pinch.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	feel the pinch	figurative	inflection	CCONJ ADP ADJ ADJ NOUN VERB ADJ VERB NOUN ADP NOUN ADJ ADP PROPN PROPN PROPN CCONJ ADJ NOUN NOUN VERB PROPN NOUN PUNCT DET ADJ ADP DET NOUN CCONJ ADV NOUN ADP PRON PUNCT VERB VERB DET NOUN
Britain was still recovering from the long hard years of the second World War and the population had long felt the pinch of rationing and having to make do.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	feel the pinch	figurative	inflection	PROPN VERB ADV VERB ADP DET ADJ ADJ NOUN ADP DET ADJ PROPN PROPN CCONJ DET NOUN VERB ADV VERB DET NOUN ADP VERB CCONJ VERB PART VERB VERB
countries erm, and as you say, I mean ha you know, whether they 're American generals or or the Soviet generals, whatever er they 're all, they 're all feeling the pinch now because er	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	feel the pinch	figurative	inflection	NOUN NOUN CCONJ ADP PRON VERB PRON VERB INTJ PRON VERB ADP PRON VERB ADJ NOUN CCONJ CCONJ DET ADJ NOUN ADJ INTJ PRON VERB DET PRON VERB DET VERB DET NOUN ADV ADP INTJ
Licensed dealers as well as stockbrokers were feeling the pinch of sudden market setbacks, and not altogether satisfactory trade figures.	0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0	feel the pinch	figurative	inflection	ADJ NOUN ADV ADV ADP NOUN VERB VERB DET NOUN ADP ADJ NOUN NOUN CCONJ ADV ADV ADJ NOUN NOUN
The magistrates ' courts provided an opportunity to do this while simultaneously bolstering flagging markets for solicitors, who were feeling the economic pinch of a depressed property and commercial market.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0	feel the pinch	figurative	combined-inflection	DET NOUN PART NOUN VERB DET NOUN PART VERB DET ADP ADV VERB ADJ NOUN ADP NOUN NOUN VERB VERB DET ADJ NOUN ADP DET ADJ NOUN CCONJ ADJ NOUN
If you should find yourself feeling the pinch, there are several ways to reduce your outgoings, some could save you as much as £ 200 a month on a £ 60,000 loan.	0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	feel the pinch	figurative	inflection	ADP PRON VERB VERB PRON VERB DET NOUN ADV VERB ADJ NOUN PART VERB ADJ NOUN DET VERB VERB PRON ADV ADV ADP SYM NUM DET NOUN ADP DET SYM NUM NOUN
The canal system felt the pinch.	0 0 0 1 0 1	feel the pinch	figurative	inflection	DET NOUN NOUN VERB DET NOUN
Jamaican media feels the pinch	0 0 1 0 1	feel the pinch	figurative	inflection	ADJ NOUN VERB DET NOUN
Such a view helped trade union leaders to think in terms of coming to some type of arrangement with industrialists who were feeling the pinch of economic policy.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	feel the pinch	figurative	inflection	ADJ DET NOUN VERB VERB NOUN NOUN PART VERB ADP NOUN ADP VERB ADP DET NOUN ADP NOUN ADP NOUN NOUN VERB VERB DET NOUN ADP ADJ NOUN
People were feeling the ' pinch ' of economic reform and were not convinced by official explanations of the necessity for hardships while some private businesses were making huge profits.	0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	feel the pinch	figurative	combined-inflection	NOUN VERB VERB DET PUNCT NOUN PUNCT ADP ADJ NOUN CCONJ VERB ADV VERB ADP ADJ NOUN ADP DET NOUN ADP NOUN ADP DET ADJ NOUN VERB VERB ADJ NOUN
Also, cash - bloated film and television tycoons formed one important group of new collectors of contemporary art in the Eighties, and since the entertainment business is often the last industry to feel the pinch of a national economic recession, artists may also be retreating to the comfort of their remaining sure sources of income.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	feel the pinch	figurative	identical	ADV NOUN PUNCT ADJ NOUN CCONJ NOUN NOUN VERB NUM ADJ NOUN ADP ADJ NOUN ADP ADJ NOUN ADP DET PROPN CCONJ ADP DET NOUN NOUN VERB ADV DET ADJ NOUN PART VERB DET NOUN ADP DET ADJ ADJ NOUN NOUN VERB ADV VERB VERB ADP DET NOUN ADP ADJ VERB ADJ NOUN ADP NOUN
The slump in the property market is making life difficult for churches and St Cuthbert's at Darlington is feeling the pinch as much as any.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	feel the pinch	figurative	inflection	DET NOUN ADP DET NOUN NOUN VERB VERB NOUN ADJ ADP NOUN CCONJ PROPN PROPN ADP PROPN VERB VERB DET NOUN ADV ADV ADP DET
A wee nip feels pinch	0 0 0 1 1	feel the pinch	figurative	combined-inflection	DET ADJ NOUN VERB NOUN
Of all the major belligerents, Germany by 1916 was feeling the pinch of war most.	0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	feel the pinch	figurative	inflection	ADP ADJ DET ADJ NOUN PROPN ADP NUM VERB VERB DET NOUN ADP NOUN ADV
Over the years we 've enjoyed annual family holidays without feeling the pinch and we 've built up good relationships with our neighbours and the surrounding community.	0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0	feel the pinch	figurative	inflection	ADP DET NOUN PRON VERB VERB ADJ NOUN NOUN ADP VERB DET NOUN CCONJ PRON VERB VERB PART ADJ NOUN ADP ADJ NOUN CCONJ DET VERB NOUN
Feeling the pinch, Computone also revealed that it has abandoned four of its add - on products from its flagship Intelliport and distributed cluster control line.	1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	feel the pinch	figurative	combined-inflection	VERB DET NOUN PROPN ADV VERB ADP PRON VERB VERB NUM ADP ADJ VERB PUNCT PART NOUN ADP ADJ NOUN PROPN CCONJ VERB NOUN NOUN NOUN
Everybody feels the financial pinch during times of recession and, sadly, charities of all descriptions are no exception.	0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0	feel the pinch	figurative	combined-inflection	NOUN VERB DET ADJ NOUN ADP NOUN ADP NOUN CCONJ ADV NOUN ADP DET NOUN VERB DET NOUN
Dr. Marsh once again reiterated the cold, hard fact of life that cash throughout the Premier League is extremely tight with Everton, in tandem with a host of clubs, feeling the pinch of the recession.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0	feel the pinch	figurative	inflection	PROPN PROPN ADV ADV VERB DET ADJ ADJ NOUN ADP NOUN ADJ NOUN ADP DET PROPN PROPN VERB ADV ADJ ADP PROPN ADP NOUN ADP DET NOUN ADP NOUN VERB DET NOUN ADP DET NOUN
Manufacturers, distributors and retailers have all felt the pinch during the recession and some hard bargaining was going on over coffee and orange juice.	0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0	feel the pinch	figurative	inflection	NOUN NOUN CCONJ NOUN VERB DET VERB DET NOUN ADP DET NOUN CCONJ DET ADJ NOUN VERB VERB PART ADP NOUN CCONJ NOUN NOUN
BITTER BLOW : Beer sales are feeling the pinch	0 0 0 0 0 0 1 0 1	feel the pinch	figurative	inflection	ADJ NOUN PUNCT NOUN NOUN VERB VERB DET NOUN
The agency's move into local tour operating has brought in new bookings at a time when agents generally are feeling the pinch of high mortage rates.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0	feel the pinch	figurative	inflection	DET NOUN NOUN ADP ADJ NOUN NOUN VERB VERB PART ADJ NOUN ADP DET NOUN ADV NOUN ADV VERB VERB DET NOUN ADP ADJ NOUN NOUN
City : Shops feel the pinch from theft	0 0 0 1 0 1 0 0	feel the pinch	figurative	identical	NOUN PUNCT NOUN VERB DET NOUN ADP NOUN
Feeling the pinch	1 0 1	feel the pinch	figurative	combined-inflection	VERB DET NOUN
Schools in the poorest areas, already short of resources, are certainly feeling the pinch.	0 0 0 0 0 0 0 0 0 0 0 1 0 1	feel the pinch	figurative	inflection	NOUN ADP DET ADJ NOUN ADV ADJ ADP NOUN VERB ADV VERB DET NOUN
Everybody feels the pinch.	0 1 0 1	feel the pinch	figurative	inflection	NOUN VERB DET NOUN
And it's not only rail travellers who 'll feel the pinch.	0 0 0 0 0 0 0 0 1 0 1	feel the pinch	figurative	identical	CCONJ PRON ADV ADV NOUN NOUN NOUN VERB VERB DET NOUN
With no overtime being worked, even ambulance staff not suspended are beginning to feel the pinch as the dispute enters its 11th week.	0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0	feel the pinch	figurative	identical	ADP DET NOUN VERB VERB ADV NOUN NOUN ADV VERB VERB VERB PART VERB DET NOUN ADP DET NOUN VERB ADJ ADJ NOUN
‘ People look for new ways to supplement their income and it is employers who feel the pinch.’	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1	feel the pinch	figurative	dashes	PUNCT NOUN VERB ADP ADJ NOUN PART VERB ADJ NOUN CCONJ PRON VERB NOUN NOUN VERB DET NOUN
It must be one of the last parks to be made in England, for landowners began to feel the pinch of falling rents soon after that.	0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0	feel the pinch	figurative	identical	PRON VERB VERB NUM ADP DET ADJ NOUN PART VERB VERB ADP PROPN ADP NOUN VERB PART VERB DET NOUN ADP VERB NOUN ADV ADP DET
Feeling the pinch … the parents who won't pay their private school fees.	1 0 1 0 0 0 0 0 0 0 0 0 0	feel the pinch	figurative	combined-inflection	VERB DET NOUN PUNCT DET NOUN NOUN VERB VERB ADJ ADJ NOUN NOUN
